date,open,high,low,close,volume
2018-12-10,103.11,104.6,101.5,103.88,1674
2018-12-11,105.91,107.15,103.89,104.1,2634
2018-12-12,105.83,107.41,105.36,106.35,1418
2018-12-13,107.22,107.22,103.75,104.87,3035
2018-12-14,103.52,104.85,102.54,102.89,1681
2018-12-17,102.9,104.02,101.83,102.51,2686
2018-12-18,102.0,103.58,100.08,100.37,5008
2018-12-19,101.01,101.98,97.22,98.06,3421
2018-12-20,97.49,98.09,95.8,97.2,2983
2018-12-21,97.0,98.39,94.95,95.37,2861
2018-12-24,94.5,95.2,91.88,92.76,1359
2018-12-26,93.52,97.44,92.92,97.4,2036
2018-12-27,95.78,98.88,95.17,98.83,2898
2018-12-28,99.23,100.7,98.1,98.51,1730
2018-12-31,98.83,99.34,97.99,99.34,1463
2019-01-02,97.59,99.67,97.25,99.02,2105
2019-01-03,98.83,98.83,96.08,96.27,2812
2019-01-04,98.14,101.09,97.83,100.37,2140
2019-01-07,100.62,102.34,99.75,100.75,2232
2019-01-08,101.1,102.24,99.97,101.1,3050
2019-01-09,103.0,103.85,102.07,102.33,2208
2019-01-10,101.27,103.92,100.65,103.69,4544
2019-01-11,103.14,105.76,102.29,105.59,5290
2019-01-14,104.71,105.45,103.94,104.81,2366
2019-01-15,104.8,105.28,103.17,104.26,1782
2019-01-16,104.58,106.81,104.33,105.05,4089
2019-01-17,104.31,107.27,104.31,106.56,1739
2019-01-18,107.48,109.47,107.25,107.6,2369
2019-01-22,107.07,107.45,103.77,104.45,2583
2019-01-23,105.04,106.42,103.47,103.91,3012
2019-01-24,104.07,105.5,103.68,104.46,1198
2019-01-25,105.92,106.71,105.1,105.62,1186
2019-01-28,104.16,106.66,103.99,105.69,2580
2019-01-29,106.99,108.58,104.01,107.8,2634
2019-01-30,108.78,109.19,107.13,108.27,1314
2019-01-31,108.74,110.59,107.92,109.33,2859
2019-02-01,109.72,110.46,108.26,110.23,1941
2019-02-04,109.89,111.25,108.97,111.25,2471
2019-02-05,118.95,119.5,113.04,113.92,4936
2019-02-06,114.23,115.92,114.18,115.24,2148
2019-02-07,114.93,115.99,113.56,115.0,2241
2019-02-08,114.65,115.53,114.4,115.32,2505
2019-02-11,115.37,116.7,114.94,115.28,2955
2019-02-12,116.37,117.09,115.66,115.96,4611
2019-02-13,116.55,117.87,116.55,116.89,3563
2019-02-14,116.45,117.6,115.78,115.85,3593
2019-02-15,116.89,118.72,116.29,118.61,2145
2019-02-19,118.39,119.55,118.16,118.68,2866
2019-02-20,118.84,120.59,118.41,119.79,2527
2019-02-21,119.4,120.16,118.72,119.24,1803
2019-02-22,119.87,120.89,119.01,120.19,1525
2019-02-25,121.05,121.88,120.4,120.64,1490
2019-02-26,120.01,120.79,118.99,119.03,1482
2019-02-27,118.21,118.92,117.51,118.61,1720
2019-02-28,118.23,118.75,117.31,118.05,1179
2019-03-01,119.13,119.13,116.9,118.1,1681
2019-03-04,118.79,119.44,116.93,117.14,1517
2019-03-05,116.93,118.82,116.23,118.18,2663
2019-03-06,118.45,119.99,118.25,118.96,2393
2019-03-07,118.96,119.99,117.29,119.55,2932
2019-03-08,118.05,118.74,116.96,117.8,1770
2019-03-11,117.63,119.21,116.82,118.98,1383
2019-03-12,119.48,119.6,118.0,118.72,1314
2019-03-13,119.27,121.55,118.57,121.33,3272
2019-03-14,120.81,121.67,120.17,121.2,2969
2019-03-15,122.52,123.73,121.78,123.7,4902
2019-03-18,123.44,124.0,122.23,123.26,3766
2019-03-19,123.69,124.04,120.86,121.17,2671
2019-03-20,120.71,120.71,117.71,118.65,2494
2019-03-21,118.0,120.6,117.78,119.61,1500
2019-03-22,119.23,119.23,114.33,114.91,3509
2019-03-25,114.63,115.77,114.2,115.1,2179
2019-03-26,116.31,117.17,115.02,115.77,1450
2019-03-27,116.03,116.2,115.03,116.01,1029
2019-03-28,116.08,117.53,115.05,117.22,1698
2019-03-29,118.32,118.79,117.2,117.98,1505
2019-04-01,119.45,120.58,119.17,119.46,2329
2019-04-02,119.54,120.25,118.06,120.17,2926
2019-04-03,121.27,122.78,121.03,121.67,2362
2019-04-04,121.98,123.0,121.74,122.95,1321
2019-04-05,123.34,125.36,123.0,125.04,1700
2019-04-08,124.72,126.41,124.11,126.02,1979
2019-04-09,125.54,125.54,124.13,124.25,1450
2019-04-10,124.69,125.03,122.89,123.48,1749
