date,open,high,low,close,volume
2019-12-31,5.5767,5.63,5.4201,5.4286,42
2020-01-02,5.5967,5.65,5.5381,5.5381,11
2020-01-03,5.5935,5.63,5.5462,5.63,17
2020-01-06,5.8171,5.8299,5.79,5.8299,25
2020-01-07,7.7457,10.9259,7.7457,10.8586,265
2020-01-08,11.3669,11.3669,8.25,9.0912,137
2020-01-09,10.44,10.44,7.35,7.58,408
2020-01-10,8.2,8.2,6.99,6.99,81
2020-01-13,6.68,7.06,5.95,6.21,259
2020-01-14,6.04,7.0,5.52,5.79,98
2020-01-15,5.68,6.29,5.59,6.08,131
2020-01-16,5.8,6.19,5.8,6.06,63
2020-01-17,6.15,6.78,6.1,6.665,122
2020-01-21,7.89,8.0,6.99,7.05,281
2020-01-22,7.5,7.5,6.74,6.98,123
2020-01-23,7.11,7.11,6.63,6.69,133
2020-01-24,6.63,6.83,6.39,6.425,73
2020-01-27,6.29,6.29,5.51,5.8,59
2020-01-28,5.85,6.5,5.85,6.37,22
2020-01-29,6.22,6.29,6.2,6.235,42
2020-01-30,6.3,6.3,6.1,6.26,10
2020-01-31,6.38,6.38,6.13,6.29,35
2020-02-03,6.01,6.21,5.86,6.01,49
2020-02-04,5.88,6.05,5.88,6.045,19
2020-02-05,6.0,6.06,5.84,6.06,14
2020-02-06,6.0,6.0,5.76,5.915,23
2020-02-07,5.9,5.9,5.76,5.9,43
2020-02-10,5.85,5.85,5.63,5.65,17
2020-02-11,5.6,5.76,5.6,5.755,12
2020-02-12,5.73,5.73,5.7,5.7,17
2020-02-13,5.65,5.66,5.41,5.47,38
2020-02-14,5.81,5.84,5.6,5.8,15
2020-02-18,5.64,5.95,5.64,5.92,17
2020-02-19,6.09,6.09,6.0,6.0,5
2020-02-20,6.04,6.04,5.92,5.98,55
2020-02-21,6.0,6.1,5.95,5.95,83
2020-02-24,5.95,5.99,5.75,5.83,150
2020-02-25,5.61,5.61,5.23,5.57,95
2020-02-26,5.55,5.55,5.35,5.35,43
2020-02-27,5.16,5.16,4.75,5.05,48
2020-02-28,4.84,4.84,3.8,4.13,176
2020-03-02,4.33,4.49,4.13,4.49,16
2020-03-03,4.5,4.64,4.37,4.635,19
2020-03-04,4.84,5.35,4.84,5.18,13
2020-03-05,5.29,5.29,4.57,4.82,52
2020-03-06,4.92,4.92,4.18,4.295,72
2020-03-09,5.49,5.49,3.92,4.12,82
2020-03-10,4.41,4.42,4.25,4.25,42
2020-03-11,4.25,4.25,3.85,3.9,43
2020-03-12,3.56,3.56,3.3,3.41,52
2020-03-13,3.47,3.47,3.32,3.33,14
2020-03-16,5.5,5.5,2.79,2.79,77
2020-03-17,3.05,3.05,2.82,2.82,52
2020-03-18,2.92,2.92,2.39,2.66,57
2020-03-19,2.48,2.78,2.48,2.55,32
2020-03-20,2.58,2.77,2.58,2.67,59
2020-03-23,2.77,2.8,2.55,2.575,85
2020-03-24,2.47,2.97,2.47,2.97,162
2020-03-25,3.0,3.23,2.76,3.01,418
2020-03-26,3.05,4.34,3.05,3.615,633
2020-03-27,3.79,3.97,3.5,3.5,234
2020-03-30,3.45,3.71,3.3,3.5,63
2020-03-31,3.66,3.79,3.5,3.79,233
2020-04-01,3.41,3.56,3.41,3.55,17
2020-04-02,3.38,3.8,3.32,3.77,204
2020-04-03,3.76,3.76,2.75,3.06,715
2020-04-06,3.37,3.44,3.23,3.37,218
2020-04-07,3.54,3.54,3.35,3.445,87
2020-04-08,3.53,3.57,3.23,3.42,241
2020-04-09,3.59,3.74,3.25,3.415,196
2020-04-13,3.51,3.56,3.3,3.38,156
2020-04-14,3.4,3.55,3.4,3.55,13
2020-04-15,3.55,3.57,2.99,3.25,208
2020-04-16,3.37,3.38,2.99,2.99,121
2020-04-17,3.32,3.32,3.06,3.3,144
2020-04-20,3.35,3.54,3.24,3.33,565
2020-04-21,3.4,3.4,3.25,3.26,38
2020-04-22,3.42,3.42,3.08,3.205,205
2020-04-23,3.35,3.35,3.2,3.265,75
2020-04-24,3.37,3.37,3.13,3.29,111
2020-04-27,3.4,3.4,3.14,3.29,44
2020-04-28,3.29,3.34,3.18,3.24,103
2020-04-29,3.17,3.33,3.17,3.17,71
2020-04-30,3.19,3.26,3.1,3.26,24
2020-05-01,3.3,3.3,3.15,3.27,29
2020-05-04,3.32,3.32,3.18,3.25,12
2020-05-05,3.28,3.28,3.14,3.14,21
2020-05-06,3.16,3.24,3.16,3.235,11
2020-05-07,3.31,3.31,3.04,3.185,82
2020-05-08,3.18,3.21,2.87,2.93,120
2020-05-11,3.0,3.15,2.9,2.9,36
2020-05-12,2.79,2.91,2.7,2.85,63
2020-05-13,2.85,2.85,2.62,2.66,25
2020-05-14,2.55,2.74,2.55,2.58,74
2020-05-15,2.65,2.97,2.64,2.965,29
2020-05-18,3.33,3.36,3.15,3.35,57
2020-05-19,3.39,3.39,3.07,3.085,114
2020-05-20,3.1,3.14,3.03,3.11,103
2020-05-21,3.16,3.16,2.9,2.9,120
2020-05-22,3.02,3.17,2.9,2.98,96
2020-05-26,3.11,3.27,3.0,3.19,316
2020-05-27,3.33,3.33,3.01,3.15,161
2020-05-28,3.26,3.4,2.94,2.96,139
2020-05-29,3.18,3.18,2.93,2.97,38
2020-06-01,3.06,3.11,2.9,3.03,82
2020-06-02,3.04,3.2,2.92,3.1,56
2020-06-03,11.93,14.0,7.05,7.39,117602
2020-06-04,6.91,7.2,5.19,5.25,14740
2020-06-05,5.77,5.91,5.15,5.44,4003
2020-06-08,5.5,5.53,4.99,5.04,2970
2020-06-09,4.8,4.99,4.53,4.65,1845
2020-06-10,4.55,4.95,4.55,4.8,1429
2020-06-11,4.91,5.1,4.28,4.4,2027
2020-06-12,4.3,4.48,4.13,4.2,1468
2020-06-15,4.2,4.3,4.05,4.22,892
2020-06-16,4.37,4.58,4.21,4.34,791
2020-06-17,4.29,4.42,4.17,4.3,870
2020-06-18,4.21,4.39,4.19,4.26,665
2020-06-19,4.21,4.36,4.17,4.22,493
2020-06-22,4.85,4.85,4.31,4.43,4815
2020-06-23,4.52,4.52,4.08,4.09,3452
2020-06-24,4.09,4.24,3.82,3.98,1649
2020-06-25,3.99,4.04,3.76,3.88,590
2020-06-26,3.8,3.94,3.75,3.87,406
2020-06-29,3.85,3.96,3.75,3.95,619
2020-06-30,4.1,4.1,3.75,3.83,603
2020-07-01,3.86,4.11,3.82,3.9,1634
2020-07-02,4.0,4.03,3.75,3.76,1072
2020-07-06,3.8,3.89,3.63,3.66,507
2020-07-07,3.66,4.0,3.66,3.88,1403
2020-07-08,3.94,3.95,3.74,3.9,378
2020-07-09,3.95,3.95,3.75,3.79,476
2020-07-10,3.85,3.9,3.73,3.8,530
2020-07-13,3.8,3.83,3.61,3.62,549
2020-07-14,3.64,3.86,3.62,3.68,452
2020-07-15,3.75,3.77,3.65,3.72,355
2020-07-16,3.8,3.9,3.69,3.87,503
2020-07-17,3.91,3.95,3.81,3.91,370
2020-07-20,3.91,3.94,3.81,3.92,511
2020-07-21,3.95,4.06,3.86,4.0,674
2020-07-22,3.95,3.98,3.79,3.91,672
2020-07-23,3.84,3.94,3.75,3.76,380
2020-07-24,3.8,3.81,3.69,3.77,1343
2020-07-27,3.8,3.89,3.73,3.77,417
2020-07-28,3.74,3.85,3.56,3.77,349
2020-07-29,3.73,3.9,3.72,3.74,393
2020-07-30,5.72,6.87,4.12,4.26,157784
2020-07-31,3.97,4.05,3.57,3.63,8209
2020-08-03,3.61,3.61,3.22,3.33,3985
2020-08-04,3.48,3.57,3.16,3.22,4812
2020-08-05,3.17,3.21,3.07,3.13,4268
2020-08-06,3.17,3.19,2.95,3.02,4522
2020-08-07,3.1,3.15,2.93,3.09,2388
2020-08-10,3.09,3.1,2.93,3.03,2479
2020-08-11,3.08,3.08,2.87,2.98,2729
2020-08-12,2.97,2.97,2.85,2.86,1361
2020-08-13,2.86,2.96,2.79,2.9,1104
2020-08-14,2.91,2.94,2.84,2.89,636
2020-08-17,2.92,2.94,2.84,2.89,913
2020-08-18,2.94,2.98,2.8,2.81,2317
2020-08-19,2.8,2.9,2.73,2.76,2199
2020-08-20,2.77,3.42,2.74,3.05,58609
2020-08-21,3.04,3.06,2.81,2.98,8619
2020-08-24,2.95,2.98,2.82,2.89,7434
2020-08-25,2.98,2.98,2.76,2.83,3163
2020-08-26,2.8,2.92,2.69,2.84,5056
2020-08-27,2.87,3.16,2.8,3.05,12724
2020-08-28,3.04,3.25,3.0,3.24,4483
2020-08-31,3.44,3.53,2.93,3.18,22580
2020-09-01,3.02,3.09,2.94,2.97,3273
2020-09-02,2.9,2.99,2.76,2.85,3427
2020-09-03,2.82,2.9,2.78,2.84,1316
2020-09-04,2.77,2.83,2.52,2.75,1557
2020-09-08,2.72,2.74,2.59,2.62,856
2020-09-09,2.63,2.63,2.56,2.63,1075
2020-09-10,2.56,2.64,2.56,2.64,479
2020-09-11,2.64,2.84,2.64,2.82,2285
2020-09-14,2.88,2.88,2.66,2.81,845
2020-09-15,2.8,2.84,2.71,2.84,649
2020-09-16,2.89,2.91,2.79,2.8,871
2020-09-17,2.83,2.87,2.74,2.83,542
2020-09-18,2.83,2.83,2.75,2.78,615
2020-09-21,2.7,2.77,2.61,2.63,577
2020-09-22,2.64,2.75,2.64,2.73,382
2020-09-23,2.75,2.75,2.63,2.65,333
