date,open,high,low,close,volume
2018-12-10,306.99,308.54,297.0,307.32,7881
2018-12-11,310.96,313.02,303.6,306.07,5187
2018-12-12,307.11,315.05,307.11,310.52,4632
2018-12-13,312.6,318.76,311.34,312.5,6312
2018-12-14,309.81,309.81,298.28,299.93,6819
2018-12-17,294.61,305.21,294.08,303.22,11832
2018-12-18,305.07,306.72,289.17,292.02,9487
2018-12-19,291.92,292.23,281.05,283.29,8939
2018-12-20,284.25,284.42,275.58,278.09,10116
2018-12-21,275.02,284.91,274.64,274.64,10438
2018-12-24,273.61,276.82,271.01,273.36,3452
2018-12-26,273.85,282.92,272.11,282.61,4450
2018-12-27,280.21,284.63,273.93,284.43,4099
2018-12-28,286.24,287.48,280.65,282.28,4306
2018-12-31,282.94,287.16,281.97,286.48,3578
2019-01-02,283.31,283.86,277.23,281.59,5357
2019-01-03,281.4,283.02,269.18,269.7,8480
2019-01-04,272.31,279.72,271.07,276.62,8160
2019-01-07,277.0,279.88,274.53,276.58,5138
2019-01-08,278.71,280.3,271.21,274.93,9390
2019-01-09,276.02,281.29,275.44,276.25,4502
2019-01-10,275.11,276.18,271.91,275.02,5506
2019-01-11,276.5,284.77,275.2,283.47,7041
2019-01-14,280.7,284.08,280.43,282.08,4101
2019-01-15,284.0,289.63,284.0,288.61,5856
2019-01-16,289.89,293.5,287.86,293.3,7184
2019-01-17,291.76,293.89,290.57,291.02,7993
2019-01-18,293.0,296.89,292.78,295.56,4931
2019-01-22,294.31,298.92,293.84,298.78,7531
2019-01-23,299.43,299.98,292.61,299.28,8422
2019-01-24,299.05,302.9,296.73,300.53,5116
2019-01-25,302.99,303.99,298.95,300.68,3923
2019-01-28,299.73,302.19,295.75,301.63,3566
2019-01-29,302.36,302.36,297.71,300.82,4009
2019-01-30,304.5,308.16,303.22,306.39,5223
2019-01-31,306.38,309.41,304.48,308.99,5483
2019-02-01,306.2,309.65,299.8,306.3,7574
2019-02-04,306.28,308.98,301.89,305.96,5080
2019-02-05,307.0,308.46,303.12,303.41,6342
2019-02-06,298.29,304.0,291.61,301.77,7882
2019-02-07,300.57,305.43,299.98,303.97,6119
2019-02-08,303.65,303.84,297.66,298.89,4212
2019-02-11,299.67,301.0,293.58,293.76,8270
2019-02-12,295.76,297.37,290.71,296.33,9470
2019-02-13,296.99,300.71,295.51,299.35,7337
2019-02-14,298.35,302.81,295.69,301.56,7116
2019-02-15,304.73,311.21,303.22,310.3,6125
2019-02-19,310.49,312.0,305.15,305.4,6819
2019-02-20,304.44,310.03,304.44,308.88,4125
2019-02-21,309.15,311.31,305.73,307.56,3505
2019-02-22,307.74,311.3,306.28,309.68,3676
2019-02-25,310.88,311.37,304.56,304.87,6985
2019-02-26,303.89,304.76,302.13,302.35,5116
2019-02-27,300.73,302.27,286.66,287.97,11169
2019-02-28,288.0,292.21,281.78,285.04,9541
2019-03-01,286.77,291.14,285.26,291.02,7325
2019-03-04,291.18,292.17,275.76,277.66,7430
2019-03-05,277.66,279.88,273.1,277.23,11350
2019-03-06,277.05,277.05,269.82,272.1,5743
2019-03-07,273.56,275.35,266.02,268.44,8253
2019-03-08,267.32,271.45,265.49,268.27,4922
2019-03-11,268.6,273.56,266.32,273.1,5902
2019-03-12,273.77,275.29,269.64,274.45,6451
2019-03-13,275.84,284.55,275.79,283.03,11774
2019-03-14,282.86,284.32,279.18,279.82,3733
2019-03-15,280.21,283.54,279.0,280.14,8014
2019-03-18,280.77,282.6,278.95,282.17,5121
2019-03-19,283.59,290.01,279.81,286.66,5595
2019-03-20,285.62,285.62,274.75,275.31,7849
2019-03-21,273.92,277.6,273.62,276.76,2915
2019-03-22,276.72,276.72,271.52,272.6,4601
2019-03-25,272.5,272.5,265.01,270.16,6975
2019-03-26,271.18,272.86,260.22,262.91,11805
2019-03-27,263.23,267.97,259.13,262.89,9010
2019-03-28,263.17,263.77,259.85,262.61,6404
2019-03-29,264.75,266.51,261.42,266.0,6869
2019-04-01,268.29,268.88,264.08,268.33,5976
2019-04-02,270.01,270.91,261.74,262.32,7590
2019-04-03,263.97,264.98,258.04,263.76,11863
2019-04-04,264.72,271.9,263.41,271.37,8325
2019-04-05,270.39,276.74,268.8,276.48,7602
2019-04-08,276.06,278.65,271.97,273.56,6469
2019-04-09,272.47,275.18,269.09,274.63,6222
2019-04-10,274.94,275.28,266.22,266.5,8142
2019-04-11,267.55,268.58,255.37,260.74,15263
2019-04-12,261.53,262.23,251.68,253.31,13752
2019-04-15,254.63,254.84,251.06,254.0,18431
2019-04-16,256.42,257.53,233.0,235.1,35186
2019-04-17,236.51,237.18,225.65,232.89,29470
2019-04-18,233.78,242.62,233.73,240.69,14565
2019-04-22,241.45,247.75,241.31,242.6,10451
2019-04-23,243.06,248.67,239.59,248.45,14350
2019-04-24,248.81,251.11,246.85,249.89,7964
2019-04-25,249.27,253.16,247.61,251.86,9075
2019-04-26,251.96,259.25,251.9,258.0,8975
2019-04-29,258.01,259.18,255.38,256.84,6480
2019-04-30,256.89,258.0,249.0,255.41,9389
2019-05-01,250.09,254.0,242.01,246.16,19507
2019-05-02,247.13,248.75,240.34,247.38,12767
2019-05-03,247.8,250.95,246.05,249.5,9410
2019-05-06,245.98,253.76,245.05,249.65,15319
2019-05-07,248.38,249.36,242.72,245.28,8679
2019-05-08,244.05,249.66,241.8,247.78,6693
2019-05-09,245.3,246.13,242.19,243.89,8055
2019-05-10,244.21,245.58,238.74,244.06,6631
2019-05-13,239.74,242.17,235.62,235.68,8469
2019-05-14,236.07,237.81,233.75,235.11,10274
2019-05-15,234.79,244.64,233.0,243.68,9981
2019-05-16,244.33,245.62,241.31,242.22,8208
2019-05-17,241.77,249.5,240.51,247.82,9951
2019-05-20,247.12,251.14,246.22,250.03,10331
2019-05-21,250.83,257.51,250.61,256.76,9485
2019-05-22,255.6,261.31,255.5,260.73,16334
2019-05-23,259.0,260.1,255.6,259.5,13332
2019-05-24,259.77,264.93,259.77,263.33,17625
2019-05-28,262.8,264.32,252.01,252.05,7198
2019-05-29,250.56,251.77,248.0,251.04,6661
2019-05-30,251.26,251.85,245.35,247.86,4935
2019-05-31,245.7,247.73,241.19,244.86,9874
2019-06-03,254.9,259.31,247.21,250.32,17457
2019-06-04,250.92,254.04,247.02,252.83,12484
2019-06-05,253.62,255.17,250.54,251.93,9145
2019-06-06,252.45,252.59,246.45,246.85,7391
2019-06-07,248.09,250.19,246.27,248.87,5621
2019-06-10,249.32,251.67,247.41,249.67,4398
2019-06-11,249.47,256.53,242.76,243.21,8493
2019-06-12,243.39,246.17,242.89,246.08,12627
2019-06-13,245.73,255.05,245.28,254.73,9021
2019-06-14,255.15,255.66,250.25,251.83,4421
2019-06-17,251.56,255.54,250.81,254.77,3747
2019-06-18,256.1,259.32,254.55,257.96,5728
2019-06-19,257.7,259.23,255.87,256.79,4554
2019-06-20,258.41,260.1,254.49,258.83,6940
2019-06-21,259.95,271.88,258.9,270.21,15898
2019-06-24,271.01,271.01,265.03,267.28,8304
2019-06-25,268.21,268.89,260.78,261.84,8059
2019-06-26,261.62,263.7,258.02,261.95,7521
2019-06-27,261.98,268.81,261.45,264.6,6825
2019-06-28,265.44,266.42,260.0,265.3,10055
2019-07-01,266.82,266.82,260.49,261.14,6256
2019-07-02,260.9,260.9,254.54,259.43,7972
2019-07-03,259.95,264.48,259.89,262.51,2798
2019-07-05,261.99,267.44,261.38,264.65,3521
2019-07-08,263.87,264.67,259.69,264.15,3948
2019-07-09,262.51,265.58,259.18,260.14,5761
2019-07-10,260.68,268.34,260.52,267.91,7084
2019-07-11,280.74,284.22,276.39,280.19,16603
2019-07-12,281.15,291.39,280.8,291.25,16048
2019-07-15,290.91,290.91,284.01,285.32,6439
2019-07-16,286.09,287.65,282.65,284.3,5221
2019-07-17,283.09,285.41,281.78,281.98,4012
2019-07-18,279.28,286.65,276.7,283.33,4833
2019-07-19,283.68,284.01,278.28,281.67,4444
2019-07-22,282.71,283.65,278.83,282.19,5675
2019-07-23,281.63,283.32,277.99,281.67,4481
2019-07-24,281.49,281.49,271.57,276.09,10643
2019-07-25,276.08,278.09,273.16,274.44,4228
2019-07-26,275.69,278.4,273.31,276.87,5714
2019-07-29,277.0,283.38,276.93,281.02,4326
2019-07-30,279.06,284.52,274.43,284.52,6320
2019-07-31,301.02,302.44,290.82,296.75,18293
2019-08-01,298.5,301.82,295.6,298.19,9655
2019-08-02,297.01,300.44,293.1,293.93,9933
2019-08-05,291.33,291.33,282.51,286.68,9710
2019-08-06,288.15,292.73,286.08,292.25,6132
2019-08-07,288.14,294.79,284.57,293.89,5360
2019-08-08,294.58,296.61,291.04,295.25,2778
2019-08-09,295.9,299.77,294.19,297.78,4699
2019-08-12,300.0,300.0,294.2,294.705,8631
