date,open,high,low,close,volume
2018-12-10,14.5,15.39,14.47,15.28,19668
2018-12-11,15.4,16.31,15.3,16.15,27676
2018-12-12,16.41,17.33,16.4,16.75,22904
2018-12-13,17.05,18.18,16.83,18.11,30456
2018-12-14,17.53,18.5,17.21,18.3,27714
2018-12-17,18.3,18.34,16.2,16.4,20080
2018-12-18,16.41,17.19,15.69,16.05,24718
2018-12-19,15.79,16.57,15.53,15.8,20090
2018-12-20,15.6,16.46,15.6,16.16,15962
2018-12-21,16.6,17.11,15.23,15.58,24921
2018-12-24,15.48,15.7,14.93,15.55,8904
2018-12-26,15.64,16.25,15.09,16.22,13654
2018-12-27,15.71,16.46,15.42,15.93,15021
2018-12-28,15.84,16.03,15.25,15.47,10709
2018-12-31,15.71,15.94,15.18,15.48,13763
2019-01-02,15.17,16.08,15.12,15.77,10965
2019-01-03,15.53,16.29,15.42,15.67,9318
2019-01-04,16.16,17.64,16.12,17.11,25673
2019-01-07,17.4,18.71,17.11,18.5,20217
2019-01-08,18.7,20.0,17.25,18.14,41524
2019-01-09,18.32,20.2,18.14,19.45,36505
2019-01-10,19.18,20.38,19.05,19.96,25442
2019-01-11,19.84,20.9,19.62,20.2,22477
2019-01-14,19.77,19.84,18.26,18.61,23186
2019-01-15,19.12,19.25,18.75,19.07,11340
2019-01-16,19.0,19.62,18.75,19.05,8672
2019-01-17,18.78,19.98,18.75,19.71,8962
2019-01-18,19.98,20.75,19.77,20.31,16937
2019-01-22,20.15,20.29,19.2,19.88,17638
2019-01-23,20.0,20.6,19.8,19.95,13563
2019-01-24,20.25,20.43,19.86,20.08,16002
2019-01-25,20.56,22.53,20.22,22.37,44951
2019-01-28,21.3,21.38,20.5,20.95,33293
2019-01-29,20.43,20.6,19.18,20.09,30208
2019-01-30,20.2,20.8,19.76,19.89,17567
2019-01-31,20.0,21.14,19.9,20.98,24834
2019-02-01,20.7,21.43,19.52,19.67,29062
2019-02-04,19.87,20.09,19.62,19.74,15033
2019-02-05,19.94,20.25,19.81,20.0,11541
2019-02-06,20.12,20.2,19.42,19.43,13224
2019-02-07,19.26,19.55,18.45,18.84,18407
2019-02-08,18.48,19.48,18.3,19.2,13928
2019-02-11,19.44,19.83,19.22,19.36,10962
2019-02-12,19.52,20.47,19.52,20.0,19934
2019-02-13,20.2,20.35,19.32,19.38,21860
2019-02-14,19.23,19.84,19.02,19.8,13099
2019-02-15,19.7,19.87,19.34,19.44,10732
2019-02-19,19.34,20.19,19.3,20.05,24355
2019-02-20,20.17,22.04,20.16,22.0,50859
2019-02-21,22.0,22.36,21.01,21.26,28529
2019-02-22,21.87,24.7,21.8,23.75,58347
2019-02-25,25.87,26.06,24.71,24.87,56322
2019-02-26,24.41,26.12,24.25,25.47,29215
2019-02-27,25.86,26.2,24.86,25.79,21645
2019-02-28,25.86,26.18,25.0,25.84,19337
2019-03-01,26.36,26.5,24.76,25.21,32029
2019-03-04,25.5,25.63,23.68,24.56,55135
2019-03-05,25.47,30.0,24.01,29.96,202406
2019-03-06,29.26,29.44,26.1,27.32,120057
2019-03-07,26.85,26.9,25.1,25.22,79614
2019-03-08,23.73,24.48,22.7,24.14,70456
2019-03-11,24.52,25.74,24.43,25.46,38856
2019-03-12,25.59,26.28,24.88,26.1,34906
2019-03-13,25.5,26.45,24.96,25.1,27069
2019-03-14,24.6,24.77,24.08,24.47,29193
2019-03-15,24.75,27.12,24.59,26.71,58678
2019-03-18,27.0,28.05,27.0,27.83,35953
2019-03-19,28.05,28.44,27.01,28.02,30044
2019-03-20,27.36,27.94,26.41,27.73,25822
2019-03-21,27.17,28.29,27.05,27.99,14251
2019-03-22,27.13,27.5,25.0,25.03,50151
2019-03-25,24.7,26.06,24.53,25.87,29770
2019-03-26,26.12,26.35,25.3,25.81,18505
2019-03-27,25.72,26.19,25.06,26.11,13959
2019-03-28,25.95,27.03,25.65,26.96,16810
2019-03-29,27.44,28.86,27.42,28.13,39044
