date,open,high,low,close,volume
2018-12-10,35.54,35.71,33.97,34.58,1728
2018-12-11,35.38,35.38,33.2,33.49,1331
2018-12-12,34.19,35.63,34.0,34.81,978
2018-12-13,34.81,35.05,33.5,33.98,853
2018-12-14,33.68,34.31,32.58,32.76,1448
2018-12-17,32.54,33.93,32.54,32.82,1730
2018-12-18,33.28,34.03,32.73,33.72,1400
2018-12-19,33.77,34.85,32.61,32.74,809
2018-12-20,32.33,33.62,32.06,32.5,1260
2018-12-21,32.5,32.81,31.43,31.91,3044
2018-12-24,31.61,32.13,30.54,31.57,787
2018-12-26,31.64,33.43,31.1,33.36,901
2018-12-27,32.68,33.61,32.03,33.31,1432
2018-12-28,33.63,34.45,32.84,33.56,1089
2018-12-31,33.83,33.96,32.75,33.69,1348
2019-01-02,33.06,35.23,32.79,34.46,1265
2019-01-03,34.13,34.8,33.54,34.4,1572
2019-01-04,35.16,37.27,35.15,37.05,1588
2019-01-07,36.92,38.78,36.4,38.43,1749
2019-01-08,38.92,39.17,37.74,38.77,2042
2019-01-09,38.85,40.37,38.16,39.77,2340
2019-01-10,39.53,40.14,39.08,39.5,1594
2019-01-11,38.1,40.0,37.66,39.27,1087
2019-01-14,38.74,39.76,38.42,38.9,710
2019-01-15,37.34,38.82,36.93,38.64,780
2019-01-16,37.38,39.44,37.29,38.52,911
2019-01-17,38.2,39.2,38.2,39.07,690
2019-01-18,39.33,39.77,38.78,38.9,935
2019-01-22,38.59,38.9,37.59,38.06,2329
2019-01-23,38.3,38.81,37.37,38.46,948
2019-01-24,38.46,39.88,38.46,39.7,535
2019-01-25,40.08,41.14,39.38,39.69,1208
2019-01-28,39.28,40.91,39.28,39.99,519
2019-01-29,39.73,40.71,38.28,40.49,843
2019-01-30,40.6,40.79,39.12,40.6,719
2019-01-31,40.61,42.5,40.54,42.11,1268
2019-02-01,42.1,43.47,41.69,42.23,1257
2019-02-04,42.35,43.29,41.74,43.22,560
2019-02-05,43.21,43.68,43.01,43.63,633
2019-02-06,43.61,43.77,42.09,42.18,809
2019-02-07,41.91,42.3,41.32,42.12,1859
2019-02-08,41.82,42.67,41.75,41.84,924
2019-02-11,41.97,42.59,41.59,42.24,608
2019-02-12,42.58,45.03,42.58,44.82,857
2019-02-13,44.85,45.48,43.34,44.01,812
2019-02-14,43.74,44.43,43.49,43.98,832
2019-02-15,44.33,45.41,44.33,44.87,582
2019-02-19,44.57,45.86,44.57,45.28,686
2019-02-20,45.18,45.8,44.13,44.44,944
2019-02-21,44.43,46.22,44.13,46.03,1084
2019-02-22,46.15,46.85,45.7,46.53,1060
2019-02-25,46.76,47.19,45.38,45.78,625
2019-02-26,45.66,46.1,44.9,45.65,722
2019-02-27,45.41,45.92,43.88,45.46,758
2019-02-28,49.85,49.85,43.11,43.62,2366
2019-03-01,44.72,47.04,44.18,46.9,1258
2019-03-04,47.0,47.56,46.44,46.88,1316
2019-03-05,47.48,47.56,46.15,46.23,491
2019-03-06,46.36,47.21,45.47,45.65,1086
2019-03-07,46.87,47.64,46.11,46.54,2064
2019-03-08,46.05,47.03,45.74,46.41,1742
2019-03-11,46.41,46.41,44.69,45.0,2000
2019-03-12,45.09,45.32,44.39,44.67,1773
2019-03-13,44.74,45.9,44.12,44.17,1109
2019-03-14,44.05,44.36,42.92,43.22,1610
2019-03-15,43.37,44.97,43.37,44.34,1942
2019-03-18,44.48,44.67,43.5,44.01,795
2019-03-19,44.37,45.05,43.77,43.84,801
2019-03-20,43.78,44.55,42.71,43.53,779
2019-03-21,43.42,45.74,43.42,45.38,1166
2019-03-22,45.03,46.37,44.52,45.21,883
2019-03-25,45.01,47.49,45.01,46.81,1214
2019-03-26,47.08,47.08,45.56,46.84,871
2019-03-27,46.94,48.77,46.55,48.29,1496
2019-03-28,48.35,48.61,47.63,48.11,1106
2019-03-29,48.43,48.93,47.61,48.5,919
2019-04-01,48.65,49.05,47.17,48.49,964
2019-04-02,48.31,48.5,47.5,48.22,826
2019-04-03,48.6,49.54,48.28,49.21,739
2019-04-04,49.24,50.99,49.24,50.61,1080
2019-04-05,50.81,51.41,50.72,51.19,654
2019-04-08,51.12,51.88,50.82,51.61,467
2019-04-09,51.5,51.81,50.36,50.52,747
2019-04-10,50.84,52.46,50.84,52.05,970
2019-04-11,52.28,52.75,51.37,51.49,1098
2019-04-12,52.12,52.25,51.22,51.62,794
2019-04-15,51.83,52.04,51.03,51.54,487
2019-04-16,51.82,52.11,51.49,52.09,699
2019-04-17,52.28,52.54,51.71,52.15,755
2019-04-18,52.06,52.65,51.21,52.19,827
2019-04-22,52.08,52.36,49.94,50.2,1025
2019-04-23,50.4,51.33,50.08,50.75,8238
2019-04-24,51.0,52.31,50.63,51.11,2458
2019-04-25,50.78,50.78,47.69,47.75,1961
2019-04-26,47.81,48.46,47.37,47.6,2187
2019-04-29,47.75,48.32,47.47,47.5,1815
2019-04-30,47.4,48.82,47.4,48.03,1940
2019-05-01,48.22,49.96,47.8,48.43,2913
2019-05-02,47.76,53.25,46.83,53.12,2519
2019-05-03,53.63,55.35,53.13,54.95,1175
2019-05-06,54.41,56.59,54.03,54.74,1563
2019-05-07,54.75,55.68,54.01,54.86,1425
2019-05-08,54.73,54.9,52.92,53.05,936
2019-05-09,52.86,54.62,52.86,54.55,765
2019-05-10,54.61,55.47,54.09,55.23,989
2019-05-13,54.28,54.66,53.18,53.88,809
2019-05-14,53.89,55.4,53.67,55.13,1039
2019-05-15,54.51,55.89,54.25,55.72,1355
2019-05-16,53.93,55.31,53.01,55.12,1561
2019-05-17,54.62,55.38,54.15,54.45,694
2019-05-20,54.08,54.66,52.57,53.08,1337
2019-05-21,53.11,55.81,53.11,55.38,1303
2019-05-22,54.9,55.2,53.95,54.46,947
2019-05-23,54.26,55.09,53.58,53.9,740
2019-05-24,54.43,55.11,54.07,54.96,365
2019-05-28,55.08,55.19,52.8,53.14,881
2019-05-29,52.89,53.31,51.64,52.01,800
2019-05-30,52.09,52.68,51.24,52.13,620
2019-05-31,51.76,52.78,51.44,51.44,1099
2019-06-03,51.58,52.96,51.36,52.37,549
2019-06-04,52.95,53.48,52.02,53.32,673
2019-06-05,53.6,54.35,53.23,53.96,705
2019-06-06,53.94,54.52,52.51,53.2,412
2019-06-07,52.9,54.36,52.0,54.15,773
2019-06-10,54.44,55.85,54.3,54.58,870
2019-06-11,54.76,54.94,52.4,52.93,596
2019-06-12,52.92,53.92,52.71,53.13,604
2019-06-13,53.31,54.94,53.19,54.56,530
2019-06-14,54.41,55.2,53.98,54.1,434
