date,open,high,low,close,volume
2018-12-10,97.21,97.51,95.57,96.46,3006
2018-12-11,96.81,98.31,94.74,95.44,3299
2018-12-12,96.09,97.0,94.68,95.07,3985
2018-12-13,95.1,97.15,95.03,96.61,2513
2018-12-14,95.9,97.34,95.34,95.68,4441
2018-12-17,95.13,95.48,93.15,93.68,5042
2018-12-18,94.02,94.87,91.79,92.28,3747
2018-12-19,93.0,93.71,90.01,90.94,3733
2018-12-20,90.75,92.24,88.89,89.83,3113
2018-12-21,89.66,92.72,89.5,91.02,6868
2018-12-24,90.89,91.11,87.02,88.35,1873
2018-12-26,88.37,90.75,88.3,90.68,3607
2018-12-27,89.78,91.43,88.64,91.13,4062
2018-12-28,91.39,92.82,89.63,91.07,4087
2018-12-31,90.57,91.69,89.52,91.4,2933
2019-01-02,90.69,93.33,90.35,92.55,3853
2019-01-03,92.57,94.46,91.59,92.08,3582
2019-01-04,92.74,94.61,92.74,94.04,2647
2019-01-07,93.66,95.58,93.44,94.48,2474
2019-01-08,94.7,95.75,94.43,95.12,6890
2019-01-09,95.23,96.64,94.72,95.7,6421
2019-01-10,95.96,97.27,95.94,96.88,2203
2019-01-11,97.0,98.12,96.01,96.96,2690
2019-01-14,96.79,97.92,96.52,96.81,2717
2019-01-15,96.83,97.78,96.37,96.98,3439
2019-01-16,97.03,98.54,97.03,97.75,2521
2019-01-17,97.6,99.03,97.6,98.27,2879
2019-01-18,98.83,99.75,98.2,98.7,3562
2019-01-22,98.88,99.8,96.95,97.94,5286
2019-01-23,98.53,99.23,97.53,98.17,2504
2019-01-24,96.67,98.08,94.05,97.46,4448
2019-01-25,97.64,98.37,97.12,97.31,3093
2019-01-28,97.2,98.38,96.43,97.94,2898
2019-01-29,98.21,99.22,97.59,98.46,1928
2019-01-30,98.69,99.8,97.97,99.15,2690
2019-01-31,99.19,99.91,98.74,99.0,4447
2019-02-01,99.0,99.46,98.16,98.49,6745
2019-02-04,98.06,98.48,96.24,97.32,7351
2019-02-05,92.38,97.79,92.1,93.43,9067
2019-02-06,93.12,93.74,92.37,92.84,3930
2019-02-07,92.08,92.71,91.09,92.24,2838
2019-02-08,92.17,92.54,91.14,91.85,3316
2019-02-11,91.95,92.31,90.52,91.97,4299
2019-02-12,92.3,93.72,92.2,93.04,3063
2019-02-13,93.58,94.02,92.87,93.09,3670
2019-02-14,92.61,93.83,92.55,93.14,2639
2019-02-15,93.71,94.63,93.27,93.77,2472
2019-02-19,93.54,93.83,92.51,93.08,4289
2019-02-20,92.89,94.95,92.64,93.5,5069
2019-02-21,94.05,94.48,92.76,93.76,4445
2019-02-22,93.4,94.27,91.93,93.66,5591
2019-02-25,94.0,94.0,93.04,93.07,3243
2019-02-26,93.37,93.96,92.68,93.22,3886
2019-02-27,93.28,93.66,92.37,93.47,2955
2019-02-28,93.4,93.72,91.98,92.45,3094
2019-03-01,92.75,93.04,91.51,92.12,5812
2019-03-04,92.31,92.31,91.17,91.69,2892
2019-03-05,91.85,92.69,91.58,91.75,2260
2019-03-06,91.89,92.05,90.47,90.54,4385
2019-03-07,90.56,92.15,90.01,91.47,3772
2019-03-08,91.35,91.82,90.41,91.19,3389
2019-03-11,91.33,92.34,90.74,92.23,4231
2019-03-12,92.31,92.65,91.9,92.28,3339
2019-03-13,92.58,93.5,91.85,93.11,2761
2019-03-14,93.14,93.89,92.69,93.38,3233
2019-03-15,93.6,95.04,93.34,94.89,4042
2019-03-18,94.88,95.72,94.05,94.14,1937
2019-03-19,94.28,95.75,94.01,95.1,2292
2019-03-20,95.15,95.15,92.87,93.71,2659
2019-03-21,93.5,96.04,93.5,95.72,2058
2019-03-22,95.66,95.79,93.89,94.01,1506
2019-03-25,93.54,93.77,92.31,93.03,2151
2019-03-26,93.38,93.94,92.3,92.88,1635
2019-03-27,92.81,93.24,92.2,92.92,1728
2019-03-28,92.85,94.0,92.75,93.65,2457
2019-03-29,93.3,94.94,92.98,94.69,2530
2019-04-01,94.87,95.7,93.82,94.2,3096
2019-04-02,94.36,94.93,93.09,93.17,1858
2019-04-03,93.31,93.88,92.35,93.12,2851
2019-04-04,93.31,94.68,92.7,94.28,2370
2019-04-05,94.25,94.38,93.8,94.06,2071
2019-04-08,94.11,95.1,94.01,94.49,3512
2019-04-09,94.49,94.49,93.61,93.9,1278
2019-04-10,94.03,94.65,93.5,94.26,1860
2019-04-11,94.44,95.16,94.08,94.92,2009
2019-04-12,95.06,95.09,94.42,94.56,1592
2019-04-15,94.57,94.95,93.71,93.95,2003
2019-04-16,93.88,94.15,92.42,93.3,2582
2019-04-17,93.68,94.05,93.22,93.46,1445
2019-04-18,93.6,94.01,92.8,93.48,1329
2019-04-22,93.53,93.98,93.11,93.54,1856
2019-04-23,93.84,95.0,93.32,94.75,3455
2019-04-24,94.63,95.21,94.19,94.29,2634
2019-04-25,93.97,94.1,90.4,90.52,4519
2019-04-26,90.43,90.82,89.01,90.82,2183
2019-04-29,91.02,92.66,91.02,92.65,2311
2019-04-30,92.83,94.82,92.53,94.75,2865
2019-05-01,94.9,94.9,92.17,92.19,2868
2019-05-02,89.18,90.99,85.97,86.94,9325
2019-05-03,86.81,87.99,85.26,86.72,4216
2019-05-06,86.25,87.73,85.93,86.25,3662
2019-05-07,85.69,86.62,85.02,85.43,3643
2019-05-08,85.09,85.57,83.7,84.03,3367
2019-05-09,83.38,84.72,82.32,84.55,5454
2019-05-10,84.31,85.93,83.8,85.72,3167
2019-05-13,84.59,84.94,83.5,84.17,3364
2019-05-14,84.2,85.29,84.11,84.76,3118
2019-05-15,84.49,85.32,84.2,84.45,3838
2019-05-16,84.74,85.75,84.06,84.69,2576
2019-05-17,84.09,84.81,83.15,83.65,5715
2019-05-20,83.24,83.86,81.65,81.98,4071
2019-05-21,82.41,82.43,81.54,81.62,2381
2019-05-22,81.39,81.54,80.6,81.27,3086
2019-05-23,80.77,80.78,77.6,78.35,4280
2019-05-24,78.57,78.95,77.66,78.34,4336
2019-05-28,78.32,78.67,77.78,78.25,3636
2019-05-29,77.85,79.03,77.68,78.91,3933
2019-05-30,79.1,79.85,77.84,78.08,2326
2019-05-31,77.17,77.17,75.67,76.16,3752
2019-06-03,75.91,79.0,75.72,78.83,3442
2019-06-04,79.36,80.5,79.23,80.47,3426
2019-06-05,80.84,81.14,79.92,80.6,3435
2019-06-06,80.72,81.2,79.75,80.16,3640
2019-06-07,80.33,81.27,80.16,80.71,2621
2019-06-10,81.03,82.28,80.23,80.54,2054
2019-06-11,80.69,81.09,79.84,80.23,4111
2019-06-12,80.36,81.52,80.36,81.18,4725
2019-06-13,81.84,82.21,80.75,81.4,3479
2019-06-14,81.32,81.82,80.73,81.6,3289
2019-06-17,81.76,82.25,81.42,81.9,3532
2019-06-18,82.47,83.53,82.01,82.52,2751
2019-06-19,82.85,82.85,81.33,81.46,2227
2019-06-20,82.25,83.44,81.85,83.17,1923
2019-06-21,82.8,83.41,81.9,81.91,3947
2019-06-24,82.19,82.97,81.41,81.58,2834
2019-06-25,81.48,83.19,81.04,81.94,2454
2019-06-26,81.78,82.62,80.59,80.6,2917
2019-06-27,80.53,81.17,79.96,80.8,4127
2019-06-28,80.48,82.69,80.48,82.49,5472
2019-07-01,83.45,83.55,81.25,81.56,3365
2019-07-02,81.66,83.12,81.05,82.55,2437
2019-07-03,82.96,84.0,82.63,83.77,1464
2019-07-05,83.49,83.79,82.19,83.23,1599
2019-07-08,83.18,83.88,82.55,82.89,1113
2019-07-09,82.79,83.01,82.03,82.46,1976
2019-07-10,82.49,83.33,82.06,82.37,2092
2019-07-11,82.34,82.55,80.27,80.34,3734
2019-07-12,80.46,82.06,80.1,81.8,9737
2019-07-15,81.95,81.95,80.18,80.75,2340
2019-07-16,80.89,80.91,79.43,79.82,6585
2019-07-17,79.85,80.95,79.13,80.29,14282
2019-07-18,80.6,82.49,80.59,81.79,4027
2019-07-19,81.71,82.48,80.68,81.0,4241
2019-07-22,81.47,82.04,80.36,80.4,2584
2019-07-23,80.17,80.98,78.97,79.03,4634
2019-07-24,78.69,79.69,78.4,78.57,3556
2019-07-25,78.51,79.44,78.05,78.55,2300
2019-07-26,78.86,79.73,78.42,79.13,2766
2019-07-29,79.29,79.85,78.29,78.58,2955
2019-07-30,78.51,79.17,78.07,78.81,8406
2019-07-31,79.11,79.11,76.92,77.29,9063
2019-08-01,80.54,85.01,80.3,80.86,10629
2019-08-02,80.17,80.18,77.9,78.53,3906
2019-08-05,77.35,77.96,75.95,76.64,3069
2019-08-06,76.85,77.38,76.04,76.88,4997
2019-08-07,76.32,77.59,75.1,77.03,3783
2019-08-08,77.14,77.72,76.75,77.48,2389
2019-08-09,77.38,77.38,76.1,76.24,1561
2019-08-12,75.7,76.08,74.94,75.81,2371
2019-08-13,75.38,77.59,75.38,76.12,3306
2019-08-14,75.34,76.08,74.69,74.75,2807
2019-08-15,75.13,75.45,74.37,75.21,3557
2019-08-16,75.51,76.65,75.46,75.9,2007
2019-08-19,76.48,76.8,75.75,76.65,3425
2019-08-20,76.35,76.9,75.88,76.48,3334
2019-08-21,76.96,77.13,76.1,76.6,3147
2019-08-22,76.76,77.9,76.6,77.25,2513
2019-08-23,76.96,76.98,75.81,75.98,4114
2019-08-26,76.45,77.2,76.45,76.91,2762
2019-08-27,76.96,76.98,73.0,73.25,5316
2019-08-28,73.19,75.17,73.19,74.7,2171
2019-08-29,75.12,76.48,74.68,75.89,2686
2019-08-30,76.26,77.65,76.19,77.27,2041
2019-09-03,77.1,78.28,75.85,78.23,3727
2019-09-04,78.54,79.59,78.31,78.74,3161
2019-09-05,79.23,80.92,79.15,79.47,3348
2019-09-06,79.74,80.2,78.98,79.17,3247
2019-09-09,79.21,80.56,79.0,80.38,2192
2019-09-10,80.36,81.39,79.83,81.32,2398
2019-09-11,81.19,82.03,80.09,82.03,3157
2019-09-12,82.35,82.9,81.55,82.74,3321
2019-09-13,83.0,84.1,82.39,83.6,2907
2019-09-16,83.38,84.46,82.9,83.27,3030
2019-09-17,83.16,83.45,81.59,82.71,2569
2019-09-18,82.91,83.27,82.28,82.83,3831
2019-09-19,82.72,83.31,82.55,82.85,6821
2019-09-20,82.98,83.97,81.99,82.06,6508
2019-09-23,81.99,82.26,80.33,80.47,3754
2019-09-24,80.68,81.27,79.21,79.31,2155
2019-09-25,79.38,80.91,79.38,80.2,1787
2019-09-26,80.26,80.98,80.25,80.36,1881
2019-09-27,80.3,80.56,79.41,80.49,2405
2019-09-30,80.09,81.97,79.85,81.74,2322
2019-10-01,82.14,82.82,80.58,80.65,2153
2019-10-02,80.38,80.43,78.13,78.59,2313
2019-10-03,78.22,78.51,77.11,78.19,1819
2019-10-04,78.21,78.71,77.26,78.7,2077
2019-10-07,78.16,78.89,77.7,78.34,1576
2019-10-08,78.48,78.59,77.29,78.08,2590
2019-10-09,78.39,78.82,78.08,78.14,2035
2019-10-10,78.08,79.19,78.08,78.85,1076
2019-10-11,79.62,80.86,79.62,80.47,1023
2019-10-14,80.21,80.67,79.36,80.2,3490
2019-10-15,80.49,81.78,80.4,81.09,2440
2019-10-16,81.05,81.56,79.67,79.95,1772
2019-10-17,80.02,80.92,79.5,80.83,1574
2019-10-18,80.65,81.1,79.77,79.82,2006
2019-10-21,80.47,81.3,80.35,81.14,1099
2019-10-22,81.17,81.17,79.55,80.13,3018
2019-10-23,80.32,80.48,79.44,79.62,2408
2019-10-24,79.81,80.52,78.89,79.21,1883
2019-10-25,79.05,80.11,79.05,80.05,2216
2019-10-28,80.37,81.32,80.21,80.53,1547
2019-10-29,80.51,81.67,80.42,81.35,1557
2019-10-30,81.38,81.38,79.15,79.15,1899
2019-10-31,79.23,80.25,77.52,79.0,2911
2019-11-01,79.33,83.4,79.13,82.19,9272
2019-11-04,82.22,82.36,81.07,81.83,2924
2019-11-05,81.88,84.35,81.88,83.69,3094
2019-11-06,83.97,84.88,83.38,83.91,2152
2019-11-07,84.18,84.61,83.76,84.39,1852
2019-11-08,84.2,84.65,83.6,84.62,1806
2019-11-11,84.3,85.11,84.21,84.66,2188
2019-11-12,85.0,85.91,84.65,84.9,4148
2019-11-13,84.5,84.6,82.85,83.07,2658
2019-11-14,83.26,84.13,82.51,83.32,1554
2019-11-15,83.44,84.29,83.17,83.84,3261
2019-11-18,84.07,84.07,82.28,82.9,2819
2019-11-19,82.92,83.78,82.38,83.66,2116
2019-11-20,83.59,84.55,83.16,83.64,1723
2019-11-21,83.64,84.29,83.26,83.93,1861
2019-11-22,84.15,84.19,82.97,83.0,1488
2019-11-25,83.24,83.83,82.55,83.63,1760
2019-11-26,83.36,85.19,83.23,84.8,3835
2019-11-27,85.03,85.66,84.8,85.18,2488
2019-11-29,84.86,85.0,83.1,83.17,1364
2019-12-02,83.34,83.98,82.92,83.89,1927
2019-12-03,83.24,83.52,82.4,83.31,1939
2019-12-04,83.26,84.49,82.51,84.0,1609
2019-12-05,84.46,85.58,83.91,84.76,2867
2019-12-06,85.5,86.35,84.75,86.06,2121
2019-12-09,86.12,86.64,85.57,86.38,2023
2019-12-10,86.38,86.83,85.62,86.82,2359
2019-12-11,87.04,87.97,86.46,87.8,5502
2019-12-12,88.0,89.82,87.66,89.65,6050
2019-12-13,89.73,89.73,87.53,87.69,3171
2019-12-16,87.89,90.6,87.89,90.44,6000
2019-12-17,90.09,90.39,88.82,89.43,3663
2019-12-18,89.61,90.08,88.68,89.98,2981
2019-12-19,90.01,90.72,89.32,90.65,2372
2019-12-20,90.98,91.84,90.23,91.48,5042
2019-12-23,91.56,92.18,90.75,92.09,2582
2019-12-24,92.25,92.99,91.41,92.55,2189
2019-12-26,92.62,93.52,92.2,93.5,5200
2019-12-27,93.72,94.25,92.99,94.15,4469
2019-12-30,94.2,94.41,93.09,93.27,4712
2019-12-31,92.28,93.36,92.19,92.95,1329
2020-01-02,93.92,94.3,92.29,92.95,3765
2020-01-03,92.4,94.18,92.22,93.7,2347
2020-01-06,93.36,93.85,92.56,92.92,2774
2020-01-07,93.18,93.18,91.47,91.72,2643
2020-01-08,91.65,92.03,90.63,91.31,2739
2020-01-09,91.42,91.85,89.94,90.77,3277
2020-01-10,90.87,91.64,90.26,91.51,2964
2020-01-13,91.61,92.17,90.97,91.91,2651
2020-01-14,92.03,92.05,91.14,92.0,3486
2020-01-15,91.56,92.32,90.97,91.23,2657
2020-01-16,91.8,92.98,91.73,92.88,2702
2020-01-17,92.9,93.14,92.35,92.58,2421
2020-01-21,92.28,93.23,91.75,91.93,3207
2020-01-22,92.87,93.2,91.83,92.25,2931
2020-01-23,92.45,93.3,91.85,92.88,1925
2020-01-24,93.06,93.06,91.83,92.26,1527
2020-01-27,91.0,92.09,90.32,91.39,2137
2020-01-28,91.54,92.07,90.8,91.22,2355
2020-01-29,91.29,91.48,90.2,90.21,2174
2020-01-30,89.65,91.16,89.45,91.12,1914
2020-01-31,90.61,90.78,87.75,88.0,3039
2020-02-03,88.39,89.48,87.96,88.24,2944
2020-02-04,89.2,89.34,87.95,88.35,3579
2020-02-05,88.91,90.54,88.91,90.36,2009
2020-02-06,90.5,90.9,89.58,89.69,924
2020-02-07,89.55,90.04,88.84,89.94,2584
2020-02-10,89.74,91.14,89.18,91.02,3613
2020-02-11,94.62,99.1,94.52,98.51,7966
2020-02-12,99.0,99.51,97.27,97.8,3722
2020-02-13,97.44,98.03,97.1,97.35,2299
2020-02-14,97.35,98.0,96.96,97.34,2920
2020-02-18,96.86,96.94,95.85,96.34,3717
2020-02-19,96.35,96.44,94.31,94.57,3695
2020-02-20,94.43,95.44,93.66,94.94,2631
2020-02-21,94.49,95.22,93.18,94.87,4083
2020-02-24,92.97,93.78,92.13,93.5,4374
2020-02-25,93.69,93.98,91.02,91.73,4055
2020-02-26,91.8,93.07,90.58,90.73,3155
2020-02-27,88.81,88.86,84.57,84.59,4397
2020-02-28,82.54,83.7,81.01,83.3,8382
2020-03-02,83.77,85.6,83.16,85.6,3138
2020-03-03,85.28,86.9,83.09,83.59,3831
2020-03-04,85.2,88.65,84.79,88.44,3360
2020-03-05,86.61,86.61,82.64,83.5,5394
2020-03-06,81.07,85.5,80.79,85.18,5826
2020-03-09,80.77,81.9,78.53,80.0,6406
2020-03-10,81.98,82.81,78.92,82.34,3488
2020-03-11,80.23,81.51,79.17,79.45,4160
2020-03-12,75.62,76.0,67.94,69.52,5460
2020-03-13,72.46,73.28,65.7,73.15,7633
2020-03-16,66.06,69.66,63.64,63.81,3911
2020-03-17,64.74,70.82,64.18,70.73,4218
2020-03-18,65.74,68.43,59.11,60.8,5154
2020-03-19,61.24,66.74,61.0,65.41,5955
2020-03-20,65.84,69.23,65.25,66.25,7901
2020-03-23,65.77,68.9,64.74,67.48,5813
2020-03-24,70.88,73.22,68.62,69.74,3297
2020-03-25,70.39,72.68,69.05,69.88,2922
2020-03-26,69.97,74.93,69.64,74.93,2852
2020-03-27,72.57,74.67,72.01,73.72,2639
2020-03-30,74.78,77.76,72.52,77.28,2913
2020-03-31,76.87,76.92,73.97,75.5,3175
2020-04-01,73.46,76.73,72.98,75.54,3154
2020-04-02,75.41,77.97,74.64,77.1,2628
2020-04-03,76.44,77.28,74.77,76.21,3130
2020-04-06,78.43,81.24,77.58,80.56,3928
2020-04-07,82.25,83.42,78.76,79.16,2617
2020-04-08,79.77,81.17,78.28,80.17,2354
2020-04-09,80.76,83.37,80.46,82.1,3597
2020-04-13,81.98,82.67,81.13,81.63,1703
2020-04-14,82.95,83.34,80.86,81.55,3300
2020-04-15,79.37,80.02,75.32,75.44,3764
2020-04-16,75.65,76.09,73.66,75.85,3357
2020-04-17,77.76,81.44,77.1,80.69,3067
2020-04-20,79.61,82.32,79.22,80.8,2390
2020-04-21,79.18,79.86,76.7,77.44,2451
2020-04-22,78.9,79.09,76.63,77.36,1938
2020-04-23,77.76,79.72,77.76,78.8,2229
2020-04-24,80.03,80.82,78.64,80.57,2706
2020-04-27,80.79,84.24,80.79,83.39,3652
2020-04-28,85.18,85.68,82.46,83.11,3512
2020-04-29,84.39,84.69,83.08,83.12,3628
2020-04-30,82.5,82.5,79.82,81.2,9660
2020-05-01,79.75,80.25,78.76,79.84,5003
2020-05-04,79.01,79.35,78.32,78.81,4186
2020-05-05,84.04,84.04,78.97,82.25,6542
2020-05-06,79.41,81.05,79.03,80.11,4260
2020-05-07,81.04,82.11,80.41,80.91,3377
2020-05-08,82.49,84.38,81.85,84.11,2663
2020-05-11,83.22,83.82,82.17,82.19,3362
2020-05-12,82.98,82.98,80.88,80.93,2500
