date,open,high,low,close,volume
2018-12-10,37.27,39.3,37.03,39.23,2868
2018-12-11,39.94,39.96,38.17,39.48,2457
2018-12-12,39.61,40.75,38.79,39.86,2206
2018-12-13,40.3,41.79,39.41,41.56,1674
2018-12-14,41.08,41.89,40.0,41.36,1240
2018-12-17,41.16,44.81,40.49,43.79,2926
2018-12-18,44.02,44.43,41.71,42.15,2714
2018-12-19,42.15,44.82,40.55,41.2,1936
2018-12-20,40.83,41.36,37.59,39.45,2942
2018-12-21,39.66,39.99,35.43,37.5,2906
2018-12-24,36.91,39.88,36.37,39.35,833
2018-12-26,39.38,40.87,38.84,40.85,1521
2018-12-27,40.21,42.26,39.59,42.03,1521
2018-12-28,42.36,43.76,41.5,41.95,1025
2018-12-31,42.35,43.69,41.31,42.25,1382
2019-01-02,41.61,41.61,39.37,41.21,1985
2019-01-03,40.53,40.84,38.68,39.48,1699
2019-01-04,40.0,41.9,39.45,41.3,3389
2019-01-07,42.0,46.81,41.95,45.58,4413
2019-01-08,46.0,46.87,44.97,46.29,2754
2019-01-09,46.5,46.5,44.83,45.92,2603
2019-01-10,45.17,47.15,45.0,46.58,1657
2019-01-11,46.26,48.58,46.26,47.75,2529
2019-01-14,47.1,49.51,45.51,48.19,4636
2019-01-15,47.25,49.5,47.11,49.35,4945
2019-01-16,49.57,51.53,49.15,50.9,2522
2019-01-17,50.7,55.13,50.63,53.6,6299
2019-01-18,53.6,56.8,53.57,55.4,4463
2019-01-22,54.78,55.43,53.07,54.21,2648
2019-01-23,53.92,53.92,51.27,52.39,2267
2019-01-24,52.47,53.27,51.02,53.05,1754
2019-01-25,53.36,54.08,51.93,52.85,1876
2019-01-28,52.17,54.47,51.93,53.87,2522
2019-01-29,53.54,54.23,51.97,52.28,1757
2019-01-30,52.84,53.18,51.34,51.55,1822
2019-01-31,51.57,54.93,51.49,53.63,2076
2019-02-01,53.5,53.68,51.93,53.09,1120
2019-02-04,53.15,54.04,52.14,52.34,1416
2019-02-05,52.47,55.69,52.27,54.65,3488
2019-02-06,54.63,56.06,53.19,53.38,613
2019-02-07,52.92,55.49,51.64,54.93,1115
2019-02-08,54.84,57.74,54.84,57.47,1805
2019-02-11,57.75,59.47,56.57,57.45,1824
2019-02-12,57.5,58.31,57.23,57.93,2083
2019-02-13,57.25,57.5,55.05,57.16,2937
2019-02-14,56.85,57.5,56.61,56.63,1378
2019-02-15,57.32,57.9,56.5,57.49,3415
2019-02-19,57.61,57.76,56.8,57.37,2551
2019-02-20,57.26,58.69,56.87,58.26,2833
2019-02-21,58.3,59.89,55.96,56.75,1897
2019-02-22,57.05,58.95,56.88,57.1,1370
2019-02-25,57.5,57.67,53.28,56.93,2097
2019-02-26,56.9,56.96,55.54,56.28,2002
2019-02-27,64.34,64.34,58.04,59.98,5563
2019-02-28,59.98,63.01,59.51,62.0,3199
2019-03-01,60.97,61.0,58.7,59.75,4947
2019-03-04,59.9,60.64,55.63,58.37,4303
2019-03-05,58.63,60.39,57.93,59.97,2779
2019-03-06,59.65,59.65,56.0,56.23,2482
2019-03-07,55.68,55.75,52.75,54.92,6101
2019-03-08,54.74,57.75,53.6,56.06,15032
2019-03-11,56.48,58.26,56.3,57.49,3323
2019-03-12,57.42,58.16,55.68,55.99,2618
2019-03-13,56.15,57.82,55.69,55.98,1845
2019-03-14,55.85,56.65,54.82,56.5,1623
2019-03-15,57.11,58.89,56.91,57.19,3536
2019-03-18,57.27,58.28,56.46,57.82,1438
2019-03-19,57.95,57.95,55.79,56.57,1758
2019-03-20,56.25,56.65,55.63,55.97,1280
2019-03-21,55.54,57.95,55.12,56.82,2653
2019-03-22,56.56,56.56,53.2,53.8,3314
2019-03-25,53.67,55.13,53.04,54.27,2947
2019-03-26,55.03,56.31,54.36,55.25,1838
2019-03-27,55.04,56.28,51.66,53.33,1890
2019-03-28,53.36,55.6,52.89,54.34,1198
2019-03-29,54.68,57.81,54.33,56.78,1342
2019-04-01,57.07,57.08,51.63,51.83,3812
2019-04-02,51.75,51.75,49.46,50.65,2547
2019-04-03,51.07,53.35,50.41,51.68,1998
2019-04-04,51.25,51.67,49.57,51.53,1287
2019-04-05,51.78,53.04,51.3,52.11,1691
2019-04-08,51.97,52.41,50.95,52.35,986
2019-04-09,52.13,53.93,51.39,53.64,2714
2019-04-10,53.65,55.75,53.5,55.63,3151
2019-04-11,55.8,56.51,55.0,55.68,1576
2019-04-12,56.21,57.92,55.78,57.81,1653
