date,open,high,low,close,volume
2018-12-10,10.31,10.31,10.1,10.27,3059
2018-12-11,10.32,10.36,10.25,10.25,2685
2018-12-12,10.33,10.36,10.06,10.07,3006
2018-12-13,10.16,10.28,10.11,10.24,3354
2018-12-14,10.2,10.47,10.16,10.32,11355
2018-12-17,10.32,10.33,9.91,9.92,6060
2018-12-18,9.99,10.18,9.91,9.91,4969
2018-12-19,9.93,9.98,9.77,9.82,4536
2018-12-20,9.81,9.89,9.55,9.62,4743
2018-12-21,9.66,9.83,9.49,9.55,7860
2018-12-24,9.52,9.53,9.04,9.05,3670
2018-12-26,8.92,9.22,8.75,9.21,9565
2018-12-27,9.1,9.2,8.88,9.19,6304
2018-12-28,9.25,9.31,9.08,9.23,6742
2018-12-31,9.27,9.29,9.0,9.18,4538
2019-01-02,9.08,9.21,8.92,9.12,6211
2019-01-03,9.13,9.31,9.13,9.19,5253
2019-01-04,9.17,9.39,9.17,9.37,4491
2019-01-07,9.41,9.48,9.36,9.42,3995
2019-01-08,9.52,9.69,9.48,9.69,6257
2019-01-09,9.74,9.75,9.57,9.74,3590
2019-01-10,9.72,9.86,9.65,9.77,3959
2019-01-11,9.77,9.83,9.71,9.78,2716
2019-01-14,9.75,9.85,9.71,9.75,1975
2019-01-15,9.81,9.85,9.71,9.84,2894
2019-01-16,9.84,10.06,9.83,10.06,3524
2019-01-17,10.02,10.17,10.02,10.17,4052
2019-01-18,10.17,10.18,10.0,10.07,3536
2019-01-22,10.07,10.15,9.97,10.07,4021
2019-01-23,10.08,10.19,9.99,10.1,3059
2019-01-24,10.11,10.18,10.02,10.16,2399
2019-01-25,10.19,10.3,10.18,10.25,2625
2019-01-28,10.16,10.37,10.16,10.33,2395
2019-01-29,10.34,10.41,10.32,10.36,3539
2019-01-30,10.4,10.47,10.33,10.41,6539
2019-01-31,10.4,10.45,10.25,10.45,8319
2019-02-01,10.47,10.54,10.22,10.35,4594
2019-02-04,10.35,10.51,10.24,10.51,6125
2019-02-05,10.52,10.57,10.44,10.56,2358
2019-02-06,10.38,10.53,10.34,10.35,3528
2019-02-07,10.32,10.46,10.24,10.42,4195
2019-02-08,10.4,10.51,10.4,10.47,1684
2019-02-11,10.46,10.59,10.45,10.58,2322
