date,open,high,low,close,volume
2018-12-10,1.65,1.66,1.57,1.602,770
2018-12-11,1.6,1.62,1.46,1.47,2361
2018-12-12,1.47,1.49,1.42,1.45,2489
2018-12-13,1.43,1.52,1.41,1.41,1365
2018-12-14,1.4,1.46,1.34,1.38,2195
2018-12-17,1.36,1.38,1.27,1.27,2766
2018-12-18,1.27,1.32,1.22,1.25,1015
2018-12-19,1.24,1.26,1.171,1.24,1093
2018-12-20,1.22,1.24,1.15,1.17,7570
2018-12-21,1.16,1.18,1.11,1.15,6505
2018-12-24,1.15,1.18,1.1,1.12,1943
2018-12-26,1.13,1.18,1.08,1.09,3875
2018-12-27,1.08,1.15,1.02,1.07,8375
2018-12-28,1.07,1.15,1.05,1.12,11291
2018-12-31,1.15,1.28,1.07,1.2,6043
2019-01-02,1.18,1.3,1.1601,1.27,1579
2019-01-03,1.27,1.2936,1.2,1.21,791
2019-01-04,1.22,1.33,1.18,1.25,1040
2019-01-07,1.3,1.4,1.28,1.3,2285
2019-01-08,1.31,1.43,1.31,1.38,10525
2019-01-09,1.4,1.4268,1.3026,1.36,1593
2019-01-10,1.35,1.44,1.3111,1.4,1542
2019-01-11,1.38,1.41,1.37,1.39,934
2019-01-14,1.39,1.41,1.365,1.37,1150
2019-01-15,1.38,1.43,1.36,1.43,953
2019-01-16,1.41,1.43,1.368,1.39,747
2019-01-17,1.38,1.4,1.37,1.38,606
2019-01-18,1.4,1.4,1.3401,1.39,890
2019-01-22,1.38,1.38,1.31,1.34,1265
2019-01-23,1.35,1.35,1.27,1.28,2357
2019-01-24,1.26,1.3,1.24,1.26,977
2019-01-25,1.25,1.3,1.25,1.27,1101
2019-01-28,1.27,1.3,1.24,1.3,633
2019-01-29,1.28,1.3,1.25,1.27,909
2019-01-30,1.27,1.28,1.21,1.24,1379
2019-01-31,1.27,1.27,1.2201,1.26,494
2019-02-01,1.26,1.275,1.23,1.25,696
2019-02-04,1.24,1.26,1.23,1.24,798
2019-02-05,1.24,1.28,1.21,1.23,1539
2019-02-06,1.24,1.29,1.23,1.28,1207
2019-02-07,1.26,1.34,1.25,1.32,25081
2019-02-08,1.34,1.35,1.31,1.32,3106
2019-02-11,1.32,1.37,1.32,1.35,2347
2019-02-12,1.37,1.4,1.34,1.37,1148
2019-02-13,1.36,1.4,1.36,1.4,1308
2019-02-14,1.39,1.45,1.3896,1.43,1212
2019-02-15,1.43,1.48,1.4,1.4,2240
2019-02-19,1.4,1.42,1.3414,1.36,6796
2019-02-20,1.38,1.38,1.3125,1.33,1975
2019-02-21,1.33,1.35,1.31,1.31,3409
2019-02-22,1.32,1.38,1.32,1.38,2582
2019-02-25,1.42,1.47,1.4,1.46,5852
2019-02-26,1.48,1.53,1.4,1.48,4479
2019-02-27,1.49,1.53,1.42,1.45,4248
2019-02-28,1.45,1.47,1.41,1.42,1151
2019-03-01,1.43,1.5028,1.43,1.49,4581
2019-03-04,1.55,1.62,1.51,1.56,5051
2019-03-05,1.56,1.63,1.56,1.61,3824
2019-03-06,1.61,1.61,1.495,1.51,4600
2019-03-07,1.52,1.6,1.51,1.55,2727
2019-03-08,1.54,1.59,1.51,1.53,860
2019-03-11,1.55,1.58,1.53,1.56,1245
2019-03-12,1.55,1.58,1.52,1.53,1016
2019-03-13,1.53,1.57,1.52,1.54,1582
2019-03-14,1.55,1.56,1.41,1.55,3053
2019-03-15,1.54,1.56,1.5,1.56,1666
2019-03-18,1.55,1.6,1.5301,1.56,1773
2019-03-19,1.58,1.6,1.53,1.53,524
2019-03-20,1.53,1.56,1.45,1.55,989
2019-03-21,1.54,1.55,1.48,1.5,1398
2019-03-22,1.5,1.54,1.45,1.51,1087
2019-03-25,1.49,1.5,1.44,1.46,561
2019-03-26,1.47,1.49,1.43,1.43,1433
2019-03-27,1.44,1.455,1.41,1.42,999
2019-03-28,1.42,1.4727,1.41,1.43,735
2019-03-29,1.43,1.47,1.4,1.41,502
2019-04-01,1.43,1.45,1.4,1.42,972
2019-04-02,1.41,1.45,1.38,1.43,1170
2019-04-03,1.45,1.46,1.4,1.41,809
2019-04-04,1.41,1.45,1.39,1.39,2513
2019-04-05,1.41,1.44,1.4,1.41,965
2019-04-08,1.44,1.5134,1.4,1.48,3041
2019-04-09,1.47,1.5,1.41,1.43,1546
2019-04-10,1.43,1.44,1.4,1.41,689
2019-04-11,1.41,1.44,1.4002,1.44,855
2019-04-12,1.44,1.54,1.38,1.45,4619
2019-04-15,1.44,1.4806,1.4,1.4,1486
2019-04-16,1.44,1.48,1.39,1.39,2724
2019-04-17,1.39,1.45,1.39,1.39,433
2019-04-18,1.33,1.42,1.33,1.41,487
2019-04-22,1.43,1.44,1.41,1.42,919
2019-04-23,1.43,1.48,1.43,1.45,900
2019-04-24,1.44,1.48,1.43,1.43,464
2019-04-25,1.43,1.46,1.39,1.4,913
2019-04-26,1.4,1.43,1.37,1.41,1283
2019-04-29,1.4,1.42,1.37,1.3893,820
2019-04-30,1.37,1.4,1.35,1.38,1601
2019-05-01,1.38,1.39,1.33,1.33,1431
2019-05-02,1.33,1.38,1.33,1.35,2507
2019-05-03,1.36,1.45,1.35,1.43,1315
2019-05-06,1.39,1.45,1.39,1.43,180
2019-05-07,1.43,1.46,1.42,1.44,764
2019-05-08,1.43,1.4472,1.41,1.44,376
2019-05-09,1.411,1.47,1.41,1.45,1988
2019-05-10,1.4372,1.54,1.4372,1.48,880
2019-05-13,1.45,1.47,1.41,1.43,614
2019-05-14,1.41,1.44,1.38,1.39,2882
2019-05-15,1.4,1.42,1.38,1.39,3145
2019-05-16,1.4,1.42,1.38,1.39,1817
2019-05-17,1.39,1.4,1.35,1.36,1353
2019-05-20,1.39,1.39,1.33,1.34,2221
2019-05-21,1.34,1.39,1.33,1.35,1717
2019-05-22,1.36,1.37,1.32,1.34,1357
2019-05-23,1.34,1.35,1.3,1.34,2139
2019-05-24,1.34,1.36,1.31,1.33,1855
