date,open,high,low,close,volume
2018-12-10,52.0,52.49,50.53,52.07,1306
2018-12-11,52.98,53.1,51.69,52.2,1722
2018-12-12,53.02,53.89,52.42,53.06,994
2018-12-13,53.37,53.82,51.88,52.08,1757
2018-12-14,51.51,51.75,49.9,50.22,946
2018-12-17,49.8,49.86,47.38,47.87,2356
2018-12-18,48.42,49.29,47.47,49.03,1841
2018-12-19,48.95,49.7,47.76,48.15,1554
2018-12-20,47.89,48.86,47.35,47.88,1662
2018-12-21,47.79,48.73,46.23,46.35,1770
2018-12-24,45.81,45.86,44.34,44.61,631
2018-12-26,44.81,46.96,44.39,46.85,827
2018-12-27,46.08,47.46,45.36,47.45,1132
2018-12-28,47.44,47.97,46.35,47.03,1114
2018-12-31,47.5,47.52,46.28,47.29,1171
2019-01-02,46.55,48.23,46.0,48.07,986
2019-01-03,47.43,47.97,46.0,46.26,1205
2019-01-04,47.14,49.0,46.29,48.5,978
2019-01-07,48.51,49.46,47.95,48.99,483
2019-01-08,49.4,49.69,48.55,49.49,1856
2019-01-09,49.76,51.3,49.76,50.93,1297
2019-01-10,50.75,51.96,50.1,51.88,1149
2019-01-11,51.58,52.52,51.48,52.12,1382
2019-01-14,51.8,52.58,50.81,52.0,1179
2019-01-15,52.07,52.45,51.19,52.02,2128
2019-01-16,52.12,54.02,51.88,53.86,1451
2019-01-17,53.58,54.54,53.08,53.53,1956
2019-01-18,53.84,54.68,53.24,54.48,1186
2019-01-22,54.32,54.61,52.09,52.95,1403
2019-01-23,53.0,53.56,51.27,52.0,748
2019-01-24,51.99,53.18,51.68,52.66,1859
2019-01-25,53.22,54.71,52.71,53.82,4767
2019-01-28,53.27,53.64,52.07,52.36,1401
2019-01-29,52.63,53.22,52.22,52.23,2885
2019-01-30,52.88,53.61,51.6,53.31,1021
2019-01-31,53.38,55.24,53.33,54.63,1434
2019-02-01,54.82,55.37,54.05,55.06,1564
2019-02-04,55.1,56.29,54.72,56.21,1350
2019-02-05,56.38,57.52,52.9,57.33,1054
2019-02-06,57.29,58.35,57.29,58.21,946
2019-02-07,57.73,58.2,55.94,56.91,1061
2019-02-08,56.33,57.16,55.95,57.16,915
2019-02-11,57.37,58.0,56.6,57.76,884
2019-02-12,58.23,58.98,57.8,58.96,905
2019-02-13,59.13,59.83,58.91,59.61,618
2019-02-14,59.39,59.84,59.05,59.48,1151
2019-02-15,59.76,60.53,59.49,60.11,735
2019-02-19,60.05,61.34,59.85,60.62,1060
2019-02-20,60.61,61.91,59.96,61.74,1007
2019-02-21,61.75,61.93,60.26,60.91,788
2019-02-22,61.03,61.66,60.29,61.47,1186
2019-02-25,61.57,62.21,60.55,60.65,2084
2019-02-26,60.43,61.62,60.19,60.54,2016
2019-02-27,60.11,61.66,60.06,61.57,1694
2019-02-28,58.2,58.5,52.38,53.01,8456
2019-03-01,53.21,54.0,51.36,51.4,4141
2019-03-04,51.4,53.02,50.37,51.0,2901
2019-03-05,50.99,51.29,49.93,50.02,1597
2019-03-06,50.13,50.44,49.57,49.79,1371
2019-03-07,49.8,50.0,48.94,49.35,1272
2019-03-08,48.85,49.22,48.75,48.99,2192
2019-03-11,49.21,49.84,48.89,49.72,2806
2019-03-12,49.67,50.63,49.33,50.13,2732
2019-03-13,50.41,50.73,49.87,50.47,1365
2019-03-14,50.47,50.92,49.17,49.23,895
2019-03-15,49.24,50.06,49.24,49.48,2196
2019-03-18,49.7,50.07,48.95,49.79,925
2019-03-19,50.17,51.42,49.51,50.04,1692
2019-03-20,50.04,51.0,49.5,50.5,1607
2019-03-21,50.42,52.38,50.42,51.19,2052
2019-03-22,50.8,50.91,48.05,48.25,2713
2019-03-25,48.2,48.3,46.92,47.36,1991
2019-03-26,47.79,47.86,46.3,46.73,2013
2019-03-27,46.71,46.95,45.54,46.23,1616
2019-03-28,46.35,47.67,45.9,46.41,2461
2019-03-29,46.88,47.1,45.93,46.65,3615
2019-04-01,47.13,47.81,46.8,47.6,4512
2019-04-02,47.78,47.88,46.33,46.78,2251
2019-04-03,47.28,47.81,47.01,47.31,1257
2019-04-04,47.46,47.74,46.16,46.78,6719
2019-04-05,46.77,48.13,46.59,48.08,3555
2019-04-08,47.75,48.02,47.22,47.96,4576
2019-04-09,47.79,48.05,47.2,47.64,2483
2019-04-10,47.74,48.04,47.42,47.7,2500
2019-04-11,47.79,47.8,47.31,47.59,1046
2019-04-12,48.0,48.76,47.8,48.71,2834
2019-04-15,48.52,48.94,48.03,48.83,3547
2019-04-16,49.03,49.89,48.96,49.65,1747
2019-04-17,49.92,50.67,49.67,50.28,1898
2019-04-18,50.14,50.43,49.46,50.12,1156
2019-04-22,49.83,50.0,49.18,49.59,821
2019-04-23,49.65,51.47,48.99,51.4,1554
2019-04-24,51.46,52.2,50.82,51.73,1223
2019-04-25,51.67,51.67,50.04,50.65,1056
2019-04-26,50.74,52.15,50.25,52.01,1362
2019-04-29,52.12,52.82,51.78,52.8,1133
2019-04-30,52.8,53.78,51.93,53.66,1809
2019-05-01,54.02,54.34,52.05,52.13,2279
2019-05-02,52.1,53.03,51.31,51.56,2636
2019-05-03,51.96,53.3,51.45,53.16,2124
2019-05-06,51.75,53.71,50.55,53.47,2099
2019-05-07,56.8,65.31,56.8,64.93,16363
2019-05-08,64.9,64.9,61.15,61.68,5762
2019-05-09,60.88,61.83,59.53,61.01,6302
2019-05-10,60.91,61.6,58.98,59.6,4870
2019-05-13,58.65,59.11,56.69,56.97,3961
2019-05-14,57.28,57.55,56.12,56.52,2484
2019-05-15,56.02,57.49,56.02,57.01,2345
2019-05-16,57.34,59.06,56.73,58.76,2258
2019-05-17,58.15,58.4,56.48,56.87,1836
2019-05-20,56.08,57.29,55.76,56.57,1401
2019-05-21,57.1,57.85,56.41,57.83,2537
2019-05-22,57.32,58.01,56.0,57.43,1256
2019-05-23,56.79,57.76,55.83,56.49,2273
2019-05-24,56.98,57.67,56.7,57.35,1323
2019-05-28,57.49,57.83,56.71,57.34,2217
2019-05-29,56.85,57.81,56.22,57.05,4174
2019-05-30,57.45,58.55,56.77,58.13,2774
2019-05-31,57.49,57.84,56.21,56.65,2405
2019-06-03,56.8,57.7,56.41,57.5,2695
2019-06-04,58.04,59.4,57.96,59.3,1301
2019-06-05,59.72,59.72,58.3,58.66,2352
2019-06-06,58.66,59.03,57.36,57.79,4913
2019-06-07,57.89,59.09,57.89,58.82,1010
2019-06-10,59.01,60.38,59.01,59.46,2580
2019-06-11,60.12,60.99,59.3,60.01,1984
2019-06-12,59.78,60.03,59.17,59.89,979
2019-06-13,60.3,60.67,59.56,59.95,2021
2019-06-14,59.75,59.9,58.63,59.61,1930
2019-06-17,59.78,60.53,59.51,59.85,1462
2019-06-18,60.44,62.17,60.3,62.07,1675
2019-06-19,62.12,62.86,61.76,62.15,1878
2019-06-20,62.91,63.38,61.58,62.51,1055
2019-06-21,62.08,62.64,61.22,61.23,1197
2019-06-24,61.24,62.53,60.25,60.79,1146
2019-06-25,60.57,61.56,60.13,60.4,1443
2019-06-26,60.61,61.34,60.51,60.87,900
2019-06-27,61.52,62.64,61.26,61.58,2545
2019-06-28,61.72,62.7,61.45,62.57,2799
2019-07-01,63.0,63.83,61.9,63.6,3113
2019-07-02,63.56,63.67,61.5,62.19,1786
2019-07-03,62.47,62.9,62.27,62.7,626
2019-07-05,61.92,62.64,61.62,62.63,733
2019-07-08,62.55,62.77,61.75,62.09,1956
2019-07-09,61.45,62.21,60.02,61.89,3099
2019-07-10,62.33,62.8,61.4,61.46,1270
2019-07-11,61.42,61.69,60.56,61.07,1206
2019-07-12,61.07,62.08,61.07,61.81,1157
2019-07-15,61.9,61.92,61.33,61.59,921
2019-07-16,61.51,61.77,60.86,60.88,1122
2019-07-17,60.77,60.8,59.66,59.7,817
2019-07-18,59.84,59.99,58.59,59.48,1124
2019-07-19,59.52,60.37,58.93,59.82,3433
2019-07-22,60.17,60.68,59.6,60.66,1121
2019-07-23,60.84,62.16,60.79,61.91,1568
2019-07-24,61.85,62.48,61.34,62.47,1193
