date,open,high,low,close,volume
2018-12-10,4.6,4.62,4.49,4.52,487
2018-12-11,4.56,4.56,4.35,4.5,1146
2018-12-12,4.55,4.64,4.38,4.61,922
2018-12-13,4.62,4.76,4.56,4.7,411
2018-12-14,4.69,4.76,4.65,4.66,300
2018-12-17,4.49,4.75,4.46,4.7,475
2018-12-18,4.75,4.77,4.61,4.66,320
2018-12-19,4.64,4.69,4.53,4.61,505
2018-12-20,4.57,4.65,4.46,4.55,428
2018-12-21,5.0,5.14,4.71,4.71,1405
2018-12-24,4.71,5.0,4.71,4.87,669
2018-12-26,4.84,5.15,4.84,5.07,1410
2018-12-27,4.98,5.1,4.97,5.05,526
2018-12-28,5.08,5.16,5.06,5.11,440
2018-12-31,5.11,5.33,5.07,5.23,602
2019-01-02,5.23,5.36,5.23,5.36,340
2019-01-03,5.35,5.36,5.26,5.34,254
2019-01-04,5.41,5.41,5.33,5.4,322
2019-01-07,5.41,5.45,5.18,5.27,527
2019-01-08,5.28,5.38,5.28,5.37,219
2019-01-09,5.33,5.39,5.25,5.25,465
2019-01-10,5.25,5.26,5.17,5.2,557
2019-01-11,5.2,5.4,5.2,5.3,1140
2019-01-14,5.3,5.45,5.25,5.3,620
2019-01-15,5.25,5.37,5.2,5.29,510
2019-01-16,5.38,5.38,5.25,5.27,286
2019-01-17,5.22,5.33,5.11,5.3,340
2019-01-18,5.31,5.34,5.29,5.325,504
2019-01-22,5.36,5.4,5.27,5.3,493
2019-01-23,5.29,5.37,5.26,5.3,1117
2019-01-24,5.32,5.36,5.17,5.3,750
2019-01-25,5.33,5.5,5.3,5.46,2225
2019-01-28,5.42,5.46,5.35,5.36,1110
2019-01-29,5.36,5.44,5.19,5.35,802
2019-01-30,5.45,5.45,5.27,5.3,851
2019-01-31,5.5,5.91,5.29,5.56,2410
2019-02-01,5.45,5.5,5.31,5.4,1376
2019-02-04,5.4,5.46,5.35,5.41,1405
2019-02-05,5.38,5.45,5.34,5.42,902
2019-02-06,5.45,5.65,5.43,5.5,816
2019-02-07,5.42,5.49,5.4,5.46,423
2019-02-08,5.46,5.49,5.33,5.37,817
2019-02-11,5.36,5.39,5.31,5.36,1180
2019-02-12,5.33,5.41,5.33,5.38,724
2019-02-13,5.38,5.41,5.32,5.35,684
2019-02-14,5.38,5.38,5.33,5.35,999
2019-02-15,5.34,5.49,5.34,5.48,1423
2019-02-19,5.47,6.09,5.47,6.08,2486
2019-02-20,6.07,6.21,5.97,6.2,1211
2019-02-21,6.15,6.28,6.15,6.23,702
2019-02-22,6.21,6.3,6.21,6.25,591
2019-02-25,6.25,6.35,6.21,6.3,607
2019-02-26,6.25,6.5,6.25,6.44,639
2019-02-27,6.42,6.5,6.29,6.43,251
