date,open,high,low,close,volume
2018-12-10,100.09,100.22,98.13,99.91,4634
2018-12-11,101.25,101.96,98.24,98.66,4686
2018-12-12,100.05,100.68,98.2,98.3,5929
2018-12-13,98.62,98.62,95.41,95.87,5374
2018-12-14,94.16,94.93,92.47,92.69,9277
2018-12-17,92.7,94.12,91.88,93.68,6068
2018-12-18,94.24,94.75,93.17,93.57,5742
2018-12-19,93.29,94.82,91.38,91.89,5846
2018-12-20,91.82,93.43,91.58,92.43,6004
2018-12-21,93.2,94.6,90.73,90.85,9115
2018-12-24,90.84,91.03,88.38,88.67,2453
2018-12-26,89.13,92.73,88.62,92.66,5849
2018-12-27,91.64,93.8,90.83,93.8,3439
2018-12-28,94.02,94.69,92.81,93.23,4027
2018-12-31,93.79,93.95,91.97,93.04,3590
2019-01-02,91.5,94.27,91.33,93.24,5544
2019-01-03,92.38,92.86,90.6,90.89,4111
2019-01-04,92.06,94.55,92.06,93.36,5582
2019-01-07,93.14,94.59,92.18,93.24,9402
2019-01-08,94.04,95.95,93.71,95.88,7182
2019-01-09,96.35,97.14,95.56,96.97,7904
2019-01-10,96.53,97.37,95.88,97.1,3928
2019-01-11,96.39,97.7,96.08,97.48,4125
2019-01-14,96.7,98.27,96.25,98.01,5213
2019-01-15,97.91,98.14,96.64,97.08,5948
2019-01-16,97.29,98.32,96.76,96.95,5076
2019-01-17,98.25,100.52,98.04,99.92,9162
2019-01-18,108.8,109.41,105.0,106.11,14853
2019-01-22,105.56,105.92,103.11,103.8,8536
2019-01-23,103.81,104.19,100.68,101.89,8422
2019-01-24,102.37,103.77,101.89,102.71,7259
2019-01-25,103.42,104.81,102.88,104.36,6942
2019-01-28,102.88,104.81,101.89,104.45,6441
2019-01-29,104.55,105.52,104.42,105.29,4446
2019-01-30,105.24,107.51,104.6,106.98,7534
2019-01-31,107.18,107.37,106.17,107.04,8720
2019-02-01,107.09,108.01,106.6,107.83,5562
2019-02-04,108.01,108.66,106.69,108.64,4575
2019-02-05,108.64,109.99,108.02,109.52,6065
2019-02-06,109.29,110.24,108.1,108.64,11892
2019-02-07,107.97,109.17,107.47,108.87,14755
2019-02-08,108.54,109.45,106.54,109.28,9837
2019-02-11,109.39,109.77,108.66,109.63,8375
2019-02-12,110.12,111.65,110.08,111.49,4795
2019-02-13,109.03,111.29,108.74,111.07,7568
2019-02-14,110.29,112.59,109.93,112.11,7995
2019-02-15,112.59,113.88,112.44,113.59,12255
2019-02-19,113.38,114.4,112.59,113.81,7110
2019-02-20,113.81,114.46,113.23,113.79,4794
2019-02-21,113.79,113.79,110.77,111.45,6853
2019-02-22,111.63,111.63,108.59,109.11,11709
2019-02-25,109.64,110.38,107.31,107.39,6264
2019-02-26,107.49,108.96,107.19,108.0,4590
2019-02-27,107.66,108.09,106.88,107.01,3139
2019-02-28,106.85,107.83,105.88,107.67,4961
2019-03-01,107.79,108.68,106.9,107.22,3896
2019-03-04,108.05,108.79,105.43,106.09,5295
2019-03-05,105.73,106.27,102.73,102.85,10336
2019-03-06,102.73,103.9,102.23,103.24,8100
2019-03-07,102.98,103.38,101.45,101.9,6041
2019-03-08,101.21,101.95,99.62,101.78,9064
2019-03-11,101.59,104.8,101.33,104.61,6852
2019-03-12,104.62,105.27,102.98,103.89,4719
2019-03-13,104.31,106.47,103.99,105.42,5205
2019-03-14,105.16,105.72,104.02,104.14,3927
2019-03-15,104.2,105.18,103.09,103.3,4080
2019-03-18,103.05,104.25,102.78,104.13,5229
2019-03-19,104.1,104.1,100.32,100.5,5335
2019-03-20,100.26,101.09,98.81,99.69,7400
2019-03-21,99.37,100.44,99.18,100.06,8191
2019-03-22,99.8,99.81,97.43,97.54,7709
2019-03-25,97.63,98.52,96.37,96.59,10697
