date,open,high,low,close,volume
2018-12-10,17.89,18.08,17.54,17.95,31288
2018-12-11,18.05,18.18,17.83,17.92,28038
2018-12-12,18.13,18.23,17.64,17.65,45866
2018-12-13,17.7,17.85,17.18,17.27,100533
2018-12-14,17.09,17.41,16.8,16.83,54713
2018-12-17,16.82,16.87,16.38,16.52,50131
2018-12-18,16.69,16.88,16.56,16.79,44784
2018-12-19,16.79,16.99,16.44,16.59,25228
2018-12-20,16.5,16.62,15.82,16.14,58154
2018-12-21,16.09,16.19,15.51,15.53,49509
2018-12-24,15.6,15.7,15.19,15.19,21858
2018-12-26,15.31,16.11,15.24,16.07,33187
2018-12-27,15.89,16.01,15.41,15.99,27721
2018-12-28,16.05,16.2,15.82,16.0,28392
2018-12-31,16.05,16.27,15.94,16.06,33343
2019-01-02,15.8,16.28,15.66,16.2,22198
2019-01-03,16.01,16.07,15.29,15.93,58929
2019-01-04,16.14,16.78,16.08,16.55,41517
2019-01-07,16.64,16.94,16.4,16.69,26352
2019-01-08,16.86,16.93,16.62,16.85,31470
2019-01-09,16.84,17.3,16.77,17.23,34394
2019-01-10,16.16,17.17,16.09,17.15,66852
2019-01-11,17.08,17.34,16.95,17.25,21553
2019-01-14,17.14,17.3,16.85,17.15,28463
2019-01-15,17.22,17.41,16.97,17.16,29635
2019-01-16,17.39,17.62,17.3,17.35,40708
2019-01-17,17.32,17.62,17.31,17.45,25408
2019-01-18,17.59,17.71,17.38,17.6,18995
2019-01-22,17.56,17.71,17.28,17.37,36644
2019-01-23,17.42,17.59,17.04,17.24,35893
2019-01-24,17.85,18.24,17.36,18.12,69651
2019-01-25,18.21,18.29,17.66,17.71,74734
2019-01-28,17.64,18.5,17.6,18.16,56794
2019-01-29,18.23,18.31,18.05,18.12,23651
2019-01-30,18.1,18.49,18.05,18.36,40702
2019-01-31,18.32,18.41,17.76,17.99,39331
2019-02-01,17.98,18.25,17.87,17.91,43491
2019-02-04,17.95,18.07,17.9,18.0,27984
2019-02-05,18.08,18.14,17.96,17.97,37459
2019-02-06,17.95,18.16,17.87,18.14,22111
2019-02-07,18.05,18.22,17.97,18.1,24408
2019-02-08,18.04,18.18,17.91,18.14,14241
2019-02-11,18.18,18.31,18.1,18.26,19405
2019-02-12,18.24,18.36,17.85,17.89,33861
2019-02-13,17.98,18.12,17.92,18.05,36175
2019-02-14,17.98,18.17,17.85,18.08,20913
2019-02-15,18.12,18.27,17.93,17.96,24158
2019-02-19,17.92,18.03,17.81,17.93,36515
2019-02-20,17.74,17.93,17.53,17.56,42781
2019-02-21,17.59,17.69,17.37,17.49,31232
2019-02-22,17.49,17.55,17.18,17.22,33016
2019-02-25,17.3,17.36,17.17,17.25,29571
2019-02-26,17.25,17.35,17.18,17.18,36275
2019-02-27,17.12,17.18,16.71,16.9,43494
2019-02-28,16.93,17.03,16.66,16.7,40058
2019-03-01,16.75,16.99,16.61,16.93,44921
2019-03-04,16.88,16.94,16.51,16.56,41703
2019-03-05,16.62,16.77,16.31,16.43,47738
2019-03-06,16.35,16.62,16.25,16.42,46109
2019-03-07,16.39,16.43,16.14,16.19,31679
2019-03-08,16.05,16.14,15.92,16.08,24270
2019-03-11,15.92,16.52,15.92,16.51,45937
2019-03-12,16.55,16.61,16.27,16.5,57586
2019-03-13,16.58,16.88,16.4,16.83,66642
2019-03-14,16.84,17.09,16.66,16.71,38163
2019-03-15,16.72,16.99,16.65,16.74,39030
2019-03-18,16.72,16.8,16.44,16.63,41990
2019-03-19,16.67,16.85,16.56,16.62,30967
2019-03-20,16.61,16.64,16.19,16.31,38081
2019-03-21,16.27,16.41,16.12,16.3,60362
2019-03-22,16.24,16.28,15.91,15.93,49490
2019-03-25,15.9,15.93,15.6,15.67,52755
2019-03-26,15.75,15.97,15.61,15.78,38074
2019-03-27,15.78,16.34,15.78,16.14,77230
2019-03-28,16.21,16.33,16.1,16.18,43145
2019-03-29,16.31,16.43,16.2,16.36,35819
2019-04-01,16.49,16.81,16.42,16.61,46041
2019-04-02,16.85,16.97,16.49,16.81,43406
2019-04-03,16.9,17.0,16.74,16.77,33255
2019-04-04,16.8,16.88,16.35,16.6,55458
2019-04-05,16.64,16.79,16.58,16.64,23473
2019-04-08,16.56,16.64,16.44,16.58,34913
2019-04-09,16.46,16.53,16.3,16.34,31042
2019-04-10,16.8,17.02,16.55,16.92,91604
2019-04-11,17.05,17.37,16.96,17.14,63763
2019-04-12,17.21,17.28,16.92,17.04,38043
2019-04-15,17.0,17.14,16.85,16.93,43903
2019-04-16,16.99,17.03,16.77,16.88,25970
2019-04-17,17.02,17.25,16.95,16.98,30328
2019-04-18,16.91,17.07,16.87,16.96,23796
2019-04-22,16.84,17.03,16.75,16.83,34904
2019-04-23,17.16,17.8,16.92,17.55,130040
2019-04-24,17.52,18.27,17.5,18.19,87573
2019-04-25,18.14,18.36,17.91,18.03,69074
2019-04-26,18.03,18.35,17.95,18.12,43292
2019-04-29,18.12,18.34,18.12,18.25,38817
2019-04-30,18.26,18.68,18.22,18.55,47883
2019-05-01,18.56,18.88,18.47,18.63,57537
2019-05-02,18.65,18.92,18.56,18.63,31876
2019-05-03,18.67,18.84,18.56,18.71,21196
2019-05-06,18.42,18.77,18.31,18.71,22620
2019-05-07,18.53,18.74,18.26,18.52,33266
2019-05-08,18.46,18.71,18.27,18.44,25333
2019-05-09,18.32,18.41,18.2,18.34,30076
