date,open,high,low,close,volume
2018-12-10,6.05,6.22,6.05,6.155,64
2018-12-11,6.05,6.2,6.05,6.09,187
2018-12-12,6.13,7.01,6.13,6.71,1043
2018-12-13,6.61,6.99,6.61,6.98,437
2018-12-14,6.79,7.13,6.6,6.86,2540
2018-12-17,6.74,6.98,6.52,6.9,396
2018-12-18,6.8,7.06,6.8,6.83,580
2018-12-19,6.6,6.94,6.6,6.82,1559
2018-12-20,6.83,6.96,6.8,6.95,310
2018-12-21,6.9,6.98,6.78,6.98,549
2018-12-24,6.9,6.95,6.7,6.94,244
2018-12-26,6.9,7.09,6.9,7.02,513
2018-12-27,6.9,7.15,6.86,6.98,645
2018-12-28,7.04,7.48,6.8,6.91,797
2018-12-31,6.91,7.32,6.91,7.02,139
2019-01-02,7.02,7.25,6.8,6.86,297
2019-01-03,7.2,7.2,6.75,6.8,1361
2019-01-04,6.9,6.95,6.75,6.8,740
2019-01-07,6.87,7.24,6.76,6.84,623
2019-01-08,6.97,7.15,6.8,6.855,851
2019-01-09,6.88,7.0,6.75,6.79,188
2019-01-10,6.68,6.78,6.51,6.7,265
2019-01-11,6.7,6.9,6.68,6.73,287
2019-01-14,6.73,6.88,6.65,6.77,157
2019-01-15,6.77,6.9,6.55,6.55,250
2019-01-16,6.56,6.79,6.4,6.42,200
2019-01-17,6.4,6.59,6.2,6.4,209
2019-01-18,6.2,6.59,6.15,6.29,608
2019-01-22,6.15,6.53,6.1,6.13,377
2019-01-23,6.22,6.36,6.01,6.02,204
2019-01-24,6.01,6.66,6.01,6.66,266
2019-01-25,6.81,6.97,6.66,6.82,348
2019-01-28,6.91,7.5,6.91,7.5,584
2019-01-29,7.5,8.09,7.5,7.71,491
2019-01-30,7.53,7.96,7.52,7.73,103
2019-01-31,7.76,8.0,7.57,7.8,158
2019-02-01,7.87,7.98,7.82,7.98,273
2019-02-04,8.0,8.39,8.0,8.39,389
2019-02-05,8.47,8.47,7.72,8.4,312
2019-02-06,8.39,8.4,8.06,8.4,180
2019-02-07,8.23,9.43,8.22,8.74,2379
2019-02-08,8.66,8.95,8.33,8.95,637
2019-02-11,8.95,9.27,8.91,9.24,600
2019-02-12,9.27,9.7,9.27,9.42,1848
2019-02-13,9.6,9.78,9.25,9.25,811
2019-02-14,9.23,9.54,8.85,9.35,390
2019-02-15,9.38,9.5,8.56,9.0,624
2019-02-19,8.64,9.1,7.83,7.97,979
2019-02-20,8.03,8.32,7.85,7.91,209
2019-02-21,7.92,8.2,7.92,7.95,81
2019-02-22,8.09,8.56,8.09,8.29,171
2019-02-25,8.44,9.0,8.43,8.995,471
2019-02-26,8.99,9.14,8.74,8.95,374
2019-02-27,8.88,8.98,8.43,8.97,127
2019-02-28,9.1,9.1,8.4,8.5,803
2019-03-01,8.72,8.73,8.34,8.43,62
2019-03-04,8.44,8.7,8.2,8.45,167
2019-03-05,8.46,9.07,8.46,9.07,604
2019-03-06,8.59,8.87,7.95,8.0,591
2019-03-07,8.25,8.25,7.81,7.94,86
2019-03-08,8.19,8.19,7.72,7.81,106
2019-03-11,7.68,7.8,7.2,7.2,373
2019-03-12,7.2,7.41,7.14,7.14,319
2019-03-13,7.14,7.35,6.7,7.06,745
2019-03-14,6.81,7.4,6.81,7.35,1074
2019-03-15,7.33,7.43,7.11,7.17,243
