date,open,high,low,close,volume
2018-12-10,11.62,12.2,11.49,12.01,4228
2018-12-11,12.24,12.31,11.92,12.19,3927
2018-12-12,12.25,12.7,12.1,12.37,6684
2018-12-13,12.3,12.83,12.28,12.63,3878
2018-12-14,12.49,12.58,11.35,11.37,7429
2018-12-17,11.36,11.49,11.01,11.15,3269
2018-12-18,11.19,11.54,10.98,11.05,3144
2018-12-19,10.9,11.18,10.56,10.68,5345
2018-12-20,10.53,10.94,10.04,10.26,4491
2018-12-21,10.23,10.4,9.57,9.59,6865
2018-12-24,9.52,9.82,9.26,9.5,2733
2018-12-26,9.5,10.28,9.43,10.16,4205
2018-12-27,9.88,10.2,9.57,9.95,3766
2018-12-28,9.91,10.14,9.65,9.83,2165
2018-12-31,9.89,10.13,9.59,9.89,2745
2019-01-02,9.63,10.33,9.52,10.19,3825
2019-01-03,10.0,10.64,10.0,10.1,3588
2019-01-04,10.35,11.15,10.3,10.93,4545
2019-01-07,11.03,11.68,10.84,11.4,4345
2019-01-08,11.7,11.71,11.22,11.47,3164
2019-01-09,11.64,11.96,11.58,11.75,3822
2019-01-10,11.6,12.58,11.6,12.54,7777
2019-01-11,12.49,12.57,12.17,12.32,4014
2019-01-14,12.13,12.97,11.91,12.31,5788
2019-01-15,12.57,12.86,12.26,12.32,3950
2019-01-16,12.36,12.7,12.25,12.62,4658
2019-01-17,12.52,13.1,12.46,12.97,5123
2019-01-18,13.1,13.3,12.58,12.7,5200
2019-01-22,12.62,12.89,11.95,12.17,5321
2019-01-23,12.68,12.98,12.3,12.57,4577
2019-01-24,12.6,13.58,12.6,13.56,8861
2019-01-25,13.75,15.73,13.75,15.24,16988
2019-01-28,15.18,16.0,14.92,15.76,12220
2019-01-29,15.51,15.9,15.04,15.26,5970
2019-01-30,15.43,15.94,15.32,15.89,4125
2019-01-31,15.84,16.89,15.55,16.66,12342
2019-02-01,16.76,16.93,15.02,15.15,12166
2019-02-04,15.71,16.4,15.6,16.05,7272
2019-02-05,16.13,16.59,15.72,15.85,5260
2019-02-06,16.25,16.99,16.25,16.6,11111
2019-02-07,16.26,16.7,15.55,15.63,7031
2019-02-08,15.3,15.96,15.15,15.7,4773
2019-02-11,16.1,16.49,15.86,16.2,4786
2019-02-12,16.35,16.51,15.76,16.17,5851
2019-02-13,16.22,16.73,16.22,16.42,8823
2019-02-14,16.19,16.63,16.16,16.52,3602
2019-02-15,16.59,16.7,15.66,16.0,6540
2019-02-19,16.29,18.59,16.29,18.58,18909
2019-02-20,18.9,19.19,17.72,17.86,15553
2019-02-21,17.93,18.78,17.92,18.32,6231
