date,open,high,low,close,volume
2018-12-10,5.65,5.77,5.49,5.76,995
2018-12-11,5.85,5.9,5.56,5.72,761
2018-12-12,5.83,6.0,5.65,5.72,1008
2018-12-13,5.74,5.91,5.45,5.51,1237
2018-12-14,5.43,5.5,5.14,5.15,1815
2018-12-17,5.23,5.32,4.96,5.01,2167
2018-12-18,5.01,5.22,4.92,4.97,1817
2018-12-19,4.97,5.17,4.7,4.76,1691
2018-12-20,4.62,4.84,4.53,4.59,1994
2018-12-21,4.6,4.6,4.21,4.29,2255
2018-12-24,4.06,4.69,4.03,4.6,1509
2018-12-26,4.63,4.86,4.43,4.6,2273
2018-12-27,4.59,4.92,4.51,4.91,2036
2018-12-28,4.93,5.05,4.82,5.02,1530
2018-12-31,5.06,5.24,4.83,4.89,2201
2019-01-02,4.81,5.27,4.65,5.19,872
2019-01-03,5.14,5.37,4.96,5.2,1012
2019-01-04,5.3,5.95,5.27,5.83,2004
2019-01-07,5.87,6.33,5.8,6.19,2161
2019-01-08,6.25,6.4,5.91,6.36,2137
2019-01-09,6.44,6.49,5.96,6.08,1388
2019-01-10,6.01,6.35,5.9,6.03,1001
2019-01-11,6.03,6.19,5.85,6.1,632
2019-01-14,6.05,6.43,5.88,6.2,1157
2019-01-15,6.24,6.24,6.0,6.24,1346
2019-01-16,6.24,6.37,6.01,6.04,1444
2019-01-17,6.06,6.07,5.55,5.78,3345
2019-01-18,6.17,6.17,5.71,5.89,1971
2019-01-22,5.85,5.86,5.45,5.53,1501
2019-01-23,5.6,5.67,5.26,5.58,1606
2019-01-24,5.63,5.63,5.28,5.3,1164
2019-01-25,5.32,5.58,5.29,5.52,2293
2019-01-28,5.51,5.58,5.18,5.24,3439
2019-01-29,5.3,5.36,5.17,5.26,1520
2019-01-30,5.3,5.38,5.22,5.34,2357
2019-01-31,5.35,5.68,5.35,5.53,915
2019-02-01,5.55,5.84,5.39,5.83,734
2019-02-04,5.83,6.25,5.79,6.24,1527
2019-02-05,6.28,6.82,6.28,6.79,2783
2019-02-06,6.8,6.94,6.24,6.66,2233
2019-02-07,6.6,6.87,6.38,6.76,2310
2019-02-08,6.71,6.9,6.27,6.51,2131
2019-02-11,6.62,6.79,6.42,6.65,1001
2019-02-12,6.72,6.93,6.58,6.88,926
2019-02-13,6.89,7.07,6.77,6.93,1271
2019-02-14,6.93,7.33,6.93,7.22,1317
2019-02-15,7.28,7.45,7.08,7.21,1442
2019-02-19,7.31,7.82,7.31,7.73,2638
2019-02-20,7.73,8.29,7.44,8.29,3895
2019-02-21,8.3,9.09,8.09,8.53,4750
2019-02-22,8.55,9.01,8.41,8.97,3621
2019-02-25,9.16,9.25,8.54,8.8,2765
2019-02-26,8.7,8.79,8.26,8.52,1322
2019-02-27,8.51,8.72,8.3,8.39,833
2019-02-28,8.41,8.45,8.11,8.39,1739
2019-03-01,8.47,8.98,8.31,8.89,1337
2019-03-04,8.89,8.93,8.26,8.54,1666
2019-03-05,8.6,8.91,8.52,8.59,1576
2019-03-06,8.59,8.59,7.8,7.91,2455
2019-03-07,7.89,8.35,7.85,8.21,1064
2019-03-08,8.22,8.27,7.66,8.13,2449
2019-03-11,8.26,8.77,8.16,8.62,2340
2019-03-12,8.2,8.6,7.6,8.21,3751
2019-03-13,8.24,8.32,8.0,8.05,1737
2019-03-14,8.32,8.48,8.1,8.41,1857
2019-03-15,8.45,8.7,8.3,8.67,2208
2019-03-18,8.66,8.78,8.33,8.54,2289
2019-03-19,8.56,8.74,8.3,8.49,2437
2019-03-20,8.52,8.73,8.14,8.22,1538
2019-03-21,8.16,8.32,7.66,7.71,1998
2019-03-22,7.65,7.77,7.14,7.42,1657
2019-03-25,7.39,8.0,7.24,7.95,1960
2019-03-26,8.05,8.14,7.83,7.91,1109
2019-03-27,7.88,7.95,7.54,7.69,556
2019-03-28,7.69,8.02,7.65,7.74,567
2019-03-29,7.81,8.36,7.81,8.27,1439
2019-04-01,8.4,8.55,8.14,8.37,1804
2019-04-02,8.4,8.56,8.21,8.42,1106
2019-04-03,8.43,8.64,8.33,8.59,697
2019-04-04,8.6,8.62,8.4,8.52,658
2019-04-05,8.55,8.86,8.35,8.59,3286
2019-04-08,8.55,8.92,8.45,8.8,2061
2019-04-09,8.79,8.9,8.17,8.19,1073
2019-04-10,8.21,8.34,7.91,8.0,1023
2019-04-11,7.97,8.01,7.79,7.96,917
2019-04-12,8.03,8.23,7.85,8.17,1077
2019-04-15,8.2,8.22,7.91,8.02,744
2019-04-16,8.05,8.19,7.9,7.92,778
2019-04-17,7.97,7.97,7.52,7.62,1345
2019-04-18,7.63,7.65,7.26,7.6,1137
2019-04-22,7.59,7.76,7.4,7.5,635
2019-04-23,7.49,7.65,7.34,7.55,764
2019-04-24,7.59,7.7,7.38,7.44,927
2019-04-25,7.62,7.63,7.4,7.54,788
2019-04-26,7.53,7.77,7.43,7.6,805
