date,open,high,low,close,volume
2018-12-10,22.71,24.0,20.74,23.59,1014
2018-12-11,23.74,24.0,22.71,23.17,132
2018-12-12,23.28,24.39,23.28,24.0,989
2018-12-13,24.17,24.2,23.02,23.39,269
2018-12-14,23.22,23.51,21.6,22.68,537
2018-12-17,22.76,22.895,20.0,20.12,611
2018-12-18,20.36,20.48,18.97,19.64,620
2018-12-19,19.94,20.24,18.15,18.43,319
2018-12-20,18.28,18.9,18.001,18.63,345
2018-12-21,18.51,19.25,18.51,18.93,500
2018-12-24,18.85,19.215,16.95,17.0,230
2018-12-26,17.16,19.12,17.16,17.71,288
2018-12-27,17.0501,18.0,17.0501,17.78,234
2018-12-28,17.91,20.34,17.78,19.56,1022
2018-12-31,19.7,20.315,18.1,19.75,675
2019-01-02,19.46,20.0,19.06,20.0,384
2019-01-03,19.8,20.04,19.1553,19.65,316
2019-01-04,19.75,20.97,18.4,20.37,218
2019-01-07,20.51,20.95,19.57,20.25,241
2019-01-08,20.27,20.58,19.7,19.7,264
2019-01-09,19.48,20.15,19.48,19.51,126
2019-01-10,19.38,20.25,19.38,20.25,354
2019-01-11,20.25,20.7495,19.51,19.76,216
2019-01-14,19.42,20.16,18.7,19.99,725
2019-01-15,20.19,20.248,19.03,19.59,571
2019-01-16,19.4,20.22,18.41,18.9,593
2019-01-17,18.82,19.1395,18.0,18.15,498
2019-01-18,18.16,18.89,16.25,16.71,919
2019-01-22,16.71,17.05,16.31,16.51,435
2019-01-23,16.57,17.03,16.1601,16.62,528
2019-01-24,16.75,17.0,16.3101,16.94,246
2019-01-25,17.0,18.38,16.71,18.12,365
2019-01-28,18.25,18.3,17.2,17.34,406
2019-01-29,17.6,17.6664,17.0366,17.29,250
2019-01-30,17.36,17.83,17.26,17.6,69
2019-01-31,17.55,18.75,17.43,18.69,299
2019-02-01,18.43,18.75,17.77,17.95,757
2019-02-04,17.96,19.115,17.95,18.82,1296
2019-02-05,19.04,19.4,18.75,18.9,643
2019-02-06,18.69,18.94,18.15,18.54,181
2019-02-07,18.34,19.0,18.34,18.49,871
2019-02-08,18.49,19.16,18.26,19.16,154
2019-02-11,19.03,19.185,18.7,19.07,227
2019-02-12,18.93,19.8889,18.72,19.08,594
2019-02-13,19.25,19.8,18.84,19.24,317
2019-02-14,19.32,19.88,19.08,19.6,112
2019-02-15,19.9,21.54,19.5,21.35,459
2019-02-19,21.36,21.8603,19.94,20.25,550
2019-02-20,20.25,20.25,19.64,20.0,516
2019-02-21,19.92,21.05,19.92,20.81,2990
2019-02-22,20.9,20.9,20.34,20.61,327
2019-02-25,20.83,22.68,20.7638,22.29,966
2019-02-26,22.23,22.32,21.47,21.8,279
2019-02-27,21.8,23.43,21.55,23.13,1569
2019-02-28,23.14,23.14,22.02,22.68,246
2019-03-01,22.7,23.5,22.7,23.39,650
2019-03-04,23.35,23.35,22.02,22.8,698
2019-03-05,22.76,24.01,22.52,22.67,1370
2019-03-06,22.43,22.44,21.03,21.5,241
2019-03-07,21.49,22.61,21.29,22.5,394
2019-03-08,22.47,22.55,21.165,21.69,467
2019-03-11,21.76,22.44,21.23,22.3,497
2019-03-12,22.5,23.9,21.94,23.88,1362
2019-03-13,24.35,26.57,23.8363,26.23,2979
2019-03-14,26.24,34.9199,26.24,31.1,4502
2019-03-15,30.86,31.75,27.81,28.95,2373
2019-03-18,28.51,29.0,25.6605,26.33,10545
2019-03-19,27.11,28.82,27.11,28.22,771
2019-03-20,29.03,31.41,27.34,27.68,1040
2019-03-21,27.04,28.1,27.0,28.09,272
2019-03-22,27.44,28.53,27.4,28.2,604
2019-03-25,27.91,29.47,27.3,29.47,702
2019-03-26,29.37,30.19,28.5,28.79,955
2019-03-27,28.78,30.4798,28.02,28.25,1872
2019-03-28,28.26,29.74,26.92,27.93,1499
2019-03-29,28.5,29.22,27.53,28.62,1077
2019-04-01,28.85,29.9673,26.83,27.85,1510
2019-04-02,28.05,29.27,27.48,28.75,1149
2019-04-03,28.89,31.57,28.7,30.89,1353
2019-04-04,30.87,32.15,29.1,29.81,3424
2019-04-05,29.8776,30.69,29.16,30.41,1906
2019-04-08,30.4,30.4,29.04,29.31,591
2019-04-09,28.88,29.725,28.0,28.57,710
2019-04-10,28.52,29.96,28.52,29.19,604
2019-04-11,29.18,29.18,26.18,26.51,5539
2019-04-12,26.84,27.15,25.6001,26.17,1314
2019-04-15,26.1,26.1,24.35,24.93,1563
2019-04-16,24.93,26.0599,24.27,25.27,424
2019-04-17,25.22,25.5692,24.025,25.39,585
2019-04-18,25.29,25.84,24.47,25.5,301
2019-04-22,25.51,27.25,25.51,26.4,1739
2019-04-23,26.48,26.58,25.0,25.97,1417
2019-04-24,26.06,26.06,24.01,24.02,460
2019-04-25,24.03,25.2,24.03,24.97,753
2019-04-26,24.97,24.97,21.79,22.3,714
2019-04-29,22.34,23.76,22.31,23.01,1276
2019-04-30,23.02,23.2,22.28,23.0,1058
2019-05-01,22.5623,23.69,22.52,22.65,993
2019-05-02,22.65,23.0,21.82,22.07,383
2019-05-03,22.13,22.34,21.5,22.02,264
2019-05-06,21.66,22.56,21.5,22.28,404
2019-05-07,22.18,22.54,22.02,22.39,998
2019-05-08,22.31,23.8,21.98,23.63,607
2019-05-09,23.64,24.61,23.21,24.17,398
2019-05-10,24.2035,25.21,23.79,24.64,2361
2019-05-13,24.11,24.4421,23.17,23.87,1313
2019-05-14,23.78,24.835,23.6,24.68,635
2019-05-15,24.99,25.55,23.49,24.23,3159
2019-05-16,24.0,24.73,23.65,24.37,591
2019-05-17,24.22,24.59,23.435,23.8,726
2019-05-20,23.3,23.7884,22.45,23.04,694
2019-05-21,23.13,24.35,22.875,23.43,1076
2019-05-22,23.1854,24.23,22.98,23.14,1260
2019-05-23,22.68,23.92,22.68,23.64,869
2019-05-24,23.58,24.195,23.4,23.89,2328
2019-05-28,23.99,24.3,23.24,23.92,876
2019-05-29,23.98,24.0468,22.71,23.11,479
2019-05-30,23.06,23.21,22.72,23.02,480
2019-05-31,22.89,22.89,20.53,21.25,916
2019-06-03,21.2,21.27,19.59,19.8,687
2019-06-04,20.06,20.09,18.765,19.41,1126
2019-06-05,19.55,19.59,18.83,19.39,1016
2019-06-06,19.4,20.22,18.95,18.96,913
2019-06-07,18.98,21.07,18.98,20.21,4422
2019-06-10,20.31,20.51,19.85,19.97,3047
2019-06-11,20.02,20.24,18.3,18.44,1327
2019-06-12,18.46,19.24,18.05,19.15,832
2019-06-13,19.49,19.94,19.0,19.75,437
2019-06-14,19.76,20.23,19.55,19.9,1038
2019-06-17,19.78,20.95,19.29,20.73,2769
2019-06-18,20.87,21.0,20.16,20.38,715
2019-06-19,20.37,20.505,19.9,20.45,466
2019-06-20,20.51,21.73,20.41,21.71,1781
2019-06-21,21.7,21.81,20.52,21.52,1077
2019-06-24,21.55,22.25,20.63,21.25,1126
2019-06-25,21.3,21.3,20.3,20.56,672
2019-06-26,20.72,20.72,19.68,20.62,621
2019-06-27,20.72,21.68,20.43,21.6,958
2019-06-28,21.82,23.23,21.775,22.15,3466
2019-07-01,22.11,22.885,21.21,21.67,2005
2019-07-02,21.85,21.85,19.93,20.61,1183
2019-07-03,20.57,20.57,19.08,19.78,561
2019-07-05,19.79,19.79,18.285,18.74,619
2019-07-08,18.65,18.65,17.92,18.18,666
2019-07-09,18.13,18.64,17.96,18.49,455
2019-07-10,18.72,19.155,18.59,18.95,862
2019-07-11,19.0,19.0,17.5,17.57,1015
2019-07-12,17.51,17.59,16.91,17.31,660
2019-07-15,17.2,17.31,16.3505,17.0,1083
2019-07-16,16.83,17.42,16.72,17.22,1086
2019-07-17,17.13,17.48,16.9,17.35,614
2019-07-18,17.4,17.61,17.15,17.51,347
2019-07-19,17.55,18.03,17.55,17.55,1417
2019-07-22,18.07,18.69,18.0,18.33,2160
2019-07-23,18.49,18.89,17.66,17.82,1296
2019-07-24,17.64,18.1,17.62,17.89,649
2019-07-25,17.93,18.15,17.75,17.75,1229
2019-07-26,17.9,18.1,16.37,16.92,2571
2019-07-29,17.34,17.86,16.8,16.87,1926
2019-07-30,16.75,16.82,16.25,16.51,1191
2019-07-31,16.74,17.32,16.35,16.59,1334
2019-08-01,16.56,16.8297,16.055,16.34,1082
2019-08-02,16.3,16.49,15.695,16.21,604
