date,open,high,low,close,volume
2018-12-10,72.9,73.36,70.04,71.25,5167
2018-12-11,72.46,73.94,71.65,72.49,3695
2018-12-12,73.81,75.27,73.57,73.68,3272
2018-12-13,73.76,73.78,70.38,71.15,5437
2018-12-14,70.5,70.95,68.98,69.05,4400
2018-12-17,68.96,69.92,66.67,67.07,3402
2018-12-18,67.65,68.72,65.28,65.38,3513
2018-12-19,65.63,68.57,64.28,64.5,3982
2018-12-20,64.04,65.24,63.27,63.93,3419
2018-12-21,63.8,64.61,61.99,62.29,3881
2018-12-24,61.66,62.77,60.63,62.49,2427
2018-12-26,62.51,67.04,62.51,67.03,3953
2018-12-27,65.7,66.57,63.83,66.46,2601
2018-12-28,67.09,67.62,65.78,66.47,2562
2018-12-31,67.02,67.44,65.53,67.36,2287
2019-01-02,66.0,69.15,65.59,67.96,2126
2019-01-03,67.79,68.05,65.24,66.6,2332
2019-01-04,67.83,69.17,67.15,67.28,3218
2019-01-07,67.44,68.9,66.73,68.15,3640
2019-01-08,69.12,69.61,66.82,68.17,3129
2019-01-09,68.7,71.04,68.35,70.11,3395
2019-01-10,68.51,69.07,66.91,68.69,4244
2019-01-11,68.32,68.74,67.51,68.11,3414
2019-01-14,67.34,68.2,67.12,67.47,2237
2019-01-15,67.53,67.87,66.12,67.05,2535
2019-01-16,67.27,68.48,66.73,67.2,2587
2019-01-17,66.82,68.68,66.82,68.25,2103
2019-01-18,68.96,70.46,68.3,70.21,2786
2019-01-22,69.38,70.53,67.72,68.08,3036
2019-01-23,68.43,68.63,66.76,67.73,2355
2019-01-24,67.8,68.92,66.81,67.4,3750
2019-01-25,68.1,69.05,67.9,68.71,2654
2019-01-28,67.64,68.79,67.4,68.77,4146
2019-01-29,69.17,71.32,69.08,70.85,4118
2019-01-30,71.42,71.73,68.67,71.36,3929
2019-01-31,73.0,75.86,73.0,74.91,7579
2019-02-01,74.35,74.89,73.29,73.93,6599
2019-02-04,73.65,74.44,73.29,74.29,3901
2019-02-05,74.49,75.84,74.42,75.18,4156
2019-02-06,74.7,75.41,74.02,75.05,2548
2019-02-07,74.44,76.12,73.2,73.36,5037
2019-02-08,72.89,74.12,72.64,73.92,3074
2019-02-11,74.19,74.69,73.51,74.02,2898
2019-02-12,74.75,76.21,74.52,76.05,3667
2019-02-13,76.16,76.59,75.0,75.09,2735
2019-02-14,74.52,75.99,74.44,75.53,1915
2019-02-15,75.96,77.77,74.96,77.68,3676
2019-02-19,77.36,78.45,76.96,77.01,3257
2019-02-20,77.2,78.86,76.82,78.77,2810
2019-02-21,78.11,78.74,77.44,78.01,2436
2019-02-22,78.3,78.61,77.22,78.46,1773
2019-02-25,79.02,79.02,77.32,77.42,2624
2019-02-26,77.17,77.45,75.92,75.95,2519
2019-02-27,75.73,76.0,74.42,75.62,3516
2019-02-28,75.64,76.0,74.16,74.22,2387
2019-03-01,74.87,75.22,73.96,74.2,2862
2019-03-04,74.71,75.19,73.5,74.54,2467
2019-03-05,74.69,74.98,73.54,73.57,1225
2019-03-06,73.76,73.96,72.71,72.9,1841
2019-03-07,72.36,72.6,70.84,71.74,3284
2019-03-08,71.0,72.0,70.72,71.21,3932
2019-03-11,71.49,72.75,71.01,72.69,2442
2019-03-12,72.82,73.8,72.73,73.52,2298
2019-03-13,73.96,74.7,73.11,73.35,3598
2019-03-14,73.29,73.78,72.76,72.88,2323
2019-03-15,72.93,74.2,72.93,73.85,3368
2019-03-18,74.09,74.76,73.52,74.73,3690
2019-03-19,75.1,76.48,74.86,75.78,4258
2019-03-20,75.32,76.62,75.2,76.0,3861
2019-03-21,75.47,76.79,75.28,76.44,2849
2019-03-22,75.95,76.15,74.95,75.23,5350
2019-03-25,74.97,75.42,74.09,74.78,2812
2019-03-26,75.3,76.28,74.85,76.16,1707
2019-03-27,76.09,77.27,75.84,76.81,1923
2019-03-28,76.75,77.85,76.64,76.77,2338
2019-03-29,77.0,77.69,74.7,75.11,3618
2019-04-01,75.82,77.11,75.39,76.88,3035
2019-04-02,76.85,77.31,75.42,75.62,1401
2019-04-03,76.09,76.69,74.55,74.89,2399
2019-04-04,74.82,75.99,74.82,75.75,2591
2019-04-05,75.88,77.58,75.72,77.32,3095
2019-04-08,77.2,77.54,76.9,77.17,2364
2019-04-09,76.73,77.19,75.24,75.8,3512
2019-04-10,76.06,77.74,75.59,77.39,1883
2019-04-11,77.4,78.78,77.4,78.26,1867
2019-04-12,78.71,79.01,77.24,77.85,3172
2019-04-15,77.72,78.34,77.31,77.66,3048
2019-04-16,77.89,79.7,77.51,79.28,2898
2019-04-17,79.97,80.33,78.88,79.09,4077
2019-04-18,79.28,79.79,79.1,79.48,4688
2019-04-22,79.44,80.34,79.44,79.86,2466
2019-04-23,79.8,81.47,79.55,80.89,2271
2019-04-24,81.47,82.5,80.55,81.67,3030
2019-04-25,81.24,81.31,79.05,80.48,3638
2019-04-26,80.65,82.24,80.05,81.03,3545
2019-04-29,81.02,81.57,79.91,81.54,3362
2019-04-30,81.59,81.96,80.63,81.72,2459
2019-05-01,81.99,82.21,78.0,78.16,5498
2019-05-02,83.0,84.67,80.78,81.84,8259
2019-05-03,83.71,86.07,83.71,84.9,5010
2019-05-06,83.0,85.8,83.0,85.16,4239
2019-05-07,84.3,84.69,80.44,81.24,5137
2019-05-08,81.36,83.78,81.35,83.26,3221
2019-05-09,82.2,83.31,81.81,82.96,2545
2019-05-10,82.69,83.35,81.22,83.1,1918
2019-05-13,81.4,81.89,79.08,79.64,4079
2019-05-14,80.35,82.83,80.24,82.52,3205
2019-05-15,82.0,83.23,82.0,83.03,2821
2019-05-16,83.63,85.59,83.63,84.91,4559
2019-05-17,84.12,85.02,83.65,84.28,3030
2019-05-20,83.6,84.82,83.6,84.68,2423
2019-05-21,85.24,86.26,84.95,86.19,3300
2019-05-22,85.87,86.44,84.45,85.01,2978
2019-05-23,84.01,84.43,80.62,80.91,8026
2019-05-24,81.44,82.37,80.4,82.22,3076
2019-05-28,82.6,83.02,80.8,81.37,1768
2019-05-29,80.34,80.75,79.45,80.42,2781
2019-05-30,80.79,81.0,78.52,78.78,3059
2019-05-31,77.81,78.67,76.62,77.38,3131
2019-06-03,77.61,78.58,77.31,77.73,3222
2019-06-04,78.98,80.18,78.08,80.14,3537
2019-06-05,80.52,80.75,78.89,80.51,2629
2019-06-06,80.59,80.98,78.89,80.5,2786
2019-06-07,80.88,82.08,80.82,81.28,4948
2019-06-10,82.24,83.4,81.48,82.15,3241
2019-06-11,82.88,83.55,80.89,81.45,1853
2019-06-12,81.03,81.63,79.24,79.36,2827
2019-06-13,79.79,80.75,79.32,80.53,2985
2019-06-14,80.14,80.48,79.06,79.32,2818
2019-06-17,79.02,80.09,78.33,79.22,1665
2019-06-18,79.89,81.51,79.84,81.35,2457
2019-06-19,81.5,82.6,81.08,81.93,3212
2019-06-20,83.19,84.35,81.72,82.31,3486
2019-06-21,82.1,82.1,80.05,80.18,4289
2019-06-24,80.37,80.66,76.6,76.94,5319
2019-06-25,76.77,77.25,75.62,75.85,4945
2019-06-26,76.4,77.39,76.02,77.14,4038
2019-06-27,77.57,78.27,77.12,77.9,3018
2019-06-28,78.25,79.47,77.84,79.0,4007
2019-07-01,80.1,80.49,78.19,78.8,2140
2019-07-02,78.39,78.56,76.87,77.68,2829
2019-07-03,77.91,78.07,76.87,77.27,1853
2019-07-05,76.88,77.96,76.52,77.45,1734
2019-07-08,77.1,77.44,75.48,75.94,3859
2019-07-09,75.67,75.94,74.73,75.05,3618
2019-07-10,75.83,75.92,74.22,74.9,2818
2019-07-11,74.69,75.14,73.7,74.51,2395
2019-07-12,74.75,75.93,74.29,75.66,5068
2019-07-15,76.08,76.78,75.57,76.16,2530
2019-07-16,76.25,77.88,76.02,77.45,2985
2019-07-17,77.05,77.24,75.37,75.64,3153
2019-07-18,75.64,76.58,75.1,76.26,1886
2019-07-19,76.3,76.62,75.76,75.86,3179
2019-07-22,76.23,76.56,75.29,76.08,1847
2019-07-23,76.78,77.67,76.33,77.14,2631
2019-07-24,76.86,78.17,76.86,77.77,2759
2019-07-25,73.0,76.73,70.85,72.49,19139
2019-07-26,72.47,76.6,71.81,76.27,4977
2019-07-29,78.14,78.69,76.39,78.22,4790
2019-07-30,77.21,79.8,77.11,78.57,2783
2019-07-31,78.59,79.32,77.37,78.36,3536
2019-08-01,78.53,78.53,75.24,76.08,2958
2019-08-02,75.46,76.24,73.68,74.87,2394
2019-08-05,73.24,73.67,71.9,72.24,4335
2019-08-06,73.11,74.25,72.53,74.14,3079
2019-08-07,72.45,75.16,72.32,74.85,3120
2019-08-08,75.43,76.96,74.91,76.9,2201
2019-08-09,76.6,76.6,75.31,75.51,2228
2019-08-12,74.78,75.34,72.49,72.65,2633
2019-08-13,71.8,74.87,71.54,73.9,2753
2019-08-14,72.33,73.06,70.93,71.21,3590
2019-08-15,71.4,71.4,69.7,70.6,2047
2019-08-16,70.98,73.38,70.67,73.17,3417
2019-08-19,74.43,75.07,73.59,74.85,2503
2019-08-20,74.8,75.27,74.07,74.27,1656
2019-08-21,75.26,76.18,74.68,74.81,2142
2019-08-22,74.99,75.17,73.87,74.47,850
2019-08-23,73.96,74.95,70.42,70.51,2381
2019-08-26,71.51,72.55,70.72,72.09,1823
2019-08-27,72.55,72.65,70.52,70.79,1445
2019-08-28,70.55,72.97,70.24,72.64,1321
2019-08-29,73.64,75.42,73.32,73.79,2112
2019-08-30,74.13,74.5,72.75,73.59,1675
2019-09-03,72.54,73.13,70.74,71.96,2082
2019-09-04,72.83,73.1,71.93,72.6,3276
2019-09-05,73.74,75.89,73.4,75.52,2642
2019-09-06,75.72,76.46,74.77,75.84,1284
2019-09-09,76.53,78.78,76.33,78.62,2691
2019-09-10,78.55,81.08,78.55,80.66,3282
2019-09-11,81.26,83.32,80.22,83.22,3646
2019-09-12,82.93,83.32,81.64,82.16,2943
2019-09-13,82.84,83.22,81.75,82.89,2912
2019-09-16,82.89,84.98,82.18,83.23,5789
2019-09-17,82.66,82.93,81.46,82.73,2454
2019-09-18,82.26,82.66,81.11,81.88,2124
2019-09-19,81.82,82.26,79.78,80.04,3080
2019-09-20,80.22,81.23,79.83,80.47,3295
2019-09-23,80.02,81.6,79.56,80.88,2140
2019-09-24,81.46,82.6,80.71,80.89,3303
2019-09-25,80.32,82.0,80.32,81.71,4250
2019-09-26,81.8,82.08,80.7,81.83,3028
2019-09-27,82.09,83.34,81.56,82.0,2928
2019-09-30,82.36,82.94,81.79,82.16,1444
2019-10-01,83.0,83.8,79.66,79.77,3045
2019-10-02,78.86,79.08,77.76,78.14,2837
2019-10-03,77.94,79.37,76.62,79.36,3508
2019-10-04,79.49,81.15,79.13,80.99,2077
2019-10-07,80.59,82.63,79.8,81.49,2434
2019-10-08,80.4,80.68,78.59,78.85,4214
2019-10-09,79.61,79.72,77.42,78.18,3690
2019-10-10,78.63,80.05,78.31,79.86,1521
2019-10-11,81.12,83.02,80.15,80.37,4400
2019-10-14,80.15,80.15,78.8,79.36,2527
2019-10-15,79.7,80.41,78.58,79.94,4615
2019-10-16,79.54,81.16,79.34,80.92,2730
2019-10-17,81.46,81.75,80.62,81.02,3145
2019-10-18,80.63,81.73,80.44,81.11,2184
2019-10-21,81.87,82.27,80.75,81.15,3827
2019-10-22,81.34,82.67,80.7,82.57,2420
2019-10-23,82.51,83.73,81.98,82.4,2867
2019-10-24,82.59,82.71,79.77,81.52,4623
2019-10-25,83.07,86.09,80.87,81.11,5155
2019-10-28,81.29,82.59,80.13,80.71,2838
2019-10-29,80.12,83.2,79.33,83.15,4324
2019-10-30,82.86,82.94,79.78,80.59,2468
2019-10-31,80.06,80.26,78.51,79.16,2124
2019-11-01,80.15,81.42,79.69,80.77,1554
2019-11-04,81.56,84.62,80.94,84.47,4726
2019-11-05,84.87,86.38,83.83,84.44,2820
2019-11-06,83.98,84.05,82.07,83.03,3255
2019-11-07,83.9,84.78,82.54,82.69,2059
2019-11-08,82.29,83.12,81.63,83.1,2068
2019-11-11,82.12,83.3,82.04,83.16,1293
2019-11-12,83.53,84.11,82.79,82.93,1418
2019-11-13,82.38,83.25,81.6,82.25,1964
2019-11-14,82.02,82.97,81.65,82.9,1903
2019-11-15,83.72,83.96,82.89,83.05,1937
2019-11-18,82.71,83.49,81.83,83.2,1156
2019-11-19,83.38,84.11,82.92,83.27,1603
2019-11-20,83.04,84.93,82.74,84.27,2959
2019-11-21,84.34,84.8,83.52,83.66,1489
2019-11-22,84.32,84.32,82.83,83.93,957
2019-11-25,84.5,85.62,83.7,85.26,1864
2019-11-26,85.02,85.83,84.09,85.15,1022
2019-11-27,85.24,85.27,84.34,85.1,923
2019-11-29,84.82,85.28,84.11,84.37,360
2019-12-02,84.61,85.3,83.6,83.75,1233
2019-12-03,82.71,82.91,81.75,82.0,1273
2019-12-04,82.54,83.56,82.04,82.14,2505
2019-12-05,82.55,83.12,82.02,82.62,973
2019-12-06,83.73,85.03,83.42,83.64,1816
2019-12-09,83.4,83.96,82.78,82.98,1834
2019-12-10,82.65,83.21,81.24,81.36,1594
2019-12-11,81.42,82.0,81.0,81.72,1637
2019-12-12,81.63,84.15,81.1,83.13,1626
2019-12-13,83.21,83.99,81.98,82.1,1283
2019-12-16,82.58,83.49,82.44,82.81,1193
2019-12-17,83.19,83.28,82.07,82.86,1185
2019-12-18,82.87,83.28,82.08,82.48,2661
2019-12-19,84.63,87.42,83.33,86.64,6714
2019-12-20,87.03,88.17,86.71,88.05,4147
2019-12-23,88.32,88.32,86.32,87.46,2034
2019-12-24,87.54,87.94,87.12,87.72,470
2019-12-26,88.02,88.73,87.72,88.62,977
2019-12-27,88.86,89.42,88.32,88.49,1628
2019-12-30,88.48,89.89,88.48,89.63,1556
2019-12-31,89.41,90.08,89.36,89.53,1669
2020-01-02,90.29,90.29,87.73,88.94,2440
2020-01-03,88.45,89.0,87.85,88.64,1381
2020-01-06,87.88,88.62,87.34,88.56,1534
2020-01-07,88.31,89.78,87.87,89.73,1260
2020-01-08,89.55,90.75,89.29,90.05,3305
2020-01-09,90.52,90.71,89.75,89.94,2209
2020-01-10,90.0,90.16,89.38,89.86,1911
2020-01-13,90.0,90.29,89.38,90.25,2159
2020-01-14,89.92,92.3,89.6,91.43,2906
2020-01-15,90.92,91.39,89.96,90.46,1398
2020-01-16,91.19,91.53,90.41,90.63,1351
2020-01-17,90.76,90.93,89.7,90.46,2110
2020-01-21,89.94,90.36,87.61,87.62,1987
2020-01-22,87.56,88.0,85.74,86.49,4712
2020-01-23,85.84,86.13,84.2,85.07,3640
2020-01-24,85.24,85.4,83.16,83.66,1900
2020-01-27,81.72,83.52,80.93,83.03,2487
2020-01-28,83.85,85.47,83.17,84.09,2387
2020-01-29,84.71,86.66,84.46,84.8,3801
2020-01-30,81.31,81.31,75.88,77.71,15829
2020-01-31,75.73,75.73,72.3,73.29,11031
2020-02-03,73.51,74.07,71.87,72.09,4629
2020-02-04,73.25,73.57,71.56,71.79,5977
2020-02-05,72.55,76.02,71.89,75.32,7847
2020-02-06,75.82,75.82,73.38,73.64,3500
2020-02-07,72.88,74.42,72.64,74.16,2201
2020-02-10,74.01,75.48,73.6,74.81,2646
2020-02-11,75.39,76.09,74.7,75.03,1861
2020-02-12,75.76,76.13,73.75,74.97,2072
2020-02-13,74.5,76.19,74.25,75.66,2335
2020-02-14,75.7,75.7,73.61,74.22,3201
2020-02-18,73.8,74.65,73.27,73.94,1904
2020-02-19,74.23,74.97,73.86,74.49,949
2020-02-20,74.06,75.11,73.73,74.3,1457
2020-02-21,73.75,74.51,72.2,74.22,2260
2020-02-24,71.53,72.75,70.66,71.6,3035
2020-02-25,71.86,71.86,68.85,69.37,3839
2020-02-26,69.95,70.32,67.86,67.89,1691
2020-02-27,66.15,68.25,63.93,65.55,1957
2020-02-28,63.0,65.11,62.25,63.75,6223
2020-03-02,64.3,65.66,62.74,64.86,3842
2020-03-03,64.95,66.25,63.48,63.88,6147
2020-03-04,64.98,65.28,63.14,63.68,3595
2020-03-05,61.9,62.54,60.0,60.99,6262
2020-03-06,58.98,61.39,58.05,58.94,4623
2020-03-09,52.81,53.23,47.33,48.4,12155
2020-03-10,51.07,51.2,46.83,47.86,10467
2020-03-11,46.49,47.43,43.97,45.38,10990
2020-03-12,42.5,42.87,38.34,39.26,12393
2020-03-13,42.13,44.26,39.05,44.21,5414
2020-03-16,39.29,42.44,36.37,36.7,5222
2020-03-17,37.43,41.45,35.49,40.73,6005
2020-03-18,38.18,40.44,33.67,34.2,5101
2020-03-19,33.9,38.01,32.76,36.8,4340
2020-03-20,37.15,40.48,35.83,36.53,4271
2020-03-23,36.14,38.82,34.87,38.08,4883
2020-03-24,40.59,42.92,40.21,42.32,5376
2020-03-25,42.98,43.62,39.49,41.32,4955
2020-03-26,41.87,43.96,40.45,43.96,4434
2020-03-27,41.63,43.82,40.84,43.0,4820
2020-03-30,43.33,44.19,41.76,42.87,3517
2020-03-31,42.79,44.25,42.21,43.47,2562
2020-04-01,40.91,41.57,39.51,40.07,2107
2020-04-02,40.13,42.93,39.75,41.49,3997
2020-04-03,41.0,42.55,40.08,40.54,2569
2020-04-06,42.7,45.48,41.99,45.42,8283
2020-04-07,47.23,48.85,46.42,46.54,4752
2020-04-08,47.32,49.27,46.07,48.79,2874
2020-04-09,50.46,52.08,47.86,49.53,3025
2020-04-13,49.48,49.48,46.95,47.63,1665
2020-04-14,48.77,49.57,47.49,49.03,4713
2020-04-15,46.76,47.57,44.9,45.22,2641
2020-04-16,45.94,46.62,43.57,44.82,2928
2020-04-17,46.52,47.92,46.13,46.5,4678
2020-04-20,45.59,47.41,45.07,46.67,4171
2020-04-21,45.15,46.69,44.77,46.4,2937
2020-04-22,47.88,47.9,46.76,47.7,2244
2020-04-23,48.41,49.96,47.23,49.04,3069
2020-04-24,49.12,49.61,48.34,49.04,2150
2020-04-27,49.82,51.51,49.0,51.01,1961
2020-04-28,52.54,52.89,51.46,52.29,1631
2020-04-29,54.26,54.87,53.34,54.12,2247
2020-04-30,53.49,54.29,51.22,53.42,2786
2020-05-01,52.27,52.27,48.99,49.55,4084
2020-05-04,48.83,50.16,48.3,49.86,4958
2020-05-05,51.45,54.0,47.14,47.78,3916
2020-05-06,47.7,48.78,45.45,48.06,3359
2020-05-07,49.01,50.69,48.63,49.84,4379
2020-05-08,50.98,52.34,50.44,52.22,3089
