date,open,high,low,close,volume
2018-12-10,2.34,2.35,2.25,2.26,385
2018-12-11,2.29,2.35,2.26,2.35,945
2018-12-12,2.35,2.35,2.19,2.26,648
2018-12-13,2.27,2.28,2.21,2.23,363
2018-12-14,2.18,2.31,2.14,2.19,464
2018-12-17,2.3,2.3,2.22,2.28,398
2018-12-18,2.25,2.28,2.05,2.1,709
2018-12-19,2.15,2.2,2.05,2.05,273
2018-12-20,2.1,2.11,1.98,2.0,935
2018-12-21,1.99,2.0,1.85,1.9,952
2018-12-24,1.89,1.9,1.85,1.87,142
2018-12-26,1.9,1.97,1.81,1.92,675
2018-12-27,1.9,1.91,1.86,1.89,750
2018-12-28,1.87,2.35,1.87,2.33,1755
2018-12-31,2.29,2.97,2.25,2.87,5492
2019-01-02,2.75,2.77,2.47,2.49,365
2019-01-03,2.48,2.53,2.28,2.32,140
2019-01-04,2.33,2.43,2.33,2.395,235
2019-01-07,2.41,2.43,2.24,2.4,275
2019-01-08,2.41,2.52,2.35,2.4,111
2019-01-09,2.38,2.44,2.35,2.37,78
2019-01-10,2.36,2.37,2.28,2.35,224
2019-01-11,2.25,2.4,2.18,2.36,1919
2019-01-14,2.4,2.4,2.21,2.3,315
2019-01-15,2.29,2.35,2.11,2.11,153
2019-01-16,2.11,2.51,2.11,2.42,567
2019-01-17,2.4,2.44,2.31,2.43,167
2019-01-18,2.46,2.46,2.35,2.38,68
2019-01-22,2.34,2.41,2.27,2.29,154
2019-01-23,2.28,2.32,2.22,2.3,476
2019-01-24,2.28,2.34,2.26,2.29,68
2019-01-25,2.28,2.37,2.27,2.29,110
2019-01-28,2.26,2.33,2.25,2.3,93
2019-01-29,2.28,2.3,2.26,2.28,70
2019-01-30,2.26,2.32,2.23,2.29,62
2019-01-31,2.27,2.35,2.14,2.17,640
2019-02-01,2.2,2.36,2.16,2.28,463
2019-02-04,2.35,2.41,2.32,2.32,123
2019-02-05,2.33,2.45,2.33,2.44,830
2019-02-06,2.44,2.5,2.32,2.4,157
2019-02-07,2.36,2.39,2.3,2.32,317
2019-02-08,2.3,2.38,2.26,2.38,138
2019-02-11,2.29,2.43,2.18,2.42,431
2019-02-12,2.38,2.4,2.28,2.28,226
2019-02-13,2.28,2.58,2.28,2.55,570
2019-02-14,2.56,2.66,2.55,2.59,789
2019-02-15,2.59,2.75,2.59,2.65,590
2019-02-19,2.69,2.7,2.65,2.69,254
2019-02-20,2.74,2.76,2.56,2.585,140
2019-02-21,2.54,2.54,2.34,2.39,131
2019-02-22,2.47,2.47,2.35,2.37,181
2019-02-25,2.36,2.41,2.28,2.33,259
2019-02-26,2.33,2.36,2.23,2.28,160
2019-02-27,2.29,2.31,2.23,2.3,99
2019-02-28,2.3,2.35,2.28,2.35,67
2019-03-01,2.31,2.31,2.2,2.29,223
2019-03-04,2.27,2.35,2.24,2.32,263
2019-03-05,2.31,2.36,2.26,2.31,19
2019-03-06,2.24,2.26,2.22,2.25,68
2019-03-07,2.21,2.24,2.19,2.19,80
2019-03-08,2.19,2.2,2.17,2.19,91
2019-03-11,2.23,2.31,2.2,2.25,742
2019-03-12,2.29,2.32,2.2,2.32,504
2019-03-13,2.27,2.32,2.21,2.23,489
2019-03-14,2.25,2.25,2.2,2.25,489
2019-03-15,2.25,2.25,2.02,2.14,631
