date,open,high,low,close,volume
2018-12-10,48.86,49.0,47.19,48.27,53912
2018-12-11,48.71,49.31,48.13,48.38,50596
2018-12-12,48.95,49.18,48.23,48.26,43103
2018-12-13,48.37,48.64,48.0,48.47,37849
2018-12-14,48.49,48.49,47.37,47.46,43133
2018-12-17,47.5,47.99,46.37,46.82,59124
2018-12-18,46.98,47.24,45.88,46.15,61000
2018-12-19,46.5,46.88,44.87,45.09,89243
2018-12-20,45.08,45.48,44.42,44.85,94236
2018-12-21,45.03,45.9,43.94,44.05,80199
2018-12-24,44.06,44.22,42.44,42.54,44560
2018-12-26,42.66,43.29,41.6,43.29,78481
2018-12-27,43.2,43.79,42.28,43.76,72393
2018-12-28,43.91,44.55,43.39,43.57,69427
2018-12-31,42.96,43.42,42.34,43.04,75943
2019-01-02,42.75,43.72,42.28,43.34,49658
2019-01-03,43.15,43.88,42.98,43.31,51220
2019-01-04,44.08,44.64,43.5,44.49,49869
2019-01-07,44.49,45.71,44.01,45.33,53508
2019-01-08,45.61,45.74,45.04,45.37,60282
2019-01-09,45.32,45.47,44.77,45.13,53170
2019-01-10,45.15,45.67,44.79,45.6,45079
2019-01-11,45.79,45.87,44.78,45.61,38172
2019-01-14,45.57,46.42,45.44,46.25,50132
2019-01-15,46.66,46.92,46.24,46.91,49136
2019-01-16,46.97,47.34,46.64,46.84,74090
2019-01-17,46.92,47.1,46.31,47.08,46414
2019-01-18,47.42,47.8,47.0,47.53,47659
2019-01-22,47.84,47.9,46.51,47.28,55020
2019-01-23,47.53,47.7,46.58,47.06,36732
2019-01-24,46.58,47.08,46.4,46.54,47820
2019-01-25,46.84,47.24,46.66,46.75,44624
2019-01-28,46.78,47.11,46.06,46.9,48837
2019-01-29,47.05,47.26,46.41,46.88,33673
2019-01-30,47.0,47.14,46.52,46.75,44009
2019-01-31,46.97,48.1,46.94,48.06,60209
2019-02-01,48.12,48.24,47.52,47.76,34873
2019-02-04,47.82,47.98,47.39,47.73,48937
2019-02-05,47.62,48.16,47.46,48.14,46778
2019-02-06,47.95,48.07,47.48,47.69,36003
2019-02-07,47.12,47.7,46.82,47.23,80725
2019-02-08,47.2,47.48,46.64,47.46,41185
2019-02-11,47.5,47.75,46.88,47.33,38632
2019-02-12,47.59,48.47,47.5,48.11,40326
2019-02-13,48.31,48.42,47.61,47.64,47832
2019-02-14,47.48,47.66,46.89,47.34,37196
2019-02-15,47.82,48.09,47.34,47.62,46447
2019-02-19,47.78,48.38,47.63,47.77,55272
2019-02-20,47.9,48.5,47.63,48.26,52744
2019-02-21,48.35,48.66,47.85,48.18,49872
2019-02-22,35.85,36.0,34.51,34.95,1159350
2019-02-25,34.98,35.42,34.06,34.23,416795
2019-02-26,34.24,34.51,33.04,33.12,332599
2019-02-27,33.16,33.25,32.05,32.2,258662
2019-02-28,32.42,33.64,31.82,33.19,350778
2019-03-01,33.41,33.49,32.35,32.4,182649
2019-03-04,32.93,33.55,32.77,33.23,165343
2019-03-05,33.37,33.39,32.66,33.04,113086
2019-03-06,33.13,33.2,32.75,32.86,77798
2019-03-07,32.58,32.63,31.81,31.89,133492
2019-03-08,31.69,32.3,31.6,32.1,101566
2019-03-11,32.03,32.19,31.65,32.17,98356
2019-03-12,32.2,32.42,31.85,31.99,81799
2019-03-13,32.07,32.31,31.9,32.3,70291
2019-03-14,32.34,32.5,31.85,31.87,71761
2019-03-15,31.96,32.22,31.65,32.09,110059
2019-03-18,31.8,32.1,31.53,32.03,119602
2019-03-19,31.97,32.48,31.88,32.13,82852
2019-03-20,32.14,32.18,31.74,32.02,84799
2019-03-21,32.05,32.85,31.92,32.75,99377
2019-03-22,32.83,32.85,32.19,32.29,104950
2019-03-25,32.27,32.54,32.03,32.5,66288
2019-03-26,32.55,33.05,32.51,32.9,66112
2019-03-27,32.9,33.19,32.41,32.64,66691
2019-03-28,32.7,33.03,32.68,32.89,54587
2019-03-29,32.67,33.05,32.55,32.65,65706
2019-04-01,32.8,32.98,32.41,32.5,66400
2019-04-02,32.56,32.73,32.02,32.08,76462
2019-04-03,32.16,32.36,32.02,32.25,67847
2019-04-04,32.3,32.79,32.11,32.69,63721
2019-04-05,32.71,33.2,32.62,33.17,71865
2019-04-08,33.23,33.37,32.96,33.19,54273
2019-04-09,33.17,33.23,32.85,32.95,55562
