date,open,high,low,close,volume
2018-12-10,19.04,20.53,19.04,20.35,9499
2018-12-11,20.75,20.91,19.21,19.73,5728
2018-12-12,19.98,20.27,19.35,19.54,3933
2018-12-13,19.6,19.93,19.04,19.09,3506
2018-12-14,18.39,18.58,16.39,17.11,17065
2018-12-17,17.12,18.25,16.87,17.11,9989
2018-12-18,17.34,17.7,16.77,17.11,6603
2018-12-19,17.15,17.83,16.74,16.75,3466
2018-12-20,16.75,17.52,16.66,16.92,3507
2018-12-21,16.93,17.42,16.49,16.72,5761
2018-12-24,16.54,16.97,16.42,16.62,1084
2018-12-26,16.8,17.66,16.53,17.57,1722
2018-12-27,17.27,17.42,16.6,17.41,3150
2018-12-28,17.42,17.89,17.05,17.67,1575
2018-12-31,17.8,18.47,17.34,17.78,2253
2019-01-02,17.42,18.5,17.32,18.23,991
2019-01-03,17.74,17.84,16.58,16.71,3923
2019-01-04,16.92,17.52,16.92,17.17,2559
2019-01-07,17.26,17.53,16.92,17.25,2237
2019-01-08,17.51,17.75,17.0,17.61,1569
2019-01-09,17.65,18.32,17.24,18.25,2754
2019-01-10,18.05,18.38,17.25,17.34,2101
2019-01-11,17.2,17.8,17.01,17.68,3603
2019-01-14,17.52,17.82,17.15,17.44,1709
2019-01-15,17.5,18.21,17.32,17.87,2186
2019-01-16,17.89,19.64,17.58,18.93,12868
2019-01-17,18.75,19.01,17.64,18.49,8426
2019-01-18,18.59,19.71,18.55,19.38,7273
2019-01-22,19.3,19.5,18.41,18.58,5058
2019-01-23,18.59,18.87,17.92,18.09,2190
2019-01-24,18.4,19.26,18.08,18.83,2922
2019-01-25,18.91,19.53,18.87,19.46,3567
2019-01-28,19.24,19.7,19.02,19.17,1939
2019-01-29,19.17,19.52,19.17,19.26,1656
2019-01-30,19.24,19.26,18.02,18.74,6197
2019-01-31,18.81,19.72,18.81,19.55,3032
2019-02-01,19.55,20.06,19.21,19.9,5023
2019-02-04,19.96,20.07,19.29,19.51,1953
2019-02-05,19.57,20.0,19.57,19.83,1656
2019-02-06,19.91,20.11,19.68,19.74,1336
2019-02-07,19.57,19.9,19.11,19.83,1986
2019-02-08,19.47,19.63,18.84,19.06,2324
2019-02-11,19.06,19.47,19.01,19.28,1417
2019-02-12,18.8,20.74,18.8,20.61,5388
2019-02-13,20.91,21.65,20.78,20.99,3640
2019-02-14,20.99,21.19,20.29,20.82,1409
2019-02-15,21.0,21.78,20.84,21.69,10164
2019-02-19,21.68,21.79,21.09,21.51,2254
2019-02-20,21.61,22.09,21.25,21.78,3061
2019-02-21,20.25,21.65,20.0,21.31,9949
2019-02-22,21.38,21.64,20.46,21.0,3212
2019-02-25,21.27,22.86,21.05,22.85,4220
2019-02-26,22.89,22.96,21.71,22.45,2365
2019-02-27,20.53,21.71,20.32,21.1,10427
2019-02-28,21.08,21.69,20.95,21.39,6427
2019-03-01,21.54,21.58,21.0,21.44,3731
2019-03-04,21.6,22.26,21.33,22.11,4625
2019-03-05,22.16,22.45,21.65,21.85,10297
2019-03-06,21.85,22.13,21.3,21.66,3236
2019-03-07,21.64,21.73,20.38,20.73,4846
2019-03-08,20.46,20.86,20.24,20.51,1740
2019-03-11,20.6,21.23,20.54,21.21,1608
2019-03-12,21.19,21.42,20.77,21.26,2251
2019-03-13,21.39,22.17,21.24,21.48,2451
2019-03-14,21.49,21.49,20.67,20.92,2011
2019-03-15,21.06,22.14,21.06,22.11,6672
2019-03-18,22.06,22.28,21.77,22.26,5034
2019-03-19,22.49,22.58,22.02,22.5,4786
2019-03-20,22.45,22.65,22.24,22.5,4575
2019-03-21,22.53,23.21,22.38,23.11,7696
2019-03-22,23.06,23.19,22.35,22.39,8339
2019-03-25,22.34,22.39,20.75,20.79,3059
