date,open,high,low,close,volume
2018-12-10,70.44,70.64,66.46,67.99,1760
2018-12-11,68.99,69.41,65.02,66.87,1865
2018-12-12,67.55,68.32,65.38,65.87,1078
2018-12-13,66.26,67.77,64.22,64.47,1339
2018-12-14,63.59,65.74,62.32,62.51,1145
2018-12-17,62.34,64.68,61.46,61.73,1940
2018-12-18,62.36,63.53,60.41,61.71,2282
2018-12-19,62.11,66.86,62.11,64.02,1969
2018-12-20,64.87,67.85,64.87,66.77,2645
2018-12-21,67.19,67.19,61.22,61.46,2138
2018-12-24,60.63,63.17,59.9,60.59,554
2018-12-26,60.84,63.87,59.68,63.65,1260
2018-12-27,62.41,64.37,61.05,64.34,1591
2018-12-28,64.44,66.89,63.44,65.29,1161
2018-12-31,65.55,66.85,63.92,66.8,1253
2019-01-02,65.81,68.35,64.7,66.99,1429
2019-01-03,66.46,67.61,65.06,65.21,978
2019-01-04,66.21,72.29,66.21,71.55,1636
2019-01-07,71.73,73.82,70.69,72.94,1753
2019-01-08,74.7,75.44,72.25,73.6,1081
2019-01-09,74.13,78.0,73.1,76.38,2948
2019-01-10,75.59,77.7,75.15,77.16,1784
2019-01-11,77.06,77.59,74.54,76.29,1226
2019-01-14,75.48,77.01,74.37,76.35,1450
2019-01-15,76.47,76.47,73.33,75.92,816
2019-01-16,76.18,79.05,76.18,78.51,1043
2019-01-17,77.79,80.12,77.79,79.55,2192
2019-01-18,80.26,84.11,79.62,83.52,2476
2019-01-22,82.76,84.06,82.22,83.14,2959
2019-01-23,83.62,83.71,80.82,82.19,2800
2019-01-24,82.57,83.82,81.61,82.88,1042
2019-01-25,83.5,85.41,83.42,83.86,1228
2019-01-28,83.12,84.17,81.82,83.78,1123
2019-01-29,83.0,83.28,80.74,81.46,892
2019-01-30,82.06,82.06,79.59,81.96,826
2019-01-31,81.74,82.66,80.55,82.44,1024
2019-02-01,82.26,82.39,80.16,81.03,911
2019-02-04,80.69,80.69,78.64,79.53,1707
2019-02-05,78.99,82.69,78.99,80.21,2013
2019-02-06,79.95,81.04,77.86,77.99,2599
2019-02-07,73.9,78.81,69.16,77.12,5894
2019-02-08,76.22,77.25,74.94,76.99,2257
2019-02-11,76.92,79.94,76.19,79.65,1144
2019-02-12,80.19,82.83,79.61,81.56,1408
2019-02-13,81.81,83.71,80.23,80.86,1095
2019-02-14,80.21,81.9,79.5,80.71,979
2019-02-15,81.85,83.33,81.79,82.97,1111
2019-02-19,82.72,84.94,82.53,84.13,1119
2019-02-20,84.13,85.29,83.64,83.73,1038
2019-02-21,83.47,84.23,82.35,82.94,576
2019-02-22,83.49,84.12,83.03,83.65,1244
2019-02-25,84.6,86.13,83.46,83.76,1332
2019-02-26,83.28,84.19,81.61,81.87,1070
2019-02-27,81.59,82.34,81.04,81.91,518
2019-02-28,82.01,82.09,80.54,81.48,426
2019-03-01,82.21,83.66,81.8,83.3,810
2019-03-04,83.63,84.34,81.95,82.72,930
2019-03-05,82.67,83.31,81.59,81.66,540
2019-03-06,80.85,82.12,79.43,79.51,1457
2019-03-07,78.5,79.31,76.42,78.11,1280
2019-03-08,77.55,79.3,77.1,78.71,1921
2019-03-11,78.96,82.04,78.96,80.56,1943
2019-03-12,80.84,81.43,79.26,79.68,767
2019-03-13,80.1,80.86,79.16,79.43,1041
2019-03-14,79.33,79.97,78.52,78.67,2592
2019-03-15,79.38,80.8,78.75,79.54,1924
2019-03-18,79.62,80.29,78.56,80.06,1344
2019-03-19,80.67,81.34,79.11,79.4,1054
2019-03-20,79.31,79.61,75.62,77.0,1457
2019-03-21,76.71,78.47,76.71,77.19,931
2019-03-22,77.35,77.47,73.7,73.7,1263
2019-03-25,73.48,75.26,73.34,73.8,1538
2019-03-26,74.14,75.18,73.53,74.68,1342
2019-03-27,74.64,75.78,74.3,75.08,1599
2019-03-28,75.82,77.95,75.82,77.35,1819
2019-03-29,78.08,78.91,76.5,76.82,829
2019-04-01,77.7,79.41,77.28,77.62,1134
2019-04-02,77.57,77.57,75.59,75.83,969
2019-04-03,76.92,80.56,76.92,79.71,1162
2019-04-04,79.64,82.36,79.43,81.88,523
2019-04-05,82.0,83.19,81.76,83.13,1123
2019-04-08,82.59,85.38,82.18,85.03,1162
2019-04-09,84.38,85.21,83.59,84.47,2206
2019-04-10,84.71,87.16,84.0,86.82,1045
2019-04-11,86.74,87.88,86.27,87.71,584
2019-04-12,88.5,90.4,87.9,90.04,1601
2019-04-15,89.85,90.52,88.95,90.35,1291
2019-04-16,90.62,91.23,89.52,91.11,1504
2019-04-17,91.67,93.08,90.92,93.03,1489
2019-04-18,92.73,93.72,91.5,93.14,857
2019-04-22,92.84,92.87,90.42,90.66,769
2019-04-23,90.92,91.95,89.91,91.67,1190
2019-04-24,91.57,92.36,89.98,91.74,901
2019-04-25,91.07,91.07,86.61,87.14,1203
2019-04-26,87.45,90.35,87.0,90.24,827
2019-04-29,90.19,91.33,89.23,89.85,723
2019-04-30,89.52,89.52,87.34,87.85,798
2019-05-01,88.41,89.13,87.54,87.73,731
2019-05-02,87.5,89.32,86.8,88.27,676
2019-05-03,89.11,91.15,88.91,90.83,1300
2019-05-06,88.84,90.11,88.15,90.11,2134
2019-05-07,89.0,97.77,87.52,93.68,3371
2019-05-08,93.09,94.41,90.42,93.44,2167
2019-05-09,92.44,92.67,88.81,90.39,1818
2019-05-10,89.75,91.07,88.42,91.04,1655
2019-05-13,89.06,89.73,87.38,87.69,1205
2019-05-14,88.15,90.24,87.4,90.12,666
2019-05-15,88.91,91.73,87.8,91.26,723
2019-05-16,91.46,91.91,88.88,89.22,990
2019-05-17,88.33,88.97,86.7,86.76,1179
2019-05-20,85.82,87.78,85.46,86.36,1124
2019-05-21,86.65,90.5,86.65,89.69,779
2019-05-22,89.15,89.62,86.58,87.56,752
2019-05-23,87.17,89.01,85.75,87.54,816
2019-05-24,88.88,90.4,88.27,89.17,483
2019-05-28,89.7,90.38,86.46,86.69,867
2019-05-29,85.97,88.47,85.97,87.39,655
2019-05-30,87.57,88.96,86.47,86.99,613
2019-05-31,85.32,85.85,82.5,82.87,812
2019-06-03,82.77,86.15,82.77,84.73,946
2019-06-04,86.49,88.68,86.49,88.61,1171
2019-06-05,88.67,88.67,85.69,87.91,581
2019-06-06,86.76,86.93,85.11,86.43,684
2019-06-07,86.71,88.66,86.48,87.74,591
2019-06-10,88.4,92.29,88.37,92.08,1204
2019-06-11,92.85,93.5,90.22,90.55,968
2019-06-12,90.81,90.81,87.53,87.81,703
2019-06-13,88.29,91.18,88.29,90.46,351
2019-06-14,90.17,92.16,88.74,89.81,739
2019-06-17,89.95,89.95,88.31,88.7,785
2019-06-18,89.13,91.9,88.86,91.1,764
2019-06-19,90.41,92.11,89.08,90.47,1005
2019-06-20,91.38,92.99,90.26,91.34,778
2019-06-21,90.73,91.31,89.72,90.47,885
2019-06-24,90.19,90.19,88.42,88.52,450
2019-06-25,88.56,89.84,86.49,86.72,768
2019-06-26,87.16,88.91,87.02,88.67,919
2019-06-27,89.29,90.23,88.61,90.12,639
2019-06-28,90.57,92.47,89.73,90.0,1062
2019-07-01,91.79,92.32,89.21,90.02,756
2019-07-02,89.97,90.38,87.61,88.25,764
2019-07-03,88.78,88.83,87.55,87.55,1477
2019-07-05,87.36,89.53,86.5,89.52,1019
2019-07-08,88.87,89.48,87.03,87.25,546
2019-07-09,87.45,88.77,86.08,88.15,600
2019-07-10,88.72,88.81,86.9,88.62,383
2019-07-11,88.63,88.63,86.84,87.43,336
2019-07-12,87.93,90.81,87.59,90.37,578
2019-07-15,90.48,91.0,86.69,90.59,1489
2019-07-16,89.98,92.14,89.71,91.04,664
2019-07-17,90.77,90.9,89.02,90.5,739
2019-07-18,90.22,92.41,89.64,91.7,783
2019-07-19,91.99,94.4,91.1,91.17,852
2019-07-22,91.27,91.53,88.49,88.7,1080
2019-07-23,89.37,91.38,87.75,89.7,1288
2019-07-24,89.57,91.91,88.56,91.78,983
2019-07-25,91.49,92.57,90.28,90.78,1121
2019-07-26,91.07,92.06,90.39,91.65,830
2019-07-29,91.52,91.57,90.03,90.39,905
2019-07-30,89.38,91.63,87.91,91.38,762
2019-07-31,91.6,92.28,90.02,91.63,1169
2019-08-01,91.5,92.77,88.89,90.05,1244
2019-08-02,89.89,90.43,87.17,88.94,738
2019-08-05,86.72,86.9,84.16,84.71,1276
2019-08-06,87.01,92.99,85.97,87.93,3840
2019-08-07,86.51,91.84,84.76,90.88,3167
2019-08-08,91.25,92.68,88.28,92.58,2142
2019-08-09,92.5,92.79,90.68,92.12,758
2019-08-12,91.6,92.05,90.81,91.02,528
2019-08-13,90.55,93.05,89.68,89.9,864
2019-08-14,87.8,88.28,86.16,87.3,1125
2019-08-15,87.5,87.5,82.64,82.82,1423
2019-08-16,83.4,86.69,82.96,85.72,1881
2019-08-19,86.25,87.91,86.2,86.51,1013
2019-08-20,86.46,86.54,85.26,85.38,713
2019-08-21,86.88,86.93,84.71,84.86,479
2019-08-22,85.19,85.99,84.43,84.63,939
2019-08-23,83.76,83.76,80.61,81.35,743
2019-08-26,82.46,83.69,80.69,82.15,773
2019-08-27,83.1,83.62,80.59,80.63,589
2019-08-28,80.41,82.88,80.41,81.55,598
2019-08-29,82.63,85.36,82.63,84.35,713
2019-08-30,85.06,86.55,84.33,84.75,737
2019-09-03,83.77,85.05,82.09,82.35,769
2019-09-04,83.7,83.7,82.13,83.34,658
2019-09-05,83.21,87.56,81.51,86.13,1153
2019-09-06,86.43,86.82,84.85,84.9,730
2019-09-09,85.42,88.57,85.02,87.84,589
2019-09-10,87.48,91.63,87.31,90.52,1218
2019-09-11,91.23,92.55,89.03,92.36,955
2019-09-12,91.93,93.97,90.86,93.5,946
2019-09-13,94.11,95.52,92.72,94.13,1145
2019-09-16,93.84,95.05,92.93,94.1,1107
2019-09-17,93.79,93.87,92.05,93.69,929
2019-09-18,93.94,94.75,92.48,93.05,708
2019-09-19,92.94,94.07,92.2,92.37,575
2019-09-20,92.39,94.05,92.33,93.63,1153
2019-09-23,92.92,95.33,92.61,93.91,771
2019-09-24,94.88,95.22,90.77,91.22,1462
2019-09-25,91.36,92.04,88.92,91.83,1335
2019-09-26,92.03,92.03,89.11,89.45,659
2019-09-27,89.96,90.76,88.05,89.01,728
2019-09-30,89.84,93.23,89.76,91.85,1323
2019-10-01,92.59,94.46,90.04,90.85,778
2019-10-02,89.79,89.79,87.15,89.5,640
2019-10-03,89.36,90.45,87.67,89.87,667
2019-10-04,90.44,90.75,89.22,89.63,1038
2019-10-07,89.59,91.31,88.19,89.46,764
2019-10-08,88.41,90.0,87.95,88.72,520
2019-10-09,89.74,90.84,88.35,89.04,431
2019-10-10,89.53,90.58,88.5,88.63,536
2019-10-11,90.15,92.31,90.15,90.71,621
2019-10-14,90.23,91.31,89.33,90.12,557
2019-10-15,90.5,93.21,88.82,92.74,622
2019-10-16,92.62,95.38,92.62,95.26,518
2019-10-17,95.5,96.0,93.95,94.9,631
2019-10-18,94.52,96.52,94.52,95.23,555
2019-10-21,96.5,98.19,95.82,97.66,1009
2019-10-22,97.8,98.18,95.16,97.43,905
2019-10-23,97.83,100.05,96.36,99.5,905
2019-10-24,99.75,100.38,97.42,97.66,1070
2019-10-25,97.54,99.17,97.48,97.58,815
2019-10-28,98.4,101.72,97.58,101.2,877
2019-10-29,100.72,102.19,100.7,101.02,779
2019-10-30,101.24,101.42,97.97,100.52,643
2019-10-31,97.81,99.0,96.35,97.12,1025
2019-11-01,98.22,100.34,98.09,100.04,2289
2019-11-04,101.78,104.34,101.01,103.22,1849
2019-11-05,102.77,106.92,97.01,102.04,4222
2019-11-06,102.91,107.06,101.98,106.03,851
2019-11-07,106.99,107.44,105.51,106.7,862
2019-11-08,106.29,106.52,104.99,105.66,522
2019-11-11,104.82,107.49,104.72,106.6,809
2019-11-12,106.39,107.19,106.11,106.5,897
2019-11-13,105.43,106.22,104.63,104.76,477
2019-11-14,104.76,106.09,104.28,104.5,341
2019-11-15,105.23,105.93,103.55,104.71,833
2019-11-18,104.18,105.59,103.79,105.11,661
2019-11-19,105.76,106.6,105.02,105.17,687
2019-11-20,104.93,105.4,103.75,104.52,684
2019-11-21,105.14,105.5,102.85,103.16,541
2019-11-22,104.99,105.7,103.6,103.72,1182
2019-11-25,104.25,108.28,104.25,107.7,900
2019-11-26,107.17,108.55,105.82,106.09,860
2019-11-27,106.29,107.76,105.63,107.35,900
2019-11-29,106.49,107.38,105.41,106.46,365
2019-12-02,106.75,107.06,104.5,105.17,579
2019-12-03,102.92,103.93,102.6,103.3,946
2019-12-04,103.77,104.82,101.97,102.21,1179
2019-12-05,102.31,103.4,101.24,103.3,791
2019-12-06,105.19,106.04,104.61,105.17,576
2019-12-09,104.39,105.42,101.99,102.62,729
2019-12-10,102.74,106.71,101.88,106.25,858
2019-12-11,106.96,107.64,104.81,105.85,797
2019-12-12,106.3,106.65,104.31,105.05,1242
2019-12-13,105.01,105.57,102.08,102.86,873
2019-12-16,103.67,104.1,102.46,102.86,1097
2019-12-17,103.34,104.25,102.54,103.44,693
2019-12-18,103.41,105.34,102.3,104.96,938
