date,open,high,low,close,volume
2018-12-10,140.0,144.48,138.93,143.45,12070
2018-12-11,145.16,146.27,143.64,144.98,14990
2018-12-12,146.81,148.29,145.58,147.02,10606
2018-12-13,148.15,148.93,146.6,148.44,9840
2018-12-14,147.02,148.5,146.65,148.47,10096
2018-12-17,147.94,148.53,145.23,145.91,19867
2018-12-18,146.64,146.9,141.78,142.95,9730
2018-12-19,142.6,144.28,136.83,138.46,7543
2018-12-20,137.92,138.52,132.32,134.54,9598
2018-12-21,133.47,133.47,127.98,128.61,14689
2018-12-24,128.12,129.22,125.71,127.26,7807
2018-12-26,127.44,128.47,123.24,128.23,6655
2018-12-27,126.89,131.64,125.46,131.64,6436
2018-12-28,132.0,133.11,130.31,131.18,4980
2018-12-31,132.07,134.65,131.81,134.65,5029
2019-01-02,133.03,134.4,129.96,133.14,4034
2019-01-03,131.81,132.7,129.46,130.05,4326
2019-01-04,131.26,133.2,130.14,132.92,5702
2019-01-07,132.73,133.94,130.57,133.79,8969
2019-01-08,135.26,135.8,132.09,133.74,5330
2019-01-09,133.62,134.75,132.87,133.36,3776
2019-01-10,133.13,135.0,133.13,134.89,4190
2019-01-11,134.23,137.19,133.25,136.91,5761
2019-01-14,136.0,139.52,135.82,138.04,6613
2019-01-15,137.77,139.1,136.87,138.79,8142
2019-01-16,138.72,138.81,135.78,136.57,5518
2019-01-17,136.26,139.34,136.26,138.65,5792
2019-01-18,139.56,143.31,139.27,142.78,11336
2019-01-22,141.99,141.99,138.11,139.25,5174
2019-01-23,139.83,142.46,139.76,142.12,9999
2019-01-24,142.16,142.16,139.42,141.93,5546
2019-01-25,143.54,144.43,143.02,143.48,6405
2019-01-28,141.54,143.46,140.88,142.69,6977
2019-01-29,151.19,156.08,148.63,155.22,34081
2019-01-30,155.82,156.27,148.3,154.9,17840
2019-01-31,153.89,154.98,151.77,153.18,7759
2019-02-01,153.35,154.73,152.6,153.77,6179
2019-02-04,153.81,157.33,153.19,157.23,5831
2019-02-05,157.4,157.88,154.99,157.8,6446
2019-02-06,157.68,158.45,156.92,157.64,5879
