date,open,high,low,close,volume
2018-12-10,301.1,301.1,301.1,301.1,0
2018-12-11,290.1,290.1,290.1,290.1,0
2018-12-12,295.9,296.4,284.6,284.6,0
2018-12-13,287.6,300.0,286.9,298.5,0
2018-12-14,282.8,292.0,282.8,292.0,0
2018-12-17,286.0,290.0,270.3,285.0,0
2018-12-18,272.9,276.2,261.0,268.25,0
2018-12-19,281.4,290.0,280.0,280.0,0
2018-12-20,266.0,267.3,250.0,250.0,1
2018-12-21,250.0,255.0,245.0,245.0,0
2018-12-24,250.0,250.0,230.0,237.0,0
2018-12-26,232.0,250.0,232.0,232.0,0
2018-12-27,224.0,235.3,224.0,233.9,0
2018-12-28,237.5,240.0,204.7,211.3,0
2018-12-31,208.6,210.0,189.2,194.5,1
2019-01-02,200.0,251.0,189.0,251.0,0
2019-01-03,249.5,257.7,239.4,250.0,0
2019-01-04,240.0,255.7,240.0,255.5,0
2019-01-07,286.5,330.0,286.5,305.9,0
2019-01-08,310.0,310.0,294.6,295.0,0
2019-01-09,300.8,301.3,285.9,285.9,0
2019-01-10,292.9,297.2,282.0,297.2,0
2019-01-11,292.4,292.4,281.0,281.0,0
2019-01-14,289.3,295.1,280.5,285.9,0
2019-01-15,268.8,268.8,235.4,235.4,0
2019-01-16,251.3,251.3,248.5,248.5,0
2019-01-17,238.6,238.8,219.9,231.1,0
2019-01-18,231.9,239.0,228.1,239.0,0
2019-01-22,235.2,235.2,220.0,220.0,0
2019-01-23,232.4,232.4,222.7,227.7,0
2019-01-24,230.0,230.0,218.5,222.0,2
2019-01-25,222.0,222.0,222.0,222.0,0
2019-01-28,228.0,233.1,222.0,233.1,0
2019-01-29,225.5,228.0,225.5,225.5,0
2019-01-30,219.1,219.1,219.1,219.1,0
2019-01-31,225.0,225.0,213.8,216.8,0
2019-02-01,219.1,221.5,218.4,218.4,0
2019-02-04,225.0,225.0,212.0,217.0,0
2019-02-05,213.3,218.8,210.6,218.8,0
2019-02-06,214.2,214.2,214.2,214.2,0
2019-02-07,197.9,205.5,185.1,205.0,0
2019-02-08,208.7,208.9,206.0,206.0,0
2019-02-11,206.0,206.0,206.0,206.0,0
2019-02-12,218.0,218.0,218.0,218.0,0
2019-02-13,220.0,220.0,200.0,201.8,0
2019-02-14,230.0,254.9,221.9,251.4,0
2019-02-15,246.9,246.9,223.8,223.8,0
2019-02-19,242.2,248.7,230.1,248.7,0
2019-02-20,238.0,245.0,230.0,230.0,0
2019-02-21,230.0,230.0,230.0,230.0,0
2019-02-22,224.0,225.6,221.2,225.6,0
2019-02-25,230.7,249.1,230.7,241.4,0
2019-02-26,233.7,276.9,233.7,262.7,0
2019-02-27,302.0,310.1,291.0,301.8,1
2019-02-28,300.0,308.8,284.9,298.5,0
2019-03-01,276.4,276.4,276.4,276.4,0
2019-03-04,280.8,286.0,278.9,278.9,0
2019-03-05,270.0,270.0,270.0,270.0,0
2019-03-06,240.0,250.0,240.0,250.0,0
2019-03-07,238.8,244.0,235.1,239.2,0
2019-03-08,236.6,237.4,227.6,237.4,0
2019-03-11,232.4,232.4,231.5,231.5,0
2019-03-12,232.4,251.9,232.4,249.5,0
2019-03-13,249.5,249.5,249.5,249.5,0
2019-03-14,230.0,230.0,230.0,230.0,0
2019-03-15,234.0,234.1,230.0,230.0,0
2019-03-18,229.0,229.0,223.8,223.85,0
2019-03-19,242.9,242.9,235.7,235.7,0
2019-03-20,235.7,235.7,235.7,235.7,0
2019-03-21,230.7,237.9,230.0,237.85,0
2019-03-22,238.0,238.0,221.1,221.1,0
2019-03-25,221.1,221.1,221.1,221.1,0
2019-03-26,235.0,235.0,235.0,235.0,0
2019-03-27,226.4,230.9,220.0,220.0,0
2019-03-28,220.6,223.9,220.0,220.0,0
2019-03-29,227.1,227.1,220.0,220.0,0
2019-04-01,223.0,225.2,223.0,225.2,0
2019-04-02,155.2,181.9,146.4,181.9,2
2019-04-03,183.0,183.0,150.6,160.0,1
2019-04-04,166.0,166.0,152.0,152.0,0
2019-04-05,142.6,147.6,127.4,137.0,1
2019-04-08,131.0,131.0,116.8,122.8,2
2019-04-09,118.5,127.2,115.0,125.8,1
2019-04-10,130.0,130.0,124.8,130.0,0
2019-04-11,128.3,128.9,118.5,118.5,0
2019-04-12,123.0,123.0,122.95,122.95,0
2019-04-15,39.0,74.0,39.0,44.8,16
2019-04-16,45.1,54.0,42.1,48.65,5
2019-04-17,44.3,46.2,30.7,35.5,0
2019-04-18,35.5,40.0,31.1,34.4,5
2019-04-22,36.1,50.0,36.1,50.0,0
2019-04-23,45.9,58.0,45.9,51.0,5
2019-04-24,54.0,55.7,43.3,54.5,1
2019-04-25,57.6,57.6,45.0,45.0,1
2019-04-26,46.0,51.9,46.0,50.0,1
2019-04-29,42.0,53.3,39.6,45.8,4
2019-04-30,46.0,46.0,36.1,44.0,13
2019-05-01,44.8,44.8,38.0,39.0,1
2019-05-02,44.9,44.9,36.0,36.0,0
2019-05-03,36.0,45.5,36.0,42.35,0
2019-05-06,45.5,45.8,37.3,45.8,0
2019-05-07,41.0,41.0,41.0,41.0,0
2019-05-08,39.8,44.0,36.0,36.3,0
2019-05-09,36.2,43.8,36.2,40.9,1
2019-05-10,40.7,40.7,36.5,36.5,0
2019-05-13,40.0,40.0,26.8,33.2,11
2019-05-14,42.3,42.3,29.1,32.0,0
2019-05-15,34.9,35.0,28.4,35.0,1
2019-05-16,44.0,44.0,33.9,40.0,2
2019-05-17,34.0,40.0,32.0,35.0,2
2019-05-20,36.0,36.0,36.0,36.0,0
2019-05-21,31.0,35.1,27.0,33.0,0
2019-05-22,31.8,31.8,29.3,30.0,0
2019-05-23,32.3,39.1,32.3,39.1,0
2019-05-24,40.0,40.0,28.0,38.7,0
2019-05-28,36.0,36.0,28.7,34.15,0
2019-05-29,30.0,33.8,30.0,33.75,0
2019-05-30,33.0,33.0,30.0,30.0,0
2019-05-31,34.2,34.2,31.0,31.0,0
2019-06-03,30.0,30.0,24.9,24.9,0
2019-06-04,21.3,27.2,21.3,25.0,0
2019-06-05,26.5,28.5,21.2,21.2,2
2019-06-06,23.5,25.0,22.0,22.5,0
2019-06-07,20.0,24.9,20.0,24.0,0
2019-06-10,29.0,29.0,17.8,24.9,1
2019-06-11,24.9,24.9,24.9,24.9,0
2019-06-12,21.4,21.4,18.8,18.95,10
2019-06-13,25.8,25.8,23.3,23.7,0
2019-06-14,20.8,20.8,20.8,20.8,0
2019-06-17,20.8,24.9,20.0,22.0,1
2019-06-18,22.0,23.4,22.0,23.4,3
2019-06-19,19.7,25.0,18.2,24.0,0
2019-06-20,20.0,21.6,15.0,16.0,12
2019-06-21,19.4,20.0,16.1,19.0,3
2019-06-24,17.5,18.0,15.2,18.0,2
2019-06-25,18.0,18.0,17.0,17.0,9
2019-06-26,17.0,18.0,17.0,17.4,3
2019-06-27,18.0,20.0,18.0,19.2,5
2019-06-28,16.9,18.0,16.0,16.0,8
2019-07-01,16.0,16.0,16.0,16.0,1
2019-07-02,16.6,16.6,15.5,16.3,4
2019-07-03,16.3,16.3,12.5,14.55,24
2019-07-05,0.016,0.016,0.016,0.016,0
2019-07-08,15.12,16.51,14.69,14.91,13
2019-07-09,16.47,16.47,15.22,15.22,4
2019-07-10,15.22,15.22,15.22,15.22,0
2019-07-11,15.22,15.22,15.22,15.22,0
2019-07-12,15.22,15.22,15.22,15.22,0
2019-07-15,14.26,14.9,13.84,14.63,10
2019-07-16,14.88,14.93,14.65,14.93,5
2019-07-17,14.61,14.97,14.15,14.97,10
2019-07-18,14.61,14.61,14.37,14.37,2
2019-07-19,13.8185,13.8262,13.8185,13.8262,6
2019-07-22,13.8262,13.8262,13.8262,13.8262,0
2019-07-23,11.8,11.8,11.8,11.8,1
2019-07-24,12.175,12.175,12.175,12.175,3
2019-07-25,12.17,12.17,12.17,12.17,1
2019-07-26,12.17,12.17,12.17,12.17,0
2019-07-29,12.17,12.17,12.17,12.17,0
2019-07-30,12.17,12.17,12.17,12.17,0
2019-07-31,12.17,12.17,12.17,12.17,0
2019-08-01,12.17,12.17,12.17,12.17,0
2019-08-02,12.17,12.17,12.17,12.17,0
2019-08-05,12.17,12.17,12.17,12.17,0
2019-08-06,11.59,11.59,11.59,11.59,1
2019-08-07,11.32,11.32,11.3,11.3,2
2019-08-08,11.3,11.3,11.3,11.3,0
2019-08-09,11.3,11.3,11.3,11.3,0
2019-08-12,9.0,9.0,8.86,8.86,2
2019-08-13,7.6,7.71,6.72,7.07,10
2019-08-14,6.2,6.2,5.62,5.62,5
2019-08-15,5.57,5.57,5.57,5.57,1
2019-08-16,7.36,9.73,7.35,8.99,25
2019-08-19,9.99,10.0,9.28,9.87,18
