date,open,high,low,close,volume
2019-12-06,5.65,6.59,5.28,5.75,12599
2019-12-09,6.59,8.85,6.45,7.93,15669
2019-12-10,8.52,15.65,8.07,13.92,11369
2019-12-11,15.47,17.81,12.7,15.38,21842
2019-12-12,16.85,22.96,16.23,22.25,12295
2019-12-13,21.5,44.0,20.01,28.69,43752
2019-12-16,30.2,34.8,22.11,25.39,8598
2019-12-17,25.3,25.3,18.59,19.11,3080
2019-12-18,20.0,24.59,19.16,21.47,5511
2019-12-19,21.23,22.98,19.41,20.43,1461
2019-12-20,20.45,21.99,19.72,20.7,917
2019-12-23,20.51,21.18,17.45,18.95,962
2019-12-24,18.71,19.52,18.65,18.73,191
2019-12-26,18.67,20.7,18.67,19.59,399
2019-12-27,19.43,19.85,19.06,19.44,189
2019-12-30,19.36,19.36,17.0,17.91,415
2019-12-31,17.89,18.44,17.5,17.84,231
2020-01-02,18.0,18.8,17.84,18.32,223
2020-01-03,18.12,19.65,18.0,19.27,444
2020-01-06,19.91,25.6,19.91,25.3,2101
2020-01-07,26.5,33.0,25.8,27.39,4901
2020-01-08,27.2,27.2,23.61,27.06,777
2020-01-09,28.04,28.04,25.28,27.25,168
2020-01-10,27.2,27.2,25.51,27.0,274
2020-01-13,27.75,28.92,26.44,28.49,529
2020-01-14,28.8,30.49,28.48,29.94,543
2020-01-15,30.5,39.72,30.19,38.66,1914
2020-01-16,40.0,49.0,39.8,45.03,3787
2020-01-17,43.05,44.31,38.01,40.81,984
2020-01-21,41.0,44.24,40.26,43.14,770
2020-01-22,42.8,44.2,40.0,43.19,512
2020-01-23,42.98,44.0,39.97,44.0,644
2020-01-24,43.23,44.5,41.29,43.77,310
2020-01-27,42.3,46.4,41.7,43.65,327
2020-01-28,43.11,45.34,42.3,44.55,378
2020-01-29,45.27,48.0,44.55,46.85,612
2020-01-30,47.12,49.3,40.0,46.53,666
2020-01-31,44.72,45.47,40.38,41.93,746
2020-02-03,41.3,42.99,35.73,38.3,450
2020-02-04,40.0,40.0,37.01,37.01,375
2020-02-05,33.5,33.5,23.35,26.8,1609
2020-02-06,26.74,30.0,23.51,24.4,731
2020-02-07,22.83,25.0,20.07,23.71,1107
2020-02-10,21.34,24.1,20.61,21.74,1124
2020-02-11,16.11,16.34,15.33,15.6,5162
2020-02-12,15.99,15.99,15.03,15.74,1589
2020-02-13,15.92,15.95,15.12,15.73,757
2020-02-14,15.75,15.75,12.0,12.58,2175
2020-02-18,12.11,12.45,10.51,11.44,1349
2020-02-19,11.76,15.44,11.6,14.69,4476
2020-02-20,14.8,15.9,13.58,14.68,1289
2020-02-21,15.1,15.74,14.15,14.81,2027
2020-02-24,14.5,14.5,12.2,12.34,1066
2020-02-25,12.4,14.53,10.57,12.37,1175
2020-02-26,12.59,13.35,11.16,12.1,735
2020-02-27,11.6,13.75,11.22,13.47,1214
2020-02-28,14.3,14.4,12.52,12.95,921
2020-03-02,12.99,13.93,12.0,12.39,714
2020-03-03,12.41,12.97,11.8,12.24,457
2020-03-04,12.45,12.48,11.8,12.01,281
2020-03-05,11.7,11.88,9.06,10.12,998
2020-03-06,9.75,10.49,9.0,9.71,500
2020-03-09,8.83,8.83,7.74,7.9,666
2020-03-10,8.37,8.48,7.01,7.67,681
2020-03-11,7.01,8.1,5.65,6.09,771
2020-03-12,5.49,6.04,4.01,5.0,1068
