date,open,high,low,close,volume
2018-12-10,14.97,15.03,14.64,14.95,1852
2018-12-11,15.02,15.16,14.58,14.75,1438
2018-12-12,14.77,15.08,14.77,15.05,1424
2018-12-13,15.06,15.55,15.0,15.44,4273
2018-12-14,15.37,15.4,14.99,15.05,1740
2018-12-17,15.01,15.09,14.59,14.68,2767
2018-12-18,14.79,15.06,14.78,14.87,2009
2018-12-19,14.89,15.15,14.71,14.86,1912
2018-12-20,14.81,14.81,14.15,14.34,2693
2018-12-21,14.3,14.73,14.18,14.27,3468
2018-12-24,14.1,14.43,14.05,14.35,2607
2018-12-26,14.4,15.12,14.38,15.1,3023
2018-12-27,14.91,15.04,14.56,14.88,1431
2018-12-28,14.86,15.32,14.74,15.07,2464
2018-12-31,15.05,15.18,14.91,15.17,2563
2019-01-02,14.92,15.03,14.6,14.96,1676
2019-01-03,14.89,14.9,14.4,14.73,1527
2019-01-04,14.8,15.35,14.72,15.13,2165
2019-01-07,15.15,15.97,14.95,15.86,3069
2019-01-08,16.0,16.33,15.59,16.19,3417
2019-01-09,16.25,16.25,15.81,16.1,2455
2019-01-10,15.95,16.33,15.82,16.33,1950
2019-01-11,16.21,16.4,16.05,16.33,1963
2019-01-14,16.2,16.42,16.08,16.32,2954
2019-01-15,16.39,16.51,16.07,16.48,2962
2019-01-16,16.48,16.83,16.42,16.6,5557
2019-01-17,16.53,17.14,16.53,16.79,6196
2019-01-18,16.78,17.3,16.72,17.23,6155
2019-01-22,17.26,17.96,17.11,17.71,7817
2019-01-23,17.77,18.47,17.75,18.44,6705
2019-01-24,18.25,18.44,17.55,18.0,5049
2019-01-25,18.01,18.25,17.29,17.43,3606
2019-01-28,17.43,17.71,17.04,17.29,7352
2019-01-29,17.42,17.42,16.67,16.81,5679
2019-01-30,16.8,16.9,16.29,16.33,4484
2019-01-31,16.43,16.62,16.25,16.49,3728
2019-02-01,16.48,16.71,16.07,16.19,4054
2019-02-04,16.2,16.27,15.92,16.24,2879
2019-02-05,16.25,16.39,15.81,15.91,3720
2019-02-06,15.94,16.05,15.58,15.59,2108
2019-02-07,15.55,15.94,15.52,15.59,2915
2019-02-08,15.54,15.67,15.37,15.52,2581
2019-02-11,15.52,15.8,15.4,15.7,5182
2019-02-12,15.78,16.0,15.27,15.3,4079
2019-02-13,15.27,15.43,14.31,14.92,16404
2019-02-14,14.98,15.11,14.59,14.69,4912
2019-02-15,14.78,15.35,14.73,15.21,7983
2019-02-19,15.22,15.72,15.22,15.43,5510
2019-02-20,15.41,15.47,15.27,15.33,3312
2019-02-21,15.3,15.44,15.18,15.3,2221
2019-02-22,15.3,15.33,15.1,15.19,2530
2019-02-25,15.25,15.35,15.09,15.11,3770
2019-02-26,15.11,15.15,14.69,14.74,2866
2019-02-27,14.73,15.2,14.47,15.04,5371
2019-02-28,15.03,15.28,14.86,15.13,3084
2019-03-01,15.23,15.35,15.1,15.23,2838
2019-03-04,15.25,15.33,14.98,15.0,5928
2019-03-05,15.03,15.19,14.94,15.12,4712
2019-03-06,15.13,15.23,14.84,14.9,3327
2019-03-07,14.9,15.08,14.7,15.05,8287
2019-03-08,14.54,14.64,12.32,12.48,31487
2019-03-11,12.49,12.8,12.4,12.61,10236
2019-03-12,12.69,13.08,12.65,12.85,7578
2019-03-13,12.88,13.01,12.51,12.57,5296
2019-03-14,12.6,12.68,12.47,12.57,2543
2019-03-15,12.65,12.87,12.6,12.85,5978
2019-03-18,12.98,13.12,12.9,13.05,3298
2019-03-19,13.02,13.02,12.75,13.0,2831
2019-03-20,12.94,13.03,12.78,12.86,2992
2019-03-21,12.85,13.1,12.79,12.96,5636
2019-03-22,12.94,12.94,12.6,12.74,3778
2019-03-25,12.74,12.88,12.59,12.8,3289
2019-03-26,12.81,13.02,12.75,12.86,2328
2019-03-27,12.85,13.04,12.85,13.0,2036
2019-03-28,13.02,13.1,12.87,13.02,2507
