date,open,high,low,close,volume
2018-12-10,21.89,22.01,21.27,21.3,16894
2018-12-11,21.59,21.94,21.11,21.29,15221
2018-12-12,21.62,21.95,21.24,21.25,11146
2018-12-13,21.34,21.53,21.06,21.11,8868
2018-12-14,20.87,21.46,20.81,21.37,14626
2018-12-17,21.3,21.55,20.62,20.77,14611
2018-12-18,20.99,21.33,20.85,21.03,14161
2018-12-19,21.06,21.55,20.92,20.93,17933
2018-12-20,20.88,21.12,20.45,20.52,19684
2018-12-21,20.48,21.36,20.39,21.0,25159
2018-12-24,20.89,21.32,20.65,20.76,10778
2018-12-26,20.8,21.55,20.8,21.53,11446
2018-12-27,21.18,21.89,21.18,21.88,12108
2018-12-28,21.98,22.18,21.6,21.89,11125
2018-12-31,22.06,22.22,21.67,22.22,8590
2019-01-02,21.42,21.62,20.71,21.21,24838
2019-01-03,21.06,21.94,21.02,21.68,19548
2019-01-04,21.94,22.42,21.88,22.31,12548
2019-01-07,22.3,22.69,22.02,22.64,15060
2019-01-08,22.73,22.96,22.43,22.79,10934
2019-01-09,22.79,23.47,22.67,23.3,17377
2019-01-10,23.33,23.96,23.18,23.93,13089
2019-01-11,23.79,24.02,23.51,23.81,9220
2019-01-14,23.68,23.94,23.42,23.73,9043
2019-01-15,23.72,23.94,23.34,23.57,9281
2019-01-16,23.52,23.84,23.31,23.33,13995
2019-01-17,23.31,23.87,23.31,23.69,16770
2019-01-18,23.87,24.18,23.7,24.07,9896
2019-01-22,23.89,23.9,23.16,23.25,13494
2019-01-23,23.32,23.55,22.87,22.89,8481
2019-01-24,22.83,23.72,22.83,23.67,10047
2019-01-25,23.95,24.57,23.95,24.01,9428
2019-01-28,23.84,24.32,23.84,24.11,10540
2019-01-29,24.1,24.24,23.86,24.08,8241
2019-01-30,24.12,24.54,24.0,24.29,9149
2019-01-31,24.18,24.58,24.17,24.38,9169
2019-02-01,24.64,24.83,24.05,24.59,15796
2019-02-04,24.67,24.76,24.06,24.21,9801
2019-02-05,24.34,24.51,24.05,24.29,9378
2019-02-06,24.24,24.37,23.97,23.99,9378
2019-02-07,24.02,24.31,23.92,24.13,10457
2019-02-08,24.08,24.3,23.84,23.91,9309
2019-02-11,23.98,24.19,23.81,24.01,9530
2019-02-12,24.09,24.46,23.98,24.27,16519
2019-02-13,26.15,27.0,25.5,26.62,49554
2019-02-14,26.57,27.15,26.15,26.62,25437
2019-02-15,26.73,26.98,26.46,26.79,15307
2019-02-19,26.79,26.93,25.99,26.09,25269
2019-02-20,26.16,26.71,25.99,26.47,24661
2019-02-21,26.52,26.7,26.34,26.52,12637
2019-02-22,26.54,26.68,26.34,26.47,12552
2019-02-25,26.36,26.6,25.98,26.01,10021
2019-02-26,26.01,26.17,25.52,25.65,22156
2019-02-27,25.57,25.8,25.4,25.69,13281
2019-02-28,25.7,25.7,25.26,25.27,11211
2019-03-01,25.5,25.69,25.19,25.47,12625
2019-03-04,25.47,25.64,24.88,25.18,11679
2019-03-05,25.14,25.4,24.89,24.89,11766
2019-03-06,24.83,25.22,24.59,24.88,16416
2019-03-07,24.84,24.99,24.63,24.78,7861
2019-03-08,24.66,25.32,24.52,25.26,13153
2019-03-11,25.36,26.11,25.36,25.73,16422
2019-03-12,25.65,25.71,25.01,25.04,13570
2019-03-13,25.15,25.25,24.41,24.51,22883
2019-03-14,24.52,24.71,24.26,24.45,13729
2019-03-15,24.5,24.71,24.44,24.63,17066
2019-03-18,24.62,24.81,24.46,24.74,13817
2019-03-19,24.84,25.28,24.65,24.7,10264
2019-03-20,24.65,24.66,24.05,24.15,16861
2019-03-21,24.02,24.6,23.97,24.44,10367
2019-03-22,24.24,24.32,23.79,23.79,13193
2019-03-25,23.74,24.02,23.59,23.74,12488
2019-03-26,23.91,24.14,23.72,23.93,7808
2019-03-27,23.98,24.31,23.89,24.21,7264
2019-03-28,24.32,24.76,24.3,24.73,13500
2019-03-29,24.88,25.09,24.34,24.38,14961
2019-04-01,24.56,24.68,23.99,24.41,25209
2019-04-02,24.4,24.43,23.94,24.13,12392
2019-04-03,24.37,24.43,24.06,24.2,8709
2019-04-04,24.25,24.5,24.01,24.19,16371
2019-04-05,25.1,25.75,24.81,25.42,36023
2019-04-08,25.33,25.37,25.12,25.26,13550
2019-04-09,25.16,25.26,24.86,25.08,11758
2019-04-10,25.06,25.11,24.69,24.95,10689
2019-04-11,24.97,25.4,24.89,25.2,9610
2019-04-12,25.31,25.45,24.79,24.98,10555
2019-04-15,25.05,25.4,24.95,25.3,10440
2019-04-16,25.28,25.42,24.98,25.2,8222
2019-04-17,25.19,25.21,24.62,24.68,15904
2019-04-18,24.65,24.86,24.57,24.72,8737
2019-04-22,24.56,24.69,23.67,23.89,18561
2019-04-23,23.92,24.52,23.77,24.01,15920
2019-04-24,24.11,24.32,23.78,24.08,12737
2019-04-25,23.99,24.53,23.89,24.31,24061
2019-04-26,24.45,24.83,24.3,24.79,13470
2019-04-29,24.79,24.88,24.47,24.75,14685
2019-04-30,25.29,25.58,24.93,25.05,15905
2019-05-01,25.11,25.27,24.78,24.78,15739
2019-05-02,24.74,25.01,24.51,24.73,13910
2019-05-03,24.92,25.45,24.88,25.43,12747
2019-05-06,25.04,25.62,25.04,25.39,16290
2019-05-07,25.19,26.25,24.07,24.2,35487
2019-05-08,24.08,24.99,23.85,24.53,24666
2019-05-09,24.28,24.93,24.03,24.91,12986
2019-05-10,24.9,24.91,24.13,24.84,14116
2019-05-13,24.41,24.58,24.12,24.24,15105
2019-05-14,24.31,24.45,24.22,24.31,8276
2019-05-15,24.04,24.55,23.88,24.52,13134
2019-05-16,24.63,24.7,24.26,24.3,6823
2019-05-17,24.14,24.23,23.5,24.01,22329
2019-05-20,24.22,24.22,23.29,23.49,20986
2019-05-21,23.58,24.2,23.46,23.93,17725
2019-05-22,23.75,23.82,23.35,23.36,13005
2019-05-23,23.03,23.23,22.72,22.9,22910
2019-05-24,23.01,23.18,22.8,22.94,12922
2019-05-28,22.81,22.96,22.63,22.72,21082
2019-05-29,22.54,23.15,22.44,22.97,18225
