date,open,high,low,close,volume
2018-12-10,113.35,116.59,112.36,115.01,28521
2018-12-11,117.03,119.94,115.8,116.85,24741
2018-12-12,120.21,123.53,118.5,122.65,33334
2018-12-13,122.99,125.8,118.15,120.2,39843
2018-12-14,118.43,122.15,117.61,119.12,21014
2018-12-17,119.89,122.0,117.5,118.87,25657
2018-12-18,120.02,122.41,118.38,119.2,26148
2018-12-19,119.52,120.77,114.15,115.71,19086
2018-12-20,114.83,118.21,111.34,115.01,24644
2018-12-21,116.76,119.75,113.53,113.74,24364
2018-12-24,112.21,115.89,110.71,113.26,12820
2018-12-26,114.13,122.74,114.1,122.66,19711
2018-12-27,120.64,124.18,118.69,123.34,14967
2018-12-28,124.4,125.37,120.64,121.4,16378
2018-12-31,123.12,123.34,120.56,121.61,10820
2019-01-02,118.89,124.59,118.28,123.35,13830
2019-01-03,121.85,126.12,120.31,124.36,23561
2019-01-04,125.85,129.57,125.31,128.55,16686
2019-01-07,129.33,135.1,129.33,134.1,20062
2019-01-08,135.52,137.18,133.67,135.86,13911
2019-01-09,137.5,137.51,134.64,136.0,22689
2019-01-10,131.03,132.41,129.5,131.61,28988
2019-01-11,130.97,133.15,130.57,132.16,23812
2019-01-14,136.64,145.0,135.38,139.73,59745
2019-01-15,139.36,141.65,138.51,141.13,19285
2019-01-16,142.15,143.25,141.36,142.24,12524
2019-01-17,141.73,146.04,141.73,145.14,18137
2019-01-18,147.52,152.18,147.07,152.07,25411
2019-01-22,150.98,151.66,148.32,149.47,12899
2019-01-23,151.43,151.73,147.75,149.85,11081
2019-01-24,150.0,150.26,147.23,148.43,9578
2019-01-25,150.0,152.82,149.29,151.89,12560
2019-01-28,150.34,150.77,148.62,149.7,10995
2019-01-29,149.83,149.93,147.81,148.95,9853
2019-01-30,150.14,150.4,148.23,148.61,9776
2019-01-31,148.4,148.94,146.31,147.81,17028
2019-02-01,147.45,147.85,144.36,146.12,12646
2019-02-04,145.34,147.45,144.68,146.64,13412
2019-02-05,147.55,151.57,146.68,146.89,14047
2019-02-06,146.96,147.27,143.47,145.76,10516
2019-02-07,144.33,147.67,143.06,147.63,12240
2019-02-08,147.13,150.0,147.0,148.62,8807
2019-02-11,149.7,151.93,149.28,149.79,9946
2019-02-12,150.86,157.55,150.57,157.32,22582
2019-02-13,157.94,158.67,154.11,155.27,13340
2019-02-14,153.51,156.42,152.35,154.85,8208
2019-02-15,155.6,156.23,150.54,151.09,13224
2019-02-19,149.18,149.8,145.53,147.57,17629
2019-02-20,147.45,149.51,147.03,148.12,8899
2019-02-21,147.47,149.11,147.05,148.11,6671
2019-02-22,148.7,149.36,147.5,149.26,6099
2019-02-25,150.12,151.51,148.05,148.54,8301
2019-02-26,148.2,151.4,148.19,150.98,8993
2019-02-27,150.0,152.15,149.05,150.56,6654
2019-02-28,150.18,151.23,148.52,150.42,7426
2019-03-01,152.49,153.95,150.19,151.38,11659
2019-03-04,152.09,152.89,146.46,147.78,10073
2019-03-05,148.07,149.68,147.45,148.9,6379
2019-03-06,149.6,150.23,147.66,149.09,5844
2019-03-07,148.37,148.92,146.41,147.7,8108
2019-03-08,146.01,146.63,141.78,142.51,19491
2019-03-11,143.0,145.54,142.35,145.29,16774
2019-03-12,145.28,146.06,142.67,145.79,14250
2019-03-13,146.15,147.71,145.25,145.41,9499
2019-03-14,145.0,145.09,141.01,144.18,17987
2019-03-15,145.23,145.48,141.55,141.79,14597
2019-03-18,141.65,144.49,141.51,144.33,8998
2019-03-19,144.66,146.31,143.77,144.99,8235
2019-03-20,145.42,145.5,142.13,144.35,7657
2019-03-21,144.64,149.55,144.54,148.91,11959
2019-03-22,145.73,147.63,142.24,143.21,19216
2019-03-25,142.91,147.37,141.34,146.58,19700
2019-03-26,148.01,148.43,142.8,143.56,20639
2019-03-27,144.32,146.86,143.88,146.8,33962
2019-03-28,169.18,171.45,166.1,167.54,118327
2019-03-29,165.91,168.3,162.95,163.87,55730
2019-04-01,164.76,167.2,163.22,165.52,26119
2019-04-02,165.61,166.7,164.01,165.47,16808
2019-04-03,165.6,167.5,163.95,166.21,13633
2019-04-04,166.27,171.69,166.15,171.37,21306
2019-04-05,172.04,172.9,168.84,169.37,14174
2019-04-08,168.78,170.4,168.36,169.77,11556
2019-04-09,169.41,169.8,165.53,167.52,20174
2019-04-10,168.3,169.82,166.68,167.46,12279
2019-04-11,167.69,168.66,166.93,168.0,10240
2019-04-12,168.42,170.68,167.5,169.88,8436
2019-04-15,170.02,173.07,170.02,172.01,17410
2019-04-16,173.0,173.33,168.73,169.33,13964
2019-04-17,169.74,171.99,167.93,171.23,12158
2019-04-18,171.74,174.64,169.72,173.31,17792
2019-04-22,173.2,173.66,172.04,173.02,7899
2019-04-23,174.51,177.16,173.03,176.78,17698
2019-04-24,177.79,179.5,174.41,178.27,18764
2019-04-25,178.34,179.22,176.61,177.29,11562
2019-04-26,177.75,178.04,175.41,177.09,9686
2019-04-29,176.61,178.85,176.5,177.5,11744
2019-04-30,177.26,177.75,175.62,176.35,8171
2019-05-01,176.23,178.28,175.58,175.67,7515
2019-05-02,176.65,177.75,174.81,176.55,7926
2019-05-03,176.84,178.98,176.01,178.64,6304
2019-05-06,175.2,178.22,174.59,177.69,5845
2019-05-07,177.0,177.5,172.1,173.98,11358
2019-05-08,173.86,177.0,172.79,175.17,5758
2019-05-09,173.55,174.89,171.28,173.71,7914
2019-05-10,173.51,175.11,170.01,173.68,6849
2019-05-13,170.0,171.13,166.22,167.57,13181
2019-05-14,168.54,171.51,167.32,170.68,8057
2019-05-15,169.82,173.75,168.85,172.88,8093
2019-05-16,173.9,177.06,173.68,176.8,8890
2019-05-17,176.36,176.65,172.56,173.0,8811
