date,open,high,low,close,volume
2018-12-10,1.9,2.04,1.75,2.02,10439
2018-12-11,2.04,2.04,1.95,2.0,6026
2018-12-12,2.02,2.02,1.895,1.9,4773
2018-12-13,1.9,1.95,1.85,1.9,2836
2018-12-14,1.89,1.97,1.88,1.88,3479
2018-12-17,1.89,1.95,1.83,1.92,3957
2018-12-18,1.94,1.94,1.86,1.86,2858
2018-12-19,1.87,1.9,1.79,1.82,2995
2018-12-20,1.82,1.83,1.68,1.7,4015
2018-12-21,1.71,1.775,1.59,1.67,10509
2018-12-24,1.7,1.85,1.62,1.83,11369
2018-12-26,1.82,1.9,1.755,1.85,4996
2018-12-27,1.84,1.96,1.81,1.96,6836
2018-12-28,1.97,2.09,1.97,2.05,5454
2018-12-31,2.06,2.07,2.0,2.0,6112
2019-01-02,1.99,2.16,1.99,2.16,2469
2019-01-03,2.15,2.16,2.08,2.13,2842
2019-01-04,2.16,2.28,2.1,2.16,5232
2019-01-07,2.16,2.5,2.16,2.3,8430
2019-01-08,2.32,2.4,2.28,2.39,2428
2019-01-09,2.4,2.42,2.19,2.23,6365
2019-01-10,2.21,2.27,2.2,2.22,2112
2019-01-11,2.2,2.42,2.2,2.4,3971
2019-01-14,2.38,2.38,2.21,2.36,2520
2019-01-15,2.36,2.38,2.28,2.34,2145
2019-01-16,2.33,2.38,2.25,2.26,1643
2019-01-17,2.26,2.34,2.21,2.26,1961
2019-01-18,2.28,2.28,2.17,2.2,1722
2019-01-22,2.2,2.28,2.14,2.21,3940
2019-01-23,2.21,2.27,2.04,2.05,2447
2019-01-24,2.05,2.12,2.04,2.07,1675
2019-01-25,2.07,2.55,1.99,2.29,15718
2019-01-28,2.25,2.31,2.13,2.2,6738
2019-01-29,2.19,2.2,1.99,2.0,5292
2019-01-30,2.0,2.14,1.9473,2.1,5263
2019-01-31,2.09,2.18,2.09,2.13,3777
2019-02-01,2.13,2.2,2.11,2.14,3704
2019-02-04,2.15,2.25,2.11,2.24,5291
2019-02-05,2.23,2.41,2.21,2.35,4624
2019-02-06,2.35,2.38,2.22,2.23,2803
2019-02-07,2.23,2.25,2.15,2.17,2653
2019-02-08,2.15,2.29,2.15,2.28,3361
2019-02-11,2.3,2.57,2.28,2.57,7061
2019-02-12,2.25,2.47,2.15,2.36,12930
2019-02-13,2.35,2.41,2.25,2.26,5024
2019-02-14,2.26,2.31,2.15,2.2,3540
2019-02-15,2.22,2.5,2.22,2.43,8512
2019-02-19,2.44,2.46,2.3,2.44,5165
2019-02-20,2.46,2.55,2.438,2.5,3637
2019-02-21,2.48,2.56,2.45,2.48,4534
2019-02-22,2.5,2.6792,2.5,2.64,8335
2019-02-25,2.74,2.74,2.48,2.5,5345
2019-02-26,2.49,2.68,2.49,2.62,3419
2019-02-27,2.61,2.64,2.45,2.53,3766
2019-02-28,2.53,2.57,2.41,2.43,3917
2019-03-01,2.46,2.53,2.45,2.49,2418
2019-03-04,2.51,2.51,2.355,2.41,3019
2019-03-05,2.4,2.4601,2.36,2.39,1937
2019-03-06,2.4,2.45,2.31,2.35,3023
2019-03-07,2.33,2.3784,2.25,2.34,2067
2019-03-08,2.29,2.4,2.25,2.35,2325
2019-03-11,2.35,2.45,2.33,2.4,2340
2019-03-12,2.42,2.43,2.3,2.31,1727
2019-03-13,2.33,2.39,2.26,2.26,2107
2019-03-14,2.28,2.36,2.2,2.21,2899
2019-03-15,2.2,2.32,2.18,2.29,3476
2019-03-18,2.31,2.31,2.2,2.25,1703
2019-03-19,2.25,2.3,2.2,2.23,2970
2019-03-20,2.25,2.29,2.2,2.24,2777
2019-03-21,2.24,2.29,2.205,2.25,1226
2019-03-22,2.24,2.24,2.11,2.14,2821
2019-03-25,2.13,2.17,2.0701,2.11,1845
2019-03-26,2.11,2.16,2.05,2.12,1710
2019-03-27,2.12,2.15,2.03,2.06,2062
2019-03-28,2.06,2.19,2.01,2.17,2472
2019-03-29,2.18,2.1819,2.04,2.04,2784
2019-04-01,2.08,2.14,2.04,2.07,1707
2019-04-02,2.07,2.185,2.07,2.17,3290
2019-04-03,2.35,2.45,2.3,2.37,8448
2019-04-04,2.38,2.42,2.31,2.41,2691
2019-04-05,2.41,2.44,2.38,2.42,2626
2019-04-08,2.41,2.5,2.28,2.29,4147
2019-04-09,2.3,2.335,2.27,2.28,2012
2019-04-10,2.28,2.38,2.2712,2.35,1528
