date,open,high,low,close,volume
2018-12-10,13.01,13.51,11.16,13.43,39065
2018-12-11,13.73,14.67,13.73,14.2,3579
2018-12-12,14.23,14.47,14.09,14.32,3015
2018-12-13,14.43,14.99,14.36,14.76,2439
2018-12-14,14.59,14.59,13.54,13.69,2495
2018-12-17,13.59,14.07,13.32,13.4,3150
2018-12-18,13.55,13.67,12.8,13.15,2174
2018-12-19,13.28,13.57,12.42,12.78,3256
2018-12-20,12.87,12.87,12.3,12.48,1774
2018-12-21,12.56,12.56,11.49,11.79,3709
2018-12-24,11.73,12.05,11.64,11.75,909
2018-12-26,11.88,12.56,11.88,12.5,2424
2018-12-27,12.34,12.71,12.03,12.59,2510
2018-12-28,12.59,12.89,12.35,12.61,2153
2018-12-31,12.7,12.88,12.51,12.7,1500
2019-01-02,12.53,12.67,11.87,12.66,3309
2019-01-03,12.68,12.91,12.33,12.6,7151
2019-01-04,12.79,13.34,12.41,13.3,2717
2019-01-07,13.39,14.12,13.27,14.05,3283
2019-01-08,14.15,14.28,13.57,14.27,2747
2019-01-09,14.16,14.32,13.7,13.83,2885
2019-01-10,13.73,14.07,13.36,13.86,5873
2019-01-11,13.77,14.6,13.59,14.3,4983
2019-01-14,14.16,14.22,13.47,13.51,2992
2019-01-15,13.66,13.76,13.16,13.53,2759
2019-01-16,13.54,13.79,12.82,12.83,4709
2019-01-17,12.83,12.93,12.29,12.54,4105
2019-01-18,12.58,12.79,12.19,12.31,1909
2019-01-22,12.22,12.28,11.16,11.53,5746
2019-01-23,11.5,12.04,11.31,11.4,5733
2019-01-24,11.32,11.51,11.0,11.44,3084
2019-01-25,11.5,12.49,11.02,11.7,13983
2019-01-28,11.7,11.7,11.04,11.35,3459
2019-01-29,11.39,12.05,11.19,11.54,4237
2019-01-30,11.46,11.62,11.04,11.43,3364
2019-01-31,11.4,11.81,11.37,11.73,2591
2019-02-01,11.74,11.74,11.21,11.43,3221
2019-02-04,10.57,11.85,9.87,11.35,14219
2019-02-05,11.35,11.74,11.1,11.11,2981
2019-02-06,29.43,32.32,24.6,25.6,192189
2019-02-07,26.43,26.43,22.86,22.87,32860
2019-02-08,22.76,23.3,21.43,22.44,20019
2019-02-11,22.44,23.26,20.76,21.37,13525
2019-02-12,21.42,21.77,20.23,20.99,9092
2019-02-13,22.34,22.66,21.25,21.29,45424
2019-02-14,21.27,21.27,20.47,21.12,9368
2019-02-15,21.16,22.09,20.75,21.84,11246
2019-02-19,21.8,22.27,21.47,22.15,8563
2019-02-20,22.06,22.57,21.64,22.23,10000
2019-02-21,22.22,22.38,21.26,21.88,6488
2019-02-22,21.88,22.0,21.15,21.21,9509
2019-02-25,21.56,22.35,21.48,21.73,11737
2019-02-26,21.62,21.62,20.68,20.84,6310
2019-02-27,20.65,21.19,19.63,21.13,10879
2019-02-28,21.08,21.14,19.78,20.0,8224
2019-03-01,20.2,20.7,19.93,20.47,5895
2019-03-04,20.75,20.95,19.22,20.25,5393
2019-03-05,20.21,20.89,19.96,20.09,3744
2019-03-06,20.16,20.17,19.03,19.23,4929
2019-03-07,19.15,19.37,18.61,19.07,3848
2019-03-08,18.94,19.78,18.94,19.33,4133
2019-03-11,19.27,19.92,19.27,19.76,7000
2019-03-12,19.75,19.83,19.37,19.64,2219
2019-03-13,19.73,20.3,19.28,20.18,5244
2019-03-14,20.15,20.79,19.24,19.25,3768
2019-03-15,19.32,19.4,18.88,19.13,5015
2019-03-18,19.17,19.38,18.97,19.08,4232
2019-03-19,19.08,19.12,18.62,18.89,5277
2019-03-20,18.91,19.68,18.64,19.24,3857
2019-03-21,19.04,20.05,19.04,19.82,3307
2019-03-22,19.67,19.89,18.94,18.98,4318
2019-03-25,18.98,19.81,18.98,19.62,3988
2019-03-26,19.71,20.13,19.7,19.94,2920
2019-03-27,19.92,19.92,18.62,18.65,4724
2019-03-28,18.54,18.65,17.27,17.51,9200
2019-03-29,17.71,18.3,17.08,17.98,8310
2019-04-01,18.15,18.79,17.81,18.53,6640
2019-04-02,18.58,18.97,18.36,18.79,3710
2019-04-03,18.93,19.3,18.83,19.04,3435
2019-04-04,19.08,19.55,18.95,19.23,4308
2019-04-05,19.37,19.8,19.18,19.71,4037
2019-04-08,19.63,19.63,19.24,19.37,3819
2019-04-09,19.36,19.45,18.52,18.62,3930
2019-04-10,18.68,18.81,18.17,18.34,6799
2019-04-11,18.49,18.95,17.72,17.75,3831
2019-04-12,17.67,17.76,17.22,17.41,5220
2019-04-15,17.5,17.73,17.34,17.49,3142
2019-04-16,17.59,17.64,16.85,16.88,2396
2019-04-17,17.54,17.79,16.22,16.35,5419
2019-04-18,16.44,16.59,15.77,16.21,3311
2019-04-22,16.13,16.39,16.0,16.31,3200
2019-04-23,16.29,16.89,16.13,16.81,2532
2019-04-24,16.94,16.94,16.24,16.5,3709
2019-04-25,16.48,16.74,16.11,16.65,2483
2019-04-26,16.58,17.02,16.33,16.88,2435
2019-04-29,16.87,17.56,16.8,17.25,4638
2019-04-30,17.11,17.16,16.4,16.77,4018
2019-05-01,16.71,17.37,16.51,16.78,4319
2019-05-02,15.58,17.47,15.58,17.34,6257
2019-05-03,18.39,18.48,17.61,17.9,7692
2019-05-06,17.61,18.47,17.53,18.39,9237
2019-05-07,18.13,18.64,17.63,17.84,8237
2019-05-08,17.69,18.23,17.39,17.55,5154
2019-05-09,17.43,17.59,17.0,17.43,4466
2019-05-10,17.26,17.82,17.04,17.42,4083
2019-05-13,17.03,17.18,16.2,16.25,3725
2019-05-14,16.25,16.98,16.09,16.53,4555
2019-05-15,16.4,16.4,15.24,16.27,15013
2019-05-16,18.27,18.65,17.16,18.0,16935
2019-05-17,17.76,18.77,17.72,18.71,8413
2019-05-20,18.5,18.67,18.15,18.24,7400
2019-05-21,18.25,18.75,18.03,18.74,3241
2019-05-22,18.77,19.24,18.19,18.43,8529
2019-05-23,18.24,18.77,17.91,18.63,3941
2019-05-24,18.63,19.05,18.44,18.85,3004
2019-05-28,18.79,19.05,18.32,18.39,4254
2019-05-29,18.41,19.08,18.05,18.5,3636
