date,open,high,low,close,volume
2018-12-10,7.86,8.19,7.65,7.76,914
2018-12-11,7.75,8.6,7.75,8.34,483
2018-12-12,8.36,8.6,7.9,7.92,542
2018-12-13,7.92,8.43,7.25,7.49,1298
2018-12-14,7.44,7.8,6.82,6.92,1534
2018-12-17,6.94,7.41,6.59,6.73,538
2018-12-18,6.76,7.23,6.18,6.27,1234
2018-12-19,6.3,6.73,5.62,6.02,1508
2018-12-20,6.03,6.3,5.4,5.87,1147
2018-12-21,5.89,6.26,5.6,6.0,1499
2018-12-24,5.95,6.02,5.53,5.93,1765
2018-12-26,6.0,6.05,5.47,5.83,958
2018-12-27,5.83,5.83,5.48,5.57,862
2018-12-28,5.6,5.98,5.31,5.7,936
2018-12-31,5.84,5.91,5.45,5.7,1253
2019-01-02,5.78,6.89,5.62,6.0,1460
2019-01-03,6.22,6.53,5.65,5.76,1484
2019-01-04,5.94,6.54,5.92,6.14,3456
2019-01-07,6.19,6.25,5.65,5.7,5451
2019-01-08,5.77,6.29,5.56,5.75,1289
2019-01-09,5.8,6.1,5.41,5.89,844
2019-01-10,5.96,6.05,5.65,5.84,529
2019-01-11,5.85,6.26,5.81,6.12,942
2019-01-14,6.15,6.18,5.65,6.01,3100
2019-01-15,6.01,6.85,6.01,6.69,825
2019-01-16,6.7,7.11,6.61,6.92,1552
2019-01-17,6.9,7.25,6.72,6.83,479
2019-01-18,6.89,7.18,6.7,7.0,846
2019-01-22,7.0,7.17,6.69,6.9,608
2019-01-23,6.9,7.19,6.81,6.99,538
2019-01-24,6.98,7.32,6.8,7.0,574
2019-01-25,7.07,7.29,7.01,7.24,501
2019-01-28,7.14,7.18,6.56,6.98,762
2019-01-29,7.06,7.09,6.5,6.62,350
2019-01-30,6.76,7.0,6.63,6.87,571
2019-01-31,7.05,7.06,6.58,7.01,1092
2019-02-01,7.1,7.11,6.78,7.01,1190
2019-02-04,7.1,7.1,6.31,6.64,757
2019-02-05,6.7,7.17,6.7,7.13,234
2019-02-06,7.35,7.61,6.89,7.55,674
2019-02-07,7.54,7.54,6.85,7.29,224
2019-02-08,7.22,7.7,6.87,7.49,301
2019-02-11,7.55,9.62,7.55,8.53,1147
2019-02-12,8.49,9.44,7.94,8.09,643
2019-02-13,8.17,9.24,8.17,8.83,161
2019-02-14,8.93,9.06,8.25,8.43,424
2019-02-15,8.53,9.5,8.48,9.24,457
2019-02-19,9.3,9.48,8.47,8.86,398
2019-02-20,8.78,9.35,8.59,9.19,492
2019-02-21,9.15,9.46,8.6,8.67,310
2019-02-22,8.85,9.4,8.78,9.39,540
2019-02-25,9.54,10.9,9.1,10.52,1527
2019-02-26,10.74,12.59,10.74,12.18,3739
