date,open,high,low,close,volume
2018-12-10,0.41,0.41,0.3204,0.3681,507
2018-12-11,0.371,0.4475,0.37,0.44,408
2018-12-12,0.5301,1.087,0.486,0.54,35819
2018-12-13,0.441,0.48,0.4,0.41,3789
2018-12-14,0.409,0.409,0.36,0.38,1374
2018-12-17,0.36,0.4,0.35,0.36,391
2018-12-18,0.36,0.4,0.3304,0.365,1608
2018-12-19,0.4,0.4,0.35,0.365,481
2018-12-20,0.37,0.37,0.325,0.34,481
2018-12-21,0.3349,0.3349,0.2964,0.3,1055
2018-12-24,0.3,0.305,0.262,0.28,1932
2018-12-26,0.2721,0.31,0.2721,0.2915,1365
2018-12-27,0.2965,0.3063,0.26,0.29,879
2018-12-28,0.2899,0.315,0.2849,0.30785,1926
2018-12-31,0.32,0.3582,0.3048,0.3316,714
2019-01-02,0.35,0.352,0.3266,0.34,174
2019-01-03,0.335,0.335,0.3,0.305,237
2019-01-04,0.31,0.3125,0.3,0.3125,118
2019-01-07,0.3075,0.335,0.2924,0.33,918
2019-01-08,0.34,0.4278,0.335,0.4116,3755
2019-01-09,0.4321,0.4321,0.319,0.39,609
2019-01-10,0.3822,0.387,0.3298,0.3671,509
2019-01-11,0.3471,0.4371,0.3471,0.407,887
2019-01-14,0.4,0.42,0.37,0.4,898
2019-01-15,0.4,0.427,0.352,0.392,849
2019-01-16,0.3719,0.392,0.355,0.38045,87
2019-01-17,0.3805,0.3905,0.3616,0.3616,17
2019-01-18,0.3816,0.4685,0.3816,0.405,768
2019-01-22,0.37,0.3908,0.3552,0.3571,194
2019-01-23,0.3671,0.3996,0.36,0.3746,492
2019-01-24,0.4,0.4348,0.395,0.4099,1156
2019-01-25,0.415,0.4499,0.3849,0.4019,637
2019-01-28,0.6,0.87,0.451,0.479,22008
2019-01-29,0.48,0.4804,0.3891,0.4068,2566
2019-01-30,0.4288,0.4288,0.39,0.4026,2086
2019-01-31,0.392,0.4253,0.392,0.4023,581
2019-02-01,0.38,0.38,0.345,0.353,4527
2019-02-04,0.3706,0.4,0.35,0.4,796
2019-02-05,0.39,0.39,0.355,0.36,967
2019-02-06,0.355,0.3651,0.35,0.35,324
2019-02-07,0.3568,0.37,0.3379,0.3493,1409
2019-02-08,0.3494,0.385,0.336,0.375,4017
2019-02-11,0.3954,0.3983,0.3521,0.3521,2588
2019-02-12,0.356,0.37,0.356,0.35945,1121
2019-02-13,0.3603,0.3603,0.341,0.36,443
2019-02-14,0.35,0.37,0.35,0.356,413
2019-02-15,0.36,0.37,0.35,0.37,2144
2019-02-19,0.38,0.38,0.35,0.3546,1805
2019-02-20,0.35,0.3595,0.34,0.3415,1994
2019-02-21,0.35,0.35,0.3303,0.3398,1778
2019-02-22,0.3405,0.3548,0.3303,0.3409,1123
2019-02-25,0.3303,0.3599,0.3303,0.34,1022
2019-02-26,0.34,0.355,0.3328,0.3328,566
