date,open,high,low,close,volume
2018-12-10,78.78,80.49,76.96,78.3,2656
2018-12-11,79.23,79.58,76.97,78.27,2207
2018-12-12,79.06,79.81,77.99,78.09,2285
2018-12-13,78.38,79.64,77.22,77.71,2387
2018-12-14,77.39,78.99,74.22,75.0,3322
2018-12-17,74.59,75.77,72.57,72.89,5490
2018-12-18,73.44,74.08,71.31,71.35,3906
2018-12-19,71.54,73.68,71.29,71.98,4452
2018-12-20,72.07,72.64,69.77,70.3,2046
2018-12-21,70.06,72.27,67.04,67.28,3298
2018-12-24,66.69,67.9,65.08,65.13,1735
2018-12-26,65.65,68.36,65.46,68.15,3208
2018-12-27,67.22,68.0,63.94,66.53,4255
2018-12-28,66.54,69.19,66.5,68.4,2866
2018-12-31,68.61,69.29,67.23,68.75,1270
2019-01-02,67.02,68.92,60.78,68.47,2583
2019-01-03,67.76,69.06,66.61,68.22,1962
2019-01-04,68.88,70.3,68.07,69.27,2466
2019-01-07,69.27,70.04,66.67,68.47,2722
2019-01-08,68.68,69.07,66.92,67.97,2343
2019-01-09,68.1,70.7,67.95,69.51,2722
2019-01-10,69.06,69.79,67.29,69.69,2018
2019-01-11,69.3,70.26,68.27,69.8,1958
2019-01-14,69.39,72.72,69.12,71.53,2641
2019-01-15,71.56,73.01,69.11,72.02,2349
2019-01-16,72.22,73.57,71.93,72.85,1471
2019-01-17,72.69,73.97,72.07,73.41,2293
2019-01-18,73.58,74.52,72.59,73.14,2483
2019-01-22,72.65,73.41,70.64,71.2,1807
2019-01-23,71.55,73.24,71.28,72.4,2019
2019-01-24,72.61,72.95,71.29,72.13,2818
2019-01-25,72.68,73.13,71.41,71.71,1774
2019-01-28,71.27,72.18,70.17,71.67,2149
2019-01-29,71.7,72.13,69.97,71.22,2049
2019-01-30,71.24,72.14,70.55,71.74,3917
2019-01-31,70.02,72.18,63.86,71.66,7926
2019-02-01,72.42,73.34,69.95,72.45,4930
2019-02-04,71.99,75.28,71.42,75.26,3052
2019-02-05,74.71,78.0,74.08,76.15,3862
2019-02-06,76.09,77.81,75.18,76.99,2285
2019-02-07,76.8,77.58,75.15,77.58,1756
2019-02-08,77.49,79.1,76.14,78.51,2298
2019-02-11,78.77,80.62,76.61,79.9,3302
2019-02-12,80.01,80.98,78.2,79.61,2264
2019-02-13,79.88,81.48,76.18,77.73,3044
2019-02-14,77.78,78.13,76.44,77.39,2176
2019-02-15,77.8,79.24,76.27,77.21,2820
2019-02-19,76.93,77.86,76.26,76.77,1819
2019-02-20,76.66,77.86,76.15,76.37,1445
2019-02-21,76.4,77.12,75.65,76.48,1949
2019-02-22,76.61,78.07,76.61,78.0,1575
2019-02-25,78.29,79.2,77.23,78.16,4078
2019-02-26,78.34,79.79,77.83,77.87,2038
2019-02-27,77.9,78.84,76.15,76.15,1542
2019-02-28,76.16,77.47,75.68,76.31,1497
2019-03-01,76.85,77.74,75.85,77.24,1651
2019-03-04,77.39,78.2,76.4,77.73,2223
2019-03-05,77.95,79.17,77.15,78.24,1275
2019-03-06,78.5,79.25,77.46,77.46,1349
2019-03-07,77.17,78.24,76.75,77.52,1342
2019-03-08,77.29,78.21,76.2,77.96,1357
2019-03-11,78.1,79.93,77.78,79.65,1280
2019-03-12,79.66,79.66,77.63,78.14,1638
2019-03-13,78.32,78.57,77.35,77.56,1619
2019-03-14,77.42,77.96,75.98,76.44,2007
2019-03-15,76.58,77.27,75.01,75.33,2709
2019-03-18,75.34,77.48,75.34,77.19,1731
2019-03-19,77.3,77.97,76.68,77.06,1294
2019-03-20,77.09,79.23,76.58,78.13,2059
2019-03-21,78.13,83.4,78.13,83.03,3170
2019-03-22,82.79,82.79,78.94,79.0,2832
2019-03-25,79.16,81.15,78.43,80.75,2308
2019-03-26,81.7,82.71,80.72,81.89,1795
2019-03-27,81.83,83.39,81.3,83.03,1911
2019-03-28,83.12,85.62,83.12,85.16,1974
2019-03-29,85.56,86.84,85.56,86.52,2300
2019-04-01,87.26,89.72,86.62,87.17,2938
2019-04-02,87.18,87.18,84.04,85.23,3623
2019-04-03,85.8,86.49,82.72,82.89,4246
2019-04-04,81.36,82.5,80.55,82.41,3374
2019-04-05,82.4,83.85,82.25,83.26,1610
2019-04-08,82.79,83.1,81.62,82.32,2369
2019-04-09,82.32,83.44,80.88,81.38,2575
2019-04-10,81.77,83.76,81.64,83.12,2025
2019-04-11,83.22,84.17,83.03,83.39,1369
2019-04-12,83.19,84.67,83.19,84.17,1264
2019-04-15,84.26,86.07,84.26,85.84,1528
2019-04-16,85.64,86.36,84.1,84.14,1667
2019-04-17,84.59,84.77,82.56,83.23,1961
2019-04-18,82.95,84.1,80.98,81.35,2286
2019-04-22,81.35,81.92,77.95,78.89,2566
2019-04-23,79.01,80.81,78.7,80.45,2658
2019-04-24,80.77,81.7,79.95,81.07,1377
2019-04-25,80.53,81.31,78.68,80.17,1627
2019-04-26,80.29,81.92,79.92,81.57,1330
2019-04-29,81.5,82.74,81.5,82.37,2062
2019-04-30,82.41,83.96,82.33,83.83,1649
2019-05-01,83.82,83.82,78.93,79.01,2940
2019-05-02,79.04,81.12,78.2,80.61,2494
2019-05-03,81.26,82.92,80.95,82.64,1913
2019-05-06,81.63,83.6,81.14,82.88,1656
2019-05-07,82.43,83.93,81.49,82.3,1626
2019-05-08,82.28,82.33,79.99,80.69,940
2019-05-09,80.11,82.21,79.57,81.61,838
2019-05-10,81.36,81.64,80.02,81.17,770
2019-05-13,80.05,80.53,78.09,79.27,1245
2019-05-14,79.96,80.98,79.1,80.31,1344
2019-05-15,79.88,80.73,79.55,80.18,907
2019-05-16,80.5,81.73,80.42,80.82,882
2019-05-17,80.39,81.39,79.84,80.2,2273
2019-05-20,79.55,81.89,79.55,80.72,4256
2019-05-21,79.55,85.8,78.05,84.07,6030
2019-05-22,84.06,84.69,81.78,84.52,2855
2019-05-23,83.79,83.86,80.73,82.37,2402
2019-05-24,83.02,84.52,81.75,82.55,1487
2019-05-28,82.91,84.93,82.91,83.34,1480
2019-05-29,83.0,83.44,80.13,80.76,1586
2019-05-30,81.03,82.63,80.89,82.27,1393
2019-05-31,81.26,81.45,79.59,79.71,1687
2019-06-03,79.71,80.98,78.5,80.84,1863
2019-06-04,81.59,85.46,81.12,85.09,2305
2019-06-05,85.42,87.67,84.09,86.8,1744
2019-06-06,86.98,88.79,86.31,88.55,2212
2019-06-07,89.19,89.19,86.37,88.35,1217
2019-06-10,88.88,89.62,87.96,88.63,1208
2019-06-11,89.16,89.33,86.73,87.14,1341
2019-06-12,87.11,87.94,85.06,85.25,2818
2019-06-13,85.51,86.18,83.37,84.4,2261
2019-06-14,83.75,86.56,83.75,86.08,1737
2019-06-17,86.25,89.35,86.24,88.11,2210
2019-06-18,88.91,89.43,87.23,89.33,1031
2019-06-19,89.52,89.52,87.35,87.69,897
2019-06-20,87.6,88.52,86.26,87.68,1070
2019-06-21,86.82,88.23,85.45,87.31,2315
2019-06-24,87.32,88.03,86.07,86.41,2519
2019-06-25,86.42,86.6,83.35,83.51,2258
2019-06-26,83.58,84.65,81.24,82.22,2281
2019-06-27,82.6,83.71,81.9,83.54,2409
2019-06-28,83.63,86.83,83.57,85.3,2608
2019-07-01,86.49,87.38,85.34,86.69,1967
2019-07-02,86.6,87.42,86.36,87.32,1084
2019-07-03,87.74,87.92,87.22,87.42,852
2019-07-05,86.94,87.92,86.11,87.02,2228
