date,open,high,low,close,volume
2018-12-10,2.6,2.6,2.6,2.6,4
2018-12-11,2.6,2.6,2.6,2.6,2
2018-12-12,2.6,2.75,2.6,2.687,71
2018-12-13,2.613,2.6145,2.575,2.6145,66
2018-12-14,2.75,2.75,2.5,2.5,31
2018-12-17,2.5,2.5,2.5,2.5,7
2018-12-18,2.703,2.703,2.1005,2.11,34
2018-12-19,2.11,2.11,2.11,2.11,1
2018-12-20,2.11,2.179,1.65,1.8145,25
2018-12-21,1.8,1.9845,1.8,1.9845,4
2018-12-24,1.9845,1.9845,1.9845,1.9845,0
2018-12-26,1.9345,1.9845,1.9265,1.9845,8
2018-12-27,1.505,2.0,1.505,2.0,4
2018-12-28,1.505,2.65,1.505,1.71,25
2018-12-31,1.6245,2.4075,1.605,1.705,22
2019-01-02,1.7,1.7,1.7,1.7,20
2019-01-03,1.8,2.125,1.7,1.75,46
2019-01-04,1.948,2.0,1.6,1.6,51
2019-01-07,1.6,1.875,1.6,1.875,0
2019-01-08,1.875,2.45,1.8,2.0,14
2019-01-09,2.0,2.489,1.65,2.018,19
2019-01-10,1.9225,2.0,1.7505,1.769,17
2019-01-11,1.778,2.45,1.769,2.4135,356
2019-01-14,2.4,2.45,2.0,2.0,77
2019-01-15,2.0,2.1905,1.65,2.1905,25
2019-01-16,2.1905,2.2,1.65,1.9765,91
2019-01-17,1.95,1.95,1.872,1.95,83
2019-01-18,1.95,5.1,1.95,3.551,6780
2019-01-22,3.85,4.95,3.6,3.8,2271
2019-01-23,3.85,4.15,3.615,3.95,552
2019-01-24,3.75,4.0,3.65,3.65,233
2019-01-25,3.65,3.8925,3.5,3.5,194
2019-01-28,3.6685,3.6685,3.15,3.2,162
2019-01-29,3.5,3.517,3.0,3.1355,182
2019-01-30,3.166,3.166,2.5925,2.75,86
2019-01-31,2.65,3.0005,2.555,2.6495,344
2019-02-01,2.6495,3.0,2.6025,2.6505,75
2019-02-04,2.65,3.0155,2.65,3.0,121
2019-02-05,2.7135,3.25,2.7,2.7755,111
2019-02-06,3.25,3.25,2.75,2.751,24
2019-02-07,3.015,3.15,2.75,2.9495,133
2019-02-08,2.8,2.9585,2.7505,2.8995,31
2019-02-11,2.75,2.8,2.75,2.8,51
2019-02-12,2.764,2.875,2.751,2.751,14
2019-02-13,2.75,2.7905,2.75,2.764,49
2019-02-14,2.75,2.75,2.25,2.5,146
2019-02-15,2.3,2.529,2.3,2.4505,61
2019-02-19,2.45,2.45,2.3,2.397,25
2019-02-20,2.35,2.547,2.3,2.3,60
2019-02-21,2.35,2.65,2.35,2.3645,56
2019-02-22,2.3625,2.808,2.3005,2.5505,273
2019-02-25,2.65,3.0,2.5,2.5,238
2019-02-26,2.5,2.6,2.3745,2.55,114
2019-02-27,2.4055,2.45,2.2665,2.3,105
2019-02-28,2.45,2.996,2.21,2.25,554
2019-03-01,2.3,2.595,2.3,2.355,186
2019-03-04,2.425,2.95,2.285,2.95,978
2019-03-05,2.95,3.75,2.75,3.5175,910
2019-03-06,3.5,4.5,3.4,3.4,1803
2019-03-07,3.6,4.05,3.478,3.9535,237
2019-03-08,3.3015,3.9,3.25,3.782,140
2019-03-11,3.8,3.99,3.8,3.875,164
2019-03-12,3.875,4.1235,3.25,4.05,280
2019-03-13,4.0,4.15,3.7585,4.1,82
2019-03-14,4.0,4.05,3.883,3.883,84
2019-03-15,3.9005,4.4015,3.8835,4.2,269
2019-03-18,4.2,4.4,4.0055,4.277,71
2019-03-19,4.063,4.4395,4.063,4.35,45
2019-03-20,4.5,4.5,4.15,4.2025,137
2019-03-21,4.3985,4.4495,4.0705,4.25,136
2019-03-22,4.4,4.4,4.0775,4.25,87
2019-03-25,4.1,4.275,3.8,4.2085,97
2019-03-26,4.4,5.0,4.2855,4.75,1465
2019-03-27,4.75,4.8495,4.25,4.2505,540
2019-03-28,4.2515,4.75,4.2505,4.65,369
2019-03-29,4.65,4.65,4.1885,4.25,568
2019-04-01,4.0165,4.449,3.8,4.095,412
2019-04-02,3.9,4.0175,3.839,3.9005,38
2019-04-03,3.85,3.9,3.4,3.7,143
2019-04-04,3.7,3.7495,3.4685,3.655,274
2019-04-05,3.5,3.8545,3.5,3.8075,203
2019-04-08,3.577,3.625,3.4,3.4,92
2019-04-09,3.3,3.4,3.05,3.1155,93
2019-04-10,3.1,3.2495,2.7505,2.85,124
2019-04-11,2.75,3.0605,2.75,3.0485,85
2019-04-12,2.935,3.0,2.935,3.0,3
2019-04-15,2.935,3.0655,2.935,2.9495,19
2019-04-16,3.0,3.1,2.6015,2.9435,62
2019-04-17,2.936,2.949,2.9355,2.9355,7
2019-04-18,2.9,2.9,2.7,2.8815,36
2019-04-22,2.7,2.94,2.29,2.43,1614
2019-04-23,2.21,2.32,2.05,2.05,105
2019-04-24,2.05,2.05,1.11,1.32,10392
2019-04-25,1.29,1.65,1.24,1.24,9957
2019-04-26,1.25,1.35,1.01,1.04,4289
2019-04-29,1.08,1.36,1.05,1.12,5291
2019-04-30,1.19,1.24,1.1,1.16,1573
2019-05-01,1.16,1.21,1.0,1.13,1533
2019-05-02,1.15,1.3697,1.11,1.3,3106
2019-05-03,1.3,1.54,1.3,1.32,2177
2019-05-06,1.25,1.473,1.21,1.4104,1450
2019-05-07,1.39,1.6298,1.3601,1.38,2038
2019-05-08,1.38,1.46,1.32,1.33,1492
2019-05-09,1.32,1.39,1.206,1.26,1251
2019-05-10,1.3112,1.33,1.26,1.3,401
2019-05-13,1.25,1.26,1.25,1.26,476
2019-05-14,1.25,1.26,1.2101,1.23,332
2019-05-15,1.2362,1.28,1.23,1.27,340
2019-05-16,1.28,1.4689,1.28,1.4571,625
2019-05-17,1.43,1.57,1.38,1.46,557
2019-05-20,1.3802,1.3802,1.32,1.36,198
2019-05-21,1.41,1.429,1.32,1.34,311
2019-05-22,1.32,1.4499,1.3,1.4143,384
2019-05-23,1.3856,1.43,1.375,1.4011,185
2019-05-24,1.407,1.41,1.31,1.32,167
2019-05-28,1.32,1.46,1.32,1.341,358
2019-05-29,1.3499,1.35,1.26,1.28,300
2019-05-30,1.28,1.3,1.26,1.28,46
2019-05-31,1.27,1.37,1.22,1.25,792
2019-06-03,1.3,1.38,1.3,1.34,39
2019-06-04,1.34,1.4334,1.3166,1.43,224
2019-06-05,1.41,1.41,1.37,1.37,86
2019-06-06,1.36,1.401,1.36,1.3962,74
2019-06-07,1.4,1.4,1.38,1.38,99
2019-06-10,1.39,1.43,1.39,1.4085,130
2019-06-11,1.41,1.75,1.41,1.455,1699
2019-06-12,1.51,1.565,1.46,1.54,374
2019-06-13,1.5477,1.7,1.5477,1.68,550
2019-06-14,1.72,2.13,1.72,1.9852,1713
2019-06-17,2.02,2.4,2.02,2.33,1924
2019-06-18,2.39,3.2,2.39,2.74,7312
2019-06-19,2.81,3.2,2.8,3.2,2087
2019-06-20,3.2,3.49,2.9186,3.18,2754
2019-06-21,1.9,2.84,1.7233,2.59,3046
2019-06-24,2.8,2.92,2.55,2.85,1066
2019-06-25,2.7,2.88,2.66,2.695,445
2019-06-26,2.75,2.75,2.25,2.35,1814
2019-06-27,2.35,2.35,2.1343,2.25,1221
2019-06-28,2.47,2.47,2.11,2.34,588
