date,open,high,low,close,volume
2018-12-10,11.62,11.685,11.445,11.64,1341
2018-12-11,11.78,11.92,11.665,11.8,1672
2018-12-12,11.9,12.035,11.815,11.82,1284
2018-12-13,11.855,12.145,11.305,11.355,1170
2018-12-14,11.275,11.485,11.115,11.18,3422
2018-12-17,11.04,11.28,10.865,11.045,2338
2018-12-18,11.145,11.625,11.06,11.165,1266
2018-12-19,11.155,11.315,10.915,10.935,2914
2018-12-20,10.855,10.985,10.6,10.645,3739
2018-12-21,10.655,10.84,10.56,10.605,2909
2018-12-24,10.565,10.565,10.255,10.385,696
2018-12-26,10.425,10.915,10.32,10.855,2363
2018-12-27,10.665,10.935,10.315,10.925,1427
2018-12-28,10.865,11.355,10.715,10.84,1358
2018-12-31,10.86,10.935,10.62,10.795,1063
2019-01-02,10.635,10.98,10.62,10.915,1409
2019-01-03,10.845,10.985,10.595,10.615,1026
2019-01-04,10.74,10.955,10.695,10.845,2690
2019-01-07,10.82,11.08,10.685,11.025,2968
2019-01-08,11.1,11.485,11.04,11.475,2336
2019-01-09,11.475,11.735,11.395,11.645,3165
2019-01-10,11.575,11.7,11.485,11.555,1644
2019-01-11,11.5,11.835,11.46,11.805,1685
2019-01-14,11.72,11.905,11.66,11.815,1468
2019-01-15,11.82,11.915,11.58,11.665,1007
2019-01-16,11.665,11.96,11.665,11.835,1525
2019-01-17,11.935,12.615,11.935,12.575,5668
2019-01-18,12.715,13.02,12.635,12.925,3186
2019-01-22,12.86,13.365,12.86,13.225,4231
2019-01-23,13.245,13.425,13.175,13.4,3801
2019-01-24,13.455,13.615,13.24,13.435,3143
2019-01-25,14.425,14.425,12.585,13.22,5177
2019-01-28,13.18,13.18,12.84,13.105,3730
2019-01-29,13.105,13.185,12.775,13.155,3338
2019-01-30,13.145,13.385,12.845,13.185,2086
2019-01-31,13.195,13.22,12.855,12.9,2217
2019-02-01,12.9,12.995,12.775,12.82,2312
2019-02-04,12.825,12.845,12.64,12.835,2645
2019-02-05,12.86,12.94,12.745,12.745,3336
2019-02-06,12.685,12.76,12.585,12.625,1937
2019-02-07,12.575,12.715,12.46,12.52,2288
2019-02-08,12.455,12.615,12.175,12.32,1950
2019-02-11,12.315,12.385,12.18,12.265,2156
2019-02-12,12.325,12.485,12.32,12.4,1019
2019-02-13,12.395,12.555,12.335,12.485,1042
2019-02-14,12.44,12.6,12.44,12.505,1089
2019-02-15,12.525,12.76,12.445,12.56,1747
2019-02-19,12.575,12.975,12.575,12.925,2567
2019-02-20,12.925,13.3,12.885,13.175,2503
2019-02-21,13.165,13.32,13.14,13.22,1915
2019-02-22,13.28,13.28,12.975,13.115,2414
2019-02-25,13.165,13.28,13.075,13.165,3689
2019-02-26,13.165,13.175,12.66,12.665,1897
2019-02-27,12.66,12.82,12.56,12.565,936
2019-02-28,12.54,12.545,12.295,12.435,4175
2019-03-01,12.565,12.76,12.44,12.465,1663
2019-03-04,12.48,12.655,12.115,12.135,1266
2019-03-05,12.16,12.185,11.88,11.905,2274
2019-03-06,11.915,11.98,11.735,11.795,2010
