date,open,high,low,close,volume
2018-12-10,25.94,26.24,25.87,25.94,202
2018-12-11,26.2,26.3,25.86,26.03,175
2018-12-12,26.38,26.82,26.18,26.49,184
2018-12-13,26.8,26.99,26.05,26.18,161
2018-12-14,25.91,26.23,24.99,25.44,546
2018-12-17,26.06,26.49,24.82,25.03,531
2018-12-18,25.36,27.5,25.15,25.86,1233
2018-12-19,25.85,26.35,24.67,24.91,392
2018-12-20,24.75,25.39,23.85,24.53,517
2018-12-21,24.46,24.88,23.35,23.49,659
2018-12-24,23.25,23.82,23.05,23.19,191
2018-12-26,23.4,24.8,23.1,23.65,680
2018-12-27,23.66,23.72,22.88,23.7,395
2018-12-28,23.77,24.11,23.5,23.56,236
2018-12-31,23.61,24.12,23.45,23.69,319
2019-01-02,23.64,24.65,23.56,24.55,255
2019-01-03,24.56,25.05,24.0,24.96,271
2019-01-04,25.15,26.35,25.09,26.15,479
2019-01-07,26.39,26.54,25.83,25.95,365
2019-01-08,25.97,26.97,25.97,26.91,186
2019-01-09,27.1,27.63,27.1,27.58,466
2019-01-10,27.52,28.16,27.44,28.15,280
2019-01-11,28.15,28.82,27.7,28.28,314
2019-01-14,29.98,29.98,28.67,28.73,825
2019-01-15,29.08,29.5,28.24,28.83,656
2019-01-16,29.14,29.3,28.64,29.08,605
2019-01-17,29.1,29.28,28.8,29.1,626
2019-01-18,29.1,29.19,28.86,28.88,519
2019-01-22,28.88,29.09,28.34,28.94,613
2019-01-23,28.95,29.0,28.65,28.99,646
2019-01-24,28.99,29.05,28.51,28.64,1011
2019-01-25,28.95,29.37,28.55,28.72,1723
2019-01-28,29.01,29.05,27.9,27.98,3020
2019-01-29,26.79,26.87,26.0,26.5,1279
2019-01-30,26.33,27.32,26.33,26.5,1719
2019-01-31,26.55,27.65,26.55,27.44,1439
2019-02-01,27.46,28.49,27.46,28.39,1207
2019-02-04,28.4,28.7,28.18,28.65,917
2019-02-05,28.62,28.71,28.27,28.55,407
2019-02-06,28.55,28.92,28.15,28.67,695
2019-02-07,28.65,28.85,28.07,28.31,396
2019-02-08,28.52,29.13,28.52,28.97,1182
2019-02-11,28.9,29.6,28.76,29.36,710
2019-02-12,29.53,29.83,29.02,29.39,640
2019-02-13,29.39,29.39,28.79,28.99,403
2019-02-14,28.84,29.0,27.92,28.38,660
2019-02-15,28.55,29.2,28.55,29.13,1311
2019-02-19,29.02,29.63,28.87,29.4,411
2019-02-20,29.6,30.07,29.28,29.4,1487
2019-02-21,29.5,30.37,29.5,30.04,672
2019-02-22,30.19,30.52,30.02,30.26,461
2019-02-25,30.33,30.68,30.23,30.61,397
2019-02-26,30.55,30.99,30.35,30.77,516
2019-02-27,30.7,30.83,30.3,30.4,295
2019-02-28,30.29,30.36,29.86,30.1,340
2019-03-01,30.34,30.34,29.06,29.42,621
2019-03-04,29.45,29.63,28.46,29.24,728
2019-03-05,28.98,29.31,28.94,29.16,290
2019-03-06,29.26,29.55,29.03,29.35,317
2019-03-07,29.23,29.33,28.57,28.87,530
2019-03-08,28.86,28.86,27.81,28.23,829
