date,open,high,low,close,volume
2018-12-10,19.62,20.35,19.62,20.0,13
2018-12-11,20.02,20.54,19.64,20.3,19
2018-12-12,19.98,19.99,19.71,19.87,16
2018-12-13,19.44,19.59,18.56,19.1,34
2018-12-14,18.47,19.1,18.38,19.09,39
2018-12-17,18.84,19.45,18.03,18.76,61
2018-12-18,18.96,19.54,18.95,19.5,87
2018-12-19,19.17,20.2,19.05,19.575,28
2018-12-20,19.75,19.97,19.75,19.9,42
2018-12-21,19.72,20.0,19.25,20.0,28
2018-12-24,19.66,19.99,18.55,19.5,12
2018-12-26,19.5,19.5,18.72,18.81,12
2018-12-27,18.75,19.79,18.75,19.55,20
2018-12-28,19.46,19.47,18.5,18.95,37
2018-12-31,19.39,19.39,18.43,18.8,10
2019-01-02,18.73,19.22,18.73,19.22,3
2019-01-03,18.86,19.31,18.5,18.775,30
2019-01-04,18.91,19.0,18.76,18.76,11
2019-01-07,18.52,19.5,18.52,19.5,73
2019-01-08,19.4,19.58,19.12,19.12,21
2019-01-09,19.72,19.9,19.59,19.89,49
2019-01-10,19.85,19.85,19.85,19.85,1
2019-01-11,19.4,19.82,18.83,19.82,44
2019-01-14,19.66,19.71,18.76,19.45,18
2019-01-15,19.45,19.45,19.45,19.45,0
2019-01-16,19.41,19.45,19.41,19.45,2
2019-01-17,19.25,19.26,19.18,19.19,4
2019-01-18,19.5,19.5,19.5,19.5,2
2019-01-22,19.5,19.5,19.5,19.5,0
2019-01-23,19.23,19.5,19.23,19.48,20
2019-01-24,19.48,19.55,18.88,18.88,15
2019-01-25,19.16,19.49,19.16,19.49,4
2019-01-28,18.98,19.47,18.97,19.47,10
2019-01-29,19.34,19.34,18.96,18.96,8
2019-01-30,19.05,19.05,18.8,19.04,65
2019-01-31,19.23,19.29,18.95,19.15,14
2019-02-01,18.95,19.35,18.94,19.1,20
2019-02-04,19.22,19.22,18.76,19.19,11
2019-02-05,18.9,19.29,18.9,18.985,4
2019-02-06,19.0,19.25,19.0,19.195,26
2019-02-07,19.15,19.15,18.98,19.1,21
