date,open,high,low,close,volume
2018-12-10,10.0,10.28,9.94,10.08,16593
2018-12-11,10.22,10.3,10.0,10.05,7717
2018-12-12,10.18,10.31,10.12,10.17,4327
2018-12-13,10.19,10.19,10.0,10.03,5102
2018-12-14,9.91,10.04,9.77,9.79,4553
2018-12-17,9.78,9.81,9.37,9.42,6622
2018-12-18,9.49,9.55,9.34,9.41,6686
2018-12-19,9.42,9.5,9.06,9.12,7722
2018-12-20,9.07,9.25,8.99,9.15,11995
2018-12-21,9.08,9.15,8.94,9.0,13963
2018-12-24,8.98,8.98,8.65,8.66,4347
2018-12-26,8.7,8.99,8.47,8.97,7015
2018-12-27,8.79,9.23,8.75,9.22,13456
2018-12-28,9.21,9.33,8.97,9.12,8492
2018-12-31,9.19,9.19,8.87,9.1,7005
2019-01-02,8.93,9.22,8.85,9.16,6035
2019-01-03,9.11,9.18,8.92,9.04,5420
2019-01-04,9.17,9.28,9.06,9.19,5672
2019-01-07,9.18,9.25,9.02,9.22,4774
2019-01-08,9.29,9.37,9.24,9.32,3598
2019-01-09,9.37,9.48,9.33,9.45,3043
2019-01-10,9.37,9.56,9.19,9.55,3504
2019-01-11,9.51,9.59,9.42,9.57,4197
2019-01-14,9.53,9.57,9.43,9.49,3769
2019-01-15,9.49,9.49,9.34,9.46,3054
2019-01-16,9.45,9.61,9.41,9.6,5803
2019-01-17,9.54,9.62,9.45,9.57,7232
2019-01-18,9.65,9.74,9.52,9.73,4997
2019-01-22,9.63,9.64,9.25,9.34,13931
2019-01-23,9.4,9.45,9.26,9.35,15173
2019-01-24,9.36,9.54,9.34,9.43,17462
2019-01-25,9.55,9.7,9.47,9.59,4690
2019-01-28,9.46,9.5,9.31,9.4,4946
2019-01-29,9.46,9.7,9.46,9.61,5261
2019-01-30,9.71,9.72,9.5,9.61,7863
2019-01-31,9.59,9.9,9.53,9.88,11606
2019-02-01,9.86,9.95,9.74,9.88,5803
2019-02-04,9.84,9.97,9.81,9.91,7984
2019-02-05,9.95,10.58,9.87,10.52,16992
2019-02-06,10.45,10.52,10.3,10.4,13764
2019-02-07,10.27,10.33,10.02,10.1,13041
2019-02-08,10.1,10.33,10.06,10.24,12840
2019-02-11,10.23,10.37,10.17,10.29,13757
2019-02-12,10.36,10.5,10.36,10.37,10126
2019-02-13,10.41,10.7,10.41,10.64,8265
2019-02-14,10.6,10.74,10.57,10.67,7922
2019-02-15,10.75,10.92,10.65,10.82,7573
2019-02-19,10.75,10.94,10.74,10.9,4301
2019-02-20,10.93,11.0,10.89,10.97,4714
2019-02-21,10.95,10.98,10.77,10.86,8121
2019-02-22,10.9,10.93,10.81,10.87,8839
2019-02-25,10.92,11.05,10.9,10.9,6024
2019-02-26,10.78,10.84,10.53,10.55,7538
2019-02-27,10.52,10.6,10.48,10.57,2951
2019-02-28,10.53,10.53,10.4,10.44,3440
2019-03-01,10.48,10.55,10.31,10.55,3957
2019-03-04,10.54,10.65,10.49,10.5,7740
2019-03-05,10.52,10.52,10.41,10.41,5120
2019-03-06,10.45,10.45,10.23,10.27,5045
2019-03-07,10.3,10.3,10.03,10.1,8560
2019-03-08,10.02,10.12,9.98,10.05,4465
2019-03-11,10.06,10.47,10.04,10.42,6344
2019-03-12,10.41,10.45,10.3,10.32,2819
2019-03-13,10.4,10.51,10.39,10.45,4513
2019-03-14,10.41,10.45,10.26,10.29,6761
2019-03-15,10.29,10.43,10.25,10.29,6445
2019-03-18,10.32,10.44,10.26,10.39,5035
2019-03-19,10.46,10.49,10.33,10.38,6763
2019-03-20,10.32,10.38,10.11,10.24,4363
2019-03-21,10.23,10.4,10.19,10.33,2633
2019-03-22,10.26,10.28,9.88,9.95,7259
2019-03-25,9.92,10.07,9.89,9.94,3844
2019-03-26,10.05,10.09,9.89,9.97,4203
2019-03-27,9.98,10.04,9.87,9.95,2415
2019-03-28,9.99,10.07,9.85,9.95,3162
2019-03-29,10.03,10.07,9.88,10.04,3733
2019-04-01,10.13,10.38,10.09,10.33,4682
2019-04-02,10.33,10.34,10.19,10.28,3021
2019-04-03,10.36,10.38,10.29,10.34,2647
2019-04-04,10.34,10.44,10.31,10.39,2479
2019-04-05,10.45,10.51,10.38,10.51,2536
2019-04-08,10.43,10.49,10.36,10.49,1923
2019-04-09,10.42,10.43,10.26,10.28,10012
2019-04-10,10.33,10.57,10.29,10.56,2828
2019-04-11,10.57,10.67,10.49,10.66,4448
2019-04-12,10.74,10.82,10.71,10.79,4494
2019-04-15,10.8,10.84,10.72,10.8,4984
2019-04-16,10.83,11.13,10.82,11.04,8112
2019-04-17,11.06,11.11,10.95,11.02,16786
2019-04-18,11.01,11.2,10.95,10.99,9883
2019-04-22,10.95,10.95,10.76,10.87,5552
2019-04-23,10.87,10.94,10.72,10.77,6352
2019-04-24,10.77,10.96,10.77,10.85,4155
2019-04-25,10.73,10.8,10.55,10.73,6035
2019-04-26,10.72,10.84,10.66,10.75,3193
2019-04-29,10.79,10.83,10.74,10.79,5058
2019-04-30,10.84,10.86,10.68,10.73,5469
2019-05-01,10.77,10.88,10.68,10.7,5973
2019-05-02,10.65,10.71,10.54,10.7,5483
2019-05-03,10.8,10.98,10.75,10.88,5136
2019-05-06,10.64,10.81,10.64,10.71,7246
2019-05-07,9.81,9.99,9.21,9.49,34124
2019-05-08,9.4,9.5,9.09,9.12,20055
2019-05-09,8.99,9.22,8.86,9.15,12465
2019-05-10,9.23,9.37,9.13,9.23,27855
2019-05-13,9.16,9.37,9.12,9.19,24841
2019-05-14,9.19,9.47,9.15,9.36,33554
2019-05-15,9.25,9.44,9.2,9.31,49687
2019-05-16,9.35,9.44,9.25,9.28,10417
2019-05-17,9.22,9.4,9.2,9.35,12243
2019-05-20,9.25,9.32,9.17,9.27,9857
2019-05-21,9.32,9.46,9.29,9.45,5884
2019-05-22,9.41,9.42,9.25,9.31,10032
2019-05-23,9.21,9.25,9.1,9.23,9294
2019-05-24,9.28,9.43,9.21,9.3,3826
2019-05-28,9.34,9.34,9.19,9.26,6698
2019-05-29,9.25,9.36,9.2,9.33,8047
2019-05-30,9.33,9.39,9.24,9.27,7172
2019-05-31,9.11,9.24,9.06,9.24,6824
2019-06-03,9.22,9.37,9.21,9.27,8035
2019-06-04,9.36,9.68,9.32,9.67,5713
2019-06-05,9.67,9.67,9.5,9.57,3718
2019-06-06,9.56,9.59,9.35,9.52,5203
2019-06-07,9.57,9.68,9.5,9.64,4147
2019-06-10,9.7,9.75,9.61,9.64,4543
2019-06-11,9.72,9.74,9.59,9.63,5206
2019-06-12,9.55,9.63,9.51,9.6,3062
2019-06-13,9.67,9.82,9.57,9.77,5116
2019-06-14,9.72,9.76,9.62,9.73,3308
2019-06-17,9.71,9.99,9.69,9.96,6745
2019-06-18,10.02,10.2,9.95,10.05,5941
2019-06-19,10.04,10.13,10.01,10.12,3593
2019-06-20,10.26,10.27,10.14,10.24,3975
2019-06-21,10.17,10.18,9.98,10.04,10128
2019-06-24,10.04,10.09,9.93,9.93,5726
2019-06-25,9.96,9.96,9.81,9.83,4363
2019-06-26,9.09,9.44,8.88,9.39,13954
2019-06-27,9.41,9.61,9.41,9.61,4820
2019-06-28,9.62,9.96,9.59,9.82,6111
2019-07-01,9.94,10.0,9.52,9.62,6741
2019-07-02,9.63,9.66,9.5,9.66,4322
2019-07-03,9.7,9.72,9.59,9.72,1482
2019-07-05,9.66,9.81,9.52,9.76,3093
2019-07-08,9.72,9.72,9.62,9.67,2549
2019-07-09,9.6,9.6,9.46,9.52,1698
