date,open,high,low,close,volume
2020-05-22,41.3,47.89,39.55,42.51,62384
2020-05-26,44.5,47.45,43.22,45.1,8078
2020-05-27,45.1,45.24,39.6,43.0,5944
2020-05-28,42.65,46.45,42.12,42.75,4252
2020-05-29,43.0,45.5,42.11,44.0,5009
2020-06-01,44.9,50.5,44.7,47.75,10610
2020-06-02,48.0,48.97,44.0,47.26,4207
2020-06-03,47.73,53.07,47.34,52.46,4701
2020-06-04,52.11,53.43,50.04,52.0,2725
2020-06-05,53.67,53.9,49.15,50.15,2678
2020-06-08,51.56,51.75,48.22,51.41,2649
2020-06-09,50.43,54.86,50.24,51.11,2579
2020-06-10,51.03,52.17,48.71,50.4,2255
2020-06-11,49.35,50.0,45.88,47.23,2923
2020-06-12,47.7,49.91,47.42,49.19,1470
2020-06-15,48.74,49.61,47.5,48.52,1661
2020-06-16,48.0,49.49,46.48,47.99,2474
2020-06-17,48.41,50.88,47.55,48.81,3109
2020-06-18,48.95,50.73,48.02,48.5,1716
2020-06-19,48.55,49.92,47.05,48.17,1954
2020-06-22,48.03,48.48,45.0,47.0,1646
2020-06-23,47.45,47.75,46.2,46.49,2084
2020-06-24,46.2,47.69,44.59,46.92,1808
2020-06-25,46.47,47.49,45.6,46.99,1484
2020-06-26,47.02,47.56,45.31,47.16,1363
2020-06-29,47.56,51.42,47.38,48.02,4560
2020-06-30,48.47,49.42,47.02,48.44,1754
2020-07-01,48.12,49.21,46.16,48.18,4725
2020-07-02,48.63,48.75,47.2,48.24,3656
2020-07-06,48.87,49.69,47.5,48.09,2140
2020-07-07,47.55,48.9,47.08,47.55,2187
2020-07-08,47.89,47.93,46.25,47.53,1904
2020-07-09,47.74,52.78,47.74,50.94,3795
2020-07-10,50.84,54.49,49.46,53.2,2729
2020-07-13,54.22,61.76,50.01,50.71,8237
2020-07-14,51.34,54.25,48.21,51.41,3511
2020-07-15,53.0,58.78,52.03,54.17,5025
2020-07-16,53.99,54.04,50.0,50.53,2297
2020-07-17,50.9,53.98,50.4,53.37,1102
2020-07-20,53.75,57.55,53.5,57.47,2113
2020-07-21,58.06,58.82,55.42,56.04,1854
2020-07-22,56.35,57.03,51.77,53.72,1479
2020-07-23,53.69,55.57,53.03,55.11,1680
2020-07-24,54.64,55.72,52.62,54.81,1232
2020-07-27,55.23,59.99,55.23,57.8,2330
2020-07-28,58.21,58.34,56.28,57.42,1103
2020-07-29,57.9,59.0,56.42,57.62,766
2020-07-30,57.01,59.24,56.01,58.5,1555
2020-07-31,59.0,59.95,56.01,56.22,2150
2020-08-03,57.1,61.34,55.57,60.02,3490
2020-08-04,61.44,65.49,60.13,64.61,2240
2020-08-05,66.85,66.85,63.14,64.68,2630
2020-08-06,65.0,66.58,63.91,65.56,2235
2020-08-07,65.42,67.1,64.21,65.27,3709
2020-08-10,65.2,69.47,64.83,68.75,3348
2020-08-11,69.69,70.4,61.08,62.13,4207
2020-08-12,66.0,71.06,66.0,68.72,4952
2020-08-13,68.81,70.8,67.06,69.13,1742
2020-08-14,69.44,70.65,68.22,68.53,1074
2020-08-17,69.99,72.0,69.69,71.25,2551
2020-08-18,71.73,72.0,69.65,71.07,1039
2020-08-19,71.23,71.92,70.02,71.43,1533
2020-08-20,70.77,71.42,70.01,70.77,957
2020-08-21,69.77,71.99,68.6,70.49,1348
2020-08-24,70.0,70.79,67.58,70.43,2226
2020-08-25,71.6,73.5,69.75,71.01,3688
2020-08-26,71.0,75.42,70.9,74.0,1473
2020-08-27,75.72,76.8,74.15,75.35,1245
2020-08-28,76.01,84.54,75.37,82.76,2662
2020-08-31,84.91,84.91,78.12,79.94,2599
2020-09-01,80.03,81.66,77.0,79.45,1529
2020-09-02,79.4,79.47,74.23,76.98,2169
2020-09-03,74.9,75.58,68.0,71.64,3360
2020-09-04,70.28,72.03,66.0,71.17,1338
2020-09-08,68.0,73.39,67.42,70.02,1814
2020-09-09,71.57,74.48,70.04,71.02,1873
2020-09-10,72.01,73.28,70.61,72.27,1211
2020-09-11,72.49,76.11,71.1,75.55,2422
2020-09-14,76.16,78.96,75.56,78.47,1370
2020-09-15,79.02,80.41,75.39,75.43,2114
2020-09-16,75.63,77.44,73.41,74.26,1257
2020-09-17,72.5,74.29,68.21,69.96,1882
2020-09-18,69.77,73.09,66.52,67.23,2472
2020-09-21,65.34,67.58,63.13,64.32,3056
2020-09-22,63.21,67.31,63.17,64.03,1506
2020-09-23,64.5,67.24,63.2,65.41,1670
2020-09-24,64.72,65.22,62.51,63.65,1463
2020-09-25,63.31,65.54,62.5,64.6,793
2020-09-28,66.78,67.26,65.15,67.02,557
2020-09-29,67.1,69.04,66.32,68.94,1276
2020-09-30,68.98,71.0,68.04,69.02,1042
2020-10-01,69.7,71.0,66.65,67.71,646
2020-10-02,66.05,66.88,63.57,64.42,2324
2020-10-05,65.0,67.49,65.0,67.04,1222
2020-10-06,67.14,73.62,67.14,71.55,1437
2020-10-07,73.37,77.7,73.0,74.64,1770
2020-10-08,75.75,77.53,71.65,72.45,1116
2020-10-09,72.94,75.39,70.77,72.37,775
2020-10-12,72.32,74.65,72.11,73.85,538
2020-10-13,73.5,82.83,72.52,77.06,4111
2020-10-14,77.31,79.42,70.67,71.92,2811
2020-10-15,70.38,74.12,68.23,73.25,1132
2020-10-16,73.35,74.87,70.63,71.7,1339
2020-10-19,72.93,75.7,70.27,72.75,2206
2020-10-20,74.99,74.99,68.23,68.58,1700
2020-10-21,68.7,69.95,64.36,65.55,1976
2020-10-22,65.55,65.6,63.17,64.48,1348
2020-10-23,64.41,64.62,60.51,62.57,1430
2020-10-26,63.18,63.28,61.01,62.71,1710
2020-10-27,62.75,66.23,61.77,63.9,1288
2020-10-28,62.0,62.73,58.66,60.0,3034
2020-10-29,59.53,70.14,59.28,67.77,5674
2020-10-30,67.46,68.18,63.62,66.2,2543
2020-11-02,66.88,69.39,62.88,65.17,2170
2020-11-03,65.25,66.55,64.13,65.88,1879
2020-11-04,66.86,74.51,66.86,71.84,2586
2020-11-05,73.34,75.0,69.95,72.54,1909
2020-11-06,72.12,75.0,70.32,74.61,1406
2020-11-09,77.27,78.71,75.0,76.13,2180
2020-11-10,75.99,75.99,71.03,74.51,2173
2020-11-11,76.05,78.18,74.75,77.19,1709
2020-11-12,76.05,79.68,74.04,74.88,1715
2020-11-13,73.0,79.52,70.58,73.58,8557
2020-11-16,74.11,79.21,70.26,71.2,8162
2020-11-17,70.86,71.92,67.51,67.97,7259
2020-11-18,66.61,67.83,64.61,65.79,23280
2020-11-19,66.6,68.07,65.05,67.93,13779
2020-11-20,68.0,68.57,65.37,67.97,7186
2020-11-23,68.55,69.1,67.15,68.0,6381
2020-11-24,67.91,68.64,66.23,68.41,9820
2020-11-25,68.58,69.3,67.71,68.65,4542
2020-11-27,69.17,69.98,66.33,68.42,2445
2020-11-30,68.6,69.18,65.25,69.07,6303
2020-12-01,69.31,69.67,66.49,66.61,6382
2020-12-02,66.25,67.24,63.01,64.94,3235
2020-12-03,64.32,65.19,62.12,64.69,3949
2020-12-04,64.69,65.26,63.02,64.89,4335
2020-12-07,65.15,65.89,64.5,65.03,2358
2020-12-08,64.85,65.73,63.69,65.63,2427
2020-12-09,65.47,67.65,65.27,67.09,4622
2020-12-10,66.46,68.65,66.46,68.12,4351
2020-12-11,67.55,67.76,66.05,66.85,2737
2020-12-14,67.9,68.99,65.34,66.41,3168
2020-12-15,67.97,69.54,66.92,68.78,4910
2020-12-16,69.26,69.28,68.11,69.18,3432
2020-12-17,69.32,69.63,68.48,69.35,3349
2020-12-18,69.7,72.5,68.5,71.77,8480
2020-12-21,70.68,74.86,69.21,74.62,7270
2020-12-22,74.47,78.8,73.98,78.5,10201
2020-12-23,79.5,84.91,78.81,80.88,9511
2020-12-24,80.13,83.87,80.13,81.3,2659
2020-12-28,81.41,86.99,81.0,85.0,6458
2020-12-29,86.96,87.0,79.19,84.86,4376
2020-12-30,85.0,88.07,85.0,86.83,3375
2020-12-31,88.62,88.75,85.71,87.29,1863
