date,open,high,low,close,volume
2018-12-10,7.4,7.47,7.12,7.43,4388
2018-12-11,7.52,7.88,7.23,7.32,5527
2018-12-12,7.39,7.98,7.36,7.66,5658
2018-12-13,7.71,7.71,7.3,7.35,3268
2018-12-14,7.21,7.27,6.82,6.95,5948
2018-12-17,6.96,7.07,6.72,6.75,6756
2018-12-18,6.87,6.87,6.64,6.78,2864
2018-12-19,6.8,6.88,6.55,6.62,3357
2018-12-20,6.59,6.7,6.39,6.62,5849
2018-12-21,6.61,6.7,6.4,6.45,2825
2018-12-24,6.45,6.71,6.34,6.51,2285
2018-12-26,6.55,6.82,6.25,6.64,5519
2018-12-27,6.53,6.6,6.36,6.54,2186
2018-12-28,6.58,6.84,6.49,6.78,2303
2018-12-31,6.78,7.01,6.68,6.99,2993
2019-01-02,6.9,7.1,6.79,7.06,3403
2019-01-03,6.96,7.08,6.76,6.78,2640
2019-01-04,6.89,7.23,6.86,7.07,3570
2019-01-07,7.06,7.41,7.03,7.38,2804
2019-01-08,7.44,7.52,7.27,7.43,1765
2019-01-09,7.45,7.53,7.25,7.3,2285
2019-01-10,7.25,7.36,7.17,7.21,1238
2019-01-11,7.12,7.22,6.98,7.11,1660
2019-01-14,7.05,7.09,6.88,6.92,1143
2019-01-15,6.93,7.27,6.93,7.22,4186
2019-01-16,7.19,7.3,7.08,7.26,3497
2019-01-17,7.22,7.42,7.14,7.4,3887
2019-01-18,7.42,7.56,7.33,7.56,3466
2019-01-22,7.56,7.57,7.37,7.45,3373
2019-01-23,7.46,7.5,6.93,7.22,4543
2019-01-24,7.23,7.29,7.0,7.26,3458
2019-01-25,7.3,7.58,7.3,7.4,9943
2019-01-28,7.34,7.56,7.25,7.32,4772
2019-01-29,7.3,7.31,7.03,7.28,5013
2019-01-30,7.31,7.35,7.04,7.26,2677
2019-01-31,7.25,7.26,7.07,7.2,2402
2019-02-01,7.2,7.3,7.02,7.05,4598
2019-02-04,7.05,7.09,6.85,6.92,3167
2019-02-05,6.93,7.11,6.76,6.95,5506
2019-02-06,6.95,6.96,6.66,6.89,2822
2019-02-07,6.85,7.07,6.85,6.98,3190
2019-02-08,6.98,7.03,6.92,7.03,2229
2019-02-11,7.04,7.12,6.92,7.11,1976
2019-02-12,7.18,7.49,7.14,7.29,2789
2019-02-13,7.34,7.49,7.29,7.44,2134
2019-02-14,7.42,7.59,7.33,7.56,2027
2019-02-15,7.57,7.65,7.42,7.51,1635
2019-02-19,7.52,7.52,7.3,7.32,1746
2019-02-20,7.32,7.45,7.26,7.38,2315
2019-02-21,7.37,7.53,7.31,7.45,1542
2019-02-22,8.05,8.22,7.91,8.06,6549
2019-02-25,8.1,8.21,7.77,7.87,4340
2019-02-26,7.87,7.93,7.67,7.7,1716
2019-02-27,7.71,7.89,7.54,7.86,2111
2019-02-28,7.83,8.0,7.62,7.84,2204
2019-03-01,7.9,8.06,7.77,7.77,2432
2019-03-04,7.77,7.77,7.59,7.73,1758
2019-03-05,7.73,7.74,7.62,7.65,899
2019-03-06,7.68,7.68,7.4,7.49,1453
2019-03-07,7.48,7.52,7.3,7.45,1989
2019-03-08,7.38,7.41,7.1,7.21,2132
2019-03-11,7.23,7.29,6.94,7.16,5972
2019-03-12,7.16,7.27,7.04,7.24,3101
2019-03-13,7.28,7.56,7.2,7.51,4968
2019-03-14,7.51,7.61,7.22,7.38,5341
2019-03-15,6.87,6.96,6.1,6.36,25602
2019-03-18,6.4,6.84,6.4,6.72,10570
2019-03-19,6.85,6.88,6.43,6.66,11732
2019-03-20,6.72,6.85,6.65,6.75,4767
2019-03-21,6.7,6.8,6.64,6.76,2681
2019-03-22,6.59,6.81,6.5,6.61,5520
2019-03-25,6.6,6.68,6.5,6.6,6308
2019-03-26,6.6,6.73,6.5,6.62,1859
2019-03-27,6.63,6.68,6.58,6.6,2193
2019-03-28,6.61,6.72,6.58,6.64,4469
2019-03-29,6.65,6.9,6.65,6.8,3408
2019-04-01,6.82,6.93,6.72,6.77,2816
2019-04-02,6.77,6.8,6.19,6.28,8671
2019-04-03,6.33,6.37,5.85,5.88,16565
2019-04-04,5.87,6.3,5.87,6.24,5414
2019-04-05,6.27,6.39,6.13,6.35,2310
2019-04-08,6.33,6.44,6.3,6.35,2108
2019-04-09,6.34,6.4,6.18,6.2,2218
2019-04-10,6.2,6.38,6.12,6.37,3182
2019-04-11,6.39,6.44,6.28,6.38,1847
2019-04-12,6.43,6.63,6.38,6.56,2984
2019-04-15,6.59,6.64,6.43,6.6,2596
2019-04-16,6.61,6.7,6.42,6.65,3515
2019-04-17,6.67,6.78,6.56,6.76,2904
2019-04-18,6.76,6.88,6.76,6.85,2099
2019-04-22,6.81,6.86,6.71,6.8,2298
2019-04-23,6.8,6.99,6.72,6.91,3743
2019-04-24,6.92,7.16,6.92,7.13,3154
2019-04-25,7.15,7.3,7.07,7.18,4005
2019-04-26,7.16,7.28,7.08,7.24,3840
2019-04-29,7.26,7.49,7.2,7.3,3084
2019-04-30,7.29,7.33,7.0,7.15,2347
2019-05-01,7.17,7.3,7.06,7.18,2412
2019-05-02,7.17,7.43,7.05,7.22,4365
2019-05-03,7.26,7.49,7.24,7.38,3319
2019-05-06,7.26,7.65,7.26,7.61,3164
2019-05-07,7.51,7.65,7.39,7.44,2284
2019-05-08,7.4,7.59,7.3,7.48,1883
2019-05-09,7.4,7.76,7.33,7.66,5210
2019-05-10,8.2,9.04,8.1,8.54,9890
2019-05-13,8.42,8.5,8.04,8.36,6045
2019-05-14,8.44,8.45,8.08,8.17,4679
2019-05-15,8.17,8.39,8.06,8.34,3834
2019-05-16,8.36,8.36,8.07,8.1,3875
2019-05-17,8.04,8.18,8.02,8.06,3217
2019-05-20,8.01,8.16,7.87,8.09,2077
2019-05-21,8.1,8.18,8.05,8.14,1667
2019-05-22,8.1,8.26,8.01,8.03,3507
2019-05-23,7.93,7.95,7.74,7.83,2883
2019-05-24,7.87,7.96,7.78,7.8,1849
2019-05-28,7.81,7.87,7.52,7.56,1934
2019-05-29,7.5,7.71,7.33,7.37,2914
2019-05-30,7.38,7.44,7.12,7.23,4975
2019-05-31,7.18,7.25,7.05,7.23,2268
2019-06-03,7.2,7.4,7.18,7.35,1936
2019-06-04,7.44,7.67,7.4,7.66,2803
2019-06-05,7.65,7.72,7.29,7.31,2302
2019-06-06,7.3,7.44,7.1,7.36,2447
2019-06-07,7.38,7.46,7.16,7.16,2045
2019-06-10,7.17,7.25,6.87,6.96,2711
2019-06-11,7.02,7.16,6.85,6.91,2412
2019-06-12,6.91,7.07,6.8,7.03,3509
2019-06-13,7.04,7.42,7.04,7.3,4903
2019-06-14,7.31,7.32,7.1,7.11,2491
2019-06-17,7.12,7.19,6.99,7.02,1742
2019-06-18,7.05,7.15,6.96,7.11,2847
2019-06-19,7.09,7.4,7.05,7.35,3027
2019-06-20,7.41,7.57,7.32,7.44,3289
2019-06-21,7.41,7.41,7.03,7.05,2373
2019-06-24,7.05,7.39,6.86,6.92,4428
2019-06-25,6.93,6.98,6.56,6.76,6113
2019-06-26,6.79,7.2,6.75,7.16,5919
2019-06-27,7.16,7.51,7.08,7.47,5286
2019-06-28,7.46,8.04,7.44,7.88,9673
2019-07-01,8.0,8.12,7.78,8.04,4788
2019-07-02,8.04,8.04,7.66,7.77,3719
2019-07-03,7.78,8.02,7.78,7.97,1021
2019-07-05,7.84,8.15,7.84,8.07,1968
2019-07-08,8.04,8.56,7.94,8.52,5415
2019-07-09,8.54,8.71,8.32,8.39,2788
2019-07-10,8.41,8.45,8.08,8.13,2132
2019-07-11,8.15,8.22,8.1,8.12,1766
2019-07-12,8.11,8.22,8.07,8.14,1727
2019-07-15,8.15,8.15,7.9,8.05,2781
2019-07-16,8.0,8.03,7.71,7.83,1972
2019-07-17,7.86,7.86,7.58,7.76,3089
2019-07-18,7.8,7.8,7.55,7.76,1998
2019-07-19,7.75,7.83,7.66,7.7,1825
2019-07-22,7.72,7.79,7.59,7.7,2234
2019-07-23,7.71,7.75,7.5,7.66,2334
2019-07-24,7.66,7.82,7.36,7.43,3162
2019-07-25,7.43,7.51,7.25,7.31,1645
2019-07-26,7.33,7.45,7.17,7.43,3143
2019-07-29,7.41,7.69,7.41,7.66,1757
2019-07-30,7.62,7.86,7.6,7.73,2167
2019-07-31,7.73,7.74,7.36,7.41,1814
2019-08-01,7.41,7.47,7.24,7.4,2351
