date,open,high,low,close,volume
2018-12-10,8.7,8.85,8.25,8.34,16131
2018-12-11,8.44,8.88,8.25,8.87,16728
2018-12-12,9.14,11.4,9.12,9.6,19486
2018-12-13,9.47,9.81,9.41,9.5,13955
2018-12-14,9.28,9.44,8.72,8.96,10328
2018-12-17,8.93,9.38,8.88,9.0,10687
2018-12-18,9.01,9.36,9.01,9.22,6273
2018-12-19,9.23,9.3,8.25,8.31,7409
2018-12-20,8.25,8.66,8.19,8.4,6302
2018-12-21,8.4,8.45,7.83,8.02,12165
2018-12-24,7.9,8.3,7.72,7.88,6192
2018-12-26,7.98,8.24,7.44,8.24,5765
2018-12-27,7.98,8.15,7.58,7.94,5921
2018-12-28,7.97,8.32,7.86,7.99,7062
2018-12-31,8.06,8.24,7.76,8.18,4666
2019-01-02,8.0,8.74,7.89,8.6,7488
2019-01-03,8.56,8.96,8.25,8.84,6166
2019-01-04,9.01,9.09,8.79,8.93,10172
2019-01-07,8.9,9.08,8.66,8.95,5399
2019-01-08,9.05,9.11,8.71,8.86,11617
2019-01-09,9.04,9.48,8.86,9.37,6611
2019-01-10,8.84,9.26,8.53,9.17,7522
2019-01-11,9.04,9.23,8.63,8.74,8314
2019-01-14,8.6,8.98,8.5,8.77,6057
2019-01-15,8.84,8.98,8.68,8.89,6621
2019-01-16,8.89,9.33,8.73,9.29,8139
2019-01-17,9.18,9.42,9.01,9.18,4788
2019-01-18,9.33,9.73,9.26,9.59,7991
2019-01-22,9.33,9.36,8.94,9.1,3403
2019-01-23,9.21,9.26,8.83,8.89,2733
2019-01-24,8.89,9.42,8.8,9.3,6125
2019-01-25,9.47,9.9,9.45,9.77,4133
2019-01-28,9.53,9.71,9.45,9.62,4073
2019-01-29,9.78,10.03,9.66,9.67,5435
2019-01-30,9.76,10.07,9.49,9.98,5102
2019-01-31,10.0,10.15,9.83,10.08,4210
2019-02-01,10.14,10.53,10.07,10.35,5072
2019-02-04,10.17,10.67,10.15,10.66,3683
2019-02-05,10.67,10.81,10.54,10.71,4604
2019-02-06,10.62,10.69,10.41,10.5,2887
2019-02-07,10.36,10.5,9.77,10.14,4153
2019-02-08,10.07,10.18,9.8,9.9,3335
2019-02-11,9.86,10.32,9.82,10.29,2465
2019-02-12,10.47,10.67,10.3,10.65,5482
2019-02-13,10.66,11.16,10.48,10.53,7133
2019-02-14,10.48,10.93,10.47,10.79,5400
2019-02-15,10.93,11.21,10.83,11.13,4610
2019-02-19,11.02,11.24,10.83,11.09,5446
2019-02-20,11.08,11.55,11.08,11.45,7551
2019-02-21,11.3,11.37,10.85,11.04,4024
2019-02-22,11.15,11.28,11.0,11.17,2320
2019-02-25,11.17,11.42,11.17,11.31,5165
2019-02-26,10.93,12.27,10.5,11.15,13711
2019-02-27,11.37,11.42,10.99,11.08,9162
2019-02-28,11.1,11.14,10.55,11.02,7801
2019-03-01,11.06,11.33,10.88,11.17,5774
2019-03-04,11.2,11.37,10.92,11.11,3853
2019-03-05,11.11,11.18,10.4,10.57,8208
2019-03-06,10.49,10.52,9.9,9.97,9427
2019-03-07,9.93,9.98,9.55,9.57,7596
2019-03-08,9.36,9.64,9.15,9.4,3960
2019-03-11,9.41,9.8,9.29,9.65,3911
2019-03-12,9.7,9.94,9.6,9.74,5741
2019-03-13,9.85,10.34,9.83,10.18,6846
2019-03-14,10.22,10.48,9.96,10.0,7632
2019-03-15,10.06,10.06,9.79,9.8,9665
2019-03-18,9.92,10.32,9.91,10.17,6687
2019-03-19,10.27,10.54,10.19,10.37,6993
2019-03-20,10.33,10.75,10.25,10.5,4925
2019-03-21,10.38,10.55,10.15,10.28,4565
2019-03-22,10.07,10.08,9.53,9.69,5419
2019-03-25,9.59,10.09,9.5,10.02,4105
2019-03-26,10.22,10.66,10.11,10.57,7347
2019-03-27,10.5,10.81,10.45,10.76,6270
2019-03-28,10.63,11.3,10.63,11.03,8559
2019-03-29,11.31,11.31,10.73,10.89,4137
2019-04-01,10.98,11.41,10.89,11.23,3727
2019-04-02,11.3,11.3,11.02,11.19,4558
2019-04-03,11.29,11.41,11.0,11.04,3311
2019-04-04,11.07,11.64,11.06,11.61,4975
2019-04-05,11.67,12.02,11.53,11.96,5480
2019-04-08,12.0,12.11,11.82,12.04,3648
2019-04-09,11.91,11.93,11.59,11.59,3850
2019-04-10,11.67,11.94,11.67,11.77,5180
2019-04-11,11.72,11.9,11.46,11.57,3020
2019-04-12,11.79,12.38,11.69,11.88,9041
2019-04-15,11.78,11.96,11.69,11.7,2844
2019-04-16,11.85,12.26,11.79,12.21,3921
2019-04-17,12.25,12.39,12.16,12.19,3507
2019-04-18,12.18,12.5,11.78,11.85,5648
2019-04-22,12.01,12.14,11.75,12.08,5031
2019-04-23,12.08,12.2,11.92,11.95,4019
2019-04-24,11.91,11.91,11.46,11.46,5110
2019-04-25,11.43,11.56,11.11,11.13,5092
2019-04-26,10.97,11.12,10.85,10.99,3041
2019-04-29,10.97,11.22,10.88,11.1,3950
2019-04-30,11.25,11.31,10.32,10.49,7198
2019-05-01,10.48,10.66,10.23,10.37,4634
2019-05-02,10.31,10.6,10.15,10.35,3294
2019-05-03,10.51,10.65,10.41,10.59,2448
2019-05-06,10.34,10.76,10.34,10.68,3845
2019-05-07,10.33,10.8,10.26,10.6,8990
2019-05-08,10.65,10.78,9.54,10.34,13014
2019-05-09,10.16,10.24,9.52,9.53,6467
2019-05-10,9.44,9.63,9.13,9.5,10719
2019-05-13,9.36,9.59,8.85,8.95,5469
2019-05-14,9.01,9.56,9.01,9.48,4510
2019-05-15,9.34,9.64,9.23,9.42,2994
2019-05-16,9.51,9.95,9.47,9.67,4198
2019-05-17,9.52,9.68,8.97,9.01,4604
2019-05-20,8.93,9.02,8.65,8.73,5686
2019-05-21,8.79,8.87,8.67,8.82,4544
2019-05-22,8.76,8.8,8.32,8.42,5160
2019-05-23,8.15,8.19,7.75,7.99,4645
2019-05-24,8.15,8.16,7.81,7.95,2921
2019-05-28,7.94,8.0,7.82,7.85,3145
