date,open,high,low,close,volume
2018-12-10,38.66,38.66,37.6,38.58,22
2018-12-11,39.4,39.4,38.67,39.24,12
2018-12-12,40.21,42.54,39.37,41.39,63
2018-12-13,40.11,40.7,39.23,39.84,18
2018-12-14,39.82,40.19,38.02,38.84,12
2018-12-17,39.0,40.66,38.53,38.76,81
2018-12-18,39.01,39.51,38.5,38.6,134
2018-12-19,38.94,39.5,37.72,38.17,118
2018-12-20,38.15,38.15,36.28,36.89,91
2018-12-21,36.01,36.3,35.41,35.91,273
2018-12-24,35.26,35.6,34.49,34.65,24
2018-12-26,34.85,36.29,34.58,35.73,55
2018-12-27,35.49,37.14,35.49,36.17,62
2018-12-28,36.4,36.86,36.05,36.37,28
2018-12-31,36.81,36.95,36.05,36.43,14
2019-01-02,36.46,36.71,36.45,36.71,38
2019-01-03,36.25,37.41,36.25,36.7,9
2019-01-04,37.17,37.5,37.16,37.16,8
2019-01-07,37.16,39.12,36.6,37.0,46
2019-01-08,37.36,37.78,36.3,37.1,99
2019-01-09,37.0,38.56,36.91,38.4,41
2019-01-10,37.97,38.0,36.75,36.8,83
2019-01-11,37.08,40.35,34.61,37.0,74
2019-01-14,37.5,40.29,37.5,38.82,5
2019-01-15,38.82,38.82,36.91,37.4,66
2019-01-16,37.25,38.0,36.5,36.67,75
2019-01-17,37.21,37.34,35.03,35.21,297
2019-01-18,35.03,35.88,34.45,34.49,328
2019-01-22,34.75,35.38,33.68,34.13,55
2019-01-23,34.39,35.39,34.16,34.24,27
2019-01-24,33.92,35.0,33.91,34.3,62
2019-01-25,34.25,35.08,34.11,34.69,19
2019-01-28,34.07,34.67,33.94,34.67,21
2019-01-29,34.33,34.92,33.66,34.36,52
2019-01-30,34.27,34.97,34.22,34.88,34
2019-01-31,34.6,35.0,33.65,34.73,78
2019-02-01,34.97,36.67,34.3,35.19,66
2019-02-04,35.19,37.97,35.19,37.8,169
2019-02-05,37.97,38.94,37.56,37.56,151
2019-02-06,36.96,40.59,36.96,38.08,130
2019-02-07,37.89,39.66,37.58,38.86,73
2019-02-08,39.37,39.37,37.05,37.05,114
2019-02-11,37.47,38.65,36.32,36.8,179
2019-02-12,36.86,37.44,35.75,36.9,76
2019-02-13,37.34,38.1,36.37,37.31,104
2019-02-14,37.82,38.47,37.02,37.86,73
2019-02-15,38.19,39.15,38.01,38.94,33
2019-02-19,38.75,40.37,38.75,40.02,150
2019-02-20,40.53,40.78,39.4,39.4,52
2019-02-21,39.4,40.34,39.3,40.13,80
2019-02-22,39.82,40.52,39.82,40.25,8
2019-02-25,40.0,40.33,39.76,39.76,12
2019-02-26,39.9,40.28,39.5,39.95,6
2019-02-27,39.63,39.77,39.5,39.77,3
2019-02-28,39.81,39.96,38.91,39.5,40
2019-03-01,39.87,39.87,39.66,39.66,1
2019-03-04,39.9,39.9,39.14,39.14,4829
2019-03-05,39.12,40.35,38.99,40.0,97
2019-03-06,40.19,41.49,39.8,41.01,101
2019-03-07,41.26,41.98,39.95,40.83,19
2019-03-08,40.39,41.83,40.2,41.0,21
2019-03-11,41.11,41.7,40.3,41.4,65
2019-03-12,41.69,41.81,40.63,41.04,66
2019-03-13,40.86,41.89,40.5,41.8,89
2019-03-14,41.98,42.81,41.4,42.69,67
2019-03-15,42.79,44.88,42.79,44.31,219
2019-03-18,44.47,44.47,43.38,44.09,136
2019-03-19,44.6,45.01,43.12,43.4,58
2019-03-20,43.56,43.88,42.0,42.13,80
2019-03-21,42.22,43.77,42.22,43.0,25
2019-03-22,42.45,42.45,41.17,41.17,12
2019-03-25,41.67,41.7,39.54,40.5,93
2019-03-26,40.5,40.5,39.73,40.5,63
2019-03-27,40.5,40.84,40.03,40.84,54
2019-03-28,41.79,41.8,40.99,41.79,24
2019-03-29,42.74,44.15,41.51,42.85,102
2019-04-01,42.74,42.93,41.26,41.26,46
2019-04-02,41.27,41.27,39.51,40.39,126
2019-04-03,40.39,42.22,39.51,40.19,30
2019-04-04,40.19,41.26,39.03,39.85,115
2019-04-05,39.68,40.05,39.67,40.05,5
2019-04-08,40.14,41.65,40.14,41.58,12
2019-04-09,41.5,41.5,40.26,40.45,44
2019-04-10,40.99,42.19,40.34,41.8,76
2019-04-11,41.6,42.31,40.51,41.52,87
2019-04-12,41.8,43.0,40.8,41.2,41
2019-04-15,41.1,42.4,41.0,41.24,27
2019-04-16,41.3,41.38,40.25,40.64,26
2019-04-17,40.77,42.76,40.74,41.79,56
2019-04-18,41.8,42.35,41.03,41.81,89
2019-04-22,41.81,41.96,41.3,41.4,22
2019-04-23,41.7,42.53,41.29,42.5,40
2019-04-24,42.59,43.0,41.26,42.7,87
2019-04-25,42.74,43.0,42.4,42.75,64
2019-04-26,42.88,43.92,42.49,43.105,30
2019-04-29,43.22,43.78,42.89,43.78,47
2019-04-30,43.81,44.2,42.02,42.29,109
2019-05-01,42.45,43.19,39.34,39.34,161
2019-05-02,39.44,41.04,39.44,40.97,45
2019-05-03,41.16,41.16,40.07,40.9,52
2019-05-06,40.7,41.78,40.7,41.25,70
2019-05-07,41.2,42.13,40.94,41.7,72
2019-05-08,41.76,42.4,40.81,41.8,118
2019-05-09,41.85,43.22,41.41,41.81,66
2019-05-10,41.25,42.1,41.25,41.8,60
2019-05-13,41.35,41.54,40.05,40.81,50
2019-05-14,40.47,40.9,40.02,40.67,77
2019-05-15,40.47,40.6,39.47,39.98,95
2019-05-16,39.98,40.84,39.8,40.4,65
2019-05-17,40.14,41.5,40.14,41.29,61
2019-05-20,41.08,41.51,40.37,40.6,84
2019-05-21,40.94,41.59,40.05,40.7,45
2019-05-22,40.75,40.75,38.98,39.34,42
2019-05-23,40.17,40.17,38.33,39.28,121
2019-05-24,38.87,39.5,38.43,39.3,46
2019-05-28,39.27,39.49,38.45,39.12,31
2019-05-29,38.66,38.84,36.87,37.07,75
2019-05-30,37.38,37.67,36.8,37.57,50
2019-05-31,37.25,37.98,36.88,37.96,68
2019-06-03,38.23,39.19,37.76,39.17,29
2019-06-04,39.28,39.96,39.17,39.96,39
2019-06-05,39.5,39.5,37.66,37.67,71
2019-06-06,37.76,38.11,36.91,37.43,19
2019-06-07,37.43,37.81,36.62,37.08,52
2019-06-10,37.25,37.9,36.66,37.41,52
2019-06-11,37.9,38.39,37.6,38.39,14
2019-06-12,37.81,38.85,37.81,38.6,23
2019-06-13,38.41,38.7,37.58,37.89,33
2019-06-14,37.92,38.18,37.23,37.25,10
2019-06-17,37.36,38.22,37.24,38.15,22
2019-06-18,37.71,38.05,37.51,38.05,20
2019-06-19,38.0,38.0,37.07,37.19,39
2019-06-20,37.38,37.85,36.5,36.76,47
2019-06-21,36.5,37.54,36.5,37.53,58
2019-06-24,37.52,37.54,37.15,37.4,8
2019-06-25,37.2,37.46,36.87,37.46,11
2019-06-26,37.2,37.48,37.02,37.48,12
2019-06-27,37.12,37.35,36.9,37.34,29
2019-06-28,37.12,39.04,36.93,38.93,51
2019-07-01,38.79,38.79,36.77,38.41,59
2019-07-02,37.46,38.57,37.45,38.57,23
2019-07-03,37.99,37.99,37.57,37.57,9
2019-07-05,37.57,38.88,37.45,38.18,10
2019-07-08,38.45,38.47,37.55,37.55,3
2019-07-09,37.36,37.82,37.06,37.38,22
2019-07-10,37.45,37.48,36.71,36.92,24
2019-07-11,36.8,36.8,36.6,36.72,5
2019-07-12,36.72,37.12,36.72,36.75,6
2019-07-15,36.83,36.85,35.71,36.19,60
2019-07-16,36.04,36.33,36.04,36.33,1
2019-07-17,36.62,36.62,36.45,36.45,8
2019-07-18,36.29,37.45,36.01,37.45,55
2019-07-19,37.06,37.4,35.86,36.3,147
2019-07-22,36.38,36.38,35.55,35.84,7
2019-07-23,35.85,36.3,34.6,34.6,31
2019-07-24,34.88,35.0,34.2,34.7,61
2019-07-25,34.64,36.94,34.58,36.15,36
2019-07-26,36.5,37.0,35.24,36.52,52
2019-07-29,36.48,37.01,36.3,36.6,29
2019-07-30,36.0,37.58,36.0,37.29,7
2019-07-31,37.01,38.08,36.64,36.64,48
2019-08-01,36.93,36.93,35.19,35.31,10
2019-08-02,35.58,35.58,34.5,34.5,34
2019-08-05,34.2,34.77,33.65,33.65,33
2019-08-06,33.94,34.31,33.51,34.05,8
2019-08-07,34.01,34.57,32.93,34.03,36
2019-08-08,33.9,35.78,33.9,35.25,22
2019-08-09,35.26,35.74,34.75,35.03,58
2019-08-12,34.43,34.78,34.42,34.78,7
2019-08-13,33.11,34.9,33.11,34.9,11
2019-08-14,33.62,34.3,33.61,33.8,90
2019-08-15,33.94,34.17,33.15,33.86,55
2019-08-16,34.13,34.15,33.65,34.1,13
2019-08-19,34.21,34.31,34.06,34.19,25
2019-08-20,34.24,34.24,33.94,34.04,8
2019-08-21,34.2,34.2,33.83,33.83,15
2019-08-22,33.84,33.84,33.36,33.36,6
2019-08-23,33.3,33.3,32.52,32.68,42
2019-08-26,33.41,33.41,32.82,33.0,182
2019-08-27,32.84,33.51,32.8,32.98,43
2019-08-28,33.28,33.8,33.28,33.8,59
2019-08-29,34.25,34.52,33.23,33.57,69
2019-08-30,33.37,33.94,33.03,33.5,25
2019-09-03,34.34,34.4,32.83,33.19,26
2019-09-04,33.37,33.85,33.36,33.58,20
2019-09-05,33.38,34.18,33.17,33.76,26
2019-09-06,33.9,33.9,33.29,33.63,13
2019-09-09,33.9,34.85,33.9,34.6,23
2019-09-10,34.9,37.0,34.86,36.54,33
2019-09-11,36.5,38.08,36.45,37.76,31
2019-09-12,38.08,40.14,38.08,39.67,82
2019-09-13,40.07,41.2,40.0,40.98,108
2019-09-16,40.91,40.92,40.0,40.3,94
2019-09-17,40.0,40.72,39.59,39.72,142
2019-09-18,39.72,40.33,39.17,40.06,71
