date,open,high,low,close,volume
2018-12-10,52.34,52.34,50.71,51.92,660
2018-12-11,52.6,52.71,51.18,51.33,554
2018-12-12,51.89,53.37,51.52,52.28,660
2018-12-13,52.24,52.78,51.14,51.32,491
2018-12-14,51.12,51.84,50.98,51.08,523
2018-12-17,50.7,51.16,49.75,50.13,973
2018-12-18,50.54,50.94,49.93,49.96,781
2018-12-19,50.0,50.62,48.7,49.09,737
2018-12-20,48.83,49.62,48.66,48.93,1011
2018-12-21,48.93,49.59,48.05,48.21,908
2018-12-24,48.02,49.26,47.59,48.65,379
2018-12-26,48.81,50.9,48.2,50.78,574
2018-12-27,50.11,51.04,49.31,50.45,715
2018-12-28,50.69,52.39,50.41,52.0,525
2018-12-31,52.39,52.81,51.56,52.34,645
2019-01-02,51.74,53.32,51.73,53.25,462
2019-01-03,52.95,53.24,52.58,52.62,291
2019-01-04,53.38,54.63,53.01,54.4,193
2019-01-07,54.32,54.44,53.71,54.13,263
2019-01-08,54.68,54.68,53.31,53.87,388
2019-01-09,54.12,54.38,53.65,53.65,272
2019-01-10,52.98,53.59,52.92,53.3,280
2019-01-11,53.06,53.61,52.97,53.32,279
2019-01-14,52.87,53.55,52.56,52.85,298
2019-01-15,52.92,53.56,52.52,53.44,445
2019-01-16,53.39,53.99,53.39,53.8,237
2019-01-17,53.58,54.81,53.25,54.19,435
2019-01-18,54.44,55.0,53.67,54.37,394
2019-01-22,54.02,54.75,52.84,53.31,616
2019-01-23,53.5,54.28,53.0,53.1,119
2019-01-24,53.39,53.56,52.68,53.1,83
2019-01-25,53.45,53.45,52.86,53.0,144
2019-01-28,52.6,53.5,52.02,52.21,221
2019-01-29,52.25,52.44,51.7,51.9,191
2019-01-30,52.24,52.63,51.38,52.6,295
2019-01-31,52.5,52.76,52.2,52.6,163
2019-02-01,52.56,53.37,51.87,52.0,234
2019-02-04,52.13,52.99,51.96,52.32,106
2019-02-05,52.48,52.98,52.01,52.23,136
2019-02-06,52.24,52.34,52.0,52.01,203
2019-02-07,51.78,52.0,51.19,51.93,187
2019-02-08,51.76,52.2,51.43,51.69,309
2019-02-11,51.76,52.06,51.67,52.03,147
2019-02-12,52.05,52.93,51.97,52.74,909
2019-02-13,52.94,53.25,52.81,52.91,274
2019-02-14,53.0,53.12,52.54,52.8,205
2019-02-15,53.1,53.86,52.6,53.32,370
2019-02-19,53.26,54.29,53.14,54.15,486
2019-02-20,53.9,55.0,53.9,54.73,254
2019-02-21,54.57,54.65,53.8,54.39,228
2019-02-22,54.56,54.64,53.9,54.14,184
2019-02-25,54.45,54.52,54.17,54.31,168
2019-02-26,54.06,54.42,53.95,54.0,180
2019-02-27,53.81,53.81,53.04,53.24,211
2019-02-28,53.64,54.9,52.56,54.82,1182
2019-03-01,54.95,55.77,54.67,55.33,409
2019-03-04,55.18,55.32,54.65,54.67,183
2019-03-05,54.65,54.65,53.6,53.89,236
2019-03-06,53.78,54.67,53.5,53.87,768
2019-03-07,53.79,54.05,53.22,53.77,603
2019-03-08,53.81,54.05,53.34,53.46,322
2019-03-11,53.68,54.8,53.62,54.29,451
2019-03-12,54.51,54.51,53.68,54.05,401
2019-03-13,54.32,55.29,54.0,55.04,326
2019-03-14,55.1,55.95,54.82,55.69,574
2019-03-15,55.69,56.06,55.68,55.94,1361
2019-03-18,56.08,56.49,55.69,55.97,564
2019-03-19,56.0,56.0,55.43,55.61,537
2019-03-20,55.57,55.73,54.73,55.0,502
2019-03-21,54.72,55.46,54.51,55.11,415
2019-03-22,54.79,54.79,53.89,53.98,572
2019-03-25,53.98,54.58,53.43,54.07,514
2019-03-26,54.48,54.75,54.14,54.61,481
2019-03-27,54.66,54.85,54.29,54.52,426
2019-03-28,54.49,55.04,54.3,55.01,511
2019-03-29,55.34,55.61,55.0,55.07,671
2019-04-01,55.46,56.46,55.31,55.84,519
2019-04-02,55.78,55.83,55.17,55.56,418
2019-04-03,55.89,56.13,55.7,55.76,272
2019-04-04,55.86,56.22,55.53,56.12,388
2019-04-05,56.32,56.72,56.32,56.64,372
2019-04-08,56.62,57.07,56.28,57.02,295
2019-04-09,56.91,57.02,56.61,56.62,299
2019-04-10,56.77,57.34,56.63,57.26,261
2019-04-11,57.32,58.0,57.25,57.76,362
2019-04-12,58.12,58.46,57.83,58.25,195
2019-04-15,58.15,58.19,57.52,57.84,392
2019-04-16,58.06,58.16,57.69,57.95,295
2019-04-17,57.93,58.48,57.88,58.25,273
2019-04-18,58.14,58.51,57.91,58.23,224
2019-04-22,58.0,58.21,57.43,57.72,259
2019-04-23,57.74,58.43,57.3,58.12,326
2019-04-24,58.34,58.99,58.34,58.55,583
2019-04-25,58.42,58.55,57.81,58.08,237
2019-04-26,58.03,58.71,58.03,58.53,223
2019-04-29,58.5,58.71,58.42,58.44,181
2019-04-30,58.43,58.51,57.67,58.05,210
2019-05-01,58.15,58.39,57.57,57.57,477
2019-05-02,57.71,57.86,57.06,57.36,498
2019-05-03,57.6,58.31,57.38,58.22,306
2019-05-06,57.57,58.54,57.57,58.22,232
2019-05-07,57.66,58.45,57.66,57.94,414
2019-05-08,58.07,58.34,57.27,57.42,443
2019-05-09,59.12,63.16,58.63,63.09,1247
2019-05-10,63.21,63.97,62.83,63.09,567
