date,open,high,low,close,volume
2018-12-10,7.352,7.352,6.6,6.6,60
2018-12-11,6.93,7.196,6.6,6.6,14
2018-12-12,6.98,6.996,6.6,6.6,29
2018-12-13,6.6,6.794,6.4,6.4,35
2018-12-14,6.482,6.596,6.0,6.0,48
2018-12-17,6.3,6.78,5.802,6.2,45
2018-12-18,5.98,6.68,5.98,6.216,20
2018-12-19,6.526,6.6,6.02,6.4,82
2018-12-20,6.4,6.6,5.6,6.0,30
2018-12-21,5.64,6.0,5.4,6.0,34
2018-12-24,5.6,5.798,5.22,5.27,38
2018-12-26,5.2,6.222,4.08,4.08,134
2018-12-27,4.1,5.4,4.1,4.678,91
2018-12-28,4.678,4.996,4.22,4.4,104
2018-12-31,4.2,4.96,3.92,4.0,266
2019-01-02,4.2,4.8,4.0,4.504,85
2019-01-03,4.6,6.0,4.6,5.62,63
2019-01-04,6.0,6.378,5.4,5.404,94
2019-01-07,5.4,5.8,5.046,5.1,93
2019-01-08,5.046,5.8,5.046,5.8,74
2019-01-09,5.8,5.8,5.0,5.784,49
2019-01-10,5.8,5.8,5.072,5.4,30
2019-01-11,5.6,5.8,5.6,5.6,24
2019-01-14,6.0,6.0,5.64,5.68,84
2019-01-15,5.92,5.98,5.22,5.25,44
2019-01-16,5.512,5.8,5.226,5.298,10
2019-01-17,5.202,5.6,5.202,5.228,13
2019-01-18,5.58,5.58,5.2,5.202,31
2019-01-22,5.22,6.2,5.212,5.6,101
2019-01-23,5.7,6.0,5.394,5.458,82
2019-01-24,5.798,5.8,5.402,5.46,16
2019-01-25,5.5,5.8,5.5,5.692,27
2019-01-28,5.5,6.0,5.5,6.0,11
2019-01-29,5.72,6.2,5.506,5.9,24
2019-01-30,5.9,6.78,5.9,5.958,27
2019-01-31,6.58,6.58,5.96,5.96,15
2019-02-01,6.19,6.4,6.0,6.3,14
2019-02-04,6.4,8.4,6.4,7.0,184
2019-02-05,7.78,9.298,7.4,8.8,214
2019-02-06,8.6,9.8,8.6,9.54,212
2019-02-07,9.76,9.8,7.8,8.3,121
2019-02-08,7.696,8.808,7.554,8.2,38
2019-02-11,7.68,8.26,7.4,7.642,25
2019-02-12,7.4,9.0,7.4,8.46,41
2019-02-13,8.714,9.0,7.8,8.69,41
2019-02-14,8.04,8.7,8.02,8.43,39
2019-02-15,8.0,8.596,7.8,7.8,147
2019-02-19,8.4,9.114,8.02,8.5,23
2019-02-20,8.24,8.796,8.04,8.24,18
2019-02-21,8.08,8.496,8.02,8.022,12
2019-02-22,8.02,8.378,7.98,8.01,26
2019-02-25,8.002,8.358,7.846,8.34,17
2019-02-26,11.46,13.6,10.598,11.7,1465
2019-02-27,11.35,12.402,7.44,8.022,1661
2019-02-28,9.0,9.0,7.4,7.6,284
2019-03-01,8.2,8.2,7.602,7.762,137
2019-03-04,7.998,8.6,6.662,6.9,200
2019-03-05,7.4,8.0,6.1,6.1,449
2019-03-06,6.45,6.692,5.8,6.0,211
2019-03-07,6.2,6.2,5.4,6.006,230
2019-03-08,6.136,6.4,5.6,5.8,79
2019-03-11,5.8,6.0,5.622,5.804,63
2019-03-12,6.1,6.402,5.272,6.0,203
2019-03-13,5.98,5.996,5.4,5.45,104
2019-03-14,5.6,5.98,5.3,5.496,48
2019-03-15,5.4,6.0,5.3,5.3,150
2019-03-18,5.34,5.7,5.3,5.498,67
2019-03-19,5.4,5.8,5.4,5.5,110
2019-03-20,5.8,6.0,5.5,5.94,124
2019-03-21,6.2,6.508,5.702,6.0,74
2019-03-22,5.9,6.1,5.8,6.1,40
2019-03-25,6.0,6.55,5.722,6.22,121
2019-03-26,7.0,7.3,5.84,5.9,351
2019-03-27,5.92,6.144,5.3,5.4,240
2019-03-28,5.4,5.8,5.4,5.734,77
2019-03-29,5.74,6.0,5.3,5.4,155
2019-04-01,5.4,5.574,5.22,5.306,103
2019-04-02,5.33,5.6,5.2,5.566,70
2019-04-03,5.246,5.48,5.24,5.35,71
2019-04-04,5.4,5.472,4.8,5.0,242
2019-04-05,5.0,5.4,4.838,5.174,135
2019-04-08,5.2,5.292,4.9,5.066,80
2019-04-09,5.6,5.602,4.9,5.422,418
2019-04-10,5.8,6.2,5.6,5.9,743
2019-04-11,6.1,6.15,5.46,5.77,180
2019-04-12,5.46,5.8,5.2,5.574,101
2019-04-15,5.56,5.752,5.3,5.582,106
2019-04-16,5.4,5.8,5.4,5.76,90
2019-04-17,6.0,6.0,5.4,5.4,137
2019-04-18,5.42,5.704,5.41,5.564,43
2019-04-22,5.5,5.796,5.262,5.504,78
2019-04-23,5.3,5.736,5.3,5.402,109
2019-04-24,5.4,5.402,5.2,5.3,97
2019-04-25,5.32,5.326,5.22,5.252,47
2019-04-26,5.4,5.502,5.24,5.38,59
2019-04-29,5.436,5.44,4.756,5.28,90
2019-04-30,5.08,5.396,4.8,5.028,190
2019-05-01,5.0,5.2,4.78,5.02,73
2019-05-02,5.02,5.092,4.78,4.996,32
2019-05-03,5.02,5.396,4.9,5.0,102
2019-05-06,5.25,5.25,4.5,5.0,94
2019-05-07,5.2,5.58,4.82,5.444,357
2019-05-08,5.4,5.4,4.83,4.998,136
2019-05-09,4.98,5.004,4.844,4.99,45
2019-05-10,4.99,5.05,4.8,5.0,80
2019-05-13,4.8,4.95,4.7,4.95,94
2019-05-14,5.2,5.2,4.964,5.2,56
2019-05-15,5.02,5.16,4.97,5.034,25
2019-05-16,5.018,5.4,5.018,5.04,82
2019-05-17,5.2,5.2,4.84,5.2,47
2019-05-20,5.38,5.38,4.91,5.0,26
2019-05-21,5.2,5.2,5.0,5.0,40
2019-05-22,5.15,5.38,4.9,5.0,224
2019-05-23,4.84,5.2,4.78,5.2,50
2019-05-24,4.98,5.15,4.826,5.002,27
2019-05-28,4.902,5.2,4.902,5.0,40
2019-05-29,4.912,5.4,4.8,5.0,18
2019-05-30,5.16,5.6,5.0,5.298,56
2019-05-31,5.6,5.6,4.9,5.5,334
2019-06-03,5.4,5.4,4.98,5.0,167
2019-06-04,5.2,5.35,5.0,5.04,41
2019-06-05,5.0,5.218,4.9,4.96,90
2019-06-06,4.96,5.198,4.8,4.898,86
2019-06-07,4.898,5.0,4.702,5.0,73
2019-06-10,5.0,5.0,4.6,4.798,64
2019-06-11,5.036,5.448,4.798,5.098,233
2019-06-12,5.0,5.058,4.798,4.898,25
2019-06-13,4.94,4.98,4.78,4.956,50
2019-06-14,5.0,5.0,4.702,5.0,46
2019-06-17,5.0,5.0,4.76,4.77,64
2019-06-18,4.64,4.956,4.64,4.88,43
2019-06-19,5.0,5.1,4.92,4.92,50
2019-06-20,5.0,5.0,4.8,4.96,42
2019-06-21,5.0,5.0,4.8,4.852,36
2019-06-24,4.8,4.81,4.41,4.7,58
2019-06-25,4.64,4.8,4.5,4.674,30
