date,open,high,low,close,volume
2018-12-10,5.6,5.71,5.6,5.68,335940
2018-12-11,5.82,5.87,5.79,5.84,443273
2018-12-12,5.95,6.06,5.93,6.04,455802
2018-12-13,5.98,6.05,5.97,6.03,262493
2018-12-14,5.9,6.01,5.89,5.94,170026
2018-12-17,5.94,5.95,5.85,5.87,225584
2018-12-18,5.88,5.9,5.76,5.78,191753
2018-12-19,5.83,5.9,5.74,5.77,185082
2018-12-20,5.82,5.85,5.66,5.76,278767
2018-12-21,5.71,5.75,5.48,5.49,283798
2018-12-24,5.49,5.53,5.45,5.49,187075
2018-12-26,5.51,5.56,5.41,5.56,312316
2018-12-27,5.52,5.64,5.47,5.63,212969
2018-12-28,5.69,5.83,5.66,5.81,325808
2018-12-31,5.83,5.85,5.77,5.82,141688
2019-01-02,5.7,5.77,5.69,5.74,221158
2019-01-03,5.64,5.65,5.56,5.57,165166
2019-01-04,5.73,5.96,5.73,5.93,333550
2019-01-07,5.95,6.09,5.93,6.02,237989
2019-01-08,6.07,6.16,6.03,6.15,300284
2019-01-09,6.16,6.24,6.13,6.21,239256
2019-01-10,6.11,6.18,6.09,6.14,203950
2019-01-11,6.06,6.1,6.03,6.08,124474
2019-01-14,6.03,6.07,6.0,6.02,137405
2019-01-15,6.0,6.08,6.0,6.05,138687
2019-01-16,5.96,6.0,5.9,5.95,202857
2019-01-17,5.96,6.0,5.94,5.98,182049
2019-01-18,6.11,6.13,6.04,6.11,213960
2019-01-22,6.0,6.04,5.95,5.97,155184
2019-01-23,6.06,6.12,6.01,6.05,143156
2019-01-24,6.15,6.2,6.09,6.16,277101
2019-01-25,6.38,6.64,6.37,6.6,557873
2019-01-28,6.48,6.51,6.41,6.49,307444
2019-01-29,6.51,6.6,6.47,6.55,258670
2019-01-30,6.5,6.65,6.45,6.57,307811
2019-01-31,6.36,6.4,6.21,6.35,544793
2019-02-01,6.26,6.26,6.09,6.13,388772
2019-02-04,6.12,6.12,5.98,6.06,282944
2019-02-05,6.05,6.09,6.02,6.04,211596
2019-02-06,6.08,6.11,6.04,6.05,202387
2019-02-07,6.02,6.03,5.95,5.96,324561
2019-02-08,5.96,6.19,5.96,6.16,338734
2019-02-11,6.19,6.23,6.13,6.21,211900
2019-02-12,6.21,6.26,6.15,6.24,258972
2019-02-13,6.27,6.35,6.26,6.32,174609
2019-02-14,6.31,6.34,6.27,6.3,165784
2019-02-15,6.3,6.33,6.26,6.32,150410
2019-02-19,6.13,6.19,6.12,6.17,216915
2019-02-20,6.05,6.12,6.03,6.1,217644
2019-02-21,6.1,6.17,6.09,6.15,241664
2019-02-22,6.15,6.25,6.14,6.24,253144
2019-02-25,6.28,6.28,6.11,6.15,300421
2019-02-26,6.15,6.2,6.11,6.12,250505
2019-02-27,6.15,6.15,6.07,6.12,206812
2019-02-28,6.1,6.13,6.07,6.09,226674
2019-03-01,6.12,6.17,6.08,6.11,239780
2019-03-04,6.13,6.14,6.03,6.08,234627
2019-03-05,6.09,6.19,6.09,6.16,176911
2019-03-06,6.12,6.13,6.06,6.1,192636
2019-03-07,6.07,6.08,6.02,6.03,163787
2019-03-08,5.96,6.09,5.95,6.07,215013
2019-03-11,6.05,6.17,6.04,6.14,225253
2019-03-12,6.18,6.25,6.15,6.2,201074
2019-03-13,6.15,6.18,6.13,6.14,153995
2019-03-14,6.17,6.25,6.15,6.22,180969
2019-03-15,6.34,6.42,6.31,6.39,202031
2019-03-18,6.37,6.38,6.31,6.33,192717
2019-03-19,6.38,6.41,6.32,6.35,229360
2019-03-20,6.29,6.33,6.21,6.29,226322
2019-03-21,6.26,6.34,6.24,6.26,290012
2019-03-22,5.94,6.02,5.76,5.88,800898
2019-03-25,5.93,5.95,5.83,5.87,313689
2019-03-26,5.86,5.87,5.8,5.82,213785
2019-03-27,5.81,5.86,5.78,5.82,218115
2019-03-28,5.72,5.74,5.66,5.69,361593
2019-03-29,5.74,5.76,5.69,5.72,221869
2019-04-01,5.78,5.8,5.75,5.77,173825
2019-04-02,5.83,5.85,5.77,5.81,153567
2019-04-03,5.92,5.96,5.89,5.9,183439
2019-04-04,5.95,5.96,5.88,5.9,158073
2019-04-05,5.93,5.94,5.91,5.92,87068
2019-04-08,5.94,5.96,5.9,5.96,102443
2019-04-09,5.89,5.92,5.85,5.86,135011
2019-04-10,5.86,5.89,5.84,5.85,111510
2019-04-11,5.86,5.9,5.84,5.87,112006
2019-04-12,5.9,5.96,5.88,5.94,154181
2019-04-15,5.73,5.73,5.63,5.64,347794
2019-04-16,5.68,5.72,5.66,5.68,191717
2019-04-17,5.76,5.87,5.75,5.82,251861
2019-04-18,5.8,5.84,5.77,5.81,122830
2019-04-22,5.84,5.84,5.77,5.81,113226
2019-04-23,5.77,5.81,5.75,5.8,152488
2019-04-24,5.8,5.84,5.76,5.79,195171
2019-04-25,5.34,5.36,5.2,5.3,575256
2019-04-26,5.34,5.45,5.33,5.36,255221
2019-04-29,5.36,5.37,5.3,5.32,234378
2019-04-30,5.24,5.33,5.23,5.28,273636
2019-05-01,5.31,5.34,5.22,5.22,246312
2019-05-02,5.21,5.22,5.15,5.19,218715
2019-05-03,5.14,5.21,5.13,5.18,243515
2019-05-06,5.06,5.16,5.05,5.14,214554
2019-05-07,5.07,5.1,4.98,5.04,330067
2019-05-08,4.99,5.04,4.98,4.98,166964
2019-05-09,4.92,4.97,4.9,4.95,224864
2019-05-10,4.91,4.96,4.86,4.93,208324
2019-05-13,4.83,4.86,4.8,4.82,224362
2019-05-14,4.83,4.85,4.76,4.77,291112
2019-05-15,4.72,4.8,4.71,4.77,184031
2019-05-16,4.9,5.0,4.89,4.96,531405
2019-05-17,4.95,5.02,4.92,4.94,315946
2019-05-20,5.07,5.12,5.0,5.08,389299
2019-05-21,5.16,5.17,5.09,5.1,230499
2019-05-22,5.11,5.16,5.1,5.13,190248
2019-05-23,4.98,5.0,4.95,4.97,164160
2019-05-24,5.12,5.15,5.03,5.12,203032
2019-05-28,5.08,5.11,5.0,5.01,182550
2019-05-29,4.94,5.05,4.93,5.04,229768
2019-05-30,5.04,5.15,5.03,5.09,227427
2019-05-31,5.02,5.08,4.99,5.05,138483
2019-06-03,5.0,5.04,4.96,4.99,222516
2019-06-04,5.07,5.09,5.02,5.03,207010
2019-06-05,5.07,5.07,4.99,5.05,147341
2019-06-06,5.03,5.05,5.0,5.02,140602
2019-06-07,5.05,5.1,5.03,5.08,153750
2019-06-10,5.05,5.07,4.96,4.98,238783
2019-06-11,5.11,5.19,5.09,5.16,244938
2019-06-12,5.12,5.13,5.08,5.1,117907
2019-06-13,5.1,5.1,5.04,5.08,126552
2019-06-14,4.98,5.0,4.95,4.95,166026
2019-06-17,4.99,5.02,4.96,4.97,117844
2019-06-18,5.04,5.06,4.99,5.01,146653
2019-06-19,5.06,5.07,5.01,5.04,121663
2019-06-20,5.13,5.19,5.11,5.17,159935
2019-06-21,5.13,5.18,5.12,5.16,120699
2019-06-24,5.09,5.1,5.04,5.04,177803
2019-06-25,5.01,5.08,4.99,4.99,216733
2019-06-26,5.05,5.07,5.01,5.02,127130
2019-06-27,5.01,5.02,4.93,4.97,280553
2019-06-28,5.01,5.03,4.99,5.01,135244
2019-07-01,5.04,5.04,5.0,5.03,141638
2019-07-02,5.05,5.07,5.03,5.06,126066
2019-07-03,5.1,5.12,5.09,5.12,74811
2019-07-05,5.08,5.09,5.02,5.06,75186
2019-07-08,5.02,5.06,5.01,5.04,87430
2019-07-09,5.01,5.05,4.98,5.03,157928
2019-07-10,5.06,5.08,5.03,5.06,106394
2019-07-11,5.08,5.1,5.05,5.06,188265
2019-07-12,5.09,5.1,5.06,5.1,177267
2019-07-15,5.11,5.12,5.07,5.1,180890
2019-07-16,5.15,5.21,5.11,5.12,175985
2019-07-17,5.11,5.2,5.1,5.16,344681
2019-07-18,5.16,5.18,5.1,5.14,234231
2019-07-19,5.16,5.2,5.13,5.14,266288
2019-07-22,5.17,5.18,5.11,5.12,225296
2019-07-23,5.17,5.18,5.13,5.17,129374
2019-07-24,5.2,5.22,5.13,5.18,174861
2019-07-25,5.55,5.77,5.51,5.7,808829
2019-07-26,5.69,5.74,5.63,5.72,338529
2019-07-29,5.66,5.69,5.61,5.65,182500
2019-07-30,5.55,5.57,5.45,5.47,293711
2019-07-31,5.47,5.5,5.37,5.41,139720
2019-08-01,5.43,5.5,5.35,5.37,215890
2019-08-02,5.4,5.42,5.33,5.4,170987
2019-08-05,5.35,5.35,5.25,5.29,174739
2019-08-06,5.36,5.38,5.32,5.35,190293
2019-08-07,5.26,5.33,5.23,5.32,252245
2019-08-08,5.38,5.42,5.38,5.4,124806
2019-08-09,5.4,5.45,5.36,5.41,217395
2019-08-12,5.38,5.38,5.29,5.31,114772
2019-08-13,5.26,5.39,5.25,5.33,195682
2019-08-14,5.22,5.22,5.11,5.12,247805
2019-08-15,5.07,5.1,5.03,5.06,182914
2019-08-16,5.13,5.17,5.1,5.17,108701
2019-08-19,5.25,5.25,5.21,5.23,82989
2019-08-20,5.17,5.19,5.14,5.15,97924
2019-08-21,5.2,5.21,5.16,5.17,74563
2019-08-22,5.15,5.18,5.05,5.07,244807
2019-08-23,5.05,5.1,5.0,5.01,165162
2019-08-26,5.02,5.03,4.98,5.0,95971
2019-08-27,5.01,5.02,4.91,4.94,189778
2019-08-28,4.87,4.93,4.86,4.89,150276
2019-08-29,4.9,4.95,4.9,4.92,104252
2019-08-30,4.97,4.98,4.94,4.96,92101
2019-09-03,4.89,4.92,4.83,4.87,177718
2019-09-04,4.91,4.93,4.9,4.91,91383
2019-09-05,4.98,5.0,4.95,4.97,140616
2019-09-06,5.01,5.05,4.98,5.01,112451
2019-09-09,5.03,5.03,4.99,5.02,114287
2019-09-10,5.03,5.12,5.0,5.1,185323
2019-09-11,5.07,5.12,5.05,5.1,137193
2019-09-12,5.14,5.25,5.13,5.24,181799
2019-09-13,5.23,5.23,5.16,5.18,85170
2019-09-16,5.1,5.14,5.08,5.12,126141
2019-09-17,5.06,5.17,5.05,5.15,176542
2019-09-18,5.13,5.17,5.12,5.14,109646
2019-09-19,5.22,5.25,5.15,5.15,136107
2019-09-20,5.25,5.33,5.25,5.29,225850
2019-09-23,5.16,5.18,5.14,5.18,149827
2019-09-24,5.15,5.16,5.09,5.1,253063
2019-09-25,5.05,5.08,5.01,5.07,148983
2019-09-26,5.05,5.05,4.97,4.99,155181
2019-09-27,5.05,5.09,4.99,5.04,193653
2019-09-30,5.06,5.11,5.03,5.06,147018
2019-10-01,5.06,5.06,4.87,4.91,526905
2019-10-02,4.87,4.87,4.8,4.82,298773
2019-10-03,4.81,4.87,4.75,4.84,215949
2019-10-04,4.87,4.89,4.84,4.89,130486
2019-10-07,4.9,4.96,4.89,4.91,131946
2019-10-08,4.95,4.96,4.88,4.9,135276
2019-10-09,4.94,4.94,4.89,4.91,183808
2019-10-10,4.96,4.98,4.9,4.94,252108
2019-10-11,5.11,5.12,5.0,5.02,262895
2019-10-14,5.01,5.03,4.95,4.95,188770
2019-10-15,4.99,5.05,4.98,5.01,160245
2019-10-16,5.08,5.1,5.04,5.09,157696
2019-10-17,5.28,5.28,5.15,5.23,334098
2019-10-18,5.23,5.24,5.17,5.2,328823
2019-10-21,5.25,5.27,5.18,5.2,167709
2019-10-22,5.23,5.24,5.18,5.18,178312
2019-10-23,5.23,5.24,5.1,5.11,310471
2019-10-24,4.02,4.09,3.83,3.9,2135931
2019-10-25,3.83,3.85,3.75,3.78,778569
2019-10-28,3.68,3.7,3.58,3.59,764766
2019-10-29,3.53,3.62,3.5,3.55,566665
2019-10-30,3.57,3.65,3.56,3.65,523224
2019-10-31,3.67,3.68,3.63,3.65,329570
2019-11-01,3.64,3.7,3.63,3.66,268367
2019-11-04,3.62,3.65,3.6,3.61,234730
2019-11-05,3.53,3.57,3.51,3.54,354399
2019-11-06,3.59,3.64,3.54,3.59,400186
2019-11-07,3.58,3.61,3.54,3.57,243078
2019-11-08,3.56,3.58,3.52,3.57,200886
2019-11-11,3.5,3.57,3.5,3.53,372926
2019-11-12,3.51,3.53,3.48,3.51,233069
2019-11-13,3.48,3.5,3.45,3.47,223013
2019-11-14,3.38,3.4,3.33,3.37,337347
2019-11-15,3.39,3.47,3.38,3.45,272453
2019-11-18,3.44,3.49,3.44,3.45,279884
2019-11-19,3.47,3.47,3.41,3.43,282912
2019-11-20,3.38,3.4,3.35,3.35,176584
2019-11-21,3.39,3.4,3.36,3.38,196873
2019-11-22,3.4,3.46,3.39,3.43,161618
2019-11-25,3.49,3.51,3.44,3.47,199228
2019-11-26,3.46,3.46,3.41,3.43,189622
2019-11-27,3.43,3.48,3.41,3.46,159966
2019-11-29,3.48,3.51,3.47,3.5,64425
2019-12-02,3.53,3.54,3.43,3.46,230804
2019-12-03,3.5,3.51,3.44,3.47,229843
2019-12-04,3.49,3.53,3.43,3.45,322985
2019-12-05,3.45,3.51,3.44,3.48,152036
2019-12-06,3.48,3.51,3.45,3.48,151429
2019-12-09,3.43,3.45,3.41,3.42,144130
2019-12-10,3.43,3.45,3.41,3.42,170657
2019-12-11,3.45,3.47,3.44,3.47,106800
2019-12-12,3.5,3.58,3.49,3.57,214916
2019-12-13,3.58,3.62,3.52,3.52,190598
2019-12-16,3.58,3.6,3.56,3.59,120767
2019-12-17,3.63,3.63,3.6,3.6,167468
