date,open,high,low,close,volume
2018-12-10,19.01,19.29,18.8,18.84,5504
2018-12-11,18.96,19.03,18.42,18.54,8570
2018-12-12,18.76,18.82,18.46,18.48,9119
2018-12-13,18.57,18.9,18.41,18.51,9300
2018-12-14,18.4,18.42,17.57,17.6,14043
2018-12-17,17.46,17.78,16.84,17.02,14194
2018-12-18,17.14,17.33,17.0,17.19,5873
2018-12-19,17.36,17.57,16.94,16.99,5452
2018-12-20,16.85,17.15,16.4,16.56,10798
2018-12-21,16.57,16.84,16.17,16.17,8440
2018-12-24,16.1,16.56,15.87,16.4,5692
2018-12-26,16.42,16.94,16.28,16.94,6157
2018-12-27,16.7,16.7,16.05,16.59,8287
2018-12-28,16.61,16.87,16.39,16.56,7699
2018-12-31,16.65,16.85,16.55,16.72,6259
2019-01-02,16.54,17.19,16.27,17.11,9659
2019-01-03,17.09,17.22,16.85,17.12,5343
2019-01-04,17.25,17.63,17.24,17.25,7529
2019-01-07,17.38,17.96,17.32,17.71,7541
2019-01-08,17.85,18.18,17.84,18.14,7541
2019-01-09,18.17,18.38,18.02,18.09,6260
2019-01-10,18.1,18.2,17.84,18.09,2734
2019-01-11,18.03,18.28,17.77,18.24,6359
2019-01-14,18.17,18.28,17.71,17.75,3510
2019-01-15,17.73,17.88,17.6,17.84,5549
2019-01-16,18.06,18.17,17.73,17.8,6181
2019-01-17,17.8,17.95,17.69,17.84,3841
2019-01-18,18.0,18.22,17.93,17.97,4566
2019-01-22,17.94,17.99,17.45,17.71,5214
2019-01-23,17.83,18.13,17.57,17.63,5644
2019-01-24,17.49,17.7,17.22,17.6,4878
2019-01-25,17.66,17.8,17.48,17.64,5696
2019-01-28,17.58,17.73,17.3,17.5,6318
2019-01-29,17.48,17.76,17.33,17.76,4654
2019-01-30,17.84,18.16,17.79,18.1,9320
2019-01-31,18.05,18.39,17.99,18.33,4419
2019-02-01,18.44,18.56,18.22,18.45,5343
2019-02-04,18.47,18.7,18.33,18.62,4876
2019-02-05,18.65,18.86,18.64,18.71,3273
2019-02-06,18.79,18.89,18.56,18.62,3261
2019-02-07,18.47,18.58,18.07,18.21,6591
2019-02-08,18.17,18.47,18.17,18.44,1799
2019-02-11,18.43,18.78,18.36,18.75,7546
2019-02-12,18.75,19.35,18.66,19.15,7102
2019-02-13,19.25,19.27,18.93,18.94,3440
2019-02-14,18.96,19.12,18.78,19.04,2921
2019-02-15,19.17,19.36,19.07,19.25,3255
2019-02-19,19.17,19.24,19.05,19.12,3388
2019-02-20,19.15,19.15,18.95,18.98,3666
2019-02-21,19.0,19.19,18.92,18.99,7297
2019-02-22,18.93,19.01,18.62,19.0,8258
2019-02-25,19.03,19.16,18.64,18.7,14311
2019-02-26,18.7,18.84,18.47,18.58,11385
2019-02-27,18.57,19.07,18.46,18.85,21099
2019-02-28,19.65,20.46,19.6,20.1,19526
2019-03-01,20.23,21.11,20.17,21.05,13726
2019-03-04,21.01,21.16,20.7,20.8,8291
2019-03-05,20.73,21.17,20.62,21.05,7497
2019-03-06,21.04,21.32,20.97,21.23,6287
2019-03-07,21.25,21.59,21.13,21.41,11178
2019-03-08,21.38,21.46,21.12,21.24,11120
2019-03-11,21.19,21.47,21.08,21.47,6551
2019-03-12,21.54,21.73,21.47,21.5,6111
2019-03-13,21.54,21.8,21.41,21.41,7602
2019-03-14,21.5,21.76,21.42,21.42,4249
2019-03-15,21.39,21.81,21.24,21.55,7723
2019-03-18,21.55,21.65,21.27,21.45,9774
2019-03-19,21.19,21.42,20.79,20.8,22086
2019-03-20,19.52,20.7,19.5,20.65,136589
2019-03-21,20.6,20.95,20.42,20.95,24490
2019-03-22,20.85,20.99,20.23,20.23,13002
2019-03-25,20.23,20.59,20.1,20.51,8277
2019-03-26,20.6,20.79,20.55,20.74,11859
2019-03-27,20.8,20.86,20.44,20.72,14445
2019-03-28,20.74,20.91,20.65,20.74,9127
2019-03-29,20.79,20.83,20.45,20.45,8873
