date,open,high,low,close,volume
2018-12-10,27.75,28.03,25.275,26.5,32
2018-12-11,26.75,27.25,25.0,25.8725,35
2018-12-12,25.75,27.4975,24.25,24.75,26
2018-12-13,25.375,25.5,21.755,22.5,59
2018-12-14,22.5,24.75,21.9575,22.4975,32
2018-12-17,22.0,22.5,21.25,21.2525,39
2018-12-18,21.25,22.3175,18.055,19.05,145
2018-12-19,19.25,20.0,17.5,18.25,41
2018-12-20,18.25,18.75,17.25,17.965,21
2018-12-21,18.75,19.2,14.555,14.9575,79
2018-12-24,16.25,16.905,14.245,14.7525,27
2018-12-26,15.0,19.1725,15.0,15.3625,96
2018-12-27,16.005,16.25,14.75,15.375,36
2018-12-28,15.0,20.15,15.0,19.215,86
2018-12-31,17.7825,20.25,17.7825,20.2475,34
2019-01-02,18.5,21.1175,18.5,20.25,18
2019-01-03,20.5,21.3725,20.0025,20.5025,8
2019-01-04,21.5,22.5,17.875,20.875,20
2019-01-07,22.25,22.5,21.25,21.75,31
2019-01-08,22.5,23.75,21.0,22.1875,37
2019-01-09,22.75,22.75,17.84,22.175,29
2019-01-10,22.5,22.635,18.83,21.5575,17
2019-01-11,20.75,22.745,18.83,22.25,16
2019-01-14,22.6925,22.75,20.25,22.5,7
2019-01-15,22.5,28.75,21.84,25.75,97
2019-01-16,26.25,27.0,25.0,26.25,24
2019-01-17,26.0,26.4975,24.625,25.0,18
2019-01-18,26.25,26.25,23.75,25.1475,35
2019-01-22,25.0,28.0,24.575,27.0,68
2019-01-23,28.25,28.75,24.75,27.5,34
2019-01-24,27.5,27.5,25.95,26.625,3
2019-01-25,26.75,27.25,26.25,26.75,6
2019-01-28,26.5,26.75,25.5,26.0625,12
2019-01-29,25.75,27.0,25.5,25.5,8
2019-01-30,25.0,26.5,24.75,24.75,11
2019-01-31,25.75,27.0,25.75,26.75,8
2019-02-01,26.75,26.75,23.0,25.25,23
2019-02-04,25.5,27.75,25.2525,26.75,76
2019-02-05,26.5,27.5,26.5,27.0,15
2019-02-06,27.0,27.5825,26.75,27.0,14
2019-02-07,27.0,35.0,26.3825,31.75,139
2019-02-08,27.75,29.25,26.375,26.5,34
2019-02-11,26.75,29.75,25.75,28.5,36
2019-02-12,29.0,29.475,27.5,27.7525,17
2019-02-13,28.61,28.75,27.75,28.0,8
2019-02-14,27.75,28.75,27.5,27.75,11
2019-02-15,28.25,29.0,26.25,28.5,9
2019-02-19,30.25,30.25,28.25,29.25,17
2019-02-20,29.5,29.5,28.37,28.75,3
2019-02-21,28.5,29.0,27.0,29.0,9
2019-02-22,28.5,30.25,27.5,29.5,18
2019-02-25,29.5,31.25,28.75,30.0,7
2019-02-26,29.5,32.25,29.25,30.75,11
2019-02-27,31.0,36.2475,31.0,32.415,24
2019-02-28,32.5,34.75,32.5,33.0025,24
2019-03-01,33.0,33.625,31.75,32.5,16
2019-03-04,32.5,36.08,32.5,34.75,22
2019-03-05,34.5,35.45,33.0,33.0,10
2019-03-06,34.25,37.125,33.75,35.0,57
2019-03-07,35.25,35.75,33.2525,35.75,23
2019-03-08,36.75,36.75,31.0025,32.0,32
2019-03-11,32.5,32.75,31.0025,31.25,26
2019-03-12,31.5,33.25,30.0,30.25,167
2019-03-13,30.75,30.75,27.75,28.5,69
2019-03-14,28.0,28.75,27.0,27.25,46
2019-03-15,28.0,30.25,27.25,28.5,38
2019-03-18,28.75,29.5,27.5,28.005,29
2019-03-19,28.75,30.5,27.5,29.75,48
2019-03-20,29.5,33.25,29.5,31.75,32
2019-03-21,31.25,32.0,30.0,31.25,20
2019-03-22,31.75,32.0,30.0,30.0225,13
2019-03-25,30.25,30.25,28.625,29.0,8
2019-03-26,29.0,30.0,27.75,29.25,12
2019-03-27,28.75,29.8575,27.75,28.25,4
2019-03-28,28.75,30.0,27.775,28.895,7
2019-03-29,29.5,30.0,28.75,28.75,10
2019-04-01,29.0,30.0,29.0,29.6875,7
2019-04-02,29.5,32.5,29.5,32.5,33
2019-04-03,32.5,35.75,30.75,33.0,53
2019-04-04,33.5,35.475,32.7725,33.75,9
2019-04-05,33.75,35.0,32.75,33.75,7
2019-04-08,33.75,34.0,33.3375,33.75,3
2019-04-09,34.25,35.0,32.75,32.75,9
2019-04-10,33.25,34.175,32.75,33.0,10
2019-04-11,33.1275,33.5,32.25,33.0,9
2019-04-12,32.75,33.0,31.25,32.5,6
2019-04-15,32.5,32.75,30.75,30.75,6
2019-04-16,31.75,34.25,31.5,33.25,8
2019-04-17,33.3175,34.0,31.5,32.5,4
2019-04-18,32.0025,33.75,31.6825,31.75,7
2019-04-22,32.5,33.25,31.5,33.125,16
2019-04-23,32.5,33.0,30.25,32.5,3
2019-04-24,31.75,32.5,30.25,30.5,10
2019-04-25,30.75,32.5,30.75,32.5,3
2019-04-26,32.8225,33.0,30.5,32.75,12
2019-04-29,31.25,33.0,30.5,31.955,9
2019-04-30,31.025,32.0125,30.75,31.0,8
2019-05-01,31.5,31.75,30.25,31.0,20
2019-05-02,31.0,31.675,30.25,30.25,1
2019-05-03,30.75,32.0,30.5,31.75,3
2019-05-06,31.5,32.25,30.5,31.0,9
2019-05-07,31.0,32.25,31.0,31.5,5
2019-05-08,31.0975,31.5,30.25,30.25,4
2019-05-09,30.0,33.75,28.895,30.5,15
2019-05-10,29.5,29.5,25.0,26.25,49
2019-05-13,26.25,29.1075,25.5,27.0,32
2019-05-14,27.25,28.985,25.7775,28.0,8
2019-05-15,28.5,30.0,28.5,29.5,5
2019-05-16,30.5,30.5,28.0,28.625,4
2019-05-17,28.75,28.75,27.25,27.5,4
2019-05-20,27.25,28.0,26.025,27.875,7
2019-05-21,29.0,29.0,27.75,27.875,8
2019-05-22,26.4975,28.5,25.0,25.75,7
2019-05-23,26.5,28.25,25.5,26.0,7
2019-05-24,26.0,27.5,25.75,26.0,1
2019-05-28,25.25,26.5,25.0,25.25,4
2019-05-29,25.5,26.25,22.5,23.25,22
2019-05-30,22.5,22.575,18.02,19.425,40
2019-05-31,18.02,22.25,18.02,21.0,6
2019-06-03,22.5,22.5,20.5,21.75,5
2019-06-04,22.25,26.0,22.0,25.5,19
2019-06-05,23.25,24.5,23.25,23.75,9
2019-06-06,24.25,24.655,23.25,23.25,6
2019-06-07,23.25,23.25,20.0,21.2225,13
2019-06-10,21.25,21.75,20.0,20.225,16
2019-06-11,20.375,24.25,20.375,23.25,16
2019-06-12,23.25,24.16,20.8,22.95,5
2019-06-13,24.0975,24.0975,21.5025,23.0025,5
2019-06-14,23.25,24.0,21.86,22.225,4
2019-06-17,23.75,24.0,21.25,23.75,4
2019-06-18,23.98,24.25,22.75,23.17,6
2019-06-19,22.75,24.25,22.75,24.0025,5
2019-06-20,22.5,24.25,22.0,22.7525,28
2019-06-21,24.0,24.0,21.75,22.625,9
2019-06-24,23.75,23.75,22.75,23.25,15
2019-06-25,24.1275,36.2225,23.75,30.1225,286
2019-06-26,26.0,28.1925,21.75,23.75,354
2019-06-27,23.75,23.75,20.0,20.0,146
2019-06-28,20.9925,22.5,20.25,20.25,73
2019-07-01,21.2625,21.345,20.0,20.16,36
2019-07-02,20.5,20.5,20.0,20.0,28
2019-07-03,20.0,20.0,19.1375,19.5,17
2019-07-05,19.8,19.8,18.1375,19.0,21
2019-07-08,18.7675,20.0,18.7675,19.3475,9
2019-07-09,19.75,19.75,18.235,19.0,25
2019-07-10,19.25,19.25,16.5325,17.7525,39
2019-07-11,17.75,18.75,17.75,18.75,27
2019-07-12,18.77,18.77,17.7625,18.0,9
2019-07-15,17.25,19.0,17.25,17.7525,17
2019-07-16,18.5,19.75,17.5,19.4975,10
2019-07-17,19.5,19.5025,17.5025,17.6888,5
2019-07-18,18.0,18.705,18.0,18.2475,10
2019-07-19,18.25,18.5,17.5,18.5,5
2019-07-22,18.5,18.5,17.5,17.75,11
2019-07-23,17.75,18.5,17.75,18.0,12
2019-07-24,19.5,19.5,17.5,18.0,16
2019-07-25,27.5,27.75,20.0025,23.125,2431
2019-07-26,23.375,23.475,18.2575,20.5,319
2019-07-29,20.0,20.0025,16.8175,16.8175,204
2019-07-30,17.065,17.475,15.015,15.625,110
2019-07-31,16.25,16.7975,15.175,15.7775,49
2019-08-01,16.25,17.375,15.5025,16.2875,53
2019-08-02,16.75,16.75,15.0,15.25,67
2019-08-05,16.0,16.6,15.5075,16.18,61
2019-08-06,15.8225,16.0,14.2525,15.365,33
2019-08-07,15.25,15.9925,15.0,15.25,31
2019-08-08,15.35,17.4975,15.0,16.9325,84
2019-08-09,16.89,16.89,15.5,16.875,44
2019-08-12,16.89,16.89,14.82,16.0,25
2019-08-13,16.0,16.25,15.5,15.9625,19
2019-08-14,16.0,16.25,15.53,15.94,12
2019-08-15,15.555,15.555,13.02,14.145,67
2019-08-16,14.0,15.0,13.75,14.0,27
2019-08-19,13.75,15.0,13.75,14.0125,19
2019-08-20,13.75,14.125,13.335,13.38,3
2019-08-21,13.25,14.4375,12.7775,14.25,17
2019-08-22,14.25,14.25,13.75,14.0,12
2019-08-23,14.25,14.9975,14.0,14.1225,6
2019-08-26,14.75,14.75,13.2525,14.0275,6
2019-08-27,14.025,14.025,12.765,12.8275,18
2019-08-28,13.255,13.67,12.8,13.245,19
2019-08-29,13.5,13.75,12.8,12.8,9
2019-08-30,12.8275,13.7475,12.825,13.5,6
2019-09-03,12.5,13.75,12.5,12.5,17
2019-09-04,13.0,13.375,12.75,13.245,11
2019-09-05,13.245,13.35,12.5,12.75,8
2019-09-06,13.2375,13.305,12.2875,12.2875,21
2019-09-09,12.3025,12.5,10.5275,11.5275,63
2019-09-10,10.75,12.35,10.555,12.125,27
2019-09-11,11.99,12.125,10.75,10.75,74
2019-09-12,11.0025,11.715,10.94,11.565,37
2019-09-13,11.445,11.7,10.9725,11.4525,11
2019-09-16,11.25,13.3125,11.1125,12.25,72
2019-09-17,12.75,14.2375,12.375,13.375,62
2019-09-18,14.0,14.0,12.5,13.2675,41
2019-09-19,13.25,14.0,12.5,13.25,20
2019-09-20,12.9875,13.495,12.25,12.5,44
2019-09-23,12.375,12.5,10.75,12.4725,34
2019-09-24,12.445,12.95,11.505,11.8825,14
2019-09-25,12.365,12.365,10.5,11.7,32
2019-09-26,10.9775,11.575,9.25,9.7525,243
2019-09-27,9.99,10.2575,9.755,9.805,23
2019-09-30,9.875,10.15,9.4025,9.545,24
2019-10-01,9.7075,10.25,9.0,9.0,53
2019-10-02,9.215,9.7,8.7525,8.7525,37
2019-10-03,9.0,9.975,8.79,9.165,102
2019-10-04,9.0825,9.4975,8.75,8.75,23
2019-10-07,8.765,9.21,8.3325,8.375,44
2019-10-08,8.375,9.0,8.375,8.4313,83
2019-10-09,8.8,9.225,8.375,8.7325,33
2019-10-10,8.9225,8.9225,7.1,7.94,56
2019-10-11,8.0,9.0,8.0,8.5025,18
2019-10-14,8.5,9.0,8.25,8.7525,26
2019-10-15,8.705,9.2075,7.5275,8.2475,37
2019-10-16,8.5,9.0,8.375,8.5025,22
2019-10-17,8.7525,8.9875,8.505,8.77,17
2019-10-18,9.08,9.4525,8.875,9.0025,32
2019-10-21,9.0,9.4,9.0,9.0225,15
2019-10-22,9.4,11.0,9.345,9.675,64
2019-10-23,9.76,10.125,9.345,9.425,24
2019-10-24,9.65,9.75,9.0,9.0,11
2019-10-25,9.0,9.7275,8.8225,9.1875,40
2019-10-28,9.2525,9.2525,8.8225,9.105,20
2019-10-29,9.125,9.375,8.75,8.9,23
2019-10-30,8.52,9.225,8.5025,8.7375,16
2019-10-31,9.0325,9.5,8.75,9.12,8
2019-11-01,9.0325,9.5,8.865,8.945,3
2019-11-04,9.5,9.5,9.0,9.45,21
2019-11-05,9.2825,10.0,9.2825,9.7575,28
2019-11-06,9.7475,10.0325,9.375,9.515,25
2019-11-07,9.5025,9.5025,8.52,8.75,47
2019-11-08,9.0,9.1975,8.78,9.05,13
2019-11-11,8.7575,9.2,8.7575,8.775,4
2019-11-12,9.0,9.1975,8.75,9.0025,17
2019-11-13,8.895,9.0,8.025,8.34,41
2019-11-14,8.535,8.8325,8.095,8.1375,11
2019-11-15,8.75,9.2,8.71,8.98,36
2019-11-18,9.0,9.125,8.5,8.6125,21
2019-11-19,8.89,9.2,8.5425,8.945,16
2019-11-20,8.9025,8.95,8.5,8.605,34
2019-11-21,8.5,8.9075,8.5,8.825,7
2019-11-22,8.7325,9.605,8.55,9.475,129
2019-11-25,9.605,9.9125,9.25,9.895,96
2019-11-26,9.75,10.38,8.375,8.625,318
2019-11-27,8.45,9.125,8.45,8.715,62
2019-11-29,9.835,9.835,8.5525,8.975,41
2019-12-02,8.5725,9.2475,8.5,8.655,72
2019-12-03,8.52,9.6725,8.52,8.755,48
2019-12-04,8.9775,9.2075,8.25,8.3875,37
2019-12-05,8.3,8.6225,8.1,8.32,28
2019-12-06,8.5,8.9975,5.95,7.405,167
2019-12-09,7.14,7.205,6.6525,6.8225,55
2019-12-10,6.75,8.0,6.75,7.6375,56
2019-12-11,7.6375,7.9475,6.7525,7.4975,47
2019-12-12,7.5,8.0,6.88,7.9325,28
2019-12-13,7.8325,7.9325,6.845,7.325,21
2019-12-16,7.7475,7.7475,6.3,7.5,20
2019-12-17,7.4175,7.875,7.13,7.2825,23
2019-12-18,7.875,7.875,6.885,7.2125,14
2019-12-19,7.4625,7.75,6.725,7.235,30
2019-12-20,7.4975,7.5025,6.91,7.5,39
2019-12-23,7.5,8.19,7.255,7.8125,36
2019-12-24,7.305,7.8125,7.2675,7.49,9
2019-12-26,8.25,8.5,7.25,7.5325,38
2019-12-27,7.0,8.0,7.0,7.5275,18
2019-12-30,7.69,8.5,7.255,7.5,74
