date,open,high,low,close,volume
2018-12-10,24.37,24.6,23.53,23.98,3921
2018-12-11,24.23,24.6,23.3,23.39,4014
2018-12-12,23.64,24.07,23.3,23.53,4530
2018-12-13,23.66,24.7,23.5,24.39,5119
2018-12-14,24.15,24.86,23.89,24.08,5270
2018-12-17,23.88,24.1,22.79,23.04,7076
2018-12-18,23.12,23.28,21.82,22.19,6184
2018-12-19,22.32,23.19,22.06,22.45,8258
2018-12-20,22.45,22.71,21.18,21.51,8580
2018-12-21,21.49,22.06,20.88,21.15,6982
2018-12-24,20.92,21.05,20.33,20.35,3023
2018-12-26,20.35,21.19,20.03,21.18,8103
2018-12-27,20.81,21.13,19.81,20.99,5314
2018-12-28,20.92,21.0,20.05,20.58,7378
2018-12-31,20.53,20.98,20.24,20.93,6089
2019-01-02,20.62,21.69,20.41,21.29,2659
2019-01-03,21.3,21.81,21.21,21.46,2710
2019-01-04,21.91,23.41,21.84,22.75,7634
2019-01-07,22.72,23.7,22.47,23.18,7124
2019-01-08,23.46,24.81,23.44,24.46,4702
2019-01-09,24.72,25.38,24.55,25.3,3578
2019-01-10,24.73,25.01,24.37,24.95,6129
2019-01-11,24.67,25.05,24.35,25.0,3917
2019-01-14,24.76,25.16,24.52,24.99,2529
2019-01-15,25.03,25.67,25.03,25.35,2599
2019-01-16,25.4,25.83,25.31,25.44,4201
2019-01-17,25.21,25.72,25.0,25.61,3880
2019-01-18,25.81,26.4,25.57,26.38,4245
2019-01-22,26.2,26.22,25.59,25.65,3664
2019-01-23,25.68,26.01,25.38,25.39,3295
2019-01-24,25.36,25.94,25.14,25.72,2199
2019-01-25,25.8,26.38,25.7,26.27,2611
2019-01-28,26.0,26.25,25.23,25.58,5306
2019-01-29,25.58,25.75,25.2,25.25,2421
2019-01-30,25.4,25.91,24.93,25.77,4135
2019-01-31,25.85,26.14,25.14,25.49,5613
2019-02-01,25.46,26.46,25.2,26.38,4091
2019-02-04,26.21,26.5,26.0,26.43,3324
2019-02-05,26.42,26.74,26.28,26.64,2367
2019-02-06,26.55,26.74,25.95,26.05,5895
2019-02-07,25.31,25.41,24.54,24.86,3384
2019-02-08,24.75,24.97,24.49,24.68,1656
2019-02-11,24.62,25.02,24.48,24.88,2296
2019-02-12,25.19,25.67,25.01,25.65,3005
2019-02-13,25.62,26.22,25.29,26.15,7298
2019-02-14,25.88,26.81,25.59,26.65,4777
2019-02-15,26.72,26.9,26.46,26.48,3168
2019-02-19,26.23,27.16,26.07,26.85,4871
2019-02-20,26.82,27.0,26.41,26.43,2300
2019-02-21,26.42,26.54,25.97,26.19,3307
2019-02-22,26.27,26.76,26.22,26.28,2499
2019-02-25,26.19,26.5,26.03,26.39,2749
2019-02-26,26.34,26.38,25.69,25.7,2970
2019-02-27,25.69,26.0,25.5,25.88,2241
2019-02-28,25.88,26.09,25.32,25.91,4890
2019-03-01,26.09,26.6,25.88,26.13,2868
2019-03-04,26.27,26.41,25.92,26.18,4275
2019-03-05,26.15,26.49,25.8,26.31,2619
2019-03-06,26.12,26.46,26.07,26.27,1690
2019-03-07,26.39,26.92,26.13,26.8,3761
2019-03-08,26.39,26.95,26.13,26.72,4212
2019-03-11,26.95,27.44,26.73,27.32,5517
2019-03-12,27.41,27.41,26.66,26.74,2157
2019-03-13,26.46,26.92,26.4,26.58,5820
2019-03-14,26.55,26.72,26.21,26.7,1330
2019-03-15,26.58,26.91,26.36,26.77,4101
2019-03-18,26.86,27.13,26.67,27.05,2083
2019-03-19,27.02,27.42,26.98,27.15,3394
2019-03-20,27.11,27.47,26.93,27.23,1635
2019-03-21,27.18,27.67,27.13,27.62,2310
2019-03-22,27.37,27.39,26.94,26.97,2097
2019-03-25,26.79,26.89,26.31,26.61,2045
2019-03-26,26.87,27.14,26.69,26.93,1158
2019-03-27,26.89,27.22,26.43,26.77,2207
2019-03-28,26.77,27.17,26.4,26.81,1310
2019-03-29,26.98,27.05,26.68,26.89,2223
2019-04-01,27.11,27.64,27.01,27.5,2068
2019-04-02,27.51,27.81,27.21,27.71,2727
2019-04-03,27.78,27.81,27.33,27.51,1475
2019-04-04,27.45,27.75,27.22,27.31,1738
2019-04-05,27.24,27.64,27.24,27.56,868
2019-04-08,27.59,27.74,27.52,27.59,1748
2019-04-09,27.45,27.61,27.08,27.36,1540
2019-04-10,27.49,27.69,27.31,27.51,1308
2019-04-11,27.45,27.81,27.44,27.66,1483
2019-04-12,27.84,27.96,27.66,27.75,1919
2019-04-15,27.7,27.93,27.61,27.78,1163
2019-04-16,27.95,27.95,27.55,27.72,2040
2019-04-17,27.89,27.96,27.54,27.54,1606
2019-04-18,27.51,27.53,27.1,27.25,4248
2019-04-22,27.49,27.66,27.31,27.64,1710
2019-04-23,27.53,27.87,27.35,27.41,2226
2019-04-24,27.4,27.51,27.05,27.06,1930
2019-04-25,27.14,27.36,27.02,27.25,2013
2019-04-26,27.25,27.6,26.95,27.34,1358
2019-04-29,27.35,27.51,27.14,27.23,1091
2019-04-30,27.49,27.65,27.18,27.19,1264
2019-05-01,27.22,27.44,27.08,27.41,1845
2019-05-02,27.12,27.34,26.71,26.8,2050
2019-05-03,27.0,27.3,26.81,26.98,1185
2019-05-06,26.68,27.2,26.58,27.06,1621
