date,open,high,low,close,volume
2018-12-10,42.31,43.26,42.19,42.93,904
2018-12-11,43.66,43.67,42.02,42.24,1074
2018-12-12,42.78,43.68,42.14,42.96,739
2018-12-13,43.25,43.54,42.38,42.86,843
2018-12-14,42.49,43.79,41.95,42.17,628
2018-12-17,42.18,42.71,40.97,41.18,1418
2018-12-18,41.39,42.1,41.13,41.24,1076
2018-12-19,41.38,42.26,40.5,40.82,1630
2018-12-20,40.83,41.25,40.31,40.87,1582
2018-12-21,40.94,41.13,39.06,39.45,1770
2018-12-24,39.35,39.5,38.07,38.21,485
2018-12-26,38.49,39.88,37.77,39.8,1332
2018-12-27,38.98,39.95,38.52,39.92,1256
2018-12-28,40.16,40.85,39.59,40.25,556
2018-12-31,40.44,40.87,40.01,40.75,883
2019-01-02,40.26,40.96,40.16,40.94,703
2019-01-03,40.64,40.8,39.45,39.7,825
2019-01-04,40.25,41.44,40.17,41.12,540
2019-01-07,41.31,42.14,40.8,41.72,690
2019-01-08,42.25,42.86,41.84,42.02,1448
2019-01-09,42.21,42.82,41.18,42.46,952
2019-01-10,42.34,42.83,41.76,42.58,801
2019-01-11,42.46,43.35,42.38,43.22,722
2019-01-14,43.06,43.47,42.58,42.99,830
2019-01-15,43.14,43.64,43.08,43.56,686
2019-01-16,43.67,44.04,42.74,43.24,2142
2019-01-17,43.2,44.06,42.67,43.98,2237
2019-01-18,44.22,45.02,44.02,44.61,841
2019-01-22,44.39,44.95,44.15,44.46,756
2019-01-23,44.64,44.96,44.13,44.55,521
2019-01-24,44.71,45.51,44.42,44.53,553
2019-01-25,44.82,45.66,44.82,45.63,410
2019-01-28,45.26,45.72,44.85,45.19,492
2019-01-29,45.29,45.45,44.86,44.88,567
2019-01-30,45.21,45.58,44.26,45.54,327
2019-01-31,45.47,46.21,45.42,45.92,828
2019-02-01,46.01,46.49,45.71,45.95,415
2019-02-04,46.14,47.13,45.98,47.13,715
2019-02-05,47.19,47.23,46.25,46.73,540
2019-02-06,46.85,47.22,46.46,46.74,605
2019-02-07,46.45,47.68,46.43,46.87,1167
2019-02-08,46.6,47.3,46.52,47.26,916
2019-02-11,47.35,48.13,47.2,47.99,1055
2019-02-12,48.34,48.56,47.64,47.91,1437
2019-02-13,48.11,48.51,47.84,48.38,1712
2019-02-14,51.93,54.74,51.34,54.34,5158
2019-02-15,54.67,55.16,53.6,54.72,3169
2019-02-19,54.45,56.42,54.45,56.22,2186
2019-02-20,56.29,57.76,56.29,57.6,2141
2019-02-21,57.88,57.88,56.62,57.04,1607
2019-02-22,56.81,57.44,56.61,57.3,1681
2019-02-25,57.62,57.94,56.73,57.2,1183
2019-02-26,56.77,57.32,56.28,56.47,1190
2019-02-27,56.5,56.59,55.76,56.12,1470
2019-02-28,56.03,56.52,55.74,55.82,880
2019-03-01,56.17,56.68,55.4,56.45,994
2019-03-04,56.78,56.94,55.8,56.21,1493
2019-03-05,56.05,56.89,55.25,56.01,886
2019-03-06,56.11,56.44,55.37,55.73,1740
2019-03-07,55.53,55.74,54.33,54.99,989
2019-03-08,54.59,55.38,54.01,55.04,1418
2019-03-11,55.47,56.21,55.17,56.18,1154
2019-03-12,56.14,56.41,55.41,55.54,953
2019-03-13,55.83,56.37,55.54,56.28,926
2019-03-14,56.5,57.52,56.5,57.2,2705
2019-03-15,57.31,58.31,56.76,56.86,2561
2019-03-18,56.8,57.44,55.89,56.86,1720
2019-03-19,57.17,57.17,56.17,56.38,647
2019-03-20,56.47,57.4,56.07,56.29,1281
2019-03-21,56.31,57.34,56.3,57.12,605
2019-03-22,56.85,56.94,55.33,55.34,1024
2019-03-25,55.3,56.21,54.37,55.5,1564
2019-03-26,55.88,55.9,55.15,55.57,1001
2019-03-27,55.76,55.88,54.77,55.22,766
2019-03-28,55.27,55.41,54.63,55.21,1382
2019-03-29,55.41,55.6,54.72,55.06,1402
2019-04-01,55.58,56.47,55.53,56.3,1474
2019-04-02,56.31,56.31,55.31,55.66,627
2019-04-03,55.71,56.11,55.43,55.72,738
2019-04-04,55.67,56.49,55.31,56.01,1099
2019-04-05,56.0,56.88,56.0,56.74,711
2019-04-08,56.59,57.33,56.2,57.29,765
2019-04-09,57.09,57.57,56.45,56.6,683
2019-04-10,56.78,58.51,56.72,58.28,825
2019-04-11,58.27,58.49,57.72,58.44,716
2019-04-12,58.5,59.66,58.5,58.72,949
2019-04-15,58.88,58.88,57.85,58.24,708
2019-04-16,58.35,58.85,58.17,58.8,1230
2019-04-17,59.14,59.2,57.92,58.0,1177
2019-04-18,58.0,58.06,56.93,57.12,752
2019-04-22,57.12,57.6,56.5,56.73,671
2019-04-23,56.92,58.18,56.86,57.9,918
2019-04-24,57.95,58.18,57.4,57.42,985
2019-04-25,57.42,57.53,55.19,55.68,1107
2019-04-26,55.7,55.94,55.21,55.53,1017
2019-04-29,55.79,56.66,55.66,56.1,909
2019-04-30,56.29,56.71,55.76,56.58,803
2019-05-01,60.09,60.1,57.01,58.29,2779
2019-05-02,58.17,59.09,57.24,57.49,1056
2019-05-03,57.54,57.92,56.71,57.66,1013
2019-05-06,56.67,57.55,56.08,57.46,1127
2019-05-07,57.07,57.67,56.16,56.55,1174
2019-05-08,56.45,57.29,56.26,56.56,1044
2019-05-09,56.11,56.47,55.59,56.16,1058
2019-05-10,55.92,56.06,54.27,55.54,592
2019-05-13,54.41,54.41,53.02,53.33,878
2019-05-14,53.5,54.47,53.14,54.36,861
2019-05-15,54.0,55.14,53.87,54.71,1298
2019-05-16,54.71,55.63,54.61,55.35,504
2019-05-17,54.81,55.29,54.11,54.15,851
2019-05-20,53.75,54.58,53.26,54.11,769
2019-05-21,54.55,55.35,54.3,55.01,910
2019-05-22,54.9,55.19,54.44,54.48,739
2019-05-23,53.9,53.93,52.42,53.34,2027
2019-05-24,53.83,54.41,53.46,54.16,1854
2019-05-28,54.52,54.52,53.9,54.08,2464
2019-05-29,53.64,54.07,52.57,53.19,2479
2019-05-30,53.52,54.06,52.86,53.3,1067
2019-05-31,52.89,53.14,51.43,51.48,1402
2019-06-03,51.01,51.96,50.72,50.97,1105
2019-06-04,51.61,52.85,51.15,52.78,715
2019-06-05,52.97,53.27,51.9,52.5,778
2019-06-06,52.59,52.71,51.7,52.38,695
2019-06-07,52.67,53.62,52.21,53.08,897
2019-06-10,53.36,54.6,53.26,54.01,623
2019-06-11,54.54,55.13,54.07,54.75,1102
2019-06-12,54.74,54.75,53.97,54.69,612
2019-06-13,54.85,55.37,54.77,55.1,735
2019-06-14,54.96,55.01,54.15,54.66,968
2019-06-17,54.7,55.15,54.24,54.84,756
2019-06-18,55.35,56.82,55.35,56.42,834
2019-06-19,56.49,57.06,56.11,56.85,825
2019-06-20,56.9,57.73,56.9,57.52,651
2019-06-21,57.26,57.26,56.0,56.19,1196
2019-06-24,57.9,59.72,55.66,55.92,2486
2019-06-25,56.67,57.9,55.62,55.89,1057
2019-06-26,56.36,58.05,55.85,57.26,1121
2019-06-27,57.41,58.32,57.1,58.28,897
2019-06-28,58.38,58.93,58.11,58.2,948
2019-07-01,59.04,59.44,58.41,59.1,718
2019-07-02,59.07,59.07,57.37,57.9,567
2019-07-03,58.29,58.92,58.1,58.9,437
2019-07-05,58.3,59.04,58.08,59.04,370
2019-07-08,58.8,59.14,56.77,57.1,641
2019-07-09,56.99,57.48,56.6,57.45,378
2019-07-10,57.88,58.26,56.88,56.95,760
2019-07-11,57.09,57.09,55.39,56.0,670
2019-07-12,56.28,57.16,56.13,56.88,883
2019-07-15,56.93,56.96,55.78,56.48,799
2019-07-16,56.48,57.48,55.92,57.28,836
2019-07-17,57.26,57.27,56.35,57.11,1158
2019-07-18,57.11,57.11,56.0,56.62,525
2019-07-19,56.46,57.1,56.09,56.09,648
2019-07-22,56.49,56.98,55.57,55.62,942
2019-07-23,56.06,56.16,55.04,56.05,540
2019-07-24,55.99,56.51,55.43,56.12,1086
2019-07-25,56.03,56.56,55.56,55.66,667
2019-07-26,55.91,56.51,55.61,55.67,829
2019-07-29,55.75,55.87,54.6,54.78,907
2019-07-30,54.67,55.17,54.16,55.01,1389
2019-07-31,55.3,56.1,54.68,55.02,1491
2019-08-01,55.07,56.71,54.81,55.05,1065
2019-08-02,54.6,54.98,53.08,53.39,1116
2019-08-05,52.23,52.5,49.67,49.94,1746
2019-08-06,52.94,53.82,51.28,52.53,2128
2019-08-07,52.13,52.46,49.62,51.71,2168
2019-08-08,52.41,54.1,51.82,53.64,1200
2019-08-09,53.09,53.4,51.93,53.16,1094
2019-08-12,51.58,53.13,51.39,51.56,2086
2019-08-13,51.02,51.7,50.68,51.16,8565
2019-08-14,50.18,51.27,48.78,48.82,1501
2019-08-15,48.9,48.9,47.15,47.22,1153
2019-08-16,47.57,49.05,47.07,48.45,1771
2019-08-19,49.17,49.62,48.78,48.94,1496
2019-08-20,48.67,49.65,48.33,49.16,1228
2019-08-21,49.7,49.7,48.84,49.55,1420
2019-08-22,49.69,50.06,48.86,49.58,1592
2019-08-23,49.49,49.56,47.16,47.31,1190
2019-08-26,47.85,48.03,46.81,46.99,923
2019-08-27,47.29,47.39,46.29,46.66,1615
2019-08-28,46.6,47.68,46.28,47.29,1762
2019-08-29,47.91,48.94,47.86,48.51,1420
2019-08-30,48.98,48.99,47.77,48.06,1589
2019-09-03,47.35,48.05,46.33,46.81,1794
2019-09-04,47.29,47.95,47.0,47.64,1336
2019-09-05,48.24,49.54,47.88,49.0,2079
2019-09-06,49.1,49.89,48.17,48.27,1469
2019-09-09,48.27,49.52,48.14,49.22,2265
2019-09-10,49.06,49.89,48.38,49.33,2345
2019-09-11,49.4,50.06,48.71,50.03,2314
2019-09-12,50.4,51.85,49.5,51.59,3141
2019-09-13,52.24,53.07,51.17,52.37,2368
2019-09-16,51.82,53.14,50.92,52.81,1219
2019-09-17,52.52,53.02,52.09,52.84,992
2019-09-18,52.84,53.17,52.27,53.05,1372
2019-09-19,53.3,54.05,53.09,53.2,1579
2019-09-20,53.42,53.91,52.58,53.31,2484
2019-09-23,53.26,54.5,53.26,54.2,1629
2019-09-24,54.22,54.7,53.48,53.84,2601
2019-09-25,54.13,55.23,53.89,55.1,1269
2019-09-26,54.99,55.1,54.24,54.815,1081
2019-09-27,55.06,55.92,54.54,54.8,698
2019-09-30,54.95,55.99,54.81,55.69,864
2019-10-01,56.0,56.61,55.59,55.91,2207
2019-10-02,55.33,56.4,54.93,56.13,1746
2019-10-03,56.11,56.57,55.5,56.39,1338
2019-10-04,56.3,56.6,55.43,56.555,2696
2019-10-07,56.28,57.1,55.58,56.56,951
2019-10-08,56.06,56.13,54.77,55.08,4010
2019-10-09,55.3,55.84,54.83,55.59,1187
2019-10-10,55.52,56.15,55.44,55.71,1449
2019-10-11,56.37,56.86,55.91,56.13,1384
2019-10-14,55.97,56.72,55.88,56.41,885
2019-10-15,56.42,57.21,56.42,56.67,1610
2019-10-16,56.58,57.93,56.58,57.57,2240
2019-10-17,57.87,58.21,57.08,57.98,1714
2019-10-18,57.85,58.57,57.78,58.41,1527
2019-10-21,58.91,59.56,58.52,58.58,1247
2019-10-22,58.38,58.74,57.82,58.13,1303
2019-10-23,58.21,58.78,57.73,58.35,1309
2019-10-24,58.77,59.2,58.09,59.03,1878
2019-10-25,58.78,60.32,58.61,59.96,1891
2019-10-28,60.44,61.3,60.42,61.13,1373
2019-10-29,61.0,61.47,60.8,61.3,1308
2019-10-30,61.28,62.03,60.96,61.99,810
2019-10-31,61.78,62.18,60.68,61.38,975
2019-11-01,61.64,62.88,61.45,62.83,1009
2019-11-04,63.17,63.61,62.98,63.12,1580
2019-11-05,63.68,65.42,63.52,65.315,2962
2019-11-06,65.88,66.47,58.7,62.1,6381
2019-11-07,62.77,63.55,62.22,63.47,2236
2019-11-08,62.81,63.34,61.91,63.28,1945
