date,open,high,low,close,volume
2018-12-10,94.43,96.37,93.87,95.61,1543
2018-12-11,97.03,97.74,95.18,96.31,1798
2018-12-12,97.7,98.68,96.81,96.91,1785
2018-12-13,97.46,97.78,95.82,97.0,1770
2018-12-14,96.11,97.17,93.75,94.34,2359
2018-12-17,94.1,94.65,90.84,92.59,2984
2018-12-18,93.56,94.61,92.28,92.62,1923
2018-12-19,92.84,94.78,91.22,91.82,2858
2018-12-20,91.21,91.82,88.87,89.97,2857
2018-12-21,89.94,90.38,87.87,88.28,4072
2018-12-24,87.66,88.7,86.63,87.47,1255
2018-12-26,87.71,91.68,87.25,91.6,1851
2018-12-27,90.07,92.24,88.68,92.17,1914
2018-12-28,92.6,93.28,91.12,91.61,1152
2018-12-31,92.05,94.33,91.59,93.36,1135
2019-01-02,92.36,92.85,90.1,91.98,1967
2019-01-03,91.21,91.74,88.27,88.72,1584
2019-01-04,90.07,93.44,88.69,92.56,1600
2019-01-07,92.54,92.54,89.95,90.38,1996
2019-01-08,91.38,92.83,89.95,92.75,1619
2019-01-09,93.49,94.42,92.39,93.84,2036
2019-01-10,93.25,95.03,92.85,94.99,1139
2019-01-11,94.81,95.56,94.4,95.21,1303
2019-01-14,94.55,95.49,93.97,94.55,1309
2019-01-15,94.74,96.58,94.74,95.46,1263
2019-01-16,96.44,97.11,95.56,96.24,1328
2019-01-17,95.9,99.57,95.9,98.87,2224
2019-01-18,99.55,101.32,98.78,100.69,2456
2019-01-22,100.5,102.21,99.65,100.23,1463
2019-01-23,100.83,102.75,100.54,102.74,3478
2019-01-24,102.53,102.94,100.95,102.22,1528
2019-01-25,103.35,105.63,102.75,105.21,1852
2019-01-28,104.24,104.51,103.13,103.74,964
2019-01-29,104.12,104.18,103.34,103.6,2014
2019-01-30,104.63,105.88,103.61,105.41,1340
2019-01-31,105.9,107.12,105.31,106.68,1324
2019-02-01,106.49,107.33,105.72,107.01,1546
2019-02-04,107.59,107.61,106.35,107.57,1218
2019-02-05,107.81,109.53,107.66,109.52,2081
2019-02-06,109.07,110.04,107.6,109.69,1455
2019-02-07,108.57,110.23,108.06,108.93,1872
2019-02-08,108.04,111.26,108.01,110.9,1976
2019-02-11,122.55,132.0,121.94,131.97,8100
2019-02-12,132.1,132.5,122.56,124.32,7248
2019-02-13,124.3,124.9,121.77,122.26,3726
2019-02-14,121.75,126.47,121.73,125.1,4108
2019-02-15,126.12,129.87,125.76,129.73,4447
2019-02-19,129.66,131.2,128.95,129.74,3423
2019-02-20,129.59,129.59,126.27,128.03,2869
2019-02-21,127.89,129.64,127.16,129.17,1736
2019-02-22,129.43,131.0,129.2,130.4,2174
2019-02-25,130.86,130.91,127.36,128.04,2793
2019-02-26,127.97,128.15,125.56,126.11,1980
2019-02-27,125.76,126.44,125.1,126.05,1688
2019-02-28,126.38,127.83,126.04,126.27,2029
2019-03-01,127.49,128.76,126.54,127.79,2111
2019-03-04,128.05,128.52,124.47,125.16,1808
2019-03-05,125.19,125.69,124.13,124.6,1484
2019-03-06,124.73,124.88,121.83,122.13,1393
2019-03-07,122.13,122.75,121.1,122.55,1150
2019-03-08,121.7,121.93,119.43,121.58,1824
2019-03-11,121.75,123.69,121.43,123.62,1568
2019-03-12,123.58,124.77,122.39,123.76,1270
2019-03-13,124.2,125.2,123.35,123.53,1432
2019-03-14,123.75,124.79,122.36,124.56,1454
2019-03-15,124.77,125.8,122.9,123.12,2714
2019-03-18,123.04,124.76,122.91,124.46,1579
2019-03-19,125.0,126.18,123.52,124.61,1311
2019-03-20,124.63,125.19,122.35,123.76,1533
2019-03-21,123.33,127.65,123.33,126.97,1670
2019-03-22,126.43,126.56,120.38,120.5,1847
2019-03-25,120.56,121.83,118.38,120.33,2231
