date,open,high,low,close,volume
2018-12-10,143.9243,143.9243,127.57435,137.0993,9
2018-12-11,132.22435,134.99935,127.64935,130.49935,12
2018-12-12,131.62435,136.1243,131.17435,133.31185,5
2018-12-13,137.2493,137.6243,129.29935,133.64935,7
2018-12-14,134.62435,134.84935,128.24935,130.19935,6
2018-12-17,136.6493,136.6493,122.9994,124.0494,7
2018-12-18,130.87435,132.82435,122.4744,126.74935,6
2018-12-19,133.04935,133.04935,120.3744,123.8994,6
2018-12-20,127.64935,127.64935,104.9995,106.87445,26
2018-12-21,106.87445,108.67445,97.7995,104.6245,11
2018-12-24,104.6245,104.6245,98.2495,101.6995,4
2018-12-26,101.6245,115.7994,99.8245,111.67445,8
2018-12-27,116.2494,116.2494,108.74945,111.29945,4
2018-12-28,110.24945,119.9994,110.24945,116.2494,8
2018-12-31,119.9994,123.3744,116.3994,119.1744,5
2019-01-02,119.1744,127.49935,116.9994,126.07435,6
2019-01-03,127.42435,127.49935,119.9994,127.42435,7
2019-01-04,119.9994,127.49935,118.1244,127.49935,7
2019-01-07,127.49935,127.49935,119.9994,126.44935,6
2019-01-08,127.49935,138.7493,127.12435,135.3743,16
2019-01-09,138.7493,142.4993,132.74935,140.0993,11
2019-01-10,142.4993,142.4993,127.72435,134.62435,7
2019-01-11,131.24935,140.9993,127.49935,140.9993,7
2019-01-14,133.49935,136.3493,127.49935,129.67435,14
2019-01-15,131.24935,131.47435,114.82445,124.4994,13
2019-01-16,122.0994,125.24935,116.6994,123.7494,7
2019-01-17,123.3744,124.3494,118.8744,119.9994,5
2019-01-18,122.9994,167.77415,120.0744,146.17425,101
2019-01-22,149.32425,157.4992,135.8243,142.4993,25
2019-01-23,157.4992,157.4992,137.2493,143.8493,17
2019-01-24,151.12425,151.12425,136.8743,143.2493,12
2019-01-25,146.54925,149.62425,139.1243,142.4243,8
2019-01-28,146.24925,146.24925,128.62435,146.24925,11
2019-01-29,136.2743,138.7493,129.37435,138.7493,8
2019-01-30,134.99935,136.8743,130.12435,136.8743,6
2019-01-31,136.8743,137.6243,133.12435,136.6493,6
2019-02-01,136.4243,143.2493,130.49935,138.8993,15
2019-02-04,141.8243,143.2493,138.8243,142.6493,11
2019-02-05,142.8743,149.99925,141.5993,142.8743,12
2019-02-06,148.49925,148.49925,140.2493,147.74925,11
2019-02-07,149.24925,170.54915,146.24925,156.5992,56
2019-02-08,164.9992,164.9992,138.7493,141.7493,25
2019-02-11,125.62435,138.7493,119.9994,129.89935,33
2019-02-12,132.37435,134.99935,125.99935,130.79935,11
2019-02-13,137.7743,137.7743,127.57435,131.62435,11
