date,open,high,low,close,volume
2018-12-10,64.43,64.55,63.53,64.31,1358
2018-12-11,64.22,64.86,63.56,64.46,1830
2018-12-12,64.67,65.05,64.17,64.32,2016
2018-12-13,63.78,64.67,63.78,64.45,1257
2018-12-14,64.44,64.53,63.51,63.93,1355
2018-12-17,64.23,64.42,62.05,62.34,2112
2018-12-18,62.28,63.14,62.28,62.31,2899
2018-12-19,62.58,63.0,61.71,62.14,2884
2018-12-20,62.24,63.0,61.09,62.21,2747
2018-12-21,62.06,63.58,61.02,61.42,5486
2018-12-24,61.61,61.61,57.9,58.02,1198
2018-12-26,58.1,58.7,57.28,58.54,4172
2018-12-27,58.55,59.25,57.8,59.22,2581
2018-12-28,59.43,60.02,58.9,59.41,2053
2018-12-31,59.47,59.48,58.61,59.44,1893
2019-01-02,59.32,59.4,57.57,58.03,2210
2019-01-03,58.02,58.64,57.83,58.12,1648
2019-01-04,57.91,59.26,57.33,59.25,2025
2019-01-07,59.1,59.28,58.5,59.0,2149
2019-01-08,58.94,60.23,58.74,60.11,2442
2019-01-09,60.16,60.5,59.6,60.09,5937
2019-01-10,60.32,61.25,59.8,61.18,1680
2019-01-11,61.09,61.26,60.46,60.67,1983
2019-01-14,60.48,60.5,59.39,59.76,2259
2019-01-15,59.75,61.07,59.75,60.96,1622
2019-01-16,60.85,61.35,60.65,61.25,2063
2019-01-17,61.17,61.86,61.14,61.85,1362
2019-01-18,61.83,62.31,61.82,62.17,1210
2019-01-22,62.22,62.5,60.94,61.61,1133
2019-01-23,61.48,62.42,61.48,62.39,1303
2019-01-24,62.55,62.78,61.7,62.72,1357
2019-01-25,62.65,62.87,61.94,62.03,920
2019-01-28,61.95,62.27,61.26,61.66,1321
2019-01-29,62.09,62.45,61.8,62.2,1255
2019-01-30,62.1,63.17,61.61,62.98,1288
2019-01-31,62.97,64.11,62.79,63.91,2209
2019-02-01,63.72,63.85,62.35,63.07,1768
2019-02-04,62.77,63.43,62.32,63.41,849
2019-02-05,63.46,63.93,63.33,63.55,831
2019-02-06,63.56,63.67,63.13,63.51,664
2019-02-07,63.45,64.67,63.06,64.65,957
2019-02-08,64.54,65.23,64.54,65.01,1494
2019-02-11,65.02,65.46,64.83,64.98,1423
2019-02-12,67.15,67.8,64.66,65.58,2538
2019-02-13,64.1,65.63,64.1,65.06,2292
2019-02-14,65.12,65.57,64.92,64.99,2384
2019-02-15,65.0,65.68,65.0,65.54,1686
2019-02-19,65.51,66.22,65.38,66.02,1771
2019-02-20,65.91,66.46,65.5,66.19,1078
2019-02-21,66.07,66.94,65.51,66.78,1538
2019-02-22,67.05,67.45,66.62,67.41,1963
2019-02-25,67.34,67.55,66.85,67.21,1389
2019-02-26,67.47,67.76,66.9,67.32,2509
2019-02-27,67.12,68.25,66.92,67.96,2337
2019-02-28,67.91,68.83,67.74,68.54,2247
2019-03-01,68.66,69.32,68.01,69.05,1714
2019-03-04,69.12,69.73,68.54,69.49,1479
2019-03-05,69.35,69.66,68.83,68.85,2261
2019-03-06,68.87,69.7,68.76,69.2,2194
2019-03-07,69.46,69.85,69.22,69.63,2418
2019-03-08,69.68,70.3,69.39,70.17,1620
2019-03-11,70.28,70.66,70.01,70.55,2202
2019-03-12,70.57,70.97,70.39,70.88,1606
2019-03-13,70.87,71.02,70.42,70.65,2791
2019-03-14,70.27,70.72,69.89,70.23,1979
2019-03-15,70.29,70.86,69.78,70.74,4222
2019-03-18,70.84,70.84,70.01,70.32,2048
2019-03-19,70.14,70.31,69.46,69.82,2900
2019-03-20,69.36,70.82,69.36,69.77,3646
2019-03-21,69.77,70.69,69.66,70.44,2081
2019-03-22,70.6,71.64,70.52,70.65,4407
2019-03-25,70.83,71.26,70.44,71.22,1989
2019-03-26,71.34,71.77,71.02,71.3,1612
2019-03-27,71.4,71.4,70.52,70.9,1787
2019-03-28,70.93,71.27,69.83,70.11,1633
2019-03-29,70.22,70.59,69.83,70.41,2577
2019-04-01,70.41,70.53,69.75,70.43,2969
2019-04-02,70.89,70.89,69.92,70.65,3231
2019-04-03,70.66,70.87,69.91,70.35,2499
2019-04-04,70.49,70.7,69.7,70.09,3312
2019-04-05,70.2,70.75,69.97,70.7,1927
2019-04-08,70.55,70.55,69.91,69.95,1791
2019-04-09,70.0,70.24,69.65,69.76,2512
2019-04-10,69.95,70.92,69.61,69.67,2201
2019-04-11,69.67,70.08,69.65,69.93,3537
2019-04-12,69.8,69.85,69.2,69.66,2490
2019-04-15,69.82,70.0,69.38,69.53,1332
2019-04-16,69.56,69.73,68.8,69.14,1767
2019-04-17,69.18,69.19,68.52,68.62,1374
2019-04-18,68.79,68.84,68.18,68.24,1960
2019-04-22,68.03,68.4,67.38,67.56,1539
2019-04-23,67.75,68.14,67.43,68.09,6653
2019-04-24,68.71,69.13,67.77,68.77,3061
2019-04-25,68.62,68.97,68.25,68.53,2114
2019-04-26,68.99,69.59,68.99,69.04,1638
2019-04-29,68.94,69.15,68.37,68.47,1359
2019-04-30,68.57,70.01,68.38,69.85,1372
2019-05-01,69.71,70.05,68.98,68.98,1862
2019-05-02,68.82,69.54,68.53,69.34,1629
2019-05-03,69.46,70.89,69.21,70.76,1243
2019-05-06,70.53,71.02,70.47,70.91,1555
2019-05-07,70.91,71.17,70.57,70.86,1177
2019-05-08,70.74,70.78,69.44,69.52,1158
2019-05-09,69.57,70.02,69.23,69.7,1011
2019-05-10,69.68,70.79,69.6,70.79,1364
2019-05-13,70.57,72.09,70.57,72.01,1616
2019-05-14,71.99,72.12,71.21,71.31,1514
2019-05-15,71.39,71.8,70.74,71.26,906
2019-05-16,71.17,71.97,70.65,71.65,1562
2019-05-17,71.59,72.42,70.94,71.96,912
2019-05-20,71.89,72.22,71.5,71.74,897
2019-05-21,71.75,72.31,71.48,71.67,1149
2019-05-22,71.77,72.11,71.49,71.8,1095
2019-05-23,71.74,72.6,71.65,72.51,1743
2019-05-24,72.63,73.07,72.31,72.82,1191
2019-05-28,73.0,73.03,71.72,71.75,1034
2019-05-29,71.74,71.77,70.47,70.64,950
2019-05-30,70.57,70.99,69.79,70.37,1041
2019-05-31,70.35,71.09,70.16,70.94,1177
2019-06-03,71.39,71.97,70.71,71.86,1132
2019-06-04,71.83,71.83,70.2,71.68,645
2019-06-05,71.89,73.57,71.89,73.51,1060
2019-06-06,73.51,73.89,73.18,73.84,907
2019-06-07,74.2,74.47,73.19,73.19,777
