date,open,high,low,close,volume
2018-12-10,85.3,86.46,83.92,84.4,4316
2018-12-11,87.2,89.25,86.36,87.54,4418
2018-12-12,88.41,89.56,87.75,87.8,4118
2018-12-13,87.74,88.58,84.72,85.72,8129
2018-12-14,84.82,86.78,84.49,85.0,3754
2018-12-17,84.99,85.35,83.6,84.03,5671
2018-12-18,85.21,85.91,83.73,84.08,6045
2018-12-19,84.2,85.8,83.2,84.0,6560
2018-12-20,83.26,83.72,77.17,77.48,12758
2018-12-21,77.3,78.96,73.3,73.62,11582
2018-12-24,73.22,73.62,71.57,71.81,2972
2018-12-26,72.2,75.73,71.9,75.7,4375
2018-12-27,74.41,75.84,70.53,75.82,6257
2018-12-28,75.46,77.91,75.31,76.4,4344
2018-12-31,76.65,78.81,75.49,78.64,3648
2019-01-02,76.93,80.42,76.6,79.91,3481
2019-01-03,79.48,80.95,77.68,78.8,2549
2019-01-04,79.91,81.43,78.79,79.95,4567
2019-01-07,80.09,81.55,79.54,80.41,5027
2019-01-08,81.45,83.58,81.45,83.08,5112
2019-01-09,83.2,83.73,81.97,82.9,3975
2019-01-10,82.56,85.11,81.84,84.15,3988
2019-01-11,83.32,84.55,83.0,84.19,3886
2019-01-14,83.86,84.99,83.01,83.27,2905
2019-01-15,83.63,84.15,82.65,82.78,2567
2019-01-16,82.61,84.0,82.27,82.75,3215
2019-01-17,82.18,83.5,82.01,83.01,1960
2019-01-18,83.25,84.32,82.92,83.45,3253
2019-01-22,82.71,83.65,79.79,80.72,3783
2019-01-23,81.15,82.19,80.62,81.73,2142
2019-01-24,81.98,83.22,81.48,83.11,1610
2019-01-25,83.95,84.41,83.27,83.62,2594
2019-01-28,83.27,84.48,82.73,83.51,1661
2019-01-29,83.76,84.3,83.33,83.38,1853
2019-01-30,83.67,84.1,80.3,83.91,4174
2019-01-31,83.65,84.5,82.63,83.47,3391
2019-02-01,83.73,84.89,82.87,84.07,2062
2019-02-04,84.14,84.85,82.98,83.35,1643
2019-02-05,83.25,84.97,83.25,84.24,2469
2019-02-06,84.4,84.67,84.01,84.51,1800
2019-02-07,84.01,84.01,82.06,83.44,1648
2019-02-08,83.09,84.21,82.74,83.99,2402
2019-02-11,84.1,85.99,83.09,85.47,3858
2019-02-12,86.04,87.04,85.13,86.12,2176
2019-02-13,86.54,87.1,86.2,86.88,3793
2019-02-14,86.59,88.12,86.2,87.35,4003
2019-02-15,87.35,89.02,86.33,89.01,3054
2019-02-19,89.01,89.88,88.44,88.89,2908
2019-02-20,88.83,90.85,88.13,90.8,4663
2019-02-21,91.0,91.98,90.28,90.84,2666
2019-02-22,91.13,91.82,90.77,91.8,2380
2019-02-25,92.55,93.0,90.65,90.86,3741
2019-02-26,91.0,95.15,91.0,94.84,8888
2019-02-27,94.7,96.75,94.45,95.49,4995
2019-02-28,95.44,98.25,95.44,97.73,5800
2019-03-01,98.36,102.7,97.95,101.55,12862
2019-03-04,102.01,102.4,99.46,100.73,4804
2019-03-05,100.76,103.75,99.93,102.5,6540
2019-03-06,103.15,104.03,102.57,103.21,3778
2019-03-07,103.25,103.58,101.89,102.1,4152
2019-03-08,101.42,103.57,101.18,102.99,4400
2019-03-11,103.37,104.15,102.27,104.0,3543
2019-03-12,103.95,105.97,103.77,105.35,4673
2019-03-13,106.0,107.63,105.33,106.68,3887
2019-03-14,106.53,107.76,106.5,107.27,2567
2019-03-15,107.27,108.32,106.44,106.59,3604
2019-03-18,106.89,107.29,105.84,106.62,3255
2019-03-19,107.3,107.35,105.38,105.65,2613
2019-03-20,105.24,107.72,104.67,105.54,5425
2019-03-21,105.53,109.55,104.32,108.65,5732
2019-03-22,108.25,108.49,104.68,105.2,4104
2019-03-25,105.19,106.38,103.91,105.75,3312
2019-03-26,106.06,108.13,106.0,107.76,3240
2019-03-27,108.27,109.79,107.04,109.28,4325
2019-03-28,109.51,111.34,109.07,110.49,2461
2019-03-29,111.3,111.3,108.24,108.37,3741
2019-04-01,109.01,109.54,107.69,109.17,2144
2019-04-02,109.17,109.65,107.88,108.67,3079
2019-04-03,109.17,110.5,108.18,110.27,2951
2019-04-04,110.57,112.23,109.68,112.19,3311
2019-04-05,112.2,113.68,111.67,112.73,2902
2019-04-08,112.5,113.06,110.82,111.78,3716
2019-04-09,111.64,112.62,111.3,112.13,1541
2019-04-10,112.15,115.82,112.15,115.0,6226
2019-04-11,115.35,115.76,114.58,115.21,3288
2019-04-12,115.61,116.15,114.15,115.81,3009
2019-04-15,115.93,117.0,115.05,116.83,2094
2019-04-16,117.0,118.38,116.57,117.96,4929
2019-04-17,118.4,119.93,117.61,117.84,2255
2019-04-18,117.78,118.11,115.26,115.3,3223
2019-04-22,115.25,115.93,113.61,113.8,4470
2019-04-23,113.71,115.89,113.08,115.45,2433
2019-04-24,115.19,117.24,114.73,115.7,2709
2019-04-25,115.78,117.15,114.3,116.43,2050
2019-04-26,116.46,117.16,115.9,116.85,1729
2019-04-29,117.47,117.98,116.58,117.65,2267
2019-04-30,117.13,118.08,115.91,117.05,1426
2019-05-01,117.81,118.7,115.25,115.33,3282
2019-05-02,115.51,116.78,109.66,111.19,6779
2019-05-03,111.5,112.3,110.33,111.1,3291
2019-05-06,109.32,113.87,109.01,112.99,5117
2019-05-07,112.59,114.0,109.31,110.08,4535
2019-05-08,110.11,113.0,108.03,108.33,5017
2019-05-09,107.25,110.59,105.88,110.41,2920
2019-05-10,109.92,111.88,108.17,111.65,1965
2019-05-13,109.63,110.22,104.81,106.3,3580
2019-05-14,106.31,107.11,104.85,105.01,4091
2019-05-15,103.8,106.1,102.99,105.12,5218
2019-05-16,105.28,108.65,105.28,107.73,2142
2019-05-17,106.75,107.55,105.5,106.45,1879
2019-05-20,105.76,105.9,104.39,105.21,1208
2019-05-21,105.7,106.39,104.58,105.85,1848
2019-05-22,105.39,106.1,103.89,103.93,1434
2019-05-23,102.66,104.1,101.14,103.25,3496
2019-05-24,103.71,105.07,103.31,104.31,2220
2019-05-28,104.58,106.63,104.58,105.09,1846
2019-05-29,104.01,106.23,103.51,104.79,2389
2019-05-30,104.78,106.81,104.41,104.8,1445
2019-05-31,102.77,103.8,100.07,100.15,5032
2019-06-03,99.74,101.58,98.76,99.22,3393
2019-06-04,101.62,101.62,99.47,101.29,4644
2019-06-05,101.3,102.09,99.79,100.45,1995
2019-06-06,100.15,100.74,98.06,99.11,2618
2019-06-07,99.3,100.54,98.07,98.47,2755
2019-06-10,98.34,99.22,97.33,99.18,2730
2019-06-11,99.54,100.38,97.91,98.31,1907
2019-06-12,97.98,99.6,97.31,99.13,2685
2019-06-13,99.65,101.41,98.66,101.08,2699
2019-06-14,100.94,100.94,98.98,99.28,1372
2019-06-17,99.25,100.94,97.91,100.45,2976
2019-06-18,101.88,104.57,99.62,101.89,2100
2019-06-19,101.83,102.13,99.35,100.04,2153
2019-06-20,100.57,103.64,100.31,103.46,2821
2019-06-21,103.12,103.12,100.84,101.72,3315
2019-06-24,101.62,101.95,99.3,99.84,2073
2019-06-25,99.25,99.77,97.66,98.52,2603
2019-06-26,98.9,99.67,97.57,98.82,3721
2019-06-27,99.61,100.22,98.14,100.16,2133
2019-06-28,100.75,102.23,99.85,101.0,5369
2019-07-01,102.79,104.39,102.02,104.29,2899
2019-07-02,104.06,106.51,104.06,105.2,2352
2019-07-03,105.8,110.57,105.25,110.42,2146
2019-07-05,106.67,110.75,106.67,110.1,2293
2019-07-08,109.89,110.17,106.25,107.2,1944
2019-07-09,106.85,107.76,105.89,106.62,1644
2019-07-10,106.8,109.68,106.8,109.5,3138
2019-07-11,109.96,110.44,108.45,109.35,2286
2019-07-12,109.32,110.67,109.22,109.26,1949
2019-07-15,109.35,110.5,105.53,106.19,2277
2019-07-16,105.98,108.17,105.98,106.94,1447
2019-07-17,106.65,106.94,101.5,103.9,2101
2019-07-18,104.16,105.08,103.1,104.45,1380
2019-07-19,104.8,105.96,103.95,103.95,1559
2019-07-22,104.0,105.25,101.93,103.05,3284
2019-07-23,103.62,104.48,99.36,99.52,3235
2019-07-24,98.93,102.79,97.79,102.57,2009
2019-07-25,102.29,103.55,102.29,103.05,1751
2019-07-26,102.86,103.71,101.13,101.55,2029
2019-07-29,101.6,103.29,101.02,102.8,1681
2019-07-30,102.67,103.82,100.52,103.65,2761
2019-07-31,103.41,104.06,101.52,101.77,3328
2019-08-01,101.91,104.74,101.22,101.49,2345
2019-08-02,100.83,100.83,98.04,98.77,2082
2019-08-05,96.85,97.21,95.11,97.05,4825
2019-08-06,97.96,98.5,96.2,98.1,4687
2019-08-07,94.9,95.8,90.87,95.19,12139
2019-08-08,96.0,98.6,94.87,97.79,3225
2019-08-09,97.08,98.08,95.78,97.52,2455
2019-08-12,96.72,98.79,96.15,97.96,3916
2019-08-13,97.63,101.89,97.55,99.27,3832
2019-08-14,97.87,98.27,91.55,92.08,7128
2019-08-15,92.08,92.21,89.78,91.24,14761
2019-08-16,92.11,94.85,91.72,94.02,2924
2019-08-19,95.29,97.07,94.99,95.9,2717
2019-08-20,95.99,96.59,94.03,94.15,1735
2019-08-21,95.08,95.35,93.81,94.95,1586
2019-08-22,95.04,97.3,94.4,96.9,3338
2019-08-23,95.81,98.27,93.27,93.89,3135
2019-08-26,94.99,96.08,91.07,93.05,3669
2019-08-27,93.8,94.62,92.19,92.2,5593
2019-08-28,92.0,93.84,91.7,93.6,2888
2019-08-29,94.35,95.63,93.91,94.01,2172
2019-08-30,95.39,99.02,95.39,98.89,3539
2019-09-03,97.71,98.03,94.97,95.26,2853
2019-09-04,95.75,98.16,95.5,97.78,1742
2019-09-05,99.2,99.55,97.49,99.04,2335
2019-09-06,99.53,100.84,99.01,100.56,2523
2019-09-09,100.6,101.1,99.73,100.32,1973
2019-09-10,99.92,106.09,99.91,105.66,4891
2019-09-11,105.59,108.99,104.91,108.54,6457
2019-09-12,108.35,109.26,104.75,105.7,3916
2019-09-13,105.68,106.59,102.1,102.17,2262
2019-09-16,101.15,107.26,99.34,107.01,3673
2019-09-17,106.24,106.87,103.0,103.53,4401
2019-09-18,103.74,104.01,102.06,103.23,2397
2019-09-19,103.56,103.57,100.91,101.91,3960
2019-09-20,104.4,105.97,102.57,103.18,5004
2019-09-23,103.0,109.22,103.0,108.7,4637
2019-09-24,108.73,108.73,101.79,102.02,4829
2019-09-25,101.63,103.26,99.56,102.31,3053
