date,open,high,low,close,volume
2018-12-10,68.99,69.35,66.66,68.51,11229
2018-12-11,70.07,70.48,66.21,66.7,9539
2018-12-12,67.43,69.56,67.43,67.88,8073
2018-12-13,68.12,69.0,66.04,66.61,6037
2018-12-14,65.92,67.93,65.46,66.4,5560
2018-12-17,66.03,67.59,63.27,65.54,8279
2018-12-18,66.33,67.16,65.29,65.92,4600
2018-12-19,66.08,67.26,64.5,65.35,5365
2018-12-20,65.26,65.78,62.25,63.08,7040
2018-12-21,63.08,65.47,61.01,61.64,11680
2018-12-24,60.75,62.64,59.72,61.71,3577
2018-12-26,61.88,64.93,61.41,64.92,4871
2018-12-27,63.63,65.35,62.83,65.32,4382
2018-12-28,66.02,66.41,64.45,65.59,3740
2018-12-31,65.91,66.63,65.01,66.51,5458
2019-01-02,64.9,66.62,64.9,66.25,6378
2019-01-03,65.71,67.3,64.76,66.2,4331
2019-01-04,67.24,69.46,66.29,69.25,7177
2019-01-07,69.48,74.86,69.0,74.18,12854
2019-01-08,74.95,76.6,73.71,75.76,6243
2019-01-09,75.73,76.81,74.17,75.84,4920
2019-01-10,74.73,76.54,73.34,76.49,7062
2019-01-11,82.9,82.9,75.04,76.51,17291
2019-01-14,76.23,78.32,73.6,75.08,11768
2019-01-15,75.49,75.49,73.99,74.99,7253
2019-01-16,75.04,76.25,74.48,74.82,4195
2019-01-17,74.37,76.11,74.05,75.74,4921
2019-01-18,76.55,77.16,74.64,75.68,7391
2019-01-22,75.3,75.82,72.6,73.9,8963
2019-01-23,74.38,76.08,73.67,74.9,5816
2019-01-24,75.01,75.78,74.2,75.15,3516
2019-01-25,75.91,78.33,75.8,78.12,7554
2019-01-28,77.17,77.75,76.29,76.68,4811
2019-01-29,76.6,77.21,76.06,76.83,3239
2019-01-30,77.2,78.0,76.05,76.9,3584
2019-01-31,77.14,78.54,76.5,78.17,2786
2019-02-01,77.9,79.77,77.37,79.35,5903
2019-02-04,79.23,80.88,78.49,80.53,3595
2019-02-05,80.81,82.12,80.43,81.9,5090
2019-02-06,81.89,81.93,80.09,81.14,2705
2019-02-07,80.81,82.67,80.6,82.24,6101
2019-02-08,81.65,83.55,81.62,83.04,4499
2019-02-11,83.54,84.92,82.91,84.78,3420
2019-02-12,85.22,87.42,84.94,86.62,5095
2019-02-13,87.0,88.12,85.42,88.03,3485
2019-02-14,87.49,88.6,86.5,87.14,3626
2019-02-15,87.75,88.13,87.09,87.36,3137
2019-02-19,87.13,88.12,86.39,87.57,3660
2019-02-20,87.76,88.31,86.76,88.31,2742
2019-02-21,88.3,88.63,87.07,87.58,3282
2019-02-22,88.19,88.6,87.4,88.5,4106
2019-02-25,89.18,89.97,88.29,88.48,4402
2019-02-26,88.22,89.01,86.83,87.7,3019
2019-02-27,87.55,89.22,87.03,88.56,4981
2019-02-28,88.3,88.98,87.37,88.22,3504
2019-03-01,89.15,89.33,86.97,87.74,4472
2019-03-04,87.79,87.79,84.27,85.0,5438
2019-03-05,85.47,86.46,84.98,85.48,3110
2019-03-06,85.57,86.06,83.71,84.24,3474
2019-03-07,83.89,83.89,80.93,81.0,8682
2019-03-08,80.32,81.09,79.11,79.94,5871
2019-03-11,80.03,82.13,79.88,80.57,5333
2019-03-12,80.5,80.5,78.39,79.58,4934
2019-03-13,79.57,80.84,79.27,80.31,4859
2019-03-14,80.21,80.87,78.81,80.63,4712
2019-03-15,80.49,80.61,78.1,79.46,7711
2019-03-18,79.61,81.5,79.5,81.19,4448
2019-03-19,81.81,81.94,79.75,79.75,7085
2019-03-20,79.63,80.71,78.72,79.89,6625
2019-03-21,79.63,81.6,79.62,80.7,6064
2019-03-22,80.12,81.1,79.42,79.43,4728
2019-03-25,79.23,81.61,79.0,80.79,10135
2019-03-26,81.69,82.56,80.46,81.56,11601
2019-03-27,79.11,84.43,78.76,83.42,17343
2019-03-28,84.26,87.11,83.61,85.26,10557
2019-03-29,85.89,86.35,83.95,85.33,6461
2019-04-01,85.95,86.76,84.87,86.2,6985
2019-04-02,85.87,87.0,84.04,84.78,5378
2019-04-03,85.34,86.27,84.68,85.44,4724
2019-04-04,85.48,89.81,84.6,87.68,13412
2019-04-05,88.09,89.85,87.59,89.69,9157
2019-04-08,90.0,90.0,88.7,89.39,5477
2019-04-09,89.29,89.91,88.33,89.54,5717
2019-04-10,90.0,90.59,89.31,90.42,5964
2019-04-11,90.65,90.72,89.92,90.6,10952
2019-04-12,91.0,91.54,90.56,90.64,7686
2019-04-15,91.16,93.26,91.06,93.2,7880
2019-04-16,93.85,94.55,93.04,93.5,5638
2019-04-17,94.07,94.69,91.95,92.72,4653
2019-04-18,92.87,94.16,92.38,92.77,4471
2019-04-22,92.71,93.48,91.48,92.17,4442
2019-04-23,92.47,94.71,92.01,94.57,4515
2019-04-24,94.71,97.98,94.71,97.21,11630
2019-04-25,96.79,97.35,95.05,95.17,8242
2019-04-26,94.77,96.13,92.81,96.05,3430
2019-04-29,96.12,96.64,95.5,96.26,3793
2019-04-30,96.44,96.5,94.43,95.64,5143
2019-05-01,96.08,96.35,94.31,94.89,6068
2019-05-02,94.47,95.97,94.13,95.43,5457
2019-05-03,95.83,96.49,94.89,96.25,4844
2019-05-06,94.87,97.29,94.5,96.91,5649
2019-05-07,96.38,97.96,95.87,96.8,6878
2019-05-08,96.75,99.11,96.21,98.44,4754
2019-05-09,97.76,99.42,97.5,98.75,6140
2019-05-10,98.89,101.18,97.71,100.71,5783
2019-05-13,98.99,99.15,96.59,97.25,4938
2019-05-14,98.25,99.66,96.87,99.26,4128
2019-05-15,98.45,98.51,95.76,97.53,5539
2019-05-16,97.78,99.38,97.61,98.47,5523
2019-05-17,98.0,99.97,97.5,98.87,5501
2019-05-20,98.01,100.21,97.82,99.81,2859
2019-05-21,99.86,100.76,98.62,100.36,3432
2019-05-22,100.17,101.09,99.4,99.85,2806
2019-05-23,99.57,101.0,98.78,99.6,4011
2019-05-24,100.28,102.19,99.79,101.43,3280
2019-05-28,101.51,103.03,99.93,100.13,4176
2019-05-29,99.65,99.65,96.86,97.03,4060
2019-05-30,97.53,99.8,97.22,99.01,3666
2019-05-31,98.38,99.61,97.12,98.72,4742
2019-06-03,98.71,99.81,95.31,95.98,6291
2019-06-04,96.67,96.94,94.18,96.72,9620
2019-06-05,97.13,97.39,94.75,96.45,6216
2019-06-06,96.95,98.47,95.85,97.58,7621
2019-06-07,95.52,96.7,91.51,95.06,13604
2019-06-10,95.28,97.99,94.75,96.58,6859
2019-06-11,96.99,98.93,95.44,96.0,5865
2019-06-12,96.35,96.35,93.59,93.9,7068
2019-06-13,94.59,95.48,93.71,93.89,6645
2019-06-14,93.0,94.18,91.82,91.83,5443
2019-06-17,90.53,93.34,90.12,92.27,6250
2019-06-18,92.22,94.09,91.95,92.02,4316
2019-06-19,92.25,92.25,90.67,91.45,4939
2019-06-20,92.47,93.06,91.76,92.49,5278
2019-06-21,92.17,93.96,92.17,93.08,5796
2019-06-24,92.8,92.8,88.36,88.5,6061
2019-06-25,88.28,88.66,84.83,86.55,9070
2019-06-26,86.89,87.9,85.04,87.27,8012
2019-06-27,87.53,88.71,87.27,87.93,8810
2019-06-28,87.88,89.34,86.99,87.11,9721
2019-07-01,88.0,89.08,85.15,85.97,8585
2019-07-02,85.8,86.13,84.11,84.25,6759
2019-07-03,84.25,84.96,83.75,84.06,3848
2019-07-05,83.41,84.88,83.33,84.74,4510
2019-07-08,84.57,84.82,83.58,84.16,5432
2019-07-09,83.75,84.1,83.35,83.45,6036
2019-07-10,83.61,84.01,82.51,82.78,5210
2019-07-11,82.72,84.19,82.51,83.99,7218
2019-07-12,85.11,88.45,85.01,88.15,7452
2019-07-15,88.53,88.85,85.25,86.47,5712
2019-07-16,86.73,88.57,86.55,87.91,3446
2019-07-17,87.9,88.04,86.26,86.53,4599
2019-07-18,85.64,86.96,85.36,86.59,3447
