date,open,high,low,close,volume
2018-12-10,20.13,20.68,19.94,20.32,22788
2018-12-11,20.88,21.52,20.67,20.99,22012
2018-12-12,21.37,21.49,20.94,20.96,15025
2018-12-13,20.99,21.23,20.46,20.53,16932
2018-12-14,20.24,20.42,19.82,20.02,20753
2018-12-17,19.9,20.92,19.58,19.71,24009
2018-12-18,19.94,20.18,19.54,19.57,29329
2018-12-19,19.59,20.17,19.23,19.39,14397
2018-12-20,19.19,19.73,19.01,19.05,16628
2018-12-21,19.03,19.37,18.63,18.68,38056
2018-12-24,18.49,18.65,18.06,18.09,8798
2018-12-26,18.16,19.49,17.87,19.46,15054
2018-12-27,19.1,19.78,18.85,19.78,13303
2018-12-28,19.78,20.01,19.43,19.52,11866
2018-12-31,19.68,20.14,19.64,20.11,15120
2019-01-02,19.73,20.96,19.61,20.68,19440
2019-01-03,20.54,20.64,19.99,20.1,11469
2019-01-04,20.56,21.61,20.56,21.39,12906
2019-01-07,21.33,21.76,20.91,21.46,26805
2019-01-08,21.78,22.38,21.54,21.74,20833
2019-01-09,21.96,22.48,21.74,22.24,26018
2019-01-10,22.04,22.84,21.93,22.68,17990
2019-01-11,22.73,23.15,22.64,22.89,24136
2019-01-14,22.71,22.84,22.11,22.19,14675
2019-01-15,22.11,22.31,21.48,21.68,13234
2019-01-16,21.96,23.16,21.96,22.75,32522
2019-01-17,22.57,23.14,22.52,23.06,9260
2019-01-18,23.21,23.69,23.07,23.59,10681
2019-01-22,23.39,23.42,22.66,23.1,18623
2019-01-23,23.27,23.41,22.55,23.0,26385
2019-01-24,22.94,23.26,22.85,23.08,8494
2019-01-25,23.38,23.78,23.36,23.73,8340
2019-01-28,23.45,23.59,23.09,23.49,13674
2019-01-29,23.39,24.23,23.31,23.9,15075
2019-01-30,23.5,24.39,23.33,24.1,20078
2019-01-31,23.58,23.84,23.31,23.61,20103
2019-02-01,23.46,24.24,23.38,24.2,15450
2019-02-04,24.16,24.4,23.87,24.06,20948
2019-02-05,25.37,26.24,24.75,26.16,51931
2019-02-06,26.12,26.32,25.26,25.28,24520
2019-02-07,25.2,25.49,24.46,24.73,21190
2019-02-08,24.35,24.68,24.21,24.57,16707
2019-02-11,24.59,24.91,24.48,24.8,16983
2019-02-12,25.13,25.77,25.03,25.55,25898
2019-02-13,25.78,26.22,25.56,25.76,25656
2019-02-14,25.62,25.82,25.31,25.51,14432
2019-02-15,25.81,26.39,25.71,26.38,17512
2019-02-19,26.1,26.66,25.86,26.51,13926
2019-02-20,26.46,27.22,26.23,27.12,18721
2019-02-21,27.12,27.32,26.19,26.29,13173
2019-02-22,26.5,26.69,26.07,26.33,12972
2019-02-25,26.42,26.61,26.17,26.36,8875
2019-02-26,26.26,26.6,26.03,26.05,14092
2019-02-27,25.9,26.26,25.6,26.18,15576
2019-02-28,26.04,26.15,25.81,25.86,30520
2019-03-01,26.02,26.18,24.84,25.01,34875
2019-03-04,25.23,25.43,24.36,24.69,29979
2019-03-05,24.61,24.87,23.97,24.1,25814
2019-03-06,24.25,24.88,24.25,24.33,15169
2019-03-07,24.25,24.35,23.58,24.29,13238
2019-03-08,24.06,24.18,23.52,23.97,11786
2019-03-11,24.05,24.46,23.78,24.23,12263
2019-03-12,24.29,24.38,23.71,23.8,15694
2019-03-13,23.93,24.19,23.73,23.95,12443
2019-03-14,23.85,23.95,23.34,23.37,9191
2019-03-15,23.49,23.8,23.12,23.24,12591
2019-03-18,23.36,23.76,23.01,23.68,8242
2019-03-19,23.88,23.99,23.1,23.22,8936
2019-03-20,23.19,23.26,22.74,22.97,10591
2019-03-21,22.75,23.62,22.73,23.49,11372
2019-03-22,23.22,23.37,22.48,22.53,14470
2019-03-25,22.5,22.59,21.98,21.99,12233
2019-03-26,22.36,23.34,21.9,23.25,49247
2019-03-27,23.27,23.74,23.23,23.26,30073
2019-03-28,23.24,23.5,23.15,23.36,15930
2019-03-29,23.39,23.69,22.89,23.14,33181
2019-04-01,23.46,23.86,23.33,23.64,27328
2019-04-02,23.72,23.81,23.17,23.35,33381
2019-04-03,23.62,24.33,23.5,24.04,31925
2019-04-04,24.16,24.69,24.0,24.51,13781
2019-04-05,24.71,25.0,24.34,24.66,11365
2019-04-08,24.75,25.0,24.56,24.92,19275
2019-04-09,24.75,24.79,24.14,24.2,10732
2019-04-10,24.3,24.47,23.95,24.19,14126
2019-04-11,24.13,24.49,24.06,24.33,17780
2019-04-12,24.65,25.16,24.53,24.83,9912
2019-04-15,25.13,25.35,24.9,25.2,13641
2019-04-16,25.15,25.19,24.8,25.02,13862
2019-04-17,25.18,25.26,24.8,24.81,8553
2019-04-18,24.86,24.91,24.27,24.34,16067
2019-04-22,24.27,24.41,23.88,23.91,10466
2019-04-23,23.88,24.16,23.55,23.89,15743
2019-04-24,23.8,23.9,23.09,23.09,13654
2019-04-25,23.09,23.09,22.56,22.56,11012
2019-04-26,22.56,22.86,22.3,22.76,11294
2019-04-29,22.76,22.86,22.26,22.46,12679
2019-04-30,22.5,22.56,21.64,21.69,19209
2019-05-01,21.64,21.87,20.88,21.12,31850
2019-05-02,20.73,20.98,20.52,20.64,19791
2019-05-03,20.79,21.36,20.76,21.34,15076
2019-05-06,20.96,21.26,20.64,20.93,19252
2019-05-07,20.71,21.1,20.42,21.0,25135
2019-05-08,20.94,21.08,20.43,20.7,22916
2019-05-09,20.29,21.39,19.83,20.92,50410
2019-05-10,20.92,21.44,20.7,21.23,23516
2019-05-13,20.9,20.9,20.12,20.3,28109
2019-05-14,20.45,21.13,20.3,20.89,20668
2019-05-15,20.68,21.34,20.65,21.22,26574
2019-05-16,21.63,22.27,21.45,22.14,46528
2019-05-17,21.87,22.34,21.66,21.78,26732
2019-05-20,21.5,22.27,21.35,22.05,26512
2019-05-21,22.15,22.77,22.15,22.73,34461
2019-05-22,22.63,22.7,22.31,22.33,27111
2019-05-23,21.84,21.96,21.43,21.49,22458
2019-05-24,21.77,22.1,20.94,21.1,24406
2019-05-28,21.09,21.26,20.62,20.98,12692
2019-05-29,20.64,20.85,20.23,20.7,22069
2019-05-30,20.6,20.77,20.16,20.29,16930
2019-05-31,19.93,20.0,19.56,19.61,18325
2019-06-03,19.69,20.67,19.69,20.66,21536
2019-06-04,20.93,22.18,20.93,22.16,25949
2019-06-05,22.16,22.28,21.66,22.05,16701
2019-06-06,21.95,22.26,21.74,22.16,15145
2019-06-07,22.32,22.66,22.08,22.15,21512
2019-06-10,22.37,22.72,22.11,22.23,13602
2019-06-11,22.62,22.91,22.06,22.2,14138
2019-06-12,22.11,22.42,21.96,22.06,12052
2019-06-13,22.19,22.54,22.08,22.48,7646
2019-06-14,22.33,22.34,21.85,21.88,11172
2019-06-17,21.76,22.07,21.53,21.7,10078
2019-06-18,21.95,22.47,21.79,21.85,18741
2019-06-19,21.89,21.91,20.5,20.59,35894
2019-06-20,20.98,21.05,20.43,20.98,24752
2019-06-21,20.86,22.12,20.83,21.62,31457
2019-06-24,21.78,21.96,21.47,21.47,10717
2019-06-25,21.34,21.69,20.96,21.4,18282
2019-06-26,21.53,22.08,21.44,21.52,17150
2019-06-27,21.7,21.97,21.52,21.75,15823
2019-06-28,21.97,22.06,21.68,21.91,13556
2019-07-01,22.05,22.12,21.39,21.74,18032
2019-07-02,21.47,21.52,20.78,21.03,17740
2019-07-03,20.98,21.43,20.81,21.38,7353
2019-07-05,21.13,21.85,21.13,21.74,11087
2019-07-08,21.7,21.74,21.08,21.33,13481
2019-07-09,21.09,21.26,20.84,20.89,12011
2019-07-10,20.84,21.19,20.38,20.79,21459
2019-07-11,20.71,20.81,20.12,20.66,19352
2019-07-12,20.81,21.54,20.76,21.51,15306
2019-07-15,21.51,21.62,21.08,21.19,9747
2019-07-16,21.19,22.03,21.15,21.77,15112
2019-07-17,21.81,21.89,21.21,21.31,11648
2019-07-18,21.19,21.55,21.06,21.42,9435
2019-07-19,21.1,21.43,21.08,21.15,14385
