date,open,high,low,close,volume
2020-01-31,18.0,22.95,17.52,22.07,76989
2020-02-03,22.51,25.21,21.66,22.8,34508
2020-02-04,23.44,24.66,22.73,23.79,17821
2020-02-05,24.33,24.86,23.7,24.14,12385
2020-02-06,24.0,26.0,24.0,25.0,21446
2020-02-07,25.38,27.89,25.03,26.69,13438
2020-02-10,27.54,28.58,24.75,25.19,16955
2020-02-11,25.5,25.73,23.56,24.71,10774
2020-02-12,24.81,25.25,23.8,23.86,15093
2020-02-13,23.74,24.28,20.24,20.69,28932
2020-02-14,21.16,22.73,21.16,22.55,9139
2020-02-18,22.89,23.35,22.31,23.04,4786
2020-02-19,23.18,25.44,23.02,25.0,10205
2020-02-20,24.96,24.97,22.63,24.49,6609
2020-02-21,24.43,24.49,23.47,24.0,2658
2020-02-24,23.17,23.99,22.24,22.29,5103
2020-02-25,23.05,23.84,21.51,23.64,8560
2020-02-26,23.85,24.0,22.62,22.98,6091
2020-02-27,23.0,23.25,21.76,22.45,6383
2020-02-28,22.11,22.83,21.04,21.62,4810
2020-03-02,21.71,22.6,19.64,20.42,8959
2020-03-03,20.46,20.85,19.72,20.08,8226
2020-03-04,20.48,21.76,20.3,21.47,5191
2020-03-05,21.5,24.17,21.01,23.95,9962
2020-03-06,24.06,24.35,22.5,23.6,7821
2020-03-09,21.95,22.88,21.43,22.3,3720
2020-03-10,22.89,25.71,22.11,25.64,11351
2020-03-11,26.31,27.7,23.29,24.3,9991
2020-03-12,22.4,23.65,18.02,19.1,8644
2020-03-13,20.7,21.85,16.16,21.3,12000
2020-03-16,18.06,22.75,17.18,20.51,10315
2020-03-17,20.96,22.48,19.66,21.35,9489
2020-03-18,20.31,21.65,16.21,17.71,12662
2020-03-19,17.3,18.42,15.0,16.51,18679
2020-03-20,16.86,21.88,16.81,19.49,23181
2020-03-23,20.09,20.45,18.6,20.12,10511
2020-03-24,20.83,21.9,19.38,19.91,8044
2020-03-25,19.78,20.03,18.63,19.26,8393
2020-03-26,19.33,19.85,18.26,19.3,6583
2020-03-27,18.52,18.99,17.37,17.54,6049
2020-03-30,17.87,18.19,17.37,17.89,6740
2020-03-31,17.71,18.96,17.68,18.15,6862
2020-04-01,18.8,18.8,16.69,17.93,7465
2020-04-02,17.61,18.5,17.07,17.92,4405
2020-04-03,17.58,18.9,17.17,18.59,2867
2020-04-06,19.01,20.3,18.43,20.14,6791
2020-04-07,20.57,21.11,18.75,19.11,5585
2020-04-08,19.2,19.69,18.3,18.44,4262
2020-04-09,18.52,18.91,17.81,18.7,3864
2020-04-13,18.5,18.77,17.65,18.23,2963
2020-04-14,18.5,20.33,18.5,20.0,4693
2020-04-15,18.99,21.09,18.59,20.55,7200
2020-04-16,20.8,21.07,19.39,20.35,3002
2020-04-17,20.66,22.52,20.17,22.4,4410
2020-04-20,22.46,27.78,22.13,25.27,15044
2020-04-21,24.4,25.82,22.73,23.57,5083
2020-04-22,24.07,24.75,23.01,23.75,2670
2020-04-23,23.91,25.9,23.32,25.74,8302
2020-04-24,25.79,26.4,24.71,25.21,4261
2020-04-27,25.29,25.85,24.51,24.59,3115
2020-04-28,24.98,26.44,24.55,25.43,5830
