date,open,high,low,close,volume
2018-12-10,49.05,49.99,48.66,49.98,698
2018-12-11,50.05,51.1,49.92,51.02,560
2018-12-12,51.11,51.88,51.11,51.58,456
2018-12-13,51.59,51.65,50.75,51.21,410
2018-12-14,51.0,51.1,50.42,50.67,396
2018-12-17,50.69,51.08,49.55,49.78,544
2018-12-18,49.77,50.33,49.34,49.56,603
2018-12-19,49.78,50.15,48.83,49.02,496
2018-12-20,49.01,50.27,48.47,49.76,613
2018-12-21,49.76,51.08,49.48,49.8,1208
2018-12-24,50.06,50.85,47.54,47.57,380
2018-12-26,47.79,49.0,46.9,48.39,475
2018-12-27,48.03,48.49,46.26,48.38,647
2018-12-28,48.39,49.94,47.99,49.53,578
2018-12-31,50.01,50.58,48.02,49.64,480
2019-01-02,49.33,49.33,47.49,47.82,764
2019-01-03,47.81,48.02,47.17,47.39,294
2019-01-04,47.74,48.79,47.24,48.64,430
2019-01-07,48.58,48.59,47.0,47.27,484
2019-01-08,47.67,48.73,47.34,48.64,246
2019-01-09,48.8,48.88,47.59,47.62,525
2019-01-10,47.7,48.44,47.59,48.32,276
2019-01-11,48.23,48.27,47.38,47.49,293
2019-01-14,47.35,47.41,45.94,46.54,531
2019-01-15,46.62,47.51,46.0,47.37,386
2019-01-16,47.38,48.03,47.25,47.93,403
2019-01-17,47.94,48.28,47.8,48.17,250
2019-01-18,48.1,48.5,48.0,48.37,364
2019-01-22,48.38,48.55,47.67,48.21,375
2019-01-23,48.21,48.45,47.9,48.06,649
2019-01-24,48.09,48.49,47.93,48.48,416
2019-01-25,48.47,48.55,47.44,47.48,283
2019-01-28,47.42,47.66,46.63,47.0,469
2019-01-29,47.08,47.72,47.05,47.2,382
2019-01-30,47.31,47.68,47.18,47.49,399
2019-01-31,47.5,48.55,47.13,48.45,680
2019-02-01,48.44,48.44,47.69,48.14,265
2019-02-04,48.15,48.75,47.82,48.72,204
2019-02-05,48.94,49.12,47.86,48.23,940
2019-02-06,48.34,48.34,47.75,47.83,641
2019-02-07,47.75,49.16,47.75,49.1,273
2019-02-08,49.1,49.93,49.1,49.89,570
2019-02-11,49.9,50.19,47.62,50.02,1284
2019-02-12,50.19,50.6,49.43,49.85,356
2019-02-13,49.85,49.95,49.3,49.53,234
2019-02-14,49.38,49.61,49.02,49.11,403
2019-02-15,49.37,50.23,49.37,50.23,511
2019-02-19,50.23,50.61,48.36,50.49,817
2019-02-20,50.49,50.49,49.44,49.68,344
2019-02-21,49.66,50.12,49.22,49.95,421
2019-02-22,50.07,50.07,49.52,49.94,254
2019-02-25,50.0,50.37,50.0,50.03,426
2019-02-26,50.12,50.21,49.67,49.7,453
2019-02-27,49.61,49.95,49.51,49.94,259
2019-02-28,49.93,50.43,49.79,50.28,236
2019-03-01,50.19,50.63,49.82,50.63,250
2019-03-04,50.68,50.95,50.32,50.91,323
2019-03-05,50.98,50.98,50.19,50.21,289
2019-03-06,50.28,50.74,50.01,50.06,468
2019-03-07,50.21,50.71,50.14,50.2,478
2019-03-08,50.29,50.55,50.08,50.43,312
2019-03-11,50.61,51.63,50.44,51.54,533
2019-03-12,51.65,51.7,50.93,51.05,266
2019-03-13,50.97,51.17,50.6,50.74,267
2019-03-14,50.65,50.91,50.34,50.41,336
2019-03-15,50.43,50.92,50.0,50.13,1360
2019-03-18,50.27,50.73,49.75,50.15,451
2019-03-19,50.15,50.17,48.83,49.11,370
2019-03-20,49.05,49.6,48.69,49.01,413
2019-03-21,48.89,49.89,48.89,49.19,335
2019-03-22,49.2,49.74,48.56,48.58,587
2019-03-25,48.59,49.23,48.2,48.91,286
2019-03-26,48.92,49.86,48.52,49.85,434
2019-03-27,49.79,50.42,49.32,50.29,512
2019-03-28,50.43,50.55,49.42,49.84,444
2019-03-29,49.94,50.13,49.5,49.82,603
2019-04-01,49.94,49.94,49.27,49.6,241
2019-04-02,49.65,49.65,48.72,48.88,418
2019-04-03,48.95,49.22,48.48,48.8,343
2019-04-04,48.83,49.3,48.62,49.18,300
2019-04-05,49.19,50.22,49.19,50.18,321
2019-04-08,50.04,50.04,49.42,49.75,213
2019-04-09,49.61,49.98,49.48,49.73,312
