date,open,high,low,close,volume
2018-12-10,0.75,0.84,0.7,0.84,56
2018-12-11,0.71,0.85,0.7,0.83,259
2018-12-12,0.8,0.85,0.8,0.83,79
2018-12-13,0.85,0.85,0.75,0.81,109
2018-12-14,0.85,0.86,0.75,0.81,54
2018-12-17,0.89,0.89,0.72,0.72,123
2018-12-18,0.72,0.75,0.7,0.75,422
2018-12-19,0.85,0.85,0.7,0.71,51
2018-12-20,0.66,0.71,0.61,0.62,230
2018-12-21,0.68,0.71,0.58,0.59,69
2018-12-24,0.61,0.65,0.54,0.54,219
2018-12-26,0.54,0.62,0.51,0.57,157
2018-12-27,0.62,0.69,0.55,0.66,69
2018-12-28,0.62,0.75,0.61,0.62,156
2018-12-31,0.56,0.67,0.56,0.63,211
2019-01-02,0.67,0.8,0.65,0.79,254
2019-01-03,0.79,0.82,0.79,0.81,70
2019-01-04,0.8,0.8,0.79,0.8,44
2019-01-07,0.88,1.01,0.88,1.0,355
2019-01-08,1.05,1.05,1.03,1.05,34
2019-01-09,0.93,1.0,0.92,0.995,29
2019-01-10,0.995,0.995,0.995,0.995,0
2019-01-11,1.0,1.0,1.0,1.0,6
2019-01-14,1.05,1.14,1.05,1.095,148
2019-01-15,1.08,1.08,1.05,1.05,29
2019-01-16,1.05,1.05,1.02,1.02,4
2019-01-17,0.87,1.05,0.87,1.0,128
2019-01-18,0.95,1.05,0.95,1.0,42
2019-01-22,1.14,1.14,0.92,1.0,322
2019-01-23,0.95,1.05,0.95,1.015,74
2019-01-24,1.0,1.0,1.0,1.0,1
2019-01-25,1.06,1.17,1.0,1.0,10
2019-01-28,1.03,1.1,1.02,1.02,8
2019-01-29,1.0,1.01,0.96,0.96,208
2019-01-30,1.0,1.07,1.0,1.07,6
2019-01-31,1.1,1.1,0.98,0.98,158
2019-02-01,1.0,1.0,1.0,1.0,6
2019-02-04,1.0,1.06,1.0,1.0,6
2019-02-05,1.0,1.05,1.0,1.0,9
2019-02-06,1.0,1.0,1.0,1.0,0
2019-02-07,1.04,1.04,1.03,1.04,1
2019-02-08,0.87,0.98,0.87,0.98,26
2019-02-11,0.9,1.01,0.9,1.01,48
2019-02-12,0.99,1.1,0.99,1.1,111
2019-02-13,1.13,1.25,1.07,1.16,131
2019-02-14,1.15,1.45,1.15,1.4,394
2019-02-15,1.6,1.69,1.03,1.1,832
2019-02-19,1.14,1.14,0.94,1.0,198
2019-02-20,1.04,1.06,1.01,1.02,131
2019-02-21,1.02,1.04,0.93,1.0,93
2019-02-22,1.02,1.02,1.02,1.02,2
2019-02-25,0.94,0.99,0.87,0.985,68
2019-02-26,0.95,0.99,0.95,0.96,69
2019-02-27,0.99,0.99,0.95,0.955,114
2019-02-28,0.97,0.97,0.93,0.93,16
2019-03-01,0.95,0.96,0.94,0.95,31
2019-03-04,0.9,0.96,0.9,0.9,60
2019-03-05,0.9,0.9,0.85,0.86,16
2019-03-06,0.89,0.9,0.88,0.89,70
2019-03-07,0.9,0.93,0.85,0.85,64
2019-03-08,0.9,1.0,0.86,1.0,293
2019-03-11,1.0,1.0,0.86,0.95,312
2019-03-12,0.97,0.98,0.97,0.97,15
2019-03-13,0.87,0.98,0.86,0.955,35
2019-03-14,0.99,2.93,0.97,1.48,80503
2019-03-15,1.25,1.35,1.13,1.25,3175
2019-03-18,1.2,1.27,1.09,1.19,1258
2019-03-19,1.15,1.15,1.03,1.09,958
2019-03-20,1.07,1.08,0.9,0.93,963
2019-03-21,0.94,0.96,0.92,0.93,175
2019-03-22,0.98,0.98,0.94,0.95,269
2019-03-25,0.87,1.15,0.87,0.955,1941
2019-03-26,0.95,1.37,0.94,1.17,4457
2019-03-27,1.17,1.45,1.13,1.18,2966
2019-03-28,1.17,1.27,1.1,1.1,483
2019-03-29,1.14,1.15,1.1,1.1,210
2019-04-01,1.1,1.27,1.1,1.14,188
2019-04-02,1.17,1.6,1.14,1.38,3169
2019-04-03,1.39,1.55,1.37,1.45,1039
2019-04-04,1.42,1.52,1.31,1.33,300
2019-04-05,1.25,1.38,1.24,1.31,309
2019-04-08,1.34,1.4,1.31,1.37,238
2019-04-09,1.37,1.42,1.37,1.4,200
2019-04-10,1.43,1.57,1.43,1.47,110
2019-04-11,1.46,1.5,1.3,1.3,157
2019-04-12,1.48,1.49,1.26,1.26,48
2019-04-15,1.29,1.39,1.16,1.28,449
2019-04-16,1.3,1.34,1.2,1.26,424
2019-04-17,1.28,1.28,1.23,1.28,11
2019-04-18,1.29,1.29,1.15,1.28,156
2019-04-22,1.15,1.24,1.06,1.12,311
2019-04-23,1.13,1.27,1.13,1.15,98
2019-04-24,1.17,1.21,1.13,1.17,104
2019-04-25,1.15,1.17,1.05,1.05,12
2019-04-26,1.05,1.12,1.05,1.11,81
2019-04-29,1.11,1.11,1.05,1.05,149
2019-04-30,1.08,1.36,1.03,1.36,865
2019-05-01,1.31,1.32,1.12,1.21,166
2019-05-02,1.24,1.29,1.21,1.29,127
2019-05-03,1.28,1.28,1.11,1.21,109
2019-05-06,1.24,1.24,1.15,1.15,25
2019-05-07,1.15,1.23,1.15,1.22,22
2019-05-08,1.22,1.22,1.15,1.22,33
2019-05-09,1.16,1.17,1.16,1.165,2
2019-05-10,1.16,1.23,1.15,1.16,12
2019-05-13,1.21,1.23,1.16,1.17,58
2019-05-14,1.19,1.22,1.16,1.165,21
2019-05-15,1.17,1.2,1.16,1.18,134
2019-05-16,1.2,1.24,1.2,1.2,93
2019-05-17,1.2,1.3,1.2,1.25,63
2019-05-20,1.2,1.24,1.2,1.23,59
2019-05-21,1.19,1.19,1.16,1.16,33
2019-05-22,1.14,1.15,1.1,1.11,79
2019-05-23,1.1,1.16,1.1,1.15,7
2019-05-24,1.11,1.11,1.1,1.105,2
2019-05-28,1.13,1.17,1.12,1.165,2
2019-05-29,1.15,1.17,1.15,1.16,3
2019-05-30,1.12,1.25,1.12,1.21,18
2019-05-31,1.1,1.1,1.1,1.1,1
2019-06-03,1.1,1.14,1.1,1.14,14
2019-06-04,1.11,1.11,1.11,1.11,1
2019-06-05,1.02,1.11,1.01,1.02,60
2019-06-06,1.1,1.1,1.05,1.05,17
2019-06-07,1.1,1.14,1.1,1.135,30
2019-06-10,1.1,1.11,1.1,1.1,1
2019-06-11,1.11,1.65,1.11,1.37,2721
2019-06-12,1.38,1.4,1.15,1.27,287
2019-06-13,1.35,1.35,1.1,1.21,57
2019-06-14,1.2,1.25,1.2,1.24,55
2019-06-17,1.21,1.21,1.12,1.12,42
2019-06-18,1.14,1.19,1.08,1.17,84
2019-06-19,1.16,1.21,1.16,1.18,6
2019-06-20,1.1,1.11,1.05,1.05,10
2019-06-21,1.1,1.13,1.07,1.08,38
2019-06-24,1.1,1.1,0.95,0.955,60
