date,open,high,low,close,volume
2018-12-10,71.38,72.01,69.37,70.68,434
2018-12-11,71.42,71.5,69.74,70.56,399
2018-12-12,71.76,72.49,71.1,71.11,334
2018-12-13,71.2,72.0,70.56,71.26,506
2018-12-14,70.51,73.03,70.51,70.86,558
2018-12-17,70.4,74.06,70.4,71.84,1081
2018-12-18,72.09,74.01,72.09,73.33,681
2018-12-19,75.82,78.2,74.29,77.56,1262
2018-12-20,77.75,81.49,77.75,80.81,1216
2018-12-21,80.47,82.33,78.98,81.03,1601
2018-12-24,80.33,82.63,80.33,81.22,230
2018-12-26,80.41,82.0,78.85,81.91,524
2018-12-27,81.2,83.92,81.2,83.82,505
2018-12-28,83.79,83.79,82.29,83.04,461
2018-12-31,83.0,83.0,81.27,81.55,432
2019-01-02,80.73,84.93,80.73,84.59,364
2019-01-03,84.13,84.49,81.92,82.89,443
2019-01-04,83.47,86.84,83.38,86.37,347
2019-01-07,88.07,90.0,85.76,87.59,849
2019-01-08,87.68,91.03,87.68,90.09,498
2019-01-09,90.2,92.9,89.52,90.06,540
2019-01-10,89.88,92.06,88.31,91.95,568
2019-01-11,91.81,92.7,89.46,91.62,367
2019-01-14,91.36,92.42,90.25,90.76,262
2019-01-15,91.06,93.48,90.68,93.13,214
2019-01-16,93.31,94.47,92.14,93.08,364
2019-01-17,93.21,93.21,91.19,92.24,354
2019-01-18,92.44,94.67,91.89,93.95,436
2019-01-22,93.86,93.86,89.13,89.87,723
2019-01-23,90.5,91.37,88.96,90.0,493
2019-01-24,90.54,91.34,88.59,88.98,421
2019-01-25,89.66,90.24,88.89,89.83,465
2019-01-28,89.47,89.47,88.1,88.94,262
2019-01-29,89.27,90.13,88.3,88.35,806
2019-01-30,89.54,89.96,86.13,87.84,761
2019-01-31,88.56,91.49,88.56,90.14,492
2019-02-01,89.76,90.98,89.07,89.85,358
2019-02-04,89.67,91.19,89.43,90.64,203
2019-02-05,91.3,92.94,90.38,92.41,290
2019-02-06,92.41,93.32,91.66,91.69,285
2019-02-07,91.21,91.75,89.9,91.08,204
2019-02-08,90.28,91.77,88.14,88.42,360
2019-02-11,88.3,88.35,86.13,87.9,608
2019-02-12,88.68,89.72,87.3,88.63,501
2019-02-13,88.61,88.61,86.34,87.04,403
2019-02-14,86.56,88.59,85.87,88.18,430
2019-02-15,88.13,88.31,86.35,88.2,372
2019-02-19,88.11,91.28,87.88,91.2,440
2019-02-20,91.68,93.29,91.2,91.76,506
2019-02-21,91.27,94.0,90.57,93.45,845
2019-02-22,94.5,98.62,93.56,97.49,777
2019-02-25,98.34,98.34,97.2,97.45,465
2019-02-26,97.66,98.48,97.2,97.86,479
2019-02-27,97.85,97.85,95.77,97.05,684
2019-02-28,97.12,97.12,92.53,93.25,555
2019-03-01,94.03,94.57,91.37,91.95,434
2019-03-04,92.1,93.12,91.45,92.67,329
2019-03-05,93.07,93.07,90.32,90.67,548
2019-03-06,90.13,90.83,88.38,90.23,611
2019-03-07,90.32,90.45,87.83,87.83,466
2019-03-08,87.69,88.94,85.58,88.19,607
2019-03-11,88.57,90.09,88.06,88.76,687
2019-03-12,88.89,89.56,87.6,87.7,461
2019-03-13,88.09,88.45,86.1,86.93,490
2019-03-14,86.87,87.23,85.02,86.96,403
2019-03-15,86.78,89.46,86.78,88.63,970
2019-03-18,89.07,90.08,88.94,89.88,242
2019-03-19,90.39,91.34,90.06,90.32,429
2019-03-20,90.46,92.83,89.78,91.75,582
2019-03-21,91.64,92.29,90.37,90.58,390
2019-03-22,90.31,90.31,87.4,88.05,462
2019-03-25,88.14,90.73,87.97,88.79,728
2019-03-26,89.4,90.29,88.57,89.41,277
2019-03-27,89.05,89.51,88.06,88.12,605
2019-03-28,88.12,88.64,86.89,88.01,489
2019-03-29,88.79,89.78,88.3,88.97,704
2019-04-01,89.82,91.65,89.23,90.69,509
2019-04-02,91.27,91.27,90.21,90.72,565
2019-04-03,90.72,94.21,90.72,92.96,960
2019-04-04,93.15,95.4,92.7,95.4,748
2019-04-05,95.05,98.46,94.95,98.07,644
2019-04-08,97.6,100.74,97.6,98.89,578
2019-04-09,98.9,101.27,98.32,100.6,561
2019-04-10,100.96,102.64,100.66,101.46,817
2019-04-11,101.1,101.96,99.67,101.04,698
2019-04-12,101.67,102.08,100.62,101.29,286
2019-04-15,101.81,103.15,100.81,101.17,402
2019-04-16,101.23,102.08,101.06,102.08,407
2019-04-17,102.21,103.76,102.0,103.68,454
2019-04-18,103.66,104.53,102.92,103.24,232
2019-04-22,102.39,103.98,102.39,103.13,910
2019-04-23,103.39,103.39,99.04,101.57,603
2019-04-24,101.71,102.31,100.32,102.04,498
2019-04-25,101.6,102.26,101.25,101.75,420
2019-04-26,101.06,101.78,100.03,100.91,324
2019-04-29,100.72,101.16,98.3,98.83,700
2019-04-30,99.11,101.81,98.19,101.37,606
2019-05-01,101.92,102.24,99.47,99.92,470
2019-05-02,99.93,100.16,99.06,99.15,210
2019-05-03,99.68,100.82,99.3,99.71,226
2019-05-06,98.01,99.08,97.65,98.88,215
2019-05-07,98.41,99.5,96.97,99.41,521
2019-05-08,100.33,100.49,97.92,98.15,487
2019-05-09,97.52,97.58,95.9,96.72,365
2019-05-10,96.93,99.35,95.42,98.7,196
2019-05-13,96.86,99.35,96.33,98.76,754
2019-05-14,99.43,99.95,97.79,99.14,275
2019-05-15,98.44,101.13,98.44,100.46,196
2019-05-16,100.12,101.2,99.85,100.03,367
2019-05-17,99.33,101.68,99.33,100.5,294
2019-05-20,100.1,102.34,100.1,101.88,184
2019-05-21,102.37,102.81,101.58,102.14,167
2019-05-22,102.44,103.71,102.26,102.91,200
2019-05-23,102.65,104.97,102.65,103.78,492
2019-05-24,104.83,104.83,102.03,102.19,165
2019-05-28,102.29,103.79,101.26,101.26,371
2019-05-29,99.8,100.63,98.5,100.37,458
2019-05-30,100.63,100.77,99.62,99.73,267
2019-05-31,96.44,97.88,95.59,97.88,283
2019-06-03,98.29,98.81,95.72,96.06,337
2019-06-04,96.65,97.9,95.58,97.34,366
2019-06-05,97.39,99.75,97.35,99.43,212
2019-06-06,99.46,100.02,97.37,99.54,268
2019-06-07,99.56,102.04,99.33,101.19,450
2019-06-10,101.51,106.0,101.51,104.64,249
2019-06-11,105.09,108.4,104.87,107.93,410
2019-06-12,107.89,108.7,105.83,105.83,229
2019-06-13,106.31,108.57,106.31,108.13,456
2019-06-14,107.62,107.62,103.99,105.57,256
2019-06-17,105.26,105.45,103.53,103.53,264
2019-06-18,104.79,107.45,104.39,105.36,333
2019-06-19,105.5,105.69,104.37,105.36,274
2019-06-20,106.86,108.89,106.86,108.5,301
2019-06-21,107.98,109.18,105.69,105.7,305
2019-06-24,105.73,107.95,105.73,107.95,148
2019-06-25,107.28,108.73,106.87,107.62,544
2019-06-26,107.92,108.9,107.92,108.36,193
2019-06-27,107.12,108.54,106.74,106.83,218
2019-06-28,107.69,107.69,103.86,104.31,477
2019-07-01,105.75,106.1,104.21,104.3,189
2019-07-02,104.3,106.73,104.3,106.03,257
2019-07-03,106.11,108.53,106.11,107.41,127
2019-07-05,107.02,107.76,106.42,107.72,134
2019-07-08,107.89,108.84,107.11,107.4,234
2019-07-09,107.25,108.84,105.86,107.28,259
2019-07-10,107.56,108.18,104.76,105.63,143
2019-07-11,106.37,106.37,104.34,105.47,178
2019-07-12,106.23,106.23,103.89,105.35,131
2019-07-15,105.21,107.24,105.03,106.42,168
2019-07-16,106.0,106.99,105.3,106.4,176
2019-07-17,106.25,106.25,105.35,105.86,266
2019-07-18,105.51,106.05,103.09,104.17,355
2019-07-19,104.32,105.59,103.33,104.28,346
2019-07-22,104.95,104.95,101.4,101.71,844
2019-07-23,101.83,102.2,97.93,99.13,294
2019-07-24,100.13,101.02,99.43,100.2,274
2019-07-25,99.44,99.98,97.44,99.18,257
2019-07-26,99.49,99.49,95.78,96.32,388
2019-07-29,96.07,100.27,96.07,99.77,335
2019-07-30,99.94,103.32,99.13,101.66,433
2019-07-31,101.69,101.69,99.99,100.09,494
2019-08-01,99.97,102.06,99.89,100.24,310
2019-08-02,99.5,100.35,99.03,99.13,342
2019-08-05,97.5,97.5,96.21,96.85,296
2019-08-06,96.32,97.12,93.1,93.77,380
2019-08-07,93.45,96.95,92.53,95.39,258
2019-08-08,95.31,96.6,94.32,95.03,199
2019-08-09,94.79,96.4,94.79,95.82,275
2019-08-12,95.43,95.43,93.8,94.19,139
2019-08-13,93.25,95.19,92.86,94.0,219
2019-08-14,92.69,93.08,88.4,88.41,812
2019-08-15,88.56,90.58,87.33,89.84,826
2019-08-16,90.11,92.65,89.95,92.48,1408
2019-08-19,92.83,93.2,90.86,91.07,330
2019-08-20,91.07,92.13,90.91,91.15,408
2019-08-21,91.72,93.12,91.24,92.61,263
2019-08-22,92.91,92.91,90.58,91.16,362
2019-08-23,91.13,91.13,88.62,88.97,430
2019-08-26,90.0,91.77,90.0,91.37,251
2019-08-27,91.4,93.61,90.94,91.13,367
2019-08-28,91.0,91.91,90.3,90.46,197
2019-08-29,90.93,94.0,90.4,93.25,430
2019-08-30,91.6,95.44,91.44,95.11,668
2019-09-03,95.13,95.13,91.4,91.96,349
2019-09-04,92.51,93.84,92.14,92.56,271
2019-09-05,93.12,94.91,93.12,94.37,227
2019-09-06,94.69,97.0,94.69,96.53,589
2019-09-09,97.93,97.93,94.32,94.93,265
2019-09-10,95.49,97.66,94.3,96.15,452
