date,open,high,low,close,volume
2018-12-10,173.88,179.93,173.7,179.24,7815
2018-12-11,183.14,189.73,182.4,184.42,20218
2018-12-12,186.72,192.8,186.72,189.52,18893
2018-12-13,190.0,191.19,185.8,188.13,10118
2018-12-14,184.63,186.87,182.64,184.03,6790
2018-12-17,183.11,183.11,175.71,176.61,11148
2018-12-18,177.49,179.96,176.61,177.22,7959
2018-12-19,178.04,183.82,176.27,178.99,8703
2018-12-20,178.0,181.78,175.55,179.44,13581
2018-12-21,179.8,182.0,170.77,173.31,16875
2018-12-24,170.1,173.75,168.8,169.95,7859
2018-12-26,171.08,181.86,171.03,181.65,12228
2018-12-27,178.62,182.55,175.87,182.27,9658
2018-12-28,183.24,186.26,181.88,184.13,7987
2018-12-31,185.28,188.49,184.2,188.35,8966
2019-01-02,185.04,187.17,181.92,183.21,9651
2019-01-03,181.37,182.88,178.79,179.7,6991
2019-01-04,182.06,186.13,181.62,184.39,7799
2019-01-07,185.28,188.0,184.72,187.35,7848
2019-01-08,189.1,191.4,187.11,190.43,7257
2019-01-09,190.22,195.01,190.17,193.11,6875
2019-01-10,191.96,196.6,190.21,196.0,7577
2019-01-11,196.21,198.0,195.13,195.97,5945
2019-01-14,194.02,196.27,193.0,194.93,7227
2019-01-15,194.76,200.92,194.76,200.17,8153
2019-01-16,201.23,203.1,200.05,201.3,7464
2019-01-17,200.16,204.45,199.32,203.3,6830
2019-01-18,205.0,205.45,201.72,203.3,10500
2019-01-22,208.23,208.23,201.18,203.0,15819
2019-01-23,204.5,207.61,203.49,205.72,11929
2019-01-24,208.94,212.13,207.5,210.47,13621
2019-01-25,211.37,212.8,208.4,209.72,8406
2019-01-28,206.6,208.76,204.51,207.61,5998
2019-01-29,207.7,208.84,205.08,206.77,6258
2019-01-30,209.48,212.92,207.37,212.86,9979
2019-01-31,212.74,217.28,212.74,214.82,7877
2019-02-01,215.1,220.45,214.4,220.27,9349
2019-02-04,220.04,221.25,218.81,220.16,7050
2019-02-05,220.91,221.49,218.07,218.93,7712
2019-02-06,219.36,220.84,216.85,220.55,5527
2019-02-07,217.5,219.66,216.0,219.45,10307
2019-02-08,216.96,224.7,216.61,224.62,6408
2019-02-11,225.0,226.28,222.73,223.86,6747
2019-02-12,224.96,225.67,221.63,224.45,11021
2019-02-13,225.25,225.25,221.22,222.16,8713
2019-02-14,222.16,225.74,221.56,225.16,7420
2019-02-15,225.24,227.28,223.21,226.77,6159
2019-02-19,225.39,230.94,222.22,229.9,9054
2019-02-20,229.0,230.29,224.65,226.64,7391
2019-02-21,225.76,226.46,223.33,226.18,6167
2019-02-22,227.28,230.33,226.94,230.1,5377
2019-02-25,236.01,236.17,232.18,233.88,11585
2019-02-26,232.56,236.07,231.73,235.55,16151
2019-02-27,258.04,260.63,250.6,254.88,40504
2019-02-28,253.98,255.0,245.88,246.27,17168
2019-03-01,246.07,249.0,243.18,245.47,12604
2019-03-04,247.03,248.96,238.74,242.54,10582
2019-03-05,238.46,240.63,233.0,234.34,17221
2019-03-06,233.61,237.21,231.2,234.44,9861
2019-03-07,234.54,238.78,233.11,234.52,8360
2019-03-08,232.54,237.54,230.36,234.63,7163
2019-03-11,235.95,241.83,235.8,240.88,8521
2019-03-12,241.9,242.51,239.51,240.22,8067
2019-03-13,241.62,245.03,241.23,242.75,7342
2019-03-14,243.0,245.42,241.6,242.76,6944
2019-03-15,243.23,243.7,239.63,239.72,8162
2019-03-18,239.14,243.12,238.29,241.01,7102
2019-03-19,242.8,244.0,240.97,242.5,5272
2019-03-20,243.25,247.7,241.6,245.82,7004
2019-03-21,245.0,250.26,244.19,249.79,5164
2019-03-22,249.0,250.09,241.14,242.36,6823
2019-03-25,240.57,243.1,238.2,241.83,5186
2019-03-26,244.69,246.94,243.06,244.2,4301
2019-03-27,244.5,245.49,235.7,239.45,6007
2019-03-28,240.0,241.69,235.81,238.39,8744
2019-03-29,239.2,242.98,237.27,242.88,4412
2019-04-01,246.0,247.38,238.34,241.41,7495
2019-04-02,241.0,241.41,236.76,240.2,6539
2019-04-03,240.94,244.48,239.05,242.21,5556
2019-04-04,241.85,242.28,233.15,237.07,7892
2019-04-05,239.35,240.42,237.59,238.85,5277
2019-04-08,237.49,239.9,234.09,238.88,4538
2019-04-09,237.85,242.81,237.6,240.77,5128
2019-04-10,240.66,245.88,239.71,242.52,7056
2019-04-11,243.81,246.41,243.0,245.93,4821
2019-04-12,246.95,247.39,243.31,244.66,4368
2019-04-15,245.97,248.65,244.9,248.22,5567
2019-04-16,248.75,249.16,242.75,244.48,6249
2019-04-17,245.81,246.6,238.9,239.43,6853
2019-04-18,238.05,238.43,231.33,235.46,6810
2019-04-22,234.44,239.56,234.01,239.28,4329
2019-04-23,239.69,242.2,238.38,241.09,6110
2019-04-24,243.0,244.41,241.1,243.11,4854
2019-04-25,244.08,246.58,239.86,245.46,5645
2019-04-26,245.29,247.54,243.86,245.84,3474
2019-04-29,244.98,249.79,244.76,249.2,5142
2019-04-30,249.6,250.34,246.75,248.83,3304
2019-05-01,249.49,249.96,244.84,246.39,3538
2019-05-02,245.92,249.79,245.61,246.73,4477
2019-05-03,247.0,250.94,244.62,250.77,6387
2019-05-06,246.72,249.0,242.5,247.84,4027
2019-05-07,246.44,246.72,235.7,238.21,7438
2019-05-08,238.21,241.1,236.57,238.5,4430
