date,open,high,low,close,volume
2018-12-10,16.79,16.83,16.24,16.32,1170
2018-12-11,16.44,16.59,16.13,16.27,1062
2018-12-12,16.4,16.53,16.13,16.16,2563
2018-12-13,16.13,16.26,15.8,15.87,1281
2018-12-14,15.73,15.84,15.39,15.42,1581
2018-12-17,15.32,15.4,14.67,14.83,2320
2018-12-18,14.88,14.99,14.68,14.74,1721
2018-12-19,14.74,15.02,14.3,14.42,3107
2018-12-20,14.45,14.72,14.18,14.23,1555
2018-12-21,14.22,14.39,13.79,13.91,1914
2018-12-24,13.75,14.05,13.68,13.73,957
2018-12-26,13.73,14.15,13.68,14.14,1619
2018-12-27,13.95,14.14,13.79,14.13,1518
2018-12-28,14.17,14.29,13.87,13.99,1094
2018-12-31,14.09,14.23,13.87,14.18,881
2019-01-02,14.07,14.34,13.94,14.14,1304
2019-01-03,14.3,15.1,14.17,14.79,3630
2019-01-04,14.99,15.23,14.88,15.18,2118
2019-01-07,15.21,15.33,14.89,14.97,1680
2019-01-08,15.06,15.77,14.99,15.75,4005
2019-01-09,15.75,15.96,15.62,15.8,3360
2019-01-10,15.71,15.85,15.41,15.64,1213
2019-01-11,15.59,15.59,14.97,15.06,1292
2019-01-14,15.25,16.07,15.25,15.82,3895
2019-01-15,15.87,16.14,15.77,16.04,1876
2019-01-16,16.06,16.65,15.94,16.59,5513
2019-01-17,16.53,16.53,15.98,16.36,1869
2019-01-18,16.44,16.5,16.17,16.27,3091
2019-01-22,16.32,16.51,15.99,16.24,3384
2019-01-23,16.21,16.32,15.67,15.75,2527
2019-01-24,15.8,16.16,15.7,15.98,2540
2019-01-25,16.15,16.37,15.91,16.09,2813
2019-01-28,15.97,16.36,15.93,16.0,2535
2019-01-29,15.98,16.2,15.69,16.11,3061
2019-01-30,16.23,16.68,16.11,16.56,3344
2019-01-31,16.49,16.64,16.14,16.26,1657
2019-02-01,16.25,16.35,16.15,16.27,3008
2019-02-04,16.23,16.42,16.23,16.32,1306
2019-02-05,16.44,16.72,16.35,16.66,2102
2019-02-06,16.63,16.79,16.45,16.5,5541
2019-02-07,16.51,16.51,15.96,16.12,1526
2019-02-08,16.08,16.13,15.74,16.06,1477
2019-02-11,16.06,16.39,15.99,16.34,1827
2019-02-12,16.5,16.61,16.31,16.56,2233
2019-02-13,16.63,17.0,16.63,16.98,2114
