date,open,high,low,close,volume
2018-12-10,35.55,35.99,35.0,35.28,3523
2018-12-11,35.63,35.64,34.87,34.9,4159
2018-12-12,35.05,35.78,34.98,35.02,3225
2018-12-13,35.03,35.52,34.84,34.96,3677
2018-12-14,34.7,35.29,33.64,33.87,4482
2018-12-17,33.65,33.65,32.12,32.25,4465
2018-12-18,32.52,33.07,32.21,32.36,4716
2018-12-19,32.41,32.92,32.08,32.22,3932
2018-12-20,32.21,32.3,30.22,30.47,5872
2018-12-21,30.54,31.64,30.0,30.03,7469
2018-12-24,30.08,30.55,29.08,29.08,3125
2018-12-26,29.2,30.15,28.37,30.08,5925
2018-12-27,29.57,30.45,28.07,30.44,5590
2018-12-28,30.84,31.73,30.5,31.32,5559
2018-12-31,31.32,31.68,30.89,31.64,4682
2019-01-02,31.09,31.16,29.79,30.76,5264
2019-01-03,30.76,32.0,30.51,31.49,3029
2019-01-04,31.65,32.76,31.51,32.75,3542
2019-01-07,32.78,33.56,32.53,33.18,3248
2019-01-08,32.49,33.67,32.49,33.34,4815
2019-01-09,33.4,33.52,32.87,33.4,2326
2019-01-10,33.33,34.18,33.25,34.12,1924
2019-01-11,34.1,34.18,33.41,34.1,2507
2019-01-14,33.99,34.05,33.44,33.56,4079
2019-01-15,33.64,34.13,33.31,34.1,2694
2019-01-16,34.13,34.61,33.74,34.51,4029
2019-01-17,34.36,34.98,34.12,34.94,4070
2019-01-18,34.97,35.72,34.93,35.39,4392
2019-01-22,35.29,35.38,34.52,34.71,2846
2019-01-23,34.83,35.48,34.27,34.44,2404
2019-01-24,34.43,35.49,34.36,35.4,2647
2019-01-25,35.5,36.16,35.32,35.48,4251
2019-01-28,35.25,35.78,35.2,35.6,3805
2019-01-29,35.54,35.91,35.33,35.81,3114
2019-01-30,35.91,36.67,35.77,36.32,2118
2019-01-31,36.29,36.98,35.72,36.88,3696
2019-02-01,36.87,37.67,36.7,37.4,3251
2019-02-04,37.52,37.6,36.75,37.51,3726
2019-02-05,36.74,37.95,36.02,37.91,4028
2019-02-06,37.82,37.98,37.16,37.22,7658
2019-02-07,37.05,37.11,35.62,36.45,7970
2019-02-08,36.42,36.84,35.26,35.82,3971
2019-02-11,35.97,36.28,35.2,35.52,5279
2019-02-12,35.69,35.95,35.28,35.34,3706
2019-02-13,35.38,35.75,35.16,35.39,2741
2019-02-14,35.37,35.59,34.88,35.01,2606
2019-02-15,35.18,35.72,35.03,35.47,3101
2019-02-19,35.37,36.27,35.19,36.21,3333
2019-02-20,36.2,37.04,35.96,36.78,2928
2019-02-21,36.63,36.81,36.46,36.79,2375
2019-02-22,36.9,37.51,36.82,37.04,3699
2019-02-25,37.05,38.0,37.01,37.73,5751
2019-02-26,37.81,37.94,36.51,36.53,3058
2019-02-27,36.3,36.97,36.25,36.71,2032
2019-02-28,36.64,36.68,35.96,35.99,2515
2019-03-01,36.14,36.3,35.38,36.21,4519
2019-03-04,36.29,36.3,35.07,35.91,2855
2019-03-05,35.72,35.92,35.57,35.64,1516
2019-03-06,35.64,35.85,35.22,35.25,1868
2019-03-07,35.05,35.15,34.54,34.85,3162
2019-03-08,34.68,35.39,34.68,35.27,2181
2019-03-11,35.78,37.03,35.78,36.99,3509
2019-03-12,37.1,37.5,36.89,37.02,3418
2019-03-13,37.08,37.46,37.0,37.32,2245
2019-03-14,37.34,37.34,36.85,36.99,2664
2019-03-15,37.01,37.19,36.38,36.58,5379
2019-03-18,36.63,36.67,36.11,36.51,2327
2019-03-19,36.71,37.0,36.58,36.95,1869
2019-03-20,36.94,37.39,36.53,36.94,2133
2019-03-21,36.75,37.69,36.63,37.42,2103
2019-03-22,37.33,37.4,36.36,36.36,2446
2019-03-25,36.3,36.53,35.49,35.53,5117
2019-03-26,35.65,36.04,35.13,35.45,3273
2019-03-27,35.55,35.96,35.18,35.71,9799
2019-03-28,35.86,37.45,35.7,37.4,4580
2019-03-29,37.51,38.15,37.34,37.79,6716
2019-04-01,37.99,38.06,37.3,37.82,6106
2019-04-02,37.97,38.3,37.12,37.54,6762
2019-04-03,37.61,38.07,37.42,37.8,4699
2019-04-04,37.82,38.05,37.45,38.03,2670
2019-04-05,38.65,39.05,38.27,38.98,3974
2019-04-08,38.78,39.16,38.5,38.78,3133
2019-04-09,38.83,38.86,38.07,38.17,2257
2019-04-10,38.21,38.67,38.2,38.6,2269
2019-04-11,38.6,38.97,38.23,38.93,2140
2019-04-12,38.8,39.16,38.68,39.03,5234
2019-04-15,39.08,39.13,38.61,38.78,1856
2019-04-16,38.78,38.82,37.79,38.15,2637
2019-04-17,38.4,38.63,37.88,38.35,4188
2019-04-18,38.25,38.59,37.8,38.23,6183
2019-04-22,38.06,38.22,36.96,37.41,5097
2019-04-23,37.44,38.86,37.3,38.5,4536
2019-04-24,38.5,39.35,38.5,38.95,2149
2019-04-25,38.71,39.18,38.53,38.92,1995
2019-04-26,39.05,40.05,38.96,39.91,4787
2019-04-29,40.02,40.02,38.76,38.94,4533
2019-04-30,39.8,39.8,37.81,38.66,8158
2019-05-01,39.01,39.95,39.01,39.42,5155
2019-05-02,39.24,39.65,38.84,39.3,3401
2019-05-03,39.45,40.49,39.44,40.4,3116
2019-05-06,39.89,40.4,39.74,40.19,2218
2019-05-07,39.85,40.14,38.66,38.9,1821
2019-05-08,38.87,39.23,38.16,38.18,1533
2019-05-09,37.95,38.36,37.57,38.21,1805
2019-05-10,38.14,38.73,37.92,38.64,1480
2019-05-13,38.1,38.19,37.53,37.75,2162
2019-05-14,37.86,38.24,37.77,37.79,1564
2019-05-15,37.54,37.95,37.36,37.77,2068
2019-05-16,37.81,38.43,37.75,38.05,1141
2019-05-17,37.77,37.9,37.32,37.41,2676
2019-05-20,37.19,37.31,36.04,36.15,4058
2019-05-21,36.46,36.61,36.16,36.46,1808
2019-05-22,36.44,36.44,35.81,36.06,1739
2019-05-23,35.73,35.85,34.6,34.83,3567
2019-05-24,35.04,35.34,34.73,34.99,3154
2019-05-28,35.03,35.22,34.56,34.69,2618
2019-05-29,34.6,34.76,34.13,34.41,2353
2019-05-30,34.23,34.69,33.85,34.15,2222
2019-05-31,33.78,34.12,33.61,33.65,3156
2019-06-03,33.69,33.88,33.31,33.52,3250
2019-06-04,33.79,34.03,33.5,33.93,3943
2019-06-05,34.17,34.7,33.63,34.49,3523
2019-06-06,34.2,34.72,33.72,34.48,3005
2019-06-07,34.71,35.54,34.39,35.37,3429
2019-06-10,35.53,36.01,35.53,35.86,2617
2019-06-11,36.12,36.49,35.88,36.47,1640
2019-06-12,36.69,37.15,36.51,36.88,3037
2019-06-13,36.92,37.65,36.92,37.29,3629
2019-06-14,37.42,38.04,37.34,37.36,2034
2019-06-17,37.49,37.7,37.31,37.66,1878
2019-06-18,37.91,39.55,37.91,39.07,4010
2019-06-19,38.93,39.29,38.6,39.05,2779
2019-06-20,39.39,39.84,39.13,39.76,2318
2019-06-21,39.67,39.67,38.94,39.04,3827
2019-06-24,39.13,39.37,38.23,38.23,2349
2019-06-25,38.32,38.4,37.75,37.85,7122
2019-06-26,37.95,38.44,36.89,37.18,6215
2019-06-27,37.39,38.16,37.18,38.16,3149
2019-06-28,38.21,39.26,38.21,38.98,4139
2019-07-01,39.19,39.87,38.99,39.52,3349
2019-07-02,39.61,40.15,39.33,40.02,3397
2019-07-03,40.19,40.43,39.87,40.43,1478
2019-07-05,40.14,40.45,39.66,40.32,1676
2019-07-08,40.37,40.65,40.15,40.41,3067
2019-07-09,40.17,40.17,38.82,39.26,2663
2019-07-10,39.33,39.6,39.12,39.47,1380
2019-07-11,39.4,39.45,38.39,38.67,2948
2019-07-12,38.79,39.14,38.52,38.73,1996
2019-07-15,38.77,38.79,37.97,38.21,2323
2019-07-16,38.1,38.66,37.95,38.42,1581
2019-07-17,38.34,38.37,37.78,38.04,1843
2019-07-18,37.88,38.14,37.77,38.01,2151
2019-07-19,37.9,38.78,37.9,38.12,3462
2019-07-22,38.14,38.24,37.55,37.68,1419
2019-07-23,37.77,38.15,37.77,38.0,1328
2019-07-24,37.83,38.51,37.83,38.46,1380
2019-07-25,38.65,38.66,37.82,37.88,2647
2019-07-26,37.88,38.55,37.84,38.46,2128
2019-07-29,38.45,38.71,38.07,38.5,2950
2019-07-30,38.97,39.5,37.42,39.46,3920
2019-07-31,38.58,39.19,36.78,36.82,6441
2019-08-01,36.86,37.6,36.22,36.58,3204
2019-08-02,36.48,37.01,36.25,36.81,1746
2019-08-05,36.2,36.59,35.93,36.35,2759
2019-08-06,36.38,36.74,35.88,36.26,1842
2019-08-07,36.03,37.35,35.84,37.14,2179
2019-08-08,37.21,37.71,36.9,37.64,1962
2019-08-09,37.68,37.68,36.44,36.89,1593
2019-08-12,36.78,36.85,36.39,36.53,1882
2019-08-13,36.49,37.5,36.36,36.9,1113
2019-08-14,36.48,36.79,36.02,36.04,1299
2019-08-15,36.06,36.51,36.06,36.49,1459
2019-08-16,36.64,37.49,36.64,37.16,1917
2019-08-19,37.54,37.99,37.11,37.7,1307
2019-08-20,37.63,37.63,37.04,37.12,869
2019-08-21,37.35,37.8,37.17,37.61,1100
2019-08-22,37.76,37.94,37.18,37.66,1008
2019-08-23,37.45,37.81,36.38,36.49,1409
2019-08-26,36.89,37.13,36.63,37.08,1059
2019-08-27,37.46,37.6,36.43,36.45,1138
2019-08-28,36.52,38.03,36.41,37.99,2392
2019-08-29,38.13,38.93,38.13,38.69,1296
2019-08-30,38.72,38.98,38.29,38.48,1202
2019-09-03,38.27,38.27,37.76,38.17,1090
2019-09-04,38.43,38.46,38.05,38.16,1661
2019-09-05,38.41,39.19,38.19,38.85,1422
2019-09-06,38.8,39.33,38.74,39.06,1033
2019-09-09,39.12,39.69,39.01,39.66,1332
2019-09-10,39.56,40.6,39.5,40.04,4030
2019-09-11,40.33,41.99,39.82,41.97,2941
2019-09-12,41.84,42.31,41.24,42.11,3157
2019-09-13,42.23,42.76,41.39,41.51,2265
2019-09-16,41.21,42.01,40.83,41.69,5219
2019-09-17,41.63,41.78,41.0,41.74,1064
2019-09-18,41.89,41.89,40.9,41.51,1005
2019-09-19,41.75,42.1,41.37,41.41,940
2019-09-20,41.32,41.75,40.97,41.07,4427
2019-09-23,40.95,41.51,40.73,41.12,3095
2019-09-24,41.3,41.48,40.68,40.87,2890
2019-09-25,40.98,41.49,40.89,41.295,6710
2019-09-26,41.27,41.61,41.18,41.46,1840
2019-09-27,41.57,41.85,40.72,40.775,2034
2019-09-30,40.97,41.28,40.88,41.085,1824
2019-10-01,41.24,41.52,40.63,40.73,1089
2019-10-02,40.44,40.71,39.85,40.54,1754
2019-10-03,40.34,41.22,39.94,41.19,2138
2019-10-04,41.17,41.43,40.58,40.895,1510
2019-10-07,40.74,41.02,40.37,40.39,2021
2019-10-08,40.05,40.36,39.64,39.92,1056
2019-10-09,40.15,40.4,39.82,40.0,845
2019-10-10,40.12,40.6,39.77,39.98,1235
2019-10-11,40.33,41.15,40.29,40.56,1144
2019-10-14,40.55,40.65,40.34,40.59,612
2019-10-15,40.61,40.97,40.47,40.57,939
2019-10-16,40.66,41.45,40.49,41.38,1327
2019-10-17,41.46,41.88,41.35,41.52,1442
2019-10-18,41.34,42.28,41.34,42.22,1528
2019-10-21,42.67,43.17,42.38,42.72,2192
2019-10-22,42.78,43.56,42.59,43.23,2976
2019-10-23,43.3,43.58,42.91,43.22,3957
2019-10-24,43.26,43.35,42.94,43.08,1295
2019-10-25,42.85,44.09,42.8,43.36,2658
2019-10-28,43.59,43.89,42.94,43.01,2690
2019-10-29,42.73,44.7,42.53,43.68,3508
2019-10-30,43.63,43.7,42.83,43.22,3585
2019-10-31,43.25,43.34,42.35,42.47,2107
2019-11-01,42.5,43.12,42.5,43.0,3048
2019-11-04,43.09,44.0,42.65,43.86,2411
2019-11-05,43.98,44.29,42.99,43.62,1859
2019-11-06,43.56,43.9,43.37,43.79,1430
2019-11-07,44.01,44.14,43.7,43.89,1246
2019-11-08,43.8,44.5,43.8,43.98,1893
2019-11-11,43.82,44.09,43.81,44.06,618
2019-11-12,43.99,44.53,43.74,43.77,1134
2019-11-13,43.48,43.75,43.22,43.23,1113
2019-11-14,43.14,43.76,43.14,43.73,2062
2019-11-15,43.87,44.14,43.43,43.57,953
2019-11-18,43.48,44.09,43.48,43.86,1319
2019-11-19,44.14,44.3,43.46,44.05,913
2019-11-20,43.87,44.18,43.37,43.85,1244
2019-11-21,43.81,43.81,43.17,43.205,1165
2019-11-22,43.32,43.39,42.74,42.74,1833
2019-11-25,42.83,43.3,42.65,43.23,1772
2019-11-26,43.29,43.66,43.14,43.36,1711
2019-11-27,43.39,44.05,43.23,44.045,1777
2019-11-29,44.1,44.12,43.4,43.43,401
2019-12-02,43.39,43.61,42.47,42.56,2059
2019-12-03,42.16,42.34,41.83,42.14,2904
2019-12-04,42.05,42.95,42.05,42.38,2465
2019-12-05,42.53,42.69,42.32,42.64,1012
2019-12-06,42.93,43.32,42.72,42.73,997
2019-12-09,42.65,42.9,42.31,42.64,1398
2019-12-10,42.67,42.67,42.1,42.23,933
2019-12-11,42.16,42.86,42.14,42.75,1932
2019-12-12,42.75,43.28,42.53,42.73,1372
2019-12-13,42.32,42.54,42.02,42.53,1754
2019-12-16,42.6,43.37,42.59,43.1,1630
2019-12-17,43.07,43.18,42.47,42.58,2266
2019-12-18,42.7,42.87,42.27,42.5,2514
2019-12-19,42.59,43.92,42.57,43.79,3185
2019-12-20,43.94,44.56,43.81,43.99,3253
2019-12-23,43.99,44.07,43.6,43.61,694
2019-12-24,43.53,43.53,43.09,43.21,335
2019-12-26,43.19,43.35,43.0,43.29,435
2019-12-27,43.35,43.48,43.21,43.31,519
2019-12-30,43.24,43.43,43.07,43.39,781
2019-12-31,43.42,43.6,43.19,43.27,1260
2020-01-02,43.45,43.45,41.89,42.05,3152
2020-01-03,41.71,42.83,41.71,42.64,1440
2020-01-06,42.37,43.68,42.37,43.45,2702
2020-01-07,44.16,44.16,43.33,43.38,1113
2020-01-08,43.28,43.73,43.15,43.28,1267
2020-01-09,43.3,43.9,43.3,43.61,747
2020-01-10,43.57,44.07,43.19,43.35,1717
2020-01-13,43.24,43.75,43.24,43.35,3470
2020-01-14,43.17,44.05,43.13,43.955,1652
2020-01-15,43.86,44.83,43.8,44.6,2889
2020-01-16,44.9,45.23,44.64,45.06,1555
2020-01-17,45.42,45.42,44.54,44.68,1125
2020-01-21,44.5,44.58,44.07,44.14,1565
2020-01-22,44.12,44.26,43.71,44.14,1531
2020-01-23,44.05,44.21,43.6,44.02,1454
