date,open,high,low,close,volume
2018-12-10,10.0,10.398,9.0,9.3,249
2018-12-11,9.4,10.198,9.122,9.21,283
2018-12-12,9.448,9.8,9.202,9.217,171
2018-12-13,9.3,9.396,8.604,9.0,187
2018-12-14,8.896,8.978,8.604,8.714,147
2018-12-17,9.0,9.2,8.4,8.454,104
2018-12-18,8.734,8.812,7.804,7.852,225
2018-12-19,8.0,8.2,7.806,7.818,81
2018-12-20,8.196,8.2,6.804,6.81,221
2018-12-21,7.23,7.59,6.404,6.6,354
2018-12-24,6.998,6.998,6.004,6.11,97
2018-12-26,6.4,6.6,6.2,6.26,132
2018-12-27,6.0,6.998,5.804,6.2,232
2018-12-28,6.0,6.74,5.602,6.5,677
2018-12-31,6.6,6.78,6.1,6.42,620
2019-01-02,6.4,7.5,5.904,7.214,140
2019-01-03,7.2,7.5,6.6,6.8,92
2019-01-04,6.844,7.5,6.844,7.1,256
2019-01-07,7.454,10.8,7.454,9.998,1353
2019-01-08,9.8,9.8,8.16,8.444,482
2019-01-09,8.656,8.656,7.0,7.64,232
2019-01-10,7.734,9.4,7.602,8.44,284
2019-01-11,8.18,8.54,8.006,8.136,183
2019-01-14,8.136,8.498,7.32,7.606,130
2019-01-15,7.546,7.86,7.32,7.82,96
2019-01-16,8.18,8.18,7.602,7.914,115
2019-01-17,7.928,8.402,7.806,7.9,117
2019-01-18,7.812,8.398,7.52,8.05,76
2019-01-22,8.028,8.05,7.402,7.6,104
2019-01-23,7.596,8.0,7.438,7.728,96
2019-01-24,7.6,7.948,7.6,7.93,92
2019-01-25,8.0,8.68,7.9,8.426,174
2019-01-28,8.426,8.574,7.84,8.396,87
2019-01-29,8.68,8.68,7.84,8.358,43
2019-01-30,8.306,8.68,8.04,8.22,165
2019-01-31,8.4,8.86,8.1,8.8,206
2019-02-01,8.86,9.11,8.4,8.8,206
2019-02-04,8.8,10.28,8.792,10.08,830
2019-02-05,10.0,10.0,8.9,9.1,206
2019-02-06,9.124,9.44,9.0,9.002,43
2019-02-07,9.0,9.4,8.54,9.038,93
2019-02-08,8.748,9.002,8.678,8.678,35
2019-02-11,8.96,9.0,8.192,8.438,96
2019-02-12,8.7,8.7,7.4,7.902,349
2019-02-13,7.988,8.3,7.462,8.22,144
2019-02-14,8.044,8.14,7.642,8.0,38
2019-02-15,7.98,8.28,7.642,8.102,29
2019-02-19,8.236,8.28,7.6,7.94,66
2019-02-20,8.19,8.19,7.66,7.8,44
2019-02-21,8.19,8.64,7.84,8.25,235
2019-02-22,8.6,8.6,7.8,8.1,91
2019-02-25,8.098,8.28,7.682,8.038,54
2019-02-26,7.776,8.2,7.776,7.99,61
2019-02-27,8.2,8.2,7.9,7.9,44
2019-02-28,8.24,8.24,7.92,7.92,47
2019-03-01,8.3,9.2,8.1,9.0,546
2019-03-04,9.16,9.2,8.8,9.198,188
2019-03-05,9.3,9.3,8.902,9.178,88
2019-03-06,8.902,9.402,8.902,9.148,190
2019-03-07,9.08,10.0,9.0,9.578,293
2019-03-08,9.28,11.798,9.28,9.82,712
2019-03-11,10.782,10.782,9.422,9.998,63
2019-03-12,9.9,9.9,9.012,9.2,198
2019-03-13,9.3,9.3,8.114,9.198,91
2019-03-14,8.9,9.2,8.404,9.04,35
2019-03-15,9.2,11.4,8.82,10.072,516
2019-03-18,8.51,10.25,8.34,8.51,158
2019-03-19,8.2001,8.8522,7.7384,8.19,214
2019-03-20,8.3209,8.48,8.1,8.188,13
2019-03-21,8.01,8.01,7.3611,7.65,128
2019-03-22,7.86,7.92,7.46,7.6689,53
2019-03-25,7.51,8.4,7.29,7.7,268
2019-03-26,7.89,8.0201,7.31,7.53,243
2019-03-27,7.5,8.3199,7.24,7.57,403
2019-03-28,7.42,7.57,6.9414,7.32,483
2019-03-29,7.41,7.7369,7.0101,7.4,249
2019-04-01,7.6922,8.0899,7.35,7.82,649
2019-04-02,7.68,7.7024,7.5,7.5,132
2019-04-03,7.5565,7.82,7.53,7.6,260
2019-04-04,7.3601,7.78,7.36,7.73,108
2019-04-05,7.5,8.11,7.5,7.9,270
2019-04-08,7.7496,8.0562,7.1,7.2,297
2019-04-09,7.4637,7.725,7.19,7.5,138
2019-04-10,7.5,7.6,7.3,7.6,29
2019-04-11,7.43,7.43,7.16,7.2,106
2019-04-12,7.15,7.654,6.91,6.91,91
