date,open,high,low,close,volume
2018-12-10,16.0,16.0,16.0,16.0,2
2018-12-11,16.0,16.0,15.52,15.52,4
2018-12-12,15.52,15.52,15.52,15.52,0
2018-12-13,15.52,15.52,15.52,15.52,0
2018-12-14,15.18,15.2,15.08,15.08,10
2018-12-17,15.08,15.08,15.08,15.08,0
2018-12-18,15.2,15.2,15.2,15.2,2
2018-12-19,15.2,15.2,15.2,15.2,0
2018-12-20,15.2,15.2,15.2,15.2,0
2018-12-21,15.2,15.2,15.2,15.2,0
2018-12-24,15.2,15.2,15.2,15.2,0
2018-12-26,15.2,15.2,15.2,15.2,0
2018-12-27,15.2,15.2,15.2,15.2,0
2018-12-28,15.2,15.2,15.2,15.2,0
2018-12-31,15.2,15.2,15.2,15.2,0
2019-01-02,15.2,15.2,15.2,15.2,0
2019-01-03,15.2,15.2,15.2,15.2,0
2019-01-04,15.35,15.35,15.35,15.35,1
2019-01-07,15.35,15.35,15.35,15.35,0
2019-01-08,15.35,15.35,15.35,15.35,0
2019-01-09,15.35,15.35,15.35,15.35,1
2019-01-10,15.35,15.35,15.35,15.35,0
2019-01-11,15.35,15.35,15.35,15.35,0
2019-01-14,15.35,15.35,15.35,15.35,0
2019-01-15,15.35,16.15,15.35,16.15,30
2019-01-16,16.799,16.799,16.27,16.27,3
2019-01-17,16.27,16.27,16.27,16.27,0
2019-01-18,16.5,16.5,16.5,16.5,24
2019-01-22,16.5,16.5,16.5,16.5,0
2019-01-23,16.5,16.5,16.5,16.5,0
2019-01-24,16.5,16.5,16.5,16.5,0
2019-01-25,16.5,16.5,16.5,16.5,0
2019-01-28,16.5,16.5,16.5,16.5,0
2019-01-29,16.5,16.5,16.5,16.5,0
2019-01-30,16.5,16.5,16.5,16.5,0
2019-01-31,16.8,16.82,16.8,16.82,34
2019-02-01,17.0,17.1,17.0,17.0,24
2019-02-04,17.0,17.0,17.0,17.0,0
2019-02-05,17.05,17.05,17.05,17.05,30
2019-02-06,17.05,17.05,17.05,17.05,0
2019-02-07,17.05,17.05,17.05,17.05,0
2019-02-08,17.05,17.05,17.05,17.05,0
2019-02-11,17.05,17.05,17.05,17.05,0
2019-02-12,17.07,17.07,17.07,17.07,25
2019-02-13,17.07,17.07,17.07,17.07,0
2019-02-14,17.07,17.07,17.07,17.07,0
2019-02-15,17.09,17.12,17.09,17.12,672
2019-02-19,17.071,17.071,17.071,17.071,1
2019-02-20,17.071,17.071,17.071,17.071,0
2019-02-21,17.071,17.071,17.071,17.071,0
2019-02-22,17.25,17.25,17.25,17.25,305
2019-02-25,17.25,17.25,17.25,17.25,36
2019-02-26,17.25,17.25,17.25,17.25,0
2019-02-27,17.25,17.25,17.25,17.25,0
2019-02-28,17.25,17.25,17.25,17.25,0
2019-03-01,17.32,17.32,17.32,17.32,387
2019-03-04,17.32,17.32,17.32,17.32,0
2019-03-05,17.35,17.35,17.35,17.35,1
